scope,strategy,gap,mcb_mode,period,target,grade,mechanic,priority,attributed_strategy,route,pnl_scaled,capital_days_scaled,pnl_native,capital_days_native,incremental_pnl,incremental_capital_days
COMBINED,COMBINED,IFCGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,IFCGR,FIXED_BELOW_L_REPAIR,17996.222091514595,5522039.260055455,17996.222091514595,5522039.260055455,0.0,0.0
COMBINED,COMBINED,IFCGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,133343.1777216111,141668300.76038778,133343.1777216111,141668300.76038778,0.0,0.0
COMBINED,COMBINED,IFCGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,103922.07704857373,99495191.73811868,103922.07704857373,99495191.73811868,0.0,0.0
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,675006.1289900822,439765995.9286136,675006.1289900822,439765995.9286136,0.0,0.0
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,429339.13185531413,195358490.8328733,429339.13185531413,195358490.8328733,0.0,0.0
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,IFCGR,FIXED_BELOW_L_REPAIR,105177.20814314186,20713521.534335017,105177.20814314186,20713521.534335017,0.0,0.0
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,127079.74179284288,85110918.8496834,127079.74179284288,85110918.8496834,0.0,0.0
COMBINED,COMBINED,IFCGR,confirmation_tag,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,260255.97808635223,242575910.3724443,260255.97808635223,242575910.3724443,0.0,0.0
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,149961.0630660272,326044106.7322871,149961.0630660272,326044106.7322871,0.0,0.0
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,265591.1261099391,131925927.04586092,265591.1261099391,131925927.04586092,0.0,0.0
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,IFCGR,FIXED_BELOW_L_REPAIR,17996.2220915146,5522039.260055456,17996.2220915146,5522039.260055456,0.0,0.0
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,82291.4480411118,53241230.938592166,82291.4480411118,53241230.938592166,0.0,0.0
COMBINED,COMBINED,IFCGR,confirmation_tag,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,103922.07704857373,99495191.73811868,103922.07704857373,99495191.73811868,0.0,0.0
SINGLE,ATRDR,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,1539906.3993043494,1386316448.0479505,675006.1289900835,439765995.92861444,864900.2703142661,946550452.119336
SINGLE,ATRDR,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,2126945.828860229,1278473089.3466725,429339.1318553141,195357506.95862007,1697606.6970049147,1083115582.3880525
SINGLE,ATRDR,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,1539906.3993043494,1386316448.0479505,675006.1289900835,439765995.92861444,864900.2703142661,946550452.119336
SINGLE,ATRDR,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,ATRDR,V27,2126945.828860229,1278473089.3466725,429339.1318553141,195357506.95862007,1697606.6970049147,1083115582.3880525
SINGLE,ATRDR,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,835288.5713043708,1077724750.5047288,149961.06306602727,326044106.73228705,685327.5082383434,751680643.7724417
SINGLE,ATRDR,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,836647.8400948861,739457024.0969473,265591.12610993965,131925909.51153095,571056.7139849464,607531114.5854164
SINGLE,ATRDR,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,835288.5713043708,1077724750.5047288,149961.06306602727,326044106.73228705,685327.5082383434,751680643.7724417
SINGLE,ATRDR,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,ATRDR,V27,836647.8400948861,739457024.0969473,265591.12610993965,131925909.51153095,571056.7139849464,607531114.5854164
SINGLE,MCB,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,1194737.5284648093,830627653.1448063,504445.04409975925,237616479.8122506,690292.48436505,593011173.3325557
SINGLE,MCB,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,MCB,MCB,1194737.5284648093,830627653.1448063,504445.04409975925,237616479.8122506,690292.48436505,593011173.3325557
SINGLE,MCB,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,715836.9347360963,623053614.5832429,133343.17772161102,141668300.7603877,582493.7570144853,481385313.82285523
SINGLE,MCB,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,MCB,MCB,715836.9347360963,623053614.5832429,133343.17772161102,141668300.7603877,582493.7570144853,481385313.82285523
SINGLE,OGR,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,2468085.147305634,1056268211.1448598,110169.46776510555,21108726.070086446,2357915.6795405285,1035159485.0747733
SINGLE,OGR,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,2468085.147305634,1056268211.1448598,110169.46776510555,21108726.070086446,2357915.6795405285,1035159485.0747733
SINGLE,OGR,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,258906.56769802066,343188222.87281376,18087.484078905065,5548247.136752401,240819.08361911564,337639975.7360614
SINGLE,OGR,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,258906.56769802066,343188222.87281376,18087.484078905065,5548247.136752401,240819.08361911564,337639975.7360614
SINGLE,IFCGR,IFCGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,IFCGR,FIXED_BELOW_L_REPAIR,1929137.4741042063,935157947.3702197,105177.2081431418,20713870.85877924,1823960.2659610645,914444076.5114404
SINGLE,IFCGR,IFCGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,IFCGR,FIXED_BELOW_L_REPAIR,1929137.4741042063,935157947.3702197,105177.2081431418,20713870.85877924,1823960.2659610645,914444076.5114404
SINGLE,IFCGR,IFCGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,IFCGR,FIXED_BELOW_L_REPAIR,257564.0712244842,341613192.17997897,17996.222091514603,5522022.700260371,239567.8491329696,336091169.47971857
SINGLE,IFCGR,IFCGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,IFCGR,FIXED_BELOW_L_REPAIR,257564.0712244842,341613192.17997897,17996.222091514603,5522022.700260371,239567.8491329696,336091169.47971857
SINGLE,SMV6,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,317293.9556894256,285000790.1451972,260255.97808635223,242575910.3724443,57037.97760307333,42424879.77275292
SINGLE,SMV6,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,317293.9556894256,285000790.1451972,260255.97808635223,242575910.3724443,57037.97760307333,42424879.77275292
SINGLE,SMV6,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,94666.01734589378,111194431.8825661,103922.07704857373,99495191.73811868,-9256.059702679964,11699240.144447405
SINGLE,SMV6,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,94666.01734589378,111194431.8825661,103922.07704857373,99495191.73811868,-9256.059702679964,11699240.144447405
COMBINED,COMBINED,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,5581144.50882486,3673100620.0486407,675006.1289900825,439765995.9286137,4906138.379834778,3233334624.120027
COMBINED,COMBINED,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,9885619.83854524,4228619836.695762,429339.131855314,195358490.8328733,9456280.706689926,4033261345.862889
COMBINED,COMBINED,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,2405933.4567395155,1303906420.802157,504445.0440997578,237616479.81224984,1901488.4126397576,1066289940.989907
COMBINED,COMBINED,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,3918798.9919653963,894111074.5320165,110169.46776510592,21108376.114237916,3808629.52420029,873002698.4177786
COMBINED,COMBINED,OGR,independent,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,449148.50355107547,1257599161.448378,260255.97808635223,242575910.3724443,188892.5254647233,1015023251.0759337
COMBINED,COMBINED,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,5581144.50882486,3673100620.0486407,675006.1289900825,439765995.9286137,4906138.379834778,3233334624.120027
COMBINED,COMBINED,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,ATRDR,V27,9885619.83854524,4228619836.695762,429339.131855314,195358490.8328733,9456280.706689926,4033261345.862889
COMBINED,COMBINED,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,MCB,MCB,2405933.4567395155,1303906420.802157,504445.0440997578,237616479.81224984,1901488.4126397576,1066289940.989907
COMBINED,COMBINED,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,3918798.9919653963,894111074.5320165,110169.46776510592,21108376.114237916,3808629.52420029,873002698.4177786
COMBINED,COMBINED,OGR,independent,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,449148.50355107547,1257599161.448378,260255.97808635223,242575910.3724443,188892.5254647233,1015023251.0759337
COMBINED,COMBINED,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,1973149.8192220507,1984035820.858052,149961.06306602707,326044106.7322869,1823188.7561560238,1657991714.1257653
COMBINED,COMBINED,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,2465907.4176678876,1761680844.0626602,265591.1261099391,131925927.04586089,2200316.2915579486,1629754917.0167994
COMBINED,COMBINED,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,470887.85384635045,492671866.6879061,133343.1777216111,141668300.76038778,337544.67612473934,351003565.92751837
COMBINED,COMBINED,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,-52976.588619342234,427958462.42978007,18087.484078905058,5548263.7548633395,-71064.07269824728,422410198.67491674
COMBINED,COMBINED,OGR,independent,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,413309.5925768326,481458842.8399799,103922.07704857373,99495191.73811868,309387.51552825887,381963651.1018612
COMBINED,COMBINED,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,1973149.8192220507,1984035820.858052,149961.06306602707,326044106.7322869,1823188.7561560238,1657991714.1257653
COMBINED,COMBINED,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,ATRDR,V27,2465907.4176678876,1761680844.0626602,265591.1261099391,131925927.04586089,2200316.2915579486,1629754917.0167994
COMBINED,COMBINED,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,MCB,MCB,470887.85384635045,492671866.6879061,133343.1777216111,141668300.76038778,337544.67612473934,351003565.92751837
COMBINED,COMBINED,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,-52976.588619342234,427958462.42978007,18087.484078905058,5548263.7548633395,-71064.07269824728,422410198.67491674
COMBINED,COMBINED,OGR,independent,2022_2023,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,413309.5925768326,481458842.8399799,103922.07704857373,99495191.73811868,309387.51552825887,381963651.1018612
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,7384750.687287774,4546460501.720381,675006.1289900822,439765995.92861354,6709744.558297691,4106694505.791767
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,11716329.493626507,4292327330.773003,429339.1318553141,195358490.83287326,11286990.361771194,4096968839.9401298
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,121122.06170489152,261501071.7462431,127079.74179284288,85110918.8496834,-5957.680087951365,176390152.8965597
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,4164799.4330456154,912954461.0570325,110169.46776510596,21108376.114237923,4054629.9652805096,891846084.9427946
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,615780.9612952934,1562156830.680961,260255.97808635223,242575910.3724443,355524.9832089412,1319580920.3085167
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,7384750.687287774,4546460501.720381,675006.1289900822,439765995.92861354,6709744.558297691,4106694505.791767
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,ATRDR,V27,11716329.493626507,4292327330.773003,429339.1318553141,195358490.83287326,11286990.361771194,4096968839.9401298
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,MCB,MCB,121122.06170489152,261501071.7462431,127079.74179284288,85110918.8496834,-5957.680087951365,176390152.8965597
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,OGR,FIXED_BELOW_L_REPAIR,4164799.4330456154,912954461.0570325,110169.46776510596,21108376.114237923,4054629.9652805096,891846084.9427946
COMBINED,COMBINED,OGR,confirmation_tag,2018_2021,G100,IDEALIZED_SCALING_BOUND,FULL_BOOK_NORMALIZATION,,SMV6,NATIVE_CALLBACK,615780.9612952934,1562156830.680961,260255.97808635223,242575910.3724443,355524.9832089412,1319580920.3085167
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,BULL,2193016.9907105025,2273770301.4771237,149961.06306602713,326044106.73228675,2043055.9276444751,1947726194.7448368
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,ATRDR,V27,2424940.598145178,1818361473.0590057,265591.126109939,131925927.04586086,2159349.472035239,1686435546.013145
COMBINED,COMBINED,OGR,confirmation_tag,2022_2023,G100,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,MCB,MCB,154909.7401277161,109122142.50881244,82291.4480411118,53241230.938592166,72618.2920866043,55880911.57022028
