scale,period,start,end,return_,CAGR,MaxDD,CVaR5,Sharpe,average_gross,P95_gross,cash_ratio,fees,turnover,worst_month,max_security,max_family,top5_day_concentration,top5_event_concentration,top5_symbol_concentration,net_pnl,max_gross,days_gross_gt25,days_gross_gt50,days_gross_gt75,days_gross_gt90,days_gross_ge99,trading_days
X3,2022,2022-01-01,2022-12-31,0.16138511086418927,0.16150412978531636,0.0715350914627747,0.01679948771697267,1.435928150839381,0.34294749167477084,0.9150009376523381,0.6570525083252291,290993.30114805663,12.023504118283466,-0.03923553802446833,0.05204276858887832,0.803185040120829,0.17311788024851765,0.12230413665533205,0.12230413665533206,1871400.6594340317,1.0,135,62,36,15,4,242
X3,2023,2023-01-01,2023-12-31,0.0918484742658594,0.09191419064544304,0.030836388877801824,0.010212166926718736,1.4138006192555004,0.2380022637188699,0.9329686818525407,0.7619977362811301,220511.28739157238,8.252193727639144,-0.008637674788718464,0.0544524763441963,0.9158882206548417,0.211655431406525,0.10146826041810551,0.11874335519530142,1236948.2022199612,0.9988901591658297,64,44,26,17,2,242
X3,2024,2024-01-01,2024-12-31,0.31898637479389835,0.3182382689118448,0.1202893290808783,0.017939932891396147,1.7694330129782145,0.30980963112956217,0.8651257737292989,0.6901903688704378,433270.7246294515,13.577599107118587,-0.05334055898762502,0.06873472185620157,0.7573830740735035,0.28965044892078784,0.1705186400553844,0.1705186400553844,4690445.259176901,1.0,117,51,29,9,2,242
X3,2025,2025-01-01,2025-12-31,0.1710450090740585,0.17117166245142412,0.04420430067850012,0.014997615300418227,1.6129577730954165,0.42033366127915334,0.9754792660829458,0.5796663387208467,553693.4864965144,14.879117418328864,-0.013807176961586731,0.06033481268681595,0.9703767053880584,0.1699570289294661,0.08874256459799526,0.10300814863240979,3317360.3881034367,1.0,137,91,54,26,9,243
X3,2026,2026-01-01,2026-09-04,0.19490002497290604,0.301228803486967,0.07598087383945562,0.013747722046427971,2.377516650167695,0.37242727246225854,0.8721470268281113,0.6275727275377414,488481.55312968465,15.32560469725429,-0.04026297396774525,0.05814536826393131,0.8306163368234566,0.22934116645333605,0.14316054058056407,0.14485412562804859,4426574.01586362,1.0,101,47,22,8,4,164
X5,2018,2018-01-01,2018-12-31,0.2986018656293121,0.2988342900848102,0.07596283149547867,0.023723658651781727,1.7726048145983089,0.4272379185391647,0.9995876812919109,0.5727620814608353,171544.99223903308,15.288877482704663,-0.0245968448550673,0.08475591410443305,0.9360811284274204,0.20825337752588843,0.1482296173971418,0.1483534289450488,1464577.0942819985,1.0,143,97,65,40,16,243
X5,2019,2019-01-01,2019-12-31,0.2580509503024806,0.2582487759770835,0.06340800735981333,0.01739187647665604,1.908549996259118,0.32291526550713123,1.0,0.6770847344928687,172398.45235066864,12.256218759960833,-0.03412443290407918,0.08430678471088066,0.9798538518508658,0.2617104670678367,0.12411291555495232,0.12568871560239428,1643619.2004352985,1.0,99,70,45,37,18,244
X5,2020,2020-01-01,2020-12-31,0.1899142173954531,0.18949030986096815,0.1033480951698551,0.023024320282857877,1.315417757617039,0.4180186990366653,0.9531307438961975,0.5819813009633348,231804.62690645258,14.484401199419993,-0.06505656694495987,0.0908038096128864,0.9098850110937405,0.19143582564599074,0.07709092556729885,0.08889977143429915,1521778.526383359,1.0,153,83,45,22,1,243
X5,2021,2021-01-01,2021-12-31,0.3626120065654017,0.36290080213565434,0.03300427100284531,0.010037679950941625,3.7615397242561635,0.3432260212646092,0.8655323972642637,0.6567739787353907,283762.792492953,14.171661711899263,0.0011846489164222263,0.09451072489022574,0.6966285285940225,0.15315676202566472,0.11078478695598769,0.1107847869559877,3457417.3498589788,1.0,143,64,25,12,2,243
X5,2022,2022-01-01,2022-12-31,0.153950049536689,0.15406322983054954,0.1107411246521608,0.02334126327766277,1.065998747983161,0.4435570488088398,0.9835307291707782,0.5564429511911602,411353.20861317567,15.377352069094375,-0.0629225699210485,0.08627705033417217,0.8699377067843976,0.17091118883270043,0.1629751369212285,0.1629751369212285,2000145.8770976216,1.0,150,103,51,34,8,242
