experiment,stage,route,policy,status,artifact,evidence
ATRDR_FAST_BEAR_CONTINUOUS_2014_2023_fixed_0.05,ACTUAL_CASH_RISK_REVIEW,ATRDR_FAST_BEAR,fixed_0.05,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
ATRDR_FAST_BEAR_CONTINUOUS_2014_2023_atr_3,ACTUAL_CASH_RISK_REVIEW,ATRDR_FAST_BEAR,atr_3,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
ATRDR_SLOW_BEAR_CONTINUOUS_2014_2023_fixed_0.03,ACTUAL_CASH_RISK_REVIEW,ATRDR_SLOW_BEAR,fixed_0.03,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
MCB_CONTINUOUS_2014_2023_fixed_0.05,ACTUAL_CASH_RISK_REVIEW,MCB,fixed_0.05,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
MCB_CONTINUOUS_2014_2023_fixed_0.03,ACTUAL_CASH_RISK_REVIEW,MCB,fixed_0.03,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
MCB_CONTINUOUS_2014_2023_profit_0,ACTUAL_CASH_RISK_REVIEW,MCB,profit_0,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
OGR_2018_2021_fixed_0.05,ACTUAL_CASH_RISK_REVIEW,OGR,fixed_0.05,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
OGR_2022_2023_fixed_0.05,ACTUAL_CASH_RISK_REVIEW,OGR,fixed_0.05,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
OGR_2018_2021_fixed_0.03,ACTUAL_CASH_RISK_REVIEW,OGR,fixed_0.03,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
OGR_2022_2023_fixed_0.03,ACTUAL_CASH_RISK_REVIEW,OGR,fixed_0.03,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
OGR_2018_2021_atr_1,ACTUAL_CASH_RISK_REVIEW,OGR,atr_1,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
OGR_2022_2023_atr_1,ACTUAL_CASH_RISK_REVIEW,OGR,atr_1,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
IFCGR_2018_2021_fixed_0.05,ACTUAL_CASH_RISK_REVIEW,IFCGR,fixed_0.05,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
IFCGR_2022_2023_fixed_0.05,ACTUAL_CASH_RISK_REVIEW,IFCGR,fixed_0.05,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
IFCGR_2018_2021_fixed_0.03,ACTUAL_CASH_RISK_REVIEW,IFCGR,fixed_0.03,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
IFCGR_2022_2023_fixed_0.03,ACTUAL_CASH_RISK_REVIEW,IFCGR,fixed_0.03,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
IFCGR_2018_2021_atr_1,ACTUAL_CASH_RISK_REVIEW,IFCGR,atr_1,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
IFCGR_2022_2023_atr_1,ACTUAL_CASH_RISK_REVIEW,IFCGR,atr_1,COMPUTED_RECONCILED,risk_account_comparison.csv,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
