route,segment,policy,period,profile,account_status,evidence,baseline_start,baseline_end,baseline_days,baseline_total_return,baseline_cagr,baseline_max_drawdown,baseline_sharpe,baseline_worst5_daily,baseline_worst_month,baseline_utilization,baseline_capital_days,start,end,days,total_return,cagr,max_drawdown,sharpe,worst5_daily,worst_month,utilization,capital_days,baseline_funded,baseline_closed,baseline_open_at_period_end,baseline_worst_trade,baseline_worst5_trade,baseline_below10,baseline_below20,baseline_below30,funded,closed,open_at_period_end,worst_trade,worst5_trade,below10,below20,below30,cagr_cost_pp,mdd_reduction_pp,worst_trade_reduction_pp
ATRDR_SLOW_BEAR,CONTINUOUS_2014_2023,fixed_0.03,CONSUMED_TEMPORAL,BEST_TAIL,QUARANTINED_PRODUCTION_PREFIX_DEFECT,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2021-01-04,2023-12-29,727,0.345908002286194,0.1047695251053035,-0.060708324023787,1.666534253709692,-0.0094665801093363,-0.0262368731316008,0.2057908468395071,149.60994565232167,2021-01-04,2023-12-29,727,0.3123820948618387,0.0954621042149221,-0.0556972768782081,1.6601994059130518,-0.0088327776745738,-0.0235431473755588,0.190668106948904,138.61571375185326,157,157,0,-0.18127499047213,-0.1447271147976518,8,0,0,160,160,0,-0.091972721224218,-0.0738950169859905,0,0,0,0.930742089038139,0.5011047145578873,8.930226924791196
MCB,CONTINUOUS_2014_2023,fixed_0.05,FULL_HISTORY,BEST_WORST_TRADE,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2023-12-29,2434,0.932287950987247,0.0681751566704262,-0.0512648606989545,1.3546872738118816,-0.006777625691446,-0.0213749529086477,0.1103374029957182,268.5612388915783,2014-01-02,2023-12-29,2434,0.6092504929690519,0.0487883467581728,-0.0607739678781465,1.122293978327261,-0.0057735584585144,-0.0223495014955016,0.0933869778634465,227.3039041196289,1010,1008,2,-0.2056378041463084,-0.1232311012764592,46,1,0,1026,1024,2,-0.1434331337325352,-0.099972835622041,18,0,0,1.9386809912253389,-0.9509107179192068,6.22046704137732
MCB,CONTINUOUS_2014_2023,fixed_0.05,DISCOVERY,BEST_WORST_TRADE,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2020-12-31,1707,0.686591004618162,0.0775865965862376,-0.0512648606989545,1.417059818602059,-0.0072289818216149,-0.0213749529086477,0.1046485903717433,178.63514376456584,2014-01-02,2020-12-31,1707,0.4470003717313431,0.0542407356276264,-0.0517748625225944,1.1497373234216115,-0.0061991324468814,-0.0223495014955016,0.086851158586268,148.2549277067595,716,714,2,-0.2056378041463084,-0.121331234701154,31,1,0,731,729,2,-0.1434331337325352,-0.1018974739503849,15,0,0,2.334586095861124,-0.0510001823639916,6.22046704137732
MCB,CONTINUOUS_2014_2023,fixed_0.05,CONSUMED_TEMPORAL,BEST_WORST_TRADE,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2021-01-04,2023-12-29,727,0.1456766612037701,0.0466690551898549,-0.0342062437639862,1.2087670411363354,-0.0055961622183796,-0.0074253310640892,0.1236947663370185,89.92609512701247,2021-01-04,2023-12-29,727,0.1121285967906018,0.0362877498390035,-0.0286726236543651,1.0803507845569682,-0.0046768965081631,-0.0091043921485182,0.1087331174867529,79.0489764128694,294,294,0,-0.1748016610457243,-0.1275204607189902,15,0,0,295,295,0,-0.1206249211613947,-0.0939938687994648,3,0,0,1.0381305350851466,0.5533620109621107,5.417673988432958
MCB,CONTINUOUS_2014_2023,fixed_0.03,FULL_HISTORY,BEST_TAIL,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2023-12-29,2434,0.932287950987247,0.0681751566704262,-0.0512648606989545,1.3546872738118816,-0.006777625691446,-0.0213749529086477,0.1103374029957182,268.5612388915783,2014-01-02,2023-12-29,2434,0.428828446299019,0.0363754730897984,-0.0675164034993709,0.9300738048705984,-0.0052269735024694,-0.0271574833023247,0.0888803024040189,216.334656051382,1010,1008,2,-0.2056378041463084,-0.1232311012764592,46,1,0,1031,1028,3,-0.1434331337325352,-0.0905626566354065,13,0,0,3.179968358062779,-1.6251542800416408,6.22046704137732
MCB,CONTINUOUS_2014_2023,fixed_0.03,DISCOVERY,BEST_TAIL,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2020-12-31,1707,0.686591004618162,0.0775865965862376,-0.0512648606989545,1.417059818602059,-0.0072289818216149,-0.0213749529086477,0.1046485903717433,178.63514376456584,2014-01-02,2020-12-31,1707,0.3218309584829528,0.0406931652598192,-0.0589099787238794,0.967954568164578,-0.0055137238827069,-0.0271574833023247,0.078970027854056,134.80183754687368,716,714,2,-0.2056378041463084,-0.121331234701154,31,1,0,733,730,3,-0.1434331337325352,-0.0945258868291997,11,0,0,3.6893431326418424,-0.7645118024924957,6.22046704137732
MCB,CONTINUOUS_2014_2023,fixed_0.03,CONSUMED_TEMPORAL,BEST_TAIL,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2021-01-04,2023-12-29,727,0.1456766612037701,0.0466690551898549,-0.0342062437639862,1.2087670411363354,-0.0055961622183796,-0.0074253310640892,0.1236947663370185,89.92609512701247,2021-01-04,2023-12-29,727,0.0809464229366128,0.0264502375420949,-0.0283740178410445,0.8400142919322686,-0.0043909675793464,-0.0077463693647795,0.1121496815742893,81.53281850450836,294,294,0,-0.1748016610457243,-0.1275204607189902,15,0,0,298,298,0,-0.1143971689105491,-0.0787803321589083,2,0,0,2.0218817647760012,0.5832225922941747,6.040449213517518
MCB,CONTINUOUS_2014_2023,profit_0,FULL_HISTORY,LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2023-12-29,2434,0.932287950987247,0.0681751566704262,-0.0512648606989545,1.3546872738118816,-0.006777625691446,-0.0213749529086477,0.1103374029957182,268.5612388915783,2014-01-02,2023-12-29,2434,0.7771779369136311,0.0592632298934894,-0.0470502130334341,1.3320744844711998,-0.0059697781343133,-0.0210014971602268,0.0980152721974632,238.56917252862553,1010,1008,2,-0.2056378041463084,-0.1232311012764592,46,1,0,1017,1015,2,-0.1724657068841041,-0.1117093185851596,30,0,0,0.8911926776936863,0.4214647665520377,3.317209726220427
MCB,CONTINUOUS_2014_2023,profit_0,DISCOVERY,LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2020-12-31,1707,0.686591004618162,0.0775865965862376,-0.0512648606989545,1.417059818602059,-0.0072289818216149,-0.0213749529086477,0.1046485903717433,178.63514376456584,2014-01-02,2020-12-31,1707,0.5544977071445063,0.0650960126530169,-0.0470502130334341,1.357214515166694,-0.0063579280446292,-0.0210014971602268,0.092119012729872,157.2471547298916,716,714,2,-0.2056378041463084,-0.121331234701154,31,1,0,723,721,2,-0.157871804431107,-0.1092247166233728,20,0,0,1.2490583933220778,0.4214647665520377,4.776599971520135
MCB,CONTINUOUS_2014_2023,profit_0,CONSUMED_TEMPORAL,LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2021-01-04,2023-12-29,727,0.1456766612037701,0.0466690551898549,-0.0342062437639862,1.2087670411363354,-0.0055961622183796,-0.0074253310640892,0.1236947663370185,89.92609512701247,2021-01-04,2023-12-29,727,0.1432489920993012,0.0459246571682849,-0.0298330915611531,1.2970730533050685,-0.0049453849635775,-0.0085132015651627,0.11185972186896,81.32201779873392,294,294,0,-0.1748016610457243,-0.1275204607189902,15,0,0,294,294,0,-0.1724657068841041,-0.115729292139657,10,0,0,0.0744398021570003,0.4373152202833186,0.2335954161620246
OGR,2018_2021,fixed_0.05,DISCOVERY,BEST_WORST_TRADE,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2018-01-02 00:00:00,2021-12-31 00:00:00,973,0.11016946776510506,0.026509267695544292,-0.014396305449991154,1.530228834703199,-0.0009751144625677508,-0.0029115411343262343,0.014693718271748106,14.296987878410908,2018-01-02 00:00:00,2021-12-31 00:00:00,973,0.09868435557145805,0.023840352409173038,-0.013838665125174066,1.480137148656993,-0.0007493768737993401,-0.002373942669358531,0.01203608702128282,11.711112671708184,255,255,0,-0.159393267253642,-0.10158149933120991,6,0,0,258,258,0,-0.10171861270776639,-0.08147993101598157,1,0,0,0.2668915286371254,0.0557640324817088,5.767465454587562
OGR,2022_2023,fixed_0.05,CONSUMED_TEMPORAL,BEST_WORST_TRADE,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2022-01-04 00:00:00,2023-12-29 00:00:00,484,0.016086318828260504,0.008083283292150023,-0.0043268833963773234,1.594949430203079,-0.0004806065158106465,-0.0011832680304707521,0.006688213103143842,3.2370951419216194,2022-01-04 00:00:00,2023-12-29 00:00:00,484,0.014717308024731812,0.007397843381541813,-0.00431254974829598,1.5616604542948238,-0.00039855405068298653,-0.0005287758479447513,0.005877966603641836,2.844935836162649,44,44,0,-0.15713443714989273,-0.08843582095627929,1,0,0,44,44,0,-0.08832069194943437,-0.07630366244917519,0,0,0,0.06854399106082099,0.0014333648081343853,6.881374520045835
OGR,2018_2021,fixed_0.03,DISCOVERY,BEST_TAIL,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2018-01-02 00:00:00,2021-12-31 00:00:00,973,0.11016946776510506,0.026509267695544292,-0.014396305449991154,1.530228834703199,-0.0009751144625677508,-0.0029115411343262343,0.014693718271748106,14.296987878410908,2018-01-02 00:00:00,2021-12-31 00:00:00,973,0.08636207700642862,0.020953536175359222,-0.013003679228288934,1.4222989847706302,-0.0006589704775331199,-0.0013945534989623365,0.010334802469485488,10.05576280280938,255,255,0,-0.159393267253642,-0.10158149933120991,6,0,0,269,269,0,-0.10171861270776628,-0.07242034472838428,1,0,0,0.555573152018507,0.139262622170222,5.7674654545875725
OGR,2022_2023,fixed_0.03,CONSUMED_TEMPORAL,BEST_TAIL,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2022-01-04 00:00:00,2023-12-29 00:00:00,484,0.016086318828260504,0.008083283292150023,-0.0043268833963773234,1.594949430203079,-0.0004806065158106465,-0.0011832680304707521,0.006688213103143842,3.2370951419216194,2022-01-04 00:00:00,2023-12-29 00:00:00,484,0.013977711693395234,0.007027349703137009,-0.004312662604447071,1.554977043842132,-0.0003446034312829749,-0.0003842005492507017,0.0050451205588789814,2.441838350497427,44,44,0,-0.15713443714989273,-0.08843582095627929,1,0,0,44,44,0,-0.061267610943678275,-0.05609788579499978,0,0,0,0.10559335890130139,0.001422079193025283,9.586682620621445
OGR,2018_2021,atr_1,DISCOVERY,LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2018-01-02 00:00:00,2021-12-31 00:00:00,973,0.11016946776510506,0.026509267695544292,-0.014396305449991154,1.530228834703199,-0.0009751144625677508,-0.0029115411343262343,0.014693718271748106,14.296987878410908,2018-01-02 00:00:00,2021-12-31 00:00:00,973,0.10050409789281178,0.024264614946891472,-0.013333553613674054,1.5012778149174992,-0.0007707126227775641,-0.001714814672982734,0.012297841556176723,11.965799834159952,255,255,0,-0.159393267253642,-0.10158149933120991,6,0,0,258,258,0,-0.10613832655775457,-0.0886928790837919,5,0,0,0.224465274865282,0.10627518363170996,5.325494069588743
OGR,2022_2023,atr_1,CONSUMED_TEMPORAL,LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2022-01-04 00:00:00,2023-12-29 00:00:00,484,0.016086318828260504,0.008083283292150023,-0.0043268833963773234,1.594949430203079,-0.0004806065158106465,-0.0011832680304707521,0.006688213103143842,3.2370951419216194,2022-01-04 00:00:00,2023-12-29 00:00:00,484,0.014028839152678385,0.00705296582032755,-0.0043125016029256225,1.4899349398931157,-0.0004002067759868444,-0.0006438021607643174,0.005738968213180431,2.777660615179329,44,44,0,-0.15713443714989273,-0.08843582095627929,1,0,0,44,44,0,-0.08832069194943437,-0.0820724359143602,0,0,0,0.10303174718224728,0.0014381793451700986,6.881374520045835
IFCGR,2018_2021,fixed_0.05,DISCOVERY,INHERITED_OGR:BEST_WORST_TRADE,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2018-01-02 00:00:00,2021-12-31 00:00:00,973,0.10517720814314258,0.025351719663980532,-0.015496829810301871,1.471782274402852,-0.0009659323586078615,-0.0029090663176787324,0.014448395651400124,14.05828896881232,2018-01-02 00:00:00,2021-12-31 00:00:00,973,0.09379018911527859,0.0226966859247133,-0.014899905100679511,1.419013862377118,-0.0007386096792115635,-0.002370899028619755,0.011805804207007498,11.487047493418295,248,248,0,-0.1593932672536421,-0.10158149933120987,6,0,0,251,251,0,-0.10171861270776639,-0.08147993101598151,1,0,0,0.2655033739267232,0.059692470962235955,5.7674654545875725
IFCGR,2022_2023,fixed_0.05,CONSUMED_TEMPORAL,INHERITED_OGR:BEST_WORST_TRADE,FROZEN_EXECUTION_MODEL_SIMULATION,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2022-01-04 00:00:00,2023-12-29 00:00:00,484,0.016086318828260504,0.008083283292150023,-0.0043268833963773234,1.594949430203079,-0.0004806065158106465,-0.0011832680304707521,0.006688213103143842,3.2370951419216194,2022-01-04 00:00:00,2023-12-29 00:00:00,484,0.014717308024731812,0.007397843381541813,-0.00431254974829598,1.5616604542948238,-0.00039855405068298653,-0.0005287758479447513,0.005877966603641836,2.844935836162649,44,44,0,-0.15713443714989273,-0.08843582095627929,1,0,0,44,44,0,-0.08832069194943437,-0.07630366244917519,0,0,0,0.06854399106082099,0.0014333648081343853,6.881374520045835
