route,case_id,pair_id,episode_id,symbol,entry_date,decision_at,age,current_pnl,mae_sofar,atr_entry_frac,native_time,native_net_return,exit_advantage_normalized,match_tier
ATRDR_SLOW_BEAR,CASE_44279,ATRDR_SLOW_BEAR_PAIR_2,ATRDR_SLOW_BEAR|CONTINUOUS_2014_2023|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180411|002048.SZ,002048.SZ,2018-04-12,2018-04-18 16:00:00,4.0,-0.030722891566265176,-0.05722891566265054,0.03656626506024097,2018-05-15 09:30:00,-0.15939326166943224,0.1358371659415785,PRIMARY
ATRDR_SLOW_BEAR,CASE_49233,ATRDR_SLOW_BEAR_PAIR_2,ATRDR_SLOW_BEAR|CONTINUOUS_2014_2023|V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20181022|002017.SZ,002017.SZ,2018-10-23,2018-10-29 16:00:00,4.0,-0.03201506591337122,-0.052730696798493404,0.037099811676082846,2018-11-13 16:00:00,0.09560878243512994,-0.13222529182879397,PRIMARY
MCB,CASE_18952,MCB_PAIR_1,MCB|CONTINUOUS_2014_2023|V72|V65|MEDIUM_PARTICIPATION|V53-20200709-300510.SZ,300510.SZ,2020-07-10,2020-07-15 16:00:00,3.0,-0.03541666666666676,-0.035416666666666874,0.028958333333333353,2020-08-03 09:30:00,0.07693363273453069,-0.12717494600431958,PRIMARY
MCB,CASE_27120,MCB_PAIR_1,MCB|CONTINUOUS_2014_2023|V72|V65|MEDIUM_PARTICIPATION|V53-20180522-300737.SZ,300737.SZ,2018-05-23,2018-05-28 16:00:00,3.0,-0.03533333333333322,-0.03599999999999981,0.028378231292517004,2018-06-14 09:30:00,-0.10226480372588143,0.06069384934346915,PRIMARY
MCB,CASE_39666,MCB_PAIR_2,MCB|CONTINUOUS_2014_2023|V72|V65|MEDIUM_PARTICIPATION|V53-20150122-603456.SH,603456.SH,2015-01-23,2015-01-30 16:00:00,5.0,-0.04189700320046552,-0.049170788478324234,0.03540878673261566,2015-02-17 09:30:00,0.060631138072995805,-0.12213604615851828,PRIMARY
MCB,CASE_93625,MCB_PAIR_2,MCB|CONTINUOUS_2014_2023|V72|V65|MEDIUM_PARTICIPATION|V53-20200304-002482.SZ,002482.SZ,2020-03-05,2020-03-12 16:00:00,5.0,-0.04255319148936154,-0.04728132387706829,0.035106382978723386,2020-03-27 09:30:00,-0.1170141985532479,0.032034567901234504,PRIMARY
OGR,CASE_31654,OGR_PAIR_1,OGR|2018_2021|603888.SH|2020-03-09,603888.SH,2020-03-25,2020-04-03 16:00:00,7.0,-0.04239084977191865,-0.08817296053979495,0.060110215804489574,2020-04-09 14:11:00,0.060184837527365254,-0.09145019920318728,PRIMARY
OGR,CASE_84370,OGR_PAIR_1,OGR|2018_2021|603579.SH|2018-08-06,603579.SH,2018-08-22,2018-08-31 16:00:00,7.0,-0.04095238095238107,-0.08590476190476182,0.06115238095238101,2018-09-20 09:30:00,-0.10794484900177326,0.05942135428048511,PRIMARY
OGR,CASE_09581,OGR_PAIR_2,OGR|2018_2021|300678.SZ|2018-10-08,300678.SZ,2018-10-23,2018-10-29 16:00:00,4.0,-0.04674909090909096,-0.062332110279799124,0.05354647863072669,2018-11-01 09:30:00,0.08913284203346916,-0.14345548932958205,PRIMARY
OGR,CASE_97306,OGR_PAIR_2,OGR|2018_2021|300501.SZ|2020-12-25,300501.SZ,2021-01-18,2021-01-22 16:00:00,4.0,-0.046327724722836416,-0.06779665035111382,0.05155367009421867,2021-02-23 09:30:00,-0.10303016027153666,0.039612584050797706,PRIMARY
SMV6,CASE_03919,SMV6_PAIR_1,SMV6|510180.SH|2019-09-16,510180.SH,2019-09-16,2019-09-20 16:00:00,4.0,-0.012273212430937264,-0.029430591915277082,0.014146427594441097,2019-09-30 15:00:00,-0.045090768257342706,0.018908420682181265,PRIMARY
SMV6,CASE_67244,SMV6_PAIR_1,SMV6|510500.SH|2019-12-18,510500.SH,2019-12-18,2019-12-24 16:00:00,4.0,-0.016589149697053385,-0.033437414136211485,0.013239289613270243,2020-01-23 15:00:00,0.026022334619308918,-0.04558472126899751,PRIMARY
SMV6,CASE_16196,SMV6_PAIR_2,SMV6|159928.SZ|2020-06-09,159928.SZ,2020-06-09,2020-06-15 16:00:00,4.0,-0.010869047347782379,-0.026980546285689355,0.017463714027338467,2020-07-24 15:00:00,0.20447906794832593,-0.21006378252082233,PRIMARY
SMV6,CASE_34998,SMV6_PAIR_2,SMV6|512100.SH|2021-11-30,512100.SH,2021-11-30,2021-12-06 16:00:00,4.0,-0.019276842941166827,-0.020153673042344167,0.014949953225077929,2021-12-24 15:00:00,-0.022783435954653042,0.0032407520680306366,PRIMARY
