X,Y,period,strategy,requests,funded_requests,positive_R1_requests,p50_registered_limit_use,p95_registered_limit_use,max_registered_limit_use,grade
X1.5,0.1,full,ATRDR,4957,2089,3186,0.14225871166916487,0.663749385073923,1.0000000000000002,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.1,full,MCB,2591,65,2591,0.14837119831727996,0.6154236607366651,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.1,full,OGR,507,375,507,0.17251872144128935,0.7239469475335297,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.1,full,SMV6,275,225,275,0.8757316524088249,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2018–2021,ATRDR,2054,887,1389,0.13971521171712342,0.6941031368111404,1.0000000000000002,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2018–2021,MCB,1064,39,1064,0.1370541703688756,0.6563861306643762,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2018–2021,OGR,349,217,349,0.14452281087279623,0.7685679272605853,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2018–2021,SMV6,104,84,104,0.8825631938449423,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2022–2023,ATRDR,731,435,540,0.16801109167213124,0.7201272705912456,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2022–2023,MCB,423,12,423,0.1259904018936183,0.5702610949586135,0.9999999999999999,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2022–2023,OGR,44,44,44,0.15077719232382653,0.6256417828719705,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2022–2023,SMV6,38,33,38,0.9990757855822552,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2024,ATRDR,1526,306,756,0.18370522013360985,0.6869049863259343,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2024,MCB,769,10,769,0.3629216845094956,0.5681556045299855,0.6042910562861001,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2024,OGR,53,53,53,0.36982747134300076,0.8004342251096295,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2024,SMV6,24,23,24,0.512329253148838,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2025,ATRDR,409,283,319,0.10132862771530729,0.44141574001450906,0.8212906406245566,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
