X,Y,old_CAGR,refreshed_history_CAGR,CAGR_revision_pp,old_MaxDD,refreshed_history_MaxDD,MaxDD_revision_pp,new_period_return,new_period_MaxDD,new_period_start,new_period_end
X2,0.2,0.18480180041547078,0.18485634569444964,0.005454527897885697,0.09554550280030738,0.09554550266556461,-1.3474277249514444e-08,-0.002924104244226733,0.005847389246673829,2026-09-07,2026-09-16
X2,0.3,0.18480180041547078,0.18485634569444964,0.005454527897885697,0.09554550280030738,0.09554550266556461,-1.3474277249514444e-08,-0.002924104244226733,0.005847389246673829,2026-09-07,2026-09-16
X3,0.1,0.2179581319282271,0.2180383003046802,0.00801683764530825,0.1202893290808783,0.12028932851829444,-5.625838683798179e-08,-0.00379352798266841,0.0076616882587065005,2026-09-07,2026-09-16
X3,0.15,0.2179581319282271,0.2180383003046802,0.00801683764530825,0.1202893290808783,0.12028932851829444,-5.625838683798179e-08,-0.00379352798266841,0.0076616882587065005,2026-09-07,2026-09-16
X3,0.2,0.2179581319282271,0.2180383003046802,0.00801683764530825,0.1202893290808783,0.12028932851829444,-5.625838683798179e-08,-0.00379352798266841,0.0076616882587065005,2026-09-07,2026-09-16
X3,0.3,0.2179581319282271,0.2180383003046802,0.00801683764530825,0.1202893290808783,0.12028932851829444,-5.625838683798179e-08,-0.00379352798266841,0.0076616882587065005,2026-09-07,2026-09-16
X5,0.1,0.24101324200299157,0.24113248799671072,0.011924599371915257,0.13180713770885177,0.13180713740172312,-3.07128655840927e-08,-0.006868279253417597,0.011514621345008358,2026-09-07,2026-09-16
X5,0.15,0.24101324200299157,0.24113248799671072,0.011924599371915257,0.13180713770885177,0.13180713740172312,-3.07128655840927e-08,-0.006868279253417597,0.011514621345008358,2026-09-07,2026-09-16
X5,0.2,0.24101324200299157,0.24113248799671072,0.011924599371915257,0.13180713770885177,0.13180713740172312,-3.07128655840927e-08,-0.006868279253417597,0.011514621345008358,2026-09-07,2026-09-16
X5,0.3,0.24101324200299157,0.24113248799671072,0.011924599371915257,0.13180713770885177,0.13180713740172312,-3.07128655840927e-08,-0.006868279253417597,0.011514621345008358,2026-09-07,2026-09-16
X8,0.1,0.24625682920568526,0.24690630579757622,0.06494765918909629,0.1540637439025726,0.15375826429944417,-0.030547960312843347,-0.009974949639523056,0.014658433670990179,2026-09-07,2026-09-16
X8,0.15,0.25059755917770365,0.2508273749211478,0.022981574344416167,0.15983597755514967,0.1597283996236768,-0.010757793147286865,-0.009751969242130842,0.015415677288433183,2026-09-07,2026-09-16
X8,0.2,0.25059755917770365,0.2508273749211478,0.022981574344416167,0.15983597755514967,0.1597283996236768,-0.010757793147286865,-0.009751969242130842,0.015415677288433183,2026-09-07,2026-09-16
X8,0.3,0.25059755917770365,0.2508273749211478,0.022981574344416167,0.15983597755514967,0.1597283996236768,-0.010757793147286865,-0.009751969242130842,0.015415677288433183,2026-09-07,2026-09-16
X10,0.1,0.24407863154759069,0.24423761675818856,0.015898521059787285,0.16752205450058055,0.16745475395728426,-0.006730054329628921,-0.011837570302714817,0.015766643640322653,2026-09-07,2026-09-16
X10,0.15,0.25297869904535175,0.25329224245910975,0.031354341375799955,0.1756263966930225,0.17549298020088233,-0.013341649214015927,-0.011208839214097543,0.01778705273062431,2026-09-07,2026-09-16
X10,0.2,0.25391517152828413,0.2542489878539833,0.03338163256991766,0.17525454297544263,0.17511449419661362,-0.014004877882900502,-0.011183940104650514,0.01775107279424981,2026-09-07,2026-09-16
X10,0.3,0.25391517152828413,0.2542489878539833,0.03338163256991766,0.17525454297544263,0.17511449419661362,-0.014004877882900502,-0.011183940104650514,0.01775107279424981,2026-09-07,2026-09-16
MAX_FILL,0.1,0.22597589724223854,0.2260155287517538,0.003963150951524774,0.21219547216151102,0.21219055370957063,-0.0004918451940394419,-0.014045141587960552,0.018417564398859443,2026-09-07,2026-09-16
MAX_FILL,0.15,0.20952333944452972,0.20997315329911115,0.044981385458142675,0.2794345612660307,0.279214332498133,-0.022022876789773438,-0.015154715344339764,0.025353802888568144,2026-09-07,2026-09-16
MAX_FILL,0.2,0.19133354830742433,0.19362431571897343,0.22907674115490995,0.35183367236882246,0.35008932842139795,-0.17443439474245093,-0.011228505298519487,0.024842979392310505,2026-09-07,2026-09-16
MAX_FILL,0.3,0.165969238440139,0.16610070324571313,0.013146480557413298,0.3912496858106499,0.3913657408826221,0.011605507197220977,-0.00211260126181001,0.023279107737662952,2026-09-07,2026-09-16
