X,Y,start,end,return_,CAGR,MaxDD,CVaR5,Sharpe,average_gross,P95_gross,cash_ratio,fees,turnover,worst_month,max_security,max_family,top5_day_concentration,top5_event_concentration,top5_symbol_concentration,net_pnl,max_gross,trading_days,days_gross_gt25,days_gross_gt50,days_gross_gt75,days_gross_gt90,days_gross_ge99
X3,0.2,2018-01-01,2026-09-16,4.515248129032892,0.21660127368929105,0.12028932851829444,0.016083107904717793,1.8185450033882975,0.32033721563704676,0.9318353648615664,0.6796627843629532,2662140.3616831573,12.589755650744031,-0.05334055879213906,0.06873472094440931,0.9703755234282095,0.04916746737928297,0.04090808163728435,0.04106758979497082,22146308.3321475,1.0,2114,997,513,299,142,35
X3,0.3,2018-01-01,2026-09-16,4.515248129032892,0.21660127368929105,0.12028932851829444,0.016083107904717793,1.8185450033882975,0.32033721563704676,0.9318353648615664,0.6796627843629532,2662140.3616831573,12.589755650744031,-0.05334055879213906,0.06873472094440931,0.9703755234282095,0.04916746737928297,0.04090808163728435,0.04106758979497082,22146308.3321475,1.0,2114,997,513,299,142,35
X5,0.1,2018-01-01,2026-09-16,5.471373173245177,0.23914047883652767,0.13180713740172312,0.019727154636596824,1.6661656680816077,0.39428117507203386,0.9797281853337192,0.6057188249279661,3590510.3920678715,15.273284730642128,-0.06505656694495987,0.1029292190599957,1.0,0.043149938691985655,0.051915096138247616,0.0556504924054234,26835893.362272695,1.0,2114,1210,722,401,225,86
X5,0.15,2018-01-01,2026-09-16,5.471373173245177,0.23914047883652767,0.13180713740172312,0.019727154636596824,1.6661656680816077,0.39428117507203386,0.9797281853337192,0.6057188249279661,3590510.3920678715,15.273284730642128,-0.06505656694495987,0.1029292190599957,1.0,0.043149938691985655,0.051915096138247616,0.0556504924054234,26835893.362272695,1.0,2114,1210,722,401,225,86
X5,0.2,2018-01-01,2026-09-16,5.471373173245177,0.23914047883652767,0.13180713740172312,0.019727154636596824,1.6661656680816077,0.39428117507203386,0.9797281853337192,0.6057188249279661,3590510.3920678715,15.273284730642128,-0.06505656694495987,0.1029292190599957,1.0,0.043149938691985655,0.051915096138247616,0.0556504924054234,26835893.362272695,1.0,2114,1210,722,401,225,86
X5,0.3,2018-01-01,2026-09-16,5.471373173245177,0.23914047883652767,0.13180713740172312,0.019727154636596824,1.6661656680816077,0.39428117507203386,0.9797281853337192,0.6057188249279661,3590510.3920678715,15.273284730642128,-0.06505656694495987,0.1029292190599957,1.0,0.043149938691985655,0.051915096138247616,0.0556504924054234,26835893.362272695,1.0,2114,1210,722,401,225,86
X8,0.1,2018-01-01,2026-09-16,5.716210403120907,0.2444354729494982,0.15375826429944417,0.022033933703934156,1.545141997329954,0.4400052032824902,0.9981115308539723,0.5599947967175098,4267695.828196863,17.09645472336463,-0.0872999357809926,0.11589820240449455,1.0,0.0417187588409845,0.05033614134860408,0.05723880915813949,28036766.63192801,1.0,2114,1319,865,528,297,119
X8,0.15,2018-01-01,2026-09-16,5.903234874122761,0.24836626665078199,0.1597283996236768,0.02244466061050861,1.527783481246284,0.44854130681048354,0.9998665078591695,0.5514586931895165,4387275.530630674,17.414859228152586,-0.08745889516790228,0.14930835366194087,1.0,0.043094015654621426,0.05777239080948033,0.0659103559323362,28954080.915019467,1.0,2114,1347,888,544,310,131
X8,0.2,2018-01-01,2026-09-16,5.903234874122761,0.24836626665078199,0.1597283996236768,0.02244466061050861,1.527783481246284,0.44854130681048354,0.9998665078591695,0.5514586931895165,4387275.530630674,17.414859228152586,-0.08745889516790228,0.14930835366194087,1.0,0.043094015654621426,0.05777239080948033,0.0659103559323362,28954080.915019467,1.0,2114,1347,888,544,310,131
X8,0.3,2018-01-01,2026-09-16,5.903234874122761,0.24836626665078199,0.1597283996236768,0.02244466061050861,1.527783481246284,0.44854130681048354,0.9998665078591695,0.5514586931895165,4387275.530630674,17.414859228152586,-0.08745889516790228,0.14930835366194087,1.0,0.043094015654621426,0.05777239080948033,0.0659103559323362,28954080.915019467,1.0,2114,1347,888,544,310,131
X10,0.1,2018-01-01,2026-09-16,5.580111437510418,0.2415136287013162,0.16745475395728426,0.0228878124076759,1.4916159918313594,0.4565221183623491,0.9999819595431004,0.5434778816376509,4428638.100222637,17.684660415424286,-0.09716569451714696,0.11688277250084177,1.0,0.04040633106917418,0.048898479588915945,0.05547297378343634,27369230.85760019,1.0,2114,1355,925,555,329,137
X10,0.15,2018-01-01,2026-09-16,6.011827225340996,0.25060555852011746,0.17549298020088233,0.023797553077735126,1.4718183280691937,0.47016130495963915,1.0,0.5298386950403609,4663899.747939764,18.24423255095098,-0.0960559382359023,0.17109425703258485,1.0000000000000002,0.043236048236642316,0.05955311506471076,0.07010468012017627,29486702.73864159,1.0000000000000002,2114,1395,966,603,356,161
X10,0.2,2018-01-01,2026-09-16,6.058582877678965,0.2515602687725358,0.17511449419661362,0.023923011012907246,1.4705899906306954,0.4701051130498666,1.0,0.5298948869501334,4673524.120147365,18.25112091616371,-0.0957488759412195,0.179920874511862,1.0,0.04304335207944145,0.06102994382578193,0.0721315641297016,29716029.026667573,1.0,2114,1393,972,602,353,155
X10,0.3,2018-01-01,2026-09-16,6.058582877678965,0.2515602687725358,0.17511449419661362,0.023923011012907246,1.4705899906306954,0.4701051130498666,1.0,0.5298948869501334,4673524.120147365,18.25112091616371,-0.0957488759412195,0.179920874511862,1.0,0.04304335207944145,0.06102994382578193,0.0721315641297016,29716029.026667573,1.0,2114,1393,972,602,353,155
MAX_FILL,0.1,2018-01-01,2026-09-16,4.776571112521006,0.2230853904594301,0.21219055370957063,0.02435339566532889,1.3358419512643336,0.4849982215874673,1.0,0.5150017784125327,4494826.1442054855,18.581566719745528,-0.1297615800220936,0.119122027501414,1.0,0.038650796204822736,0.047808652735387425,0.05461558216280659,23428040.631507106,1.0,2114,1434,984,649,361,167
MAX_FILL,0.15,2018-01-01,2026-09-16,4.146961318204557,0.20698527103527464,0.279214332498133,0.02656319106422661,1.1647284474779158,0.5207859064115767,1.0,0.4792140935884231,4617812.305453371,19.654907183097105,-0.1660494917373061,0.18088890032543797,1.0,0.03959612569442797,0.05120795031163813,0.06482446540817173,20339941.76397962,1.0,2114,1480,1090,759,440,230
MAX_FILL,0.2,2018-01-01,2026-09-16,3.5921798033106365,0.19128201663521938,0.35008932842139795,0.02792416872948319,1.0421345310808856,0.5421369122431471,1.0,0.4578630877568529,4512662.388367017,20.297905195439427,-0.199245150030941,0.22654049995850997,1.0,0.04024155824821848,0.05730829272282065,0.0706991377084704,17618859.304121934,1.0000000000000002,2114,1500,1140,803,515,272
MAX_FILL,0.3,2018-01-01,2026-09-16,2.785299070790882,0.16514195896399775,0.3913657408826221,0.03091509426896628,0.8608746808272952,0.5712072453163212,1.0,0.42879275468367883,4196636.140772474,21.389850215666026,-0.2522696224151668,0.3378219920751831,1.0,0.03724853637238729,0.07021547881422208,0.08534781363073113,13661285.106869807,1.0000000000000002,2114,1589,1253,836,614,377
