baseline_block,trade_id,symbol,entry_signal_date,feature_available_at,candidate_count,vacancies_before_selection,selection_pressure,selected_rank,selected_rank_percentile,selected_rs_score,cutoff_rs_score,selected_margin_to_cutoff,selection_lineage_id,entry_year
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300357.SZ-002,300357.SZ,2025-07-16,2025-07-16T15:30:00+08:00,10,2,5,2,0.888888888889,0.727842227378,0.625522041763,0.102320185615,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300371.SZ-001,300371.SZ,2025-09-22,2025-09-22T15:30:00+08:00,5,2,2.5,1,1,0.771473684211,0.697578947368,0.0738947368421,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300377.SZ-001,300377.SZ,2024-09-24,2024-09-24T15:30:00+08:00,8,10,0.8,1,1,0.906806282723,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300404.SZ-001,300404.SZ,2024-12-09,2024-12-09T15:30:00+08:00,3,5,0.6,3,0,0.512358276644,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300433.SZ-001,300433.SZ,2024-05-06,2024-05-06T15:30:00+08:00,1,5,0.2,1,1,0.804948453608,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300437.SZ-001,300437.SZ,2025-11-06,2025-11-06T15:30:00+08:00,5,3,1.66666666667,1,1,0.857228195938,0.595459976105,0.261768219833,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300440.SZ-001,300440.SZ,2025-06-16,2025-06-16T15:30:00+08:00,1,1,1,1,1,0.835705045278,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300442.SZ-001,300442.SZ,2024-09-24,2024-09-24T15:30:00+08:00,8,10,0.8,8,0,0.492146596859,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300452.SZ-001,300452.SZ,2025-06-03,2025-06-03T15:30:00+08:00,2,8,0.25,2,0,0.650673854447,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300457.SZ-001,300457.SZ,2025-08-28,2025-08-28T15:30:00+08:00,5,2,2.5,1,1,0.675572519084,0.515458015267,0.160114503817,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300459.SZ-001,300459.SZ,2024-09-25,2024-09-25T15:30:00+08:00,2,2,1,2,0,0.528571428571,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300479.SZ-001,300479.SZ,2024-12-10,2024-12-10T15:30:00+08:00,5,2,2.5,1,1,0.762272727273,0.567840909091,0.194431818182,L_CONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300479.SZ-002,300479.SZ,2025-06-23,2025-06-23T15:30:00+08:00,7,10,0.7,7,0,0.527590673575,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300487.SZ-001,300487.SZ,2024-09-24,2024-09-24T15:30:00+08:00,8,10,0.8,6,0.285714285714,0.675654450262,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300490.SZ-001,300490.SZ,2025-09-25,2025-09-25T15:30:00+08:00,2,1,2,1,1,0.729490022173,0.55243902439,0.177050997783,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300494.SZ-001,300494.SZ,2025-08-28,2025-08-28T15:30:00+08:00,5,2,2.5,2,0.75,0.541221374046,0.515458015267,0.0257633587786,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300497.SZ-001,300497.SZ,2025-11-06,2025-11-06T15:30:00+08:00,5,3,1.66666666667,3,0.5,0.666188769415,0.595459976105,0.0707287933094,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300522.SZ-001,300522.SZ,2025-05-29,2025-05-29T15:30:00+08:00,2,10,0.2,1,1,0.604958677686,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300551.SZ-001,300551.SZ,2025-09-22,2025-09-22T15:30:00+08:00,5,2,2.5,2,0.75,0.733473684211,0.697578947368,0.0358947368421,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300576.SZ-001,300576.SZ,2025-12-01,2025-12-01T15:30:00+08:00,1,10,0.1,1,1,0.624501758499,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300595.SZ-001,300595.SZ,2025-07-23,2025-07-23T15:30:00+08:00,11,1,11,1,1,0.638143176734,0.59485458613,0.043288590604,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300627.SZ-001,300627.SZ,2025-02-07,2025-02-07T15:30:00+08:00,1,8,0.125,1,1,0.722528363047,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300627.SZ-002,300627.SZ,2025-06-24,2025-06-24T15:30:00+08:00,15,3,5,2,0.928571428571,0.760179257362,0.713316261204,0.0468629961588,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300632.SZ-001,300632.SZ,2024-12-09,2024-12-09T15:30:00+08:00,3,5,0.6,1,1,0.624716553288,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300635.SZ-001,300635.SZ,2024-12-06,2024-12-06T15:30:00+08:00,2,7,0.285714285714,1,1,0.828233970754,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300670.SZ-001,300670.SZ,2025-09-30,2025-09-30T15:30:00+08:00,1,1,1,1,1,0.568028004667,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300679.SZ-001,300679.SZ,2024-04-26,2024-04-26T15:30:00+08:00,3,10,0.3,1,1,0.817463617464,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300702.SZ-001,300702.SZ,2025-04-25,2025-04-25T15:30:00+08:00,1,10,0.1,1,1,0.847457627119,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300710.SZ-001,300710.SZ,2025-11-03,2025-11-03T15:30:00+08:00,2,7,0.285714285714,2,0,0.718459657702,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300733.SZ-001,300733.SZ,2024-12-20,2024-12-20T15:30:00+08:00,4,10,0.4,4,0,0.437166085947,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300733.SZ-002,300733.SZ,2025-02-06,2025-02-06T15:30:00+08:00,1,9,0.111111111111,1,1,0.724337748344,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300748.SZ-001,300748.SZ,2025-06-11,2025-06-11T15:30:00+08:00,2,1,2,1,1,0.737852348993,0.670738255034,0.0671140939597,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300758.SZ-001,300758.SZ,2025-02-11,2025-02-11T15:30:00+08:00,3,7,0.428571428571,2,0.5,0.558018867925,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300760.SZ-001,300760.SZ,2024-03-11,2024-03-11T15:30:00+08:00,2,10,0.2,2,0,0.734862385321,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300763.SZ-001,300763.SZ,2025-08-29,2025-08-29T15:30:00+08:00,10,2,5,2,0.888888888889,0.748615090735,0.666475644699,0.0821394460363,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300770.SZ-001,300770.SZ,2024-05-13,2024-05-13T15:30:00+08:00,1,1,1,1,1,0.782978723404,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300770.SZ-002,300770.SZ,2025-06-09,2025-06-09T15:30:00+08:00,1,4,0.25,1,1,0.59625167336,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300775.SZ-001,300775.SZ,2024-05-09,2024-05-09T15:30:00+08:00,3,4,0.75,1,1,0.825393700787,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300779.SZ-001,300779.SZ,2025-02-12,2025-02-12T15:30:00+08:00,2,4,0.5,1,1,0.667751937984,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300788.SZ-001,300788.SZ,2025-02-11,2025-02-11T15:30:00+08:00,3,7,0.428571428571,1,1,0.656603773585,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300790.SZ-001,300790.SZ,2024-12-09,2024-12-09T15:30:00+08:00,3,5,0.6,2,0.5,0.539455782313,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300796.SZ-001,300796.SZ,2024-04-26,2024-04-26T15:30:00+08:00,3,10,0.3,2,0.5,0.792515592516,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300801.SZ-001,300801.SZ,2025-06-23,2025-06-23T15:30:00+08:00,7,10,0.7,1,1,0.895077720207,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300803.SZ-001,300803.SZ,2024-09-24,2024-09-24T15:30:00+08:00,8,10,0.8,3,0.714285714286,0.826178010471,,,L_UNCONTESTED,2024
