trade_id,baseline_block,symbol,entry_signal_date,entry_execution_date,entry_year,feature_available_at,lineage_id,neighbor_lineage_id,base_repair_score,breakout_acceptance_score,assignment_margin
DEVELOPMENT_2024_2025:300758.SZ-001,DEVELOPMENT_2024_2025,300758.SZ,2025-02-11,2025-02-12,2025,2025-02-11T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0.913242009132,0.429223744292,0.0707762557078
DEVELOPMENT_2024_2025:300760.SZ-001,DEVELOPMENT_2024_2025,300760.SZ,2024-03-11,2024-03-12,2024,2024-03-11T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.877192982456,0.517543859649,0.0175438596491
DEVELOPMENT_2024_2025:300763.SZ-001,DEVELOPMENT_2024_2025,300763.SZ,2025-08-29,2025-09-01,2025,2025-08-29T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0.694063926941,0.342465753425,0.157534246575
DEVELOPMENT_2024_2025:300770.SZ-001,DEVELOPMENT_2024_2025,300770.SZ,2024-05-13,2024-05-14,2024,2024-05-13T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.175438596491,0.271929824561,0.228070175439
DEVELOPMENT_2024_2025:300770.SZ-002,DEVELOPMENT_2024_2025,300770.SZ,2025-06-09,2025-06-10,2025,2025-06-09T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.159817351598,0.283105022831,0.216894977169
DEVELOPMENT_2024_2025:300775.SZ-001,DEVELOPMENT_2024_2025,300775.SZ,2024-05-09,2024-05-10,2024,2024-05-09T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.517543859649,0.872807017544,0.0175438596491
DEVELOPMENT_2024_2025:300779.SZ-001,DEVELOPMENT_2024_2025,300779.SZ,2025-02-12,2025-02-13,2025,2025-02-12T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0.625570776256,0.0456621004566,0.125570776256
DEVELOPMENT_2024_2025:300788.SZ-001,DEVELOPMENT_2024_2025,300788.SZ,2025-02-11,2025-02-12,2025,2025-02-11T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.575342465753,0.146118721461,0.0753424657534
DEVELOPMENT_2024_2025:300790.SZ-001,DEVELOPMENT_2024_2025,300790.SZ,2024-12-09,2024-12-10,2024,2024-12-09T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.526315789474,0.263157894737,0.0263157894737
DEVELOPMENT_2024_2025:300796.SZ-001,DEVELOPMENT_2024_2025,300796.SZ,2024-04-26,2024-04-29,2024,2024-04-26T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.228070175439,0.570175438596,0.0701754385965
DEVELOPMENT_2024_2025:300801.SZ-001,DEVELOPMENT_2024_2025,300801.SZ,2025-06-23,2025-06-24,2025,2025-06-23T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.168949771689,0.739726027397,0.239726027397
DEVELOPMENT_2024_2025:300803.SZ-001,DEVELOPMENT_2024_2025,300803.SZ,2024-09-24,2024-09-25,2024,2024-09-24T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.324561403509,0.671052631579,0.171052631579
