trade_id,baseline_block,symbol,entry_signal_date,entry_year,support_lineage_id,neighbor_support_lineage_id
DEVELOPMENT_2024_2025:300763.SZ-001,DEVELOPMENT_2024_2025,300763.SZ,2025-08-29,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300770.SZ-001,DEVELOPMENT_2024_2025,300770.SZ,2024-05-13,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300770.SZ-002,DEVELOPMENT_2024_2025,300770.SZ,2025-06-09,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300775.SZ-001,DEVELOPMENT_2024_2025,300775.SZ,2024-05-09,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300779.SZ-001,DEVELOPMENT_2024_2025,300779.SZ,2025-02-12,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300788.SZ-001,DEVELOPMENT_2024_2025,300788.SZ,2025-02-11,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300790.SZ-001,DEVELOPMENT_2024_2025,300790.SZ,2024-12-09,2024,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300796.SZ-001,DEVELOPMENT_2024_2025,300796.SZ,2024-04-26,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300801.SZ-001,DEVELOPMENT_2024_2025,300801.SZ,2025-06-23,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300803.SZ-001,DEVELOPMENT_2024_2025,300803.SZ,2024-09-24,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300827.SZ-001,DEVELOPMENT_2024_2025,300827.SZ,2025-09-03,2025,L_SUPPORT_HELD,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300863.SZ-001,DEVELOPMENT_2024_2025,300863.SZ,2025-06-23,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300910.SZ-001,DEVELOPMENT_2024_2025,300910.SZ,2025-01-23,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300919.SZ-001,DEVELOPMENT_2024_2025,300919.SZ,2024-03-11,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300938.SZ-001,DEVELOPMENT_2024_2025,300938.SZ,2025-10-29,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300945.SZ-001,DEVELOPMENT_2024_2025,300945.SZ,2024-12-02,2024,L_SUPPORT_HELD,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300947.SZ-001,DEVELOPMENT_2024_2025,300947.SZ,2025-03-17,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:300971.SZ-001,DEVELOPMENT_2024_2025,300971.SZ,2024-12-05,2024,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:300987.SZ-001,DEVELOPMENT_2024_2025,300987.SZ,2025-06-12,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:301048.SZ-001,DEVELOPMENT_2024_2025,301048.SZ,2025-06-10,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:301048.SZ-002,DEVELOPMENT_2024_2025,301048.SZ,2025-08-08,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:301052.SZ-001,DEVELOPMENT_2024_2025,301052.SZ,2025-06-10,2025,L_SUPPORT_HELD,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:301083.SZ-001,DEVELOPMENT_2024_2025,301083.SZ,2025-11-05,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:301093.SZ-001,DEVELOPMENT_2024_2025,301093.SZ,2025-06-23,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:301096.SZ-001,DEVELOPMENT_2024_2025,301096.SZ,2025-07-30,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:301096.SZ-002,DEVELOPMENT_2024_2025,301096.SZ,2025-11-03,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:301141.SZ-001,DEVELOPMENT_2024_2025,301141.SZ,2025-06-04,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:301165.SZ-001,DEVELOPMENT_2024_2025,301165.SZ,2025-06-24,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:301182.SZ-001,DEVELOPMENT_2024_2025,301182.SZ,2025-09-03,2025,L_SUPPORT_HELD,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:301188.SZ-001,DEVELOPMENT_2024_2025,301188.SZ,2025-05-19,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:301213.SZ-001,DEVELOPMENT_2024_2025,301213.SZ,2024-12-20,2024,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:301213.SZ-002,DEVELOPMENT_2024_2025,301213.SZ,2025-02-17,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:301217.SZ-001,DEVELOPMENT_2024_2025,301217.SZ,2025-03-14,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:301230.SZ-001,DEVELOPMENT_2024_2025,301230.SZ,2024-12-06,2024,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:301238.SZ-001,DEVELOPMENT_2024_2025,301238.SZ,2025-06-23,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:301285.SZ-001,DEVELOPMENT_2024_2025,301285.SZ,2025-10-29,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:301301.SZ-001,DEVELOPMENT_2024_2025,301301.SZ,2024-04-29,2024,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:301301.SZ-002,DEVELOPMENT_2024_2025,301301.SZ,2025-05-15,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:301361.SZ-001,DEVELOPMENT_2024_2025,301361.SZ,2025-02-12,2025,L_SUPPORT_HELD,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:301498.SZ-001,DEVELOPMENT_2024_2025,301498.SZ,2024-12-02,2024,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:301498.SZ-002,DEVELOPMENT_2024_2025,301498.SZ,2024-12-20,2024,L_SUPPORT_BROKEN,L_SUPPORT_HELD
DEVELOPMENT_2024_2025:301577.SZ-001,DEVELOPMENT_2024_2025,301577.SZ,2025-11-04,2025,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
DEVELOPMENT_2024_2025:301611.SZ-001,DEVELOPMENT_2024_2025,301611.SZ,2025-09-24,2025,L_SUPPORT_BROKEN,L_SUPPORT_HELD
EXTENDED_2018_2021:300001.SZ-001,EXTENDED_2018_2021,300001.SZ,2020-06-12,2020,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300002.SZ-001,EXTENDED_2018_2021,300002.SZ,2021-11-17,2021,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300002.SZ-002,EXTENDED_2018_2021,300002.SZ,2021-12-14,2021,L_SUPPORT_BROKEN,L_SUPPORT_HELD
EXTENDED_2018_2021:300007.SZ-001,EXTENDED_2018_2021,300007.SZ,2020-06-16,2020,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300009.SZ-001,EXTENDED_2018_2021,300009.SZ,2021-04-08,2021,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300010.SZ-001,EXTENDED_2018_2021,300010.SZ,2019-10-28,2019,L_SUPPORT_BROKEN,L_SUPPORT_HELD
EXTENDED_2018_2021:300012.SZ-001,EXTENDED_2018_2021,300012.SZ,2019-02-11,2019,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300012.SZ-002,EXTENDED_2018_2021,300012.SZ,2021-01-07,2021,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300014.SZ-001,EXTENDED_2018_2021,300014.SZ,2018-05-11,2018,L_SUPPORT_BROKEN,L_SUPPORT_HELD
EXTENDED_2018_2021:300015.SZ-001,EXTENDED_2018_2021,300015.SZ,2019-08-28,2019,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300015.SZ-002,EXTENDED_2018_2021,300015.SZ,2020-12-25,2020,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300015.SZ-003,EXTENDED_2018_2021,300015.SZ,2020-12-30,2020,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300017.SZ-001,EXTENDED_2018_2021,300017.SZ,2021-09-15,2021,L_SUPPORT_BROKEN,L_SUPPORT_HELD
EXTENDED_2018_2021:300020.SZ-001,EXTENDED_2018_2021,300020.SZ,2019-08-19,2019,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300020.SZ-002,EXTENDED_2018_2021,300020.SZ,2020-06-15,2020,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300027.SZ-001,EXTENDED_2018_2021,300027.SZ,2019-02-25,2019,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300033.SZ-001,EXTENDED_2018_2021,300033.SZ,2019-02-11,2019,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300034.SZ-001,EXTENDED_2018_2021,300034.SZ,2019-08-30,2019,L_SUPPORT_BROKEN,L_SUPPORT_HELD
EXTENDED_2018_2021:300036.SZ-001,EXTENDED_2018_2021,300036.SZ,2019-12-10,2019,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300037.SZ-001,EXTENDED_2018_2021,300037.SZ,2019-02-14,2019,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300037.SZ-002,EXTENDED_2018_2021,300037.SZ,2019-11-07,2019,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300037.SZ-003,EXTENDED_2018_2021,300037.SZ,2020-06-16,2020,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300041.SZ-001,EXTENDED_2018_2021,300041.SZ,2019-11-20,2019,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300042.SZ-001,EXTENDED_2018_2021,300042.SZ,2021-04-16,2021,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300044.SZ-001,EXTENDED_2018_2021,300044.SZ,2020-08-06,2020,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300044.SZ-002,EXTENDED_2018_2021,300044.SZ,2020-08-27,2020,L_SUPPORT_BROKEN,L_SUPPORT_HELD
EXTENDED_2018_2021:300046.SZ-001,EXTENDED_2018_2021,300046.SZ,2021-11-22,2021,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300048.SZ-001,EXTENDED_2018_2021,300048.SZ,2021-11-04,2021,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300059.SZ-001,EXTENDED_2018_2021,300059.SZ,2020-06-16,2020,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300059.SZ-002,EXTENDED_2018_2021,300059.SZ,2021-09-08,2021,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300059.SZ-003,EXTENDED_2018_2021,300059.SZ,2021-12-14,2021,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300065.SZ-001,EXTENDED_2018_2021,300065.SZ,2021-07-19,2021,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300066.SZ-001,EXTENDED_2018_2021,300066.SZ,2020-02-20,2020,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300068.SZ-001,EXTENDED_2018_2021,300068.SZ,2018-03-13,2018,L_SUPPORT_BROKEN,L_SUPPORT_HELD
EXTENDED_2018_2021:300068.SZ-002,EXTENDED_2018_2021,300068.SZ,2019-03-15,2019,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300075.SZ-001,EXTENDED_2018_2021,300075.SZ,2020-09-08,2020,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300075.SZ-002,EXTENDED_2018_2021,300075.SZ,2021-11-15,2021,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300079.SZ-001,EXTENDED_2018_2021,300079.SZ,2019-02-14,2019,L_SUPPORT_BROKEN,L_SUPPORT_HELD
EXTENDED_2018_2021:300085.SZ-001,EXTENDED_2018_2021,300085.SZ,2021-04-27,2021,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300088.SZ-001,EXTENDED_2018_2021,300088.SZ,2020-06-16,2020,L_SUPPORT_BROKEN,L_SUPPORT_HELD
EXTENDED_2018_2021:300088.SZ-002,EXTENDED_2018_2021,300088.SZ,2021-07-16,2021,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300094.SZ-001,EXTENDED_2018_2021,300094.SZ,2021-08-12,2021,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300101.SZ-001,EXTENDED_2018_2021,300101.SZ,2021-05-27,2021,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300102.SZ-001,EXTENDED_2018_2021,300102.SZ,2021-05-12,2021,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300107.SZ-001,EXTENDED_2018_2021,300107.SZ,2019-02-25,2019,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300110.SZ-001,EXTENDED_2018_2021,300110.SZ,2020-08-27,2020,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300115.SZ-001,EXTENDED_2018_2021,300115.SZ,2020-02-18,2020,L_SUPPORT_BROKEN,L_SUPPORT_HELD
EXTENDED_2018_2021:300119.SZ-001,EXTENDED_2018_2021,300119.SZ,2021-04-29,2021,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300122.SZ-001,EXTENDED_2018_2021,300122.SZ,2018-01-09,2018,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300124.SZ-001,EXTENDED_2018_2021,300124.SZ,2020-10-09,2020,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300131.SZ-001,EXTENDED_2018_2021,300131.SZ,2019-08-27,2019,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
EXTENDED_2018_2021:300136.SZ-001,EXTENDED_2018_2021,300136.SZ,2019-12-30,2019,L_SUPPORT_HELD,L_SUPPORT_HELD
EXTENDED_2018_2021:300137.SZ-001,EXTENDED_2018_2021,300137.SZ,2018-05-18,2018,L_SUPPORT_BROKEN,L_SUPPORT_BROKEN
