trade_id,baseline_block,symbol,entry_signal_date,entry_execution_date,entry_year,feature_available_at,daily_available_at,daily_snapshot_id,minute_snapshot_id,minute_daily_snapshot_id,entry_industry,breakout_reference_raw,breakout_margin,support_shift20,resistance_shift20,range_contraction20,volatility_contraction20,downside_amount_contraction20,prior60_reference_test_count_2pct,sessions_since_reference,prebreakout_distance,first_cross_index,time_above_reference,volume_above_reference,reference_loss_count,longest_below_reference_run,below_reference_resilience,close_reference_retention,postcross_max_drawdown,base_repair_score,breakout_acceptance_score,base_neighbor_score,acceptance_neighbor_5m_score,assignment_margin,lineage_id,neighbor_lineage_id
DEVELOPMENT_2024_2025:300182.SZ-001,DEVELOPMENT_2024_2025,300182.SZ,2024-09-24,2024-09-25,2024,2024-09-24T15:30:00,2024-09-24T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300182.SZ:2024-09-24,PITB-80B916173F29877FD683,影视院线,4.1,0.0121951219512,0.0759171997052,0.00950125912414,0.445311016655,0.0164406020694,-0.406483455984,6,10,-0.0246926125904,120,0.741666666667,0.831964530963,7,12,0.741666666667,1,-0.0120772259686,0.80701754386,0.530701754386,0.789473684211,0.583333333333,0.030701754386,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH
DEVELOPMENT_2024_2025:300195.SZ-001,DEVELOPMENT_2024_2025,300195.SZ,2025-11-06,2025-11-07,2025,2025-11-06T15:30:00,2025-11-06T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300195.SZ:2025-11-06,PITB-80B916173F29877FD683,专用设备,8.74,0.0137299771167,0.057234514445,0.0599122188512,0.0119204784125,0.0070767853665,0.17977212499,3,49,-0.0103508687237,6,0.854700854701,0.852934554404,5,15,0.854700854701,0.599999542235,-0.024746935718,0.602739726027,0.337899543379,0.582191780822,0.360730593607,0.102739726027,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW
DEVELOPMENT_2024_2025:300241.SZ-001,DEVELOPMENT_2024_2025,300241.SZ,2024-12-20,2024-12-23,2024,2024-12-20T15:30:00,2024-12-20T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300241.SZ:2024-12-20,PITB-80B916173F29877FD683,光学光电子,6.2,0.00161290322581,0.0427177296852,0.032789822823,0.0669863552745,-0.0171428183438,-0.073989662329,4,36,-0.0211906869796,21,0.406392694064,0.466842969526,10,71,0.406392694064,0.125000149011,-0.0254777577872,0.385964912281,0.0438596491228,0.565789473684,0.0438596491228,0.114035087719,L00_BASE_LOW_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW
DEVELOPMENT_2024_2025:300254.SZ-001,DEVELOPMENT_2024_2025,300254.SZ,2025-06-03,2025-06-04,2025,2025-06-03T15:30:00,2025-06-03T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300254.SZ:2025-06-03,PITB-80B916173F29877FD683,化学制药,10.01,0.034965034965,0.0451034733346,0.0911115699163,-0.488586011838,-0.0103000639362,-0.119997601426,5,39,-0.00903167203035,1,0.991631799163,0.985200947637,2,1,0.991631799163,0.648147283431,-0.0246445710124,0.292237442922,0.566210045662,0.397260273973,0.671232876712,0.0662100456621,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH
DEVELOPMENT_2024_2025:300259.SZ-001,DEVELOPMENT_2024_2025,300259.SZ,2025-11-04,2025-11-05,2025,2025-11-04T15:30:00,2025-11-04T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300259.SZ:2025-11-04,PITB-80B916173F29877FD683,通用设备,4.11,0.119221411192,0.0340793136529,0.0443422395435,-0.149780541768,0.00686286829564,0.244173311581,2,0,0,0,1,1,0,0,1,0.662162118623,-0.0721649302092,0.493150684932,0.739726027397,0.424657534247,0.689497716895,0.00684931506849,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH
DEVELOPMENT_2024_2025:300267.SZ-001,DEVELOPMENT_2024_2025,300267.SZ,2025-07-16,2025-07-17,2025,2025-07-16T15:30:00,2025-07-16T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300267.SZ:2025-07-16,PITB-80B916173F29877FD683,化学制药,3.44,0.0116279069767,0.0767149175809,0.0173917427119,0.581058478913,0.00766517910068,-0.10783428937,5,1,-0.0235304974102,160,0.975,0.950500694999,1,1,0.975,0.800000228882,-0.014367802311,0.7899543379,0.570776255708,0.849315068493,0.762557077626,0.0707762557078,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH
DEVELOPMENT_2024_2025:300279.SZ-001,DEVELOPMENT_2024_2025,300279.SZ,2024-12-10,2024-12-11,2024,2024-12-10T15:30:00,2024-12-10T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300279.SZ:2024-12-10,PITB-80B916173F29877FD683,家电零部件Ⅱ,7.3,0.0164383561644,0.0557913596284,-0.0200407508834,0.495940958633,0.0118426392737,0.301134070925,6,20,-0.0165749650942,0,1,1,0,0,1,0.279069932491,-0.0413971760507,0.69298245614,0.640350877193,0.736842105263,0.614035087719,0.140350877193,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH
DEVELOPMENT_2024_2025:300285.SZ-001,DEVELOPMENT_2024_2025,300285.SZ,2024-05-09,2024-05-10,2024,2024-05-09T15:30:00,2024-05-09T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300285.SZ:2024-05-09,PITB-80B916173F29877FD683,电子化学品Ⅱ,20.37,0.0309278350515,0.0577468222123,0.0551723158683,0.013327431555,0.0190926166683,0.071971473068,4,44,-0.0253555716217,12,0.758771929825,0.763921055898,1,55,0.758771929825,0.818182466726,-0.0176643139268,0.701754385965,0.482456140351,0.592105263158,0.456140350877,0.0175438596491,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW
DEVELOPMENT_2024_2025:300286.SZ-001,DEVELOPMENT_2024_2025,300286.SZ,2025-02-17,2025-02-18,2025,2025-02-17T15:30:00,2025-02-17T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300286.SZ:2025-02-17,PITB-80B916173F29877FD683,电网设备,21.84,0.00686813186813,0.0407781819504,0.0170056058421,0.203583306348,0.0114080338606,0.232166250033,1,27,-0.0468689339915,72,0.440476190476,0.645709122741,2,86,0.440476190476,0.394736953059,-0.0301530196669,0.639269406393,0.141552511416,0.547945205479,0.141552511416,0.139269406393,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW
DEVELOPMENT_2024_2025:300324.SZ-001,DEVELOPMENT_2024_2025,300324.SZ,2024-09-24,2024-09-25,2024,2024-09-24T15:30:00,2024-09-24T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300324.SZ:2024-09-24,PITB-80B916173F29877FD683,计算机设备,2.36,0.0169491525424,0.048553225417,0.0631789016215,-0.124126643268,0.00647396448894,0.078017599184,4,56,-0.0127933514599,15,0.866666666667,0.925874077328,5,21,0.866666666667,0.444445268607,-0.0448980128055,0.473684210526,0.473684210526,0.473684210526,0.473684210526,0.0263157894737,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW
DEVELOPMENT_2024_2025:300327.SZ-001,DEVELOPMENT_2024_2025,300327.SZ,2025-12-10,2025-12-11,2025,2025-12-10T15:30:00,2025-12-10T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300327.SZ:2025-12-10,PITB-80B916173F29877FD683,半导体,29.77,0.0342626805509,0.0542312969095,-0.0172075721694,0.576978856467,0.0233061699843,0.101450726033,4,6,-0.0251713969911,7,0.901287553648,0.883887249401,6,11,0.901287553648,0.918920438483,-0.0312093948205,0.849315068493,0.525114155251,0.787671232877,0.502283105023,0.0251141552511,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH
DEVELOPMENT_2024_2025:300346.SZ-001,DEVELOPMENT_2024_2025,300346.SZ,2025-05-06,2025-05-07,2025,2025-05-06T15:30:00,2025-05-06T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300346.SZ:2025-05-06,PITB-80B916173F29877FD683,电子化学品Ⅱ,40.52,0.00641658440276,0.0950651117967,0.02252911306,0.536544989623,0.0145801949665,-0.0165957662757,3,45,-0.0249888065008,185,0.890909090909,0.922907285886,3,4,0.890909090909,0.590907546111,-0.0124511311751,0.867579908676,0.365296803653,0.869863013699,0.65296803653,0.134703196347,L10_BASE_HIGH_ACCEPTANCE_LOW,L11_BASE_HIGH_ACCEPTANCE_HIGH
DEVELOPMENT_2024_2025:300348.SZ-001,DEVELOPMENT_2024_2025,300348.SZ,2024-09-24,2024-09-25,2024,2024-09-24T15:30:00,2024-09-24T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300348.SZ:2024-09-24,PITB-80B916173F29877FD683,软件开发,8.08,0.0247524752475,0.0517960415522,0.00750942202213,0.4005341037,-0.00182491745731,-0.0815761855136,6,48,-0.0200006667067,109,1,1,0,0,1,0.740738705192,-0.0239807920391,0.5,0.771929824561,0.684210526316,0.745614035088,0,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH
DEVELOPMENT_2024_2025:300357.SZ-001,DEVELOPMENT_2024_2025,300357.SZ,2024-05-08,2024-05-09,2024,2024-05-08T15:30:00,2024-05-08T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300357.SZ:2024-05-08,PITB-80B916173F29877FD683,生物制品,26.15,0.00535372848948,0.000909504382841,0.0544628691488,-0.41239463669,0.0134496931235,0.218545187341,10,41,-0.0350230347896,0,0.566666666667,0.753285657966,6,48,0.566666666667,0.112000766602,-0.0638686140279,0.429824561404,0.0964912280702,0.289473684211,0.0964912280702,0.0701754385965,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW
DEVELOPMENT_2024_2025:300357.SZ-002,DEVELOPMENT_2024_2025,300357.SZ,2025-07-16,2025-07-17,2025,2025-07-16T15:30:00,2025-07-16T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300357.SZ:2025-07-16,PITB-80B916173F29877FD683,生物制品,21.8554674221,0.143878532414,0.0613087282663,-0.00975898193547,0.917186028473,0.0155832502841,-0.145496683613,5,10,-0.013147655107,0,1,1,0,0,1,0.851131546673,-0.0523810143734,0.885844748858,0.826484018265,0.876712328767,0.776255707763,0.326484018265,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH
DEVELOPMENT_2024_2025:300371.SZ-001,DEVELOPMENT_2024_2025,300371.SZ,2025-09-22,2025-09-23,2025,2025-09-22T15:30:00,2025-09-22T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300371.SZ:2025-09-22,PITB-80B916173F29877FD683,通用设备,14.8,0.0243243243243,0.0351181125826,0.0287888284772,0.0538665590844,-0.00190618354815,0.0274314958102,3,7,-0.011552965738,168,0.694444444444,0.720574946896,0,22,0.694444444444,0.799999660916,-0.0269723277537,0.41095890411,0.360730593607,0.479452054795,0.351598173516,0.0890410958904,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW
DEVELOPMENT_2024_2025:300377.SZ-001,DEVELOPMENT_2024_2025,300377.SZ,2024-09-24,2024-09-25,2024,2024-09-24T15:30:00,2024-09-24T15:00:00,PITB-80B916173F29877FD683,MINUTE-PIT-B-v1:300377.SZ:2024-09-24,PITB-80B916173F29877FD683,软件开发,6.29,0.093799682035,0.0494153595634,-0.0365337433325,0.486264150118,0.000640532022233,-0.145375523357,2,1,-0.0144117786613,0,0.708333333333,0.85497900387,2,48,0.708333333333,0.737500002384,-0.0507757582181,0.535087719298,0.40350877193,0.697368421053,0.385964912281,0.0350877192982,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW
