symbol,setup_count,setup_dates_json,accumulating_observations,first_accumulating_date,last_accumulating_date,breakout_rejections,cooldown_blocking_observations,active_signal_observations,terminal_state,persistent_state_suppression_found,one_shot_defect_evidence,classification
000639.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000650.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000651.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000652.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000655.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000656.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000657.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000659.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000661.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000662.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000663.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000665.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000666.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000667.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000668.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000669.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000670.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000671.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000672.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000673.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000676.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000677.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000678.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000679.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000680.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000681.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000682.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000683.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000685.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000686.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000687.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000688.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000690.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000691.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000692.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000695.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000697.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000698.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000700.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000701.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000702.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000703.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000705.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000707.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000708.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000709.SZ,1,"[""2020-12-18""]",10,2020-12-18,2020-12-31,9,0,0,ACCUMULATING,False,False,INTENTIONAL_STRATEGY_SEMANTIC
000710.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000711.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000712.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000713.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000715.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000716.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000717.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000718.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000719.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000720.SZ,0,[],0,,,0,0,0,NEUTRAL,False,False,NO_LIFECYCLE_CREATED
000721.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000722.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000723.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000725.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000726.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000727.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000728.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
000729.SZ,0,[],0,,,0,0,0,BROKEN,False,False,NO_LIFECYCLE_CREATED
