feature,discovery_direction,discovery_auc_winner_higher,target_discovery_coverage,discovery_threshold,coverage_status,split,wave_n,wave_available,wave_pass,wave_recall_missing_as_fail,control_n,control_available,control_pass,control_acceptance_missing_as_fail,event_sample_enrichment
model_spread_cost_p50,>=,0.5787276438569207,0.95,0.03338275527218659,ACHIEVABLE,holdout,415,415,382,0.9204819277108434,415,414,381,0.9180722891566265,1.0026246719160106
model_spread_cost_p90,>=,0.5134732212286158,0.8,0.10887830229886974,ACHIEVABLE,discovery,643,643,515,0.8009331259720062,643,640,511,0.7947122861586314,1.0078277886497065
model_spread_cost_p90,>=,0.5134732212286158,0.8,0.10887830229886974,ACHIEVABLE,validation,541,541,444,0.8207024029574861,541,536,418,0.7726432532347505,1.062200956937799
model_spread_cost_p90,>=,0.5134732212286158,0.8,0.10887830229886974,ACHIEVABLE,holdout,415,415,333,0.8024096385542169,415,414,314,0.7566265060240964,1.0605095541401273
model_spread_cost_p90,>=,0.5134732212286158,0.9,0.059447609295901316,ACHIEVABLE,discovery,643,643,579,0.9004665629860031,643,640,573,0.8911353032659409,1.0104712041884816
model_spread_cost_p90,>=,0.5134732212286158,0.9,0.059447609295901316,ACHIEVABLE,validation,541,541,495,0.9149722735674677,541,536,460,0.8502772643253235,1.0760869565217392
model_spread_cost_p90,>=,0.5134732212286158,0.9,0.059447609295901316,ACHIEVABLE,holdout,415,415,364,0.8771084337349397,415,414,355,0.8554216867469879,1.0253521126760563
model_spread_cost_p90,>=,0.5134732212286158,0.95,0.03840322244386041,ACHIEVABLE,discovery,643,643,611,0.9502332814930016,643,640,607,0.9440124416796267,1.0065897858319606
model_spread_cost_p90,>=,0.5134732212286158,0.95,0.03840322244386041,ACHIEVABLE,validation,541,541,514,0.9500924214417745,541,536,495,0.9149722735674677,1.0383838383838384
model_spread_cost_p90,>=,0.5134732212286158,0.95,0.03840322244386041,ACHIEVABLE,holdout,415,415,390,0.9397590361445783,415,414,380,0.9156626506024096,1.0263157894736843
model_spread_dominant_peak_today,<=,0.4930331454121306,0.8,0.04583995832328469,ACHIEVABLE,discovery,643,643,515,0.8009331259720062,643,640,506,0.7869362363919129,1.017786561264822
model_spread_dominant_peak_today,<=,0.4930331454121306,0.8,0.04583995832328469,ACHIEVABLE,validation,541,541,411,0.7597042513863216,541,536,407,0.7523105360443623,1.00982800982801
model_spread_dominant_peak_today,<=,0.4930331454121306,0.8,0.04583995832328469,ACHIEVABLE,holdout,415,415,320,0.7710843373493976,415,414,326,0.7855421686746988,0.9815950920245399
model_spread_dominant_peak_today,<=,0.4930331454121306,0.9,0.37515772874808295,ACHIEVABLE,discovery,643,643,579,0.9004665629860031,643,640,581,0.9035769828926905,0.9965576592082617
model_spread_dominant_peak_today,<=,0.4930331454121306,0.9,0.37515772874808295,ACHIEVABLE,validation,541,541,460,0.8502772643253235,541,536,465,0.8595194085027726,0.989247311827957
model_spread_dominant_peak_today,<=,0.4930331454121306,0.9,0.37515772874808295,ACHIEVABLE,holdout,415,415,362,0.8722891566265061,415,414,357,0.8602409638554217,1.0140056022408963
model_spread_dominant_peak_today,<=,0.4930331454121306,0.95,0.7680906423312641,ACHIEVABLE,discovery,643,643,611,0.9502332814930016,643,640,607,0.9440124416796267,1.0065897858319606
model_spread_dominant_peak_today,<=,0.4930331454121306,0.95,0.7680906423312641,ACHIEVABLE,validation,541,541,493,0.911275415896488,541,536,491,0.9075785582255084,1.0040733197556007
model_spread_dominant_peak_today,<=,0.4930331454121306,0.95,0.7680906423312641,ACHIEVABLE,holdout,415,415,375,0.9036144578313253,415,414,375,0.9036144578313253,1.0
