split,stage_order,predicate_or_cumulative_stage,wave_n,wave_pass,wave_pass_rate,wave_wilson_low,wave_wilson_high,wave_symbol_cluster_low,wave_symbol_cluster_high,control_n,control_pass,control_acceptance,control_wilson_low,control_wilson_high,control_symbol_cluster_low,control_symbol_cluster_high,wave_minus_control,enrichment_rate_ratio,wave_incremental_pass_rate,control_incremental_acceptance,incremental_enrichment,precision_in_balanced_matched_sample,wave_recall
total,10,actual:setup_score_ge_1_00,1599,0,0.0,0.0,0.0023966555142144346,0.0,0.0,1599,0,0.0,0.0,0.0023966555142144346,0.0,0.0,0.0,,0.0,0.0,,,0.0
total,11,actual:setup_created,1599,0,0.0,0.0,0.0023966555142144346,0.0,0.0,1599,0,0.0,0.0,0.0023966555142144346,0.0,0.0,0.0,,,,,,0.0
discovery,0,frozen_research_valid,643,641,0.9968895800933126,0.9887307136406234,0.9991465958395229,0.9903983656792645,1.0,643,640,0.995334370139969,0.9863733388023435,0.9984120229173015,0.9835214204990433,1.0,0.0015552099533436836,1.0015625,,,,0.5003903200624512,0.9968895800933126
discovery,1,current_canonical_base_exists,643,211,0.328149300155521,0.29297110290874895,0.3653686695558642,0.29005270092226615,0.36589405247364776,643,221,0.343701399688958,0.30801705848075606,0.38124219158886946,0.2960355987055016,0.3905378586930311,-0.015552099533437003,0.9547511312217195,,,,0.48842592592592593,0.328149300155521
discovery,2,current_strict_temporal_valid,643,189,0.2939346811819596,0.26002987086503426,0.3302870508685516,0.2501531182345136,0.32812763266173245,643,206,0.3203732503888025,0.28546478991391855,0.35741524374818834,0.27607421246291974,0.36371627292700387,-0.0264385692068429,0.9174757281553398,,,,0.47848101265822784,0.2939346811819596
discovery,3,not_ensemble_peak_ambiguous,643,222,0.3452566096423017,0.30952405358302004,0.38282714424710673,0.3085783290486549,0.3816027786028552,643,231,0.359253499222395,0.3231062271437799,0.39707250053085796,0.31025799566336904,0.4037714192621555,-0.013996889580093319,0.961038961038961,,,,0.4900662251655629,0.3452566096423017
discovery,4,actual:authoritative_observation,643,643,1.0,0.9940612050011486,1.0,1.0,1.0,643,643,1.0,0.9940612050011486,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
discovery,5,actual:corporate_action_clear,643,643,1.0,0.9940612050011486,1.0,1.0,1.0,643,643,1.0,0.9940612050011486,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
discovery,6,actual:lifecycle_hard_valid,643,150,0.2332814930015552,0.2022352904598323,0.2674956686142051,0.19678905011373818,0.26856978833865813,643,163,0.2534992223950233,0.22140744029609932,0.2885188396644543,0.20994525452954366,0.28915404040404036,-0.02021772939346811,0.9202453987730062,0.2332814930015552,0.2534992223950233,0.9202453987730062,0.4792332268370607,0.2332814930015552
discovery,7,actual:peak_identity_valid,643,150,0.2332814930015552,0.2022352904598323,0.2674956686142051,0.1971337465625941,0.27188906995497614,643,163,0.2534992223950233,0.22140744029609932,0.2885188396644543,0.20804423097325503,0.29652742330891385,-0.02021772939346811,0.9202453987730062,1.0,1.0,1.0,0.4792332268370607,0.2332814930015552
discovery,8,actual:tradable,643,150,0.2332814930015552,0.2022352904598323,0.2674956686142051,0.1970359129994942,0.26434784490219837,643,163,0.2534992223950233,0.22140744029609932,0.2885188396644543,0.21383081029691386,0.29326889928589017,-0.02021772939346811,0.9202453987730062,1.0,1.0,1.0,0.4792332268370607,0.2332814930015552
discovery,9,actual:neutral_or_broken_and_no_cooldown_setup_score_evaluated,643,150,0.2332814930015552,0.2022352904598323,0.2674956686142051,0.1991796875,0.26293546032168774,643,163,0.2534992223950233,0.22140744029609932,0.2885188396644543,0.2012020255409115,0.2953517316017316,-0.02021772939346811,0.9202453987730062,1.0,1.0,1.0,0.4792332268370607,0.2332814930015552
discovery,10,actual:setup_score_ge_1_00,643,0,0.0,4.336808689942018e-19,0.0059387949988514675,0.0,0.0,643,0,0.0,4.336808689942018e-19,0.0059387949988514675,0.0,0.0,0.0,,0.0,0.0,,,0.0
discovery,11,actual:setup_created,643,0,0.0,4.336808689942018e-19,0.0059387949988514675,0.0,0.0,643,0,0.0,4.336808689942018e-19,0.0059387949988514675,0.0,0.0,0.0,,,,,,0.0
validation,0,frozen_research_valid,541,538,0.9944547134935305,0.9838246755655035,0.9981123472851513,0.9871074248426308,1.0,541,539,0.9963031423290203,0.9866222132898449,0.9989856021695972,0.9886340483535404,1.0,-0.001848428835489746,0.9981447124304268,,,,0.49953574744661094,0.9944547134935305
validation,1,current_canonical_base_exists,541,169,0.3123844731977819,0.2747685866421426,0.35264596356592665,0.26988231511931865,0.350145561019583,541,233,0.43068391866913125,0.3895912421626819,0.4727540350077869,0.36932820472952915,0.48567129629629624,-0.11829944547134935,0.7253218884120172,,,,0.42039800995024873,0.3123844731977819
