scenario,year,net_return,mean_exposure,fees
N_MAIN_N1_MAX_DEPLOYABLE,2023,-0.4055673980129759,0.8414372648371056,14547.906360999943
N_MAIN_N1_CAP10,2020,0.1623309282935974,0.7870160916415957,36806.165738400014
N_MAIN_N1_CAP10,2021,-0.032809248226735366,0.7997794059471522,37840.98394800001
N_MAIN_N1_CAP10,2022,-0.4971977973174255,0.7926161287687545,23892.33229829998
N_MAIN_N1_CAP10,2023,-0.4017266530898218,0.8043436796564404,13669.431933900021
N_MAIN_N2_MAX_DEPLOYABLE,2020,0.15554675161600162,0.8242493744969617,35017.488383999975
N_MAIN_N2_MAX_DEPLOYABLE,2021,-0.2788493913951814,0.8297059240114976,31554.52841679997
N_MAIN_N2_MAX_DEPLOYABLE,2022,-0.4539224651201511,0.8334861420774989,19606.594794899967
N_MAIN_N2_MAX_DEPLOYABLE,2023,-0.2507613961256774,0.8304651821741234,11921.575838600096
N_MAIN_N2_CAP10,2020,0.13139228374000056,0.7935905695204699,33516.526260000035
N_MAIN_N2_CAP10,2021,-0.2739202625589229,0.79925466244667,30109.04141919996
N_MAIN_N2_CAP10,2022,-0.4121062542492441,0.780885195450741,18139.06292440001
N_MAIN_N2_CAP10,2023,-0.25368532289068657,0.8010455648807274,11954.650266600074
N_MAIN_N3_MAX_DEPLOYABLE,2020,0.11761918269159999,0.8278785543467816,36137.76730840001
N_MAIN_N3_MAX_DEPLOYABLE,2021,0.021177658348525474,0.8372208946988967,34474.33177719996
N_MAIN_N3_MAX_DEPLOYABLE,2022,-0.32401581371865873,0.7524179291206065,26700.198532900016
N_MAIN_N3_MAX_DEPLOYABLE,2023,-0.20166701601820136,0.8311722871055717,19279.949002399924
N_MAIN_N3_CAP10,2020,0.06021683226920116,0.7692555735065,30770.84773079997
N_MAIN_N3_CAP10,2021,-0.06624081671905413,0.7726851539562332,27995.90100479994
N_MAIN_N3_CAP10,2022,-0.34203704479637587,0.5844918823760973,17955.821837299976
N_MAIN_N3_CAP10,2023,-0.08210621682028574,0.7418871303840008,16827.65154829994
N_MAIN_N4_MAX_DEPLOYABLE,2020,0.38181056522279677,0.8065686443731604,38503.54477719999
N_MAIN_N4_MAX_DEPLOYABLE,2021,-0.12792652619811185,0.8351520467342652,38923.60931280001
N_MAIN_N4_MAX_DEPLOYABLE,2022,-0.5267854303645102,0.758077515726178,24287.50598180006
N_MAIN_N4_MAX_DEPLOYABLE,2023,-0.29634405582267376,0.8337255666226796,14190.638450000013
N_MAIN_N4_CAP10,2020,0.05518700360040052,0.7444268082638533,29842.326399600006
N_MAIN_N4_CAP10,2021,0.008991973082709048,0.7617601230283088,28260.92070640001
N_MAIN_N4_CAP10,2022,-0.3297503311828429,0.5820445115182391,19346.887720200037
N_MAIN_N4_CAP10,2023,-0.1704807793673908,0.7402475564614697,17278.391525000043
N_MAIN_N5_MAX_DEPLOYABLE,2020,-0.1527729897484007,0.7849669542069395,27224.359748399995
N_MAIN_N5_MAX_DEPLOYABLE,2021,-0.3626015179629005,0.8086034058383942,18238.579976400008
N_MAIN_N5_MAX_DEPLOYABLE,2022,-0.5089685888008582,0.6923133149568779,9432.627316300051
N_MAIN_N5_MAX_DEPLOYABLE,2023,-0.45197514718628473,0.7965591751121235,6034.028622000027
N_MAIN_N5_CAP10,2020,-0.03637236890399875,0.6921739702368407,24885.338904
N_MAIN_N5_CAP10,2021,-0.05002340220067547,0.6936659657930444,24900.216402000053
N_MAIN_N5_CAP10,2022,-0.28035116552804507,0.430568422415743,12452.316036000018
N_MAIN_N5_CAP10,2023,-0.3550206866735254,0.5907943500190004,11658.825744000089
N_MAIN_N6_MAX_DEPLOYABLE,2020,0.13320017882199942,0.8080886596580135,33699.08117799999
N_MAIN_N6_MAX_DEPLOYABLE,2021,-0.2643954951636678,0.8326042836536153,30515.801903199914
N_MAIN_N6_MAX_DEPLOYABLE,2022,-0.4401919321448703,0.7539846259338676,18333.222196899893
N_MAIN_N6_MAX_DEPLOYABLE,2023,-0.388395080089044,0.8266475331693618,11176.76479279995
N_MAIN_N6_CAP10,2020,0.016749501453198867,0.7487393672439582,29084.608546799995
N_MAIN_N6_CAP10,2021,-0.005819814729530859,0.7727463607934457,28073.026316799995
N_MAIN_N6_CAP10,2022,-0.3451057074874402,0.5776299439394744,18043.468199200128
N_MAIN_N6_CAP10,2023,-0.1343835500671946,0.7331766179051398,16411.21204419987
N_MAIN_N7_MAX_DEPLOYABLE,2020,0.03848873101159822,0.7482738770733146,31520.6189884
N_MAIN_N7_MAX_DEPLOYABLE,2021,-0.18027347973515073,0.7039415932252923,23455.417205200018
N_MAIN_N7_MAX_DEPLOYABLE,2022,-0.38866280580092605,0.5148388761572062,13741.491247500024
N_MAIN_N7_MAX_DEPLOYABLE,2023,-0.09907669284644138,0.6594869543808746,11326.211905700082
N_MAIN_N7_CAP10,2020,-0.03123308763639976,0.6946985921799681,27029.677636399996
N_MAIN_N7_CAP10,2021,0.21409651505619798,0.6265106455764546,25234.597841200033
N_MAIN_N7_CAP10,2022,-0.30158207149763105,0.39118858899928655,15294.221828500064
N_MAIN_N7_CAP10,2023,-0.07890488650270167,0.5943621735047926,17008.162047100035
N_MAIN_N8_MAX_DEPLOYABLE,2020,0.47595272010039924,0.8117603258107808,39790.82989960005
N_MAIN_N8_MAX_DEPLOYABLE,2021,-0.19379226190859478,0.8349857697822061,40069.07609840002
N_MAIN_N8_MAX_DEPLOYABLE,2022,-0.429485869155393,0.7580194236697192,24669.216630600087
N_MAIN_N8_MAX_DEPLOYABLE,2023,-0.19346731475140522,0.8302933325468346,16228.884779499946
N_MAIN_N8_CAP10,2020,0.2246641996623997,0.7521944408316061,33001.17033760004
N_MAIN_N8_CAP10,2021,0.06023681058394237,0.7791529094469947,35050.104576
N_MAIN_N8_CAP10,2022,-0.3736803572854611,0.5868965544438359,22741.452953100044
N_MAIN_N8_CAP10,2023,-0.16953107185139604,0.7429729586672219,19591.404308400015
N_MAIN_N9_MAX_DEPLOYABLE,2020,-0.023603071396000153,0.7392129193303617,29154.021395999996
N_MAIN_N9_MAX_DEPLOYABLE,2021,0.2266580806295806,0.7032984047549726,25187.846229999996
N_MAIN_N9_MAX_DEPLOYABLE,2022,-0.41510851364167345,0.5148160253979881,18397.647636199996
N_MAIN_N9_MAX_DEPLOYABLE,2023,0.09098563408058102,0.6602028387369543,16282.79536779999
N_MAIN_N9_CAP10,2020,0.017107969613599838,0.6841014477556063,27329.11038639999
N_MAIN_N9_CAP10,2021,0.2738593707268049,0.6361857223563953,27037.479160400035
N_MAIN_N9_CAP10,2022,-0.3174938214935116,0.3924731171267949,16765.002909800052
N_MAIN_N9_CAP10,2023,0.04196983331511506,0.5916293163133385,19392.41788080003
N_COST_N1_MAX_DEPLOYABLE,2020,0.17318371608800143,0.8129665870704086,74869.01594799994
N_COST_N1_MAX_DEPLOYABLE,2021,-0.04763525504696542,0.8212111697037285,79148.73553279998
N_COST_N1_MAX_DEPLOYABLE,2022,-0.47571731188032107,0.8370618560417298,49488.28352440041
N_COST_N1_MAX_DEPLOYABLE,2023,-0.4165178273336666,0.8410415483057259,28263.519428600062
N_COST_N1_CAP10,2020,0.1693812964960011,0.7853054632028796,72877.84753600003
