scenario,stage,status,count
OLD_MAIN_C_MAX_DEPLOYABLE,ENTRY,CASH_OR_CAPACITY,12
OLD_MAIN_C_MAX_DEPLOYABLE,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,317
OLD_MAIN_C_MAX_DEPLOYABLE,ENTRY,FILLED,830
OLD_MAIN_C_MAX_DEPLOYABLE,ENTRY,HELD,964
OLD_MAIN_C_MAX_DEPLOYABLE,ENTRY,INVALID_EXECUTION_DATA,2
OLD_MAIN_C_MAX_DEPLOYABLE,ENTRY,LIMIT_OR_STATUS_BLOCK,18
OLD_MAIN_C_MAX_DEPLOYABLE,ENTRY,OVER_LIMIT,547
OLD_MAIN_C_MAX_DEPLOYABLE,ENTRY,SLOTS_OR_RANK,101645
OLD_MAIN_C_MAX_DEPLOYABLE,ENTRY,SUSPENDED_OR_NO_TRADE,13
OLD_MAIN_C_MAX_DEPLOYABLE,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,2
OLD_MAIN_C_MAX_DEPLOYABLE,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,11
OLD_MAIN_C_CAP10,ENTRY,CASH_OR_CAPACITY,10
OLD_MAIN_C_CAP10,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,317
OLD_MAIN_C_CAP10,ENTRY,FILLED,830
OLD_MAIN_C_CAP10,ENTRY,HELD,964
OLD_MAIN_C_CAP10,ENTRY,INVALID_EXECUTION_DATA,2
OLD_MAIN_C_CAP10,ENTRY,LIMIT_OR_STATUS_BLOCK,18
OLD_MAIN_C_CAP10,ENTRY,OVER_LIMIT,549
OLD_MAIN_C_CAP10,ENTRY,SLOTS_OR_RANK,101645
OLD_MAIN_C_CAP10,ENTRY,SUSPENDED_OR_NO_TRADE,13
OLD_MAIN_C_CAP10,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,2
OLD_MAIN_C_CAP10,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,11
OLD_MAIN_PC_MAX_DEPLOYABLE,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,317
OLD_MAIN_PC_MAX_DEPLOYABLE,ENTRY,FILLED,823
OLD_MAIN_PC_MAX_DEPLOYABLE,ENTRY,HELD,1068
OLD_MAIN_PC_MAX_DEPLOYABLE,ENTRY,INVALID_EXECUTION_DATA,2
OLD_MAIN_PC_MAX_DEPLOYABLE,ENTRY,LIMIT_OR_STATUS_BLOCK,20
OLD_MAIN_PC_MAX_DEPLOYABLE,ENTRY,OVER_LIMIT,630
OLD_MAIN_PC_MAX_DEPLOYABLE,ENTRY,SLOTS_OR_RANK,101482
OLD_MAIN_PC_MAX_DEPLOYABLE,ENTRY,SUSPENDED_OR_NO_TRADE,6
OLD_MAIN_PC_MAX_DEPLOYABLE,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,2
OLD_MAIN_PC_MAX_DEPLOYABLE,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,1
OLD_MAIN_PC_CAP10,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,317
OLD_MAIN_PC_CAP10,ENTRY,FILLED,823
OLD_MAIN_PC_CAP10,ENTRY,HELD,1068
OLD_MAIN_PC_CAP10,ENTRY,INVALID_EXECUTION_DATA,2
OLD_MAIN_PC_CAP10,ENTRY,LIMIT_OR_STATUS_BLOCK,20
OLD_MAIN_PC_CAP10,ENTRY,OVER_LIMIT,630
OLD_MAIN_PC_CAP10,ENTRY,SLOTS_OR_RANK,101482
OLD_MAIN_PC_CAP10,ENTRY,SUSPENDED_OR_NO_TRADE,6
OLD_MAIN_PC_CAP10,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,2
OLD_MAIN_PC_CAP10,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,1
OLD_COST_B0_MAX_DEPLOYABLE,ENTRY,CASH_OR_CAPACITY,52
OLD_COST_B0_MAX_DEPLOYABLE,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,317
OLD_COST_B0_MAX_DEPLOYABLE,ENTRY,FILLED,793
OLD_COST_B0_MAX_DEPLOYABLE,ENTRY,HELD,968
OLD_COST_B0_MAX_DEPLOYABLE,ENTRY,LIMIT_OR_STATUS_BLOCK,47
OLD_COST_B0_MAX_DEPLOYABLE,ENTRY,OVER_LIMIT,887
OLD_COST_B0_MAX_DEPLOYABLE,ENTRY,SLOTS_OR_RANK,101275
OLD_COST_B0_MAX_DEPLOYABLE,ENTRY,SUSPENDED_OR_NO_TRADE,9
OLD_COST_B0_MAX_DEPLOYABLE,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,4
OLD_COST_B0_MAX_DEPLOYABLE,EXIT_ATTEMPT,SLIPPAGE_BELOW_LEGAL_PRICE,1
OLD_COST_B0_MAX_DEPLOYABLE,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,6
OLD_COST_B0_CAP10,ENTRY,CASH_OR_CAPACITY,50
OLD_COST_B0_CAP10,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,317
OLD_COST_B0_CAP10,ENTRY,FILLED,793
OLD_COST_B0_CAP10,ENTRY,HELD,967
OLD_COST_B0_CAP10,ENTRY,LIMIT_OR_STATUS_BLOCK,48
OLD_COST_B0_CAP10,ENTRY,OVER_LIMIT,888
OLD_COST_B0_CAP10,ENTRY,SLOTS_OR_RANK,101276
OLD_COST_B0_CAP10,ENTRY,SUSPENDED_OR_NO_TRADE,9
OLD_COST_B0_CAP10,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,4
OLD_COST_B0_CAP10,EXIT_ATTEMPT,SLIPPAGE_BELOW_LEGAL_PRICE,1
OLD_COST_B0_CAP10,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,6
OLD_COST_PC_MAX_DEPLOYABLE,ENTRY,CASH_OR_CAPACITY,4
OLD_COST_PC_MAX_DEPLOYABLE,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,317
OLD_COST_PC_MAX_DEPLOYABLE,ENTRY,FILLED,820
OLD_COST_PC_MAX_DEPLOYABLE,ENTRY,HELD,1046
OLD_COST_PC_MAX_DEPLOYABLE,ENTRY,INVALID_EXECUTION_DATA,3
OLD_COST_PC_MAX_DEPLOYABLE,ENTRY,LIMIT_OR_STATUS_BLOCK,19
OLD_COST_PC_MAX_DEPLOYABLE,ENTRY,OVER_LIMIT,658
OLD_COST_PC_MAX_DEPLOYABLE,ENTRY,SLOTS_OR_RANK,101475
OLD_COST_PC_MAX_DEPLOYABLE,ENTRY,SUSPENDED_OR_NO_TRADE,6
OLD_COST_PC_MAX_DEPLOYABLE,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,2
OLD_COST_PC_MAX_DEPLOYABLE,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,11
OLD_COST_PC_CAP10,ENTRY,CASH_OR_CAPACITY,1
OLD_COST_PC_CAP10,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,317
OLD_COST_PC_CAP10,ENTRY,FILLED,821
OLD_COST_PC_CAP10,ENTRY,HELD,1061
OLD_COST_PC_CAP10,ENTRY,INVALID_EXECUTION_DATA,3
OLD_COST_PC_CAP10,ENTRY,LIMIT_OR_STATUS_BLOCK,19
OLD_COST_PC_CAP10,ENTRY,OVER_LIMIT,641
OLD_COST_PC_CAP10,ENTRY,SLOTS_OR_RANK,101479
OLD_COST_PC_CAP10,ENTRY,SUSPENDED_OR_NO_TRADE,6
OLD_COST_PC_CAP10,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,2
OLD_COST_PC_CAP10,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,11
OLD_DELAY_B0_MAX_DEPLOYABLE,ENTRY,CASH_OR_CAPACITY,34
OLD_DELAY_B0_MAX_DEPLOYABLE,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,434
OLD_DELAY_B0_MAX_DEPLOYABLE,ENTRY,FILLED,807
OLD_DELAY_B0_MAX_DEPLOYABLE,ENTRY,FROZEN_LIMIT_BELOW_LEGAL_RANGE,192
OLD_DELAY_B0_MAX_DEPLOYABLE,ENTRY,HELD,697
OLD_DELAY_B0_MAX_DEPLOYABLE,ENTRY,LIMIT_OR_STATUS_BLOCK,11
OLD_DELAY_B0_MAX_DEPLOYABLE,ENTRY,OVER_LIMIT,594
OLD_DELAY_B0_MAX_DEPLOYABLE,ENTRY,SLOTS_OR_RANK,101567
OLD_DELAY_B0_MAX_DEPLOYABLE,ENTRY,SUSPENDED_OR_NO_TRADE,7
OLD_DELAY_B0_MAX_DEPLOYABLE,ENTRY,UNRESOLVED_PREOPEN_ACTION,5
OLD_DELAY_B0_MAX_DEPLOYABLE,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,4
OLD_DELAY_B0_CAP10,ENTRY,CASH_OR_CAPACITY,29
OLD_DELAY_B0_CAP10,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,434
OLD_DELAY_B0_CAP10,ENTRY,FILLED,808
OLD_DELAY_B0_CAP10,ENTRY,FROZEN_LIMIT_BELOW_LEGAL_RANGE,191
OLD_DELAY_B0_CAP10,ENTRY,HELD,695
OLD_DELAY_B0_CAP10,ENTRY,LIMIT_OR_STATUS_BLOCK,11
OLD_DELAY_B0_CAP10,ENTRY,OVER_LIMIT,589
OLD_DELAY_B0_CAP10,ENTRY,SLOTS_OR_RANK,101579
OLD_DELAY_B0_CAP10,ENTRY,SUSPENDED_OR_NO_TRADE,7
OLD_DELAY_B0_CAP10,ENTRY,UNRESOLVED_PREOPEN_ACTION,5
OLD_DELAY_B0_CAP10,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,4
OLD_DELAY_PC_MAX_DEPLOYABLE,ENTRY,CASH_OR_CAPACITY,3
OLD_DELAY_PC_MAX_DEPLOYABLE,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,434
OLD_DELAY_PC_MAX_DEPLOYABLE,ENTRY,FILLED,822
OLD_DELAY_PC_MAX_DEPLOYABLE,ENTRY,FROZEN_LIMIT_BELOW_LEGAL_RANGE,53
OLD_DELAY_PC_MAX_DEPLOYABLE,ENTRY,HELD,790
OLD_DELAY_PC_MAX_DEPLOYABLE,ENTRY,INVALID_EXECUTION_DATA,1
OLD_DELAY_PC_MAX_DEPLOYABLE,ENTRY,LIMIT_OR_STATUS_BLOCK,5
OLD_DELAY_PC_MAX_DEPLOYABLE,ENTRY,OVER_LIMIT,616
OLD_DELAY_PC_MAX_DEPLOYABLE,ENTRY,SLOTS_OR_RANK,101619
OLD_DELAY_PC_MAX_DEPLOYABLE,ENTRY,SUSPENDED_OR_NO_TRADE,4
OLD_DELAY_PC_MAX_DEPLOYABLE,ENTRY,UNRESOLVED_PREOPEN_ACTION,1
OLD_DELAY_PC_MAX_DEPLOYABLE,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,1
OLD_DELAY_PC_MAX_DEPLOYABLE,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,2
OLD_DELAY_PC_CAP10,ENTRY,CASH_OR_CAPACITY,3
OLD_DELAY_PC_CAP10,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,434
OLD_DELAY_PC_CAP10,ENTRY,FILLED,822
OLD_DELAY_PC_CAP10,ENTRY,FROZEN_LIMIT_BELOW_LEGAL_RANGE,53
OLD_DELAY_PC_CAP10,ENTRY,HELD,790
OLD_DELAY_PC_CAP10,ENTRY,INVALID_EXECUTION_DATA,1
OLD_DELAY_PC_CAP10,ENTRY,LIMIT_OR_STATUS_BLOCK,5
OLD_DELAY_PC_CAP10,ENTRY,OVER_LIMIT,616
OLD_DELAY_PC_CAP10,ENTRY,SLOTS_OR_RANK,101619
OLD_DELAY_PC_CAP10,ENTRY,SUSPENDED_OR_NO_TRADE,4
OLD_DELAY_PC_CAP10,ENTRY,UNRESOLVED_PREOPEN_ACTION,1
OLD_DELAY_PC_CAP10,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,1
OLD_DELAY_PC_CAP10,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,2
OLD_NEIGHBOR_B0_CAP10_20_3,ENTRY,CASH_OR_CAPACITY,31
OLD_NEIGHBOR_B0_CAP10_20_3,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,267
OLD_NEIGHBOR_B0_CAP10_20_3,ENTRY,FILLED,788
OLD_NEIGHBOR_B0_CAP10_20_3,ENTRY,HELD,1068
OLD_NEIGHBOR_B0_CAP10_20_3,ENTRY,LIMIT_OR_STATUS_BLOCK,78
OLD_NEIGHBOR_B0_CAP10_20_3,ENTRY,OVER_LIMIT,925
OLD_NEIGHBOR_B0_CAP10_20_3,ENTRY,SLOTS_OR_RANK,132660
OLD_NEIGHBOR_B0_CAP10_20_3,ENTRY,SUSPENDED_OR_NO_TRADE,12
OLD_NEIGHBOR_B0_CAP10_20_3,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,5
OLD_NEIGHBOR_B0_CAP10_20_3,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,2
OLD_NEIGHBOR_PC_CAP10_20_3,ENTRY,CASH_OR_CAPACITY,3
OLD_NEIGHBOR_PC_CAP10_20_3,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,267
OLD_NEIGHBOR_PC_CAP10_20_3,ENTRY,FILLED,828
OLD_NEIGHBOR_PC_CAP10_20_3,ENTRY,HELD,1137
OLD_NEIGHBOR_PC_CAP10_20_3,ENTRY,LIMIT_OR_STATUS_BLOCK,15
OLD_NEIGHBOR_PC_CAP10_20_3,ENTRY,OVER_LIMIT,596
OLD_NEIGHBOR_PC_CAP10_20_3,ENTRY,SLOTS_OR_RANK,132978
OLD_NEIGHBOR_PC_CAP10_20_3,ENTRY,SUSPENDED_OR_NO_TRADE,5
OLD_NEIGHBOR_PC_CAP10_20_3,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,1
OLD_NEIGHBOR_PC_CAP10_20_3,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,1
OLD_NEIGHBOR_B0_CAP10_40_8,ENTRY,CASH_OR_CAPACITY,38
OLD_NEIGHBOR_B0_CAP10_40_8,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,234
OLD_NEIGHBOR_B0_CAP10_40_8,ENTRY,FILLED,801
OLD_NEIGHBOR_B0_CAP10_40_8,ENTRY,HELD,901
OLD_NEIGHBOR_B0_CAP10_40_8,ENTRY,LIMIT_OR_STATUS_BLOCK,45
OLD_NEIGHBOR_B0_CAP10_40_8,ENTRY,OVER_LIMIT,839
OLD_NEIGHBOR_B0_CAP10_40_8,ENTRY,SLOTS_OR_RANK,77165
OLD_NEIGHBOR_B0_CAP10_40_8,ENTRY,SUSPENDED_OR_NO_TRADE,4
OLD_NEIGHBOR_B0_CAP10_40_8,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,9
OLD_NEIGHBOR_B0_CAP10_40_8,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,1
OLD_NEIGHBOR_PC_CAP10_40_8,ENTRY,CASH_OR_CAPACITY,7
OLD_NEIGHBOR_PC_CAP10_40_8,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,234
OLD_NEIGHBOR_PC_CAP10_40_8,ENTRY,FILLED,825
OLD_NEIGHBOR_PC_CAP10_40_8,ENTRY,HELD,979
OLD_NEIGHBOR_PC_CAP10_40_8,ENTRY,LIMIT_OR_STATUS_BLOCK,15
OLD_NEIGHBOR_PC_CAP10_40_8,ENTRY,OVER_LIMIT,619
OLD_NEIGHBOR_PC_CAP10_40_8,ENTRY,SLOTS_OR_RANK,77348
OLD_NEIGHBOR_PC_CAP10_40_8,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,1
OLD_NEIGHBOR_PC_CAP10_40_8,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,2
N_MAIN_N0_MAX_DEPLOYABLE,ENTRY,CASH_OR_CAPACITY,15
N_MAIN_N0_MAX_DEPLOYABLE,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,458
N_MAIN_N0_MAX_DEPLOYABLE,ENTRY,FILLED,828
N_MAIN_N0_MAX_DEPLOYABLE,ENTRY,HELD,966
N_MAIN_N0_MAX_DEPLOYABLE,ENTRY,LIMIT_OR_STATUS_BLOCK,21
N_MAIN_N0_MAX_DEPLOYABLE,ENTRY,OVER_LIMIT,580
N_MAIN_N0_MAX_DEPLOYABLE,ENTRY,SLOTS_OR_RANK,98535
N_MAIN_N0_MAX_DEPLOYABLE,ENTRY,SUSPENDED_OR_NO_TRADE,2
N_MAIN_N0_MAX_DEPLOYABLE,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,11
N_MAIN_N0_CAP10,ENTRY,CASH_OR_CAPACITY,16
N_MAIN_N0_CAP10,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,458
N_MAIN_N0_CAP10,ENTRY,FILLED,828
N_MAIN_N0_CAP10,ENTRY,HELD,966
N_MAIN_N0_CAP10,ENTRY,LIMIT_OR_STATUS_BLOCK,21
N_MAIN_N0_CAP10,ENTRY,OVER_LIMIT,579
N_MAIN_N0_CAP10,ENTRY,SLOTS_OR_RANK,98535
N_MAIN_N0_CAP10,ENTRY,SUSPENDED_OR_NO_TRADE,2
N_MAIN_N0_CAP10,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,11
N_MAIN_N1_MAX_DEPLOYABLE,ENTRY,CASH_OR_CAPACITY,8
N_MAIN_N1_MAX_DEPLOYABLE,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,24
N_MAIN_N1_MAX_DEPLOYABLE,ENTRY,FILLED,808
N_MAIN_N1_MAX_DEPLOYABLE,ENTRY,HELD,873
N_MAIN_N1_MAX_DEPLOYABLE,ENTRY,INVALID_EXECUTION_DATA,2
N_MAIN_N1_MAX_DEPLOYABLE,ENTRY,LIMIT_OR_STATUS_BLOCK,26
N_MAIN_N1_MAX_DEPLOYABLE,ENTRY,OVER_LIMIT,701
N_MAIN_N1_MAX_DEPLOYABLE,ENTRY,SLOTS_OR_RANK,14203
N_MAIN_N1_MAX_DEPLOYABLE,ENTRY,SUSPENDED_OR_NO_TRADE,3
N_MAIN_N1_MAX_DEPLOYABLE,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,12
N_MAIN_N1_MAX_DEPLOYABLE,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,5
N_MAIN_N1_CAP10,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,24
N_MAIN_N1_CAP10,ENTRY,FILLED,810
N_MAIN_N1_CAP10,ENTRY,HELD,861
N_MAIN_N1_CAP10,ENTRY,INVALID_EXECUTION_DATA,2
N_MAIN_N1_CAP10,ENTRY,LIMIT_OR_STATUS_BLOCK,26
N_MAIN_N1_CAP10,ENTRY,OVER_LIMIT,701
N_MAIN_N1_CAP10,ENTRY,SLOTS_OR_RANK,14221
N_MAIN_N1_CAP10,ENTRY,SUSPENDED_OR_NO_TRADE,3
N_MAIN_N1_CAP10,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,12
N_MAIN_N1_CAP10,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,5
N_MAIN_N2_MAX_DEPLOYABLE,ENTRY,CASH_OR_CAPACITY,10
N_MAIN_N2_MAX_DEPLOYABLE,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,24
N_MAIN_N2_MAX_DEPLOYABLE,ENTRY,FILLED,807
N_MAIN_N2_MAX_DEPLOYABLE,ENTRY,HELD,842
N_MAIN_N2_MAX_DEPLOYABLE,ENTRY,INVALID_EXECUTION_DATA,2
N_MAIN_N2_MAX_DEPLOYABLE,ENTRY,LIMIT_OR_STATUS_BLOCK,17
N_MAIN_N2_MAX_DEPLOYABLE,ENTRY,OVER_LIMIT,715
N_MAIN_N2_MAX_DEPLOYABLE,ENTRY,SLOTS_OR_RANK,14229
N_MAIN_N2_MAX_DEPLOYABLE,ENTRY,SUSPENDED_OR_NO_TRADE,2
N_MAIN_N2_MAX_DEPLOYABLE,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,13
N_MAIN_N2_MAX_DEPLOYABLE,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,4
N_MAIN_N2_CAP10,ENTRY,CASH_OR_CAPACITY,8
N_MAIN_N2_CAP10,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,24
N_MAIN_N2_CAP10,ENTRY,FILLED,807
N_MAIN_N2_CAP10,ENTRY,HELD,840
N_MAIN_N2_CAP10,ENTRY,INVALID_EXECUTION_DATA,2
N_MAIN_N2_CAP10,ENTRY,LIMIT_OR_STATUS_BLOCK,19
N_MAIN_N2_CAP10,ENTRY,OVER_LIMIT,709
N_MAIN_N2_CAP10,ENTRY,SLOTS_OR_RANK,14237
N_MAIN_N2_CAP10,ENTRY,SUSPENDED_OR_NO_TRADE,2
N_MAIN_N2_CAP10,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,13
N_MAIN_N2_CAP10,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,4
N_MAIN_N3_MAX_DEPLOYABLE,ENTRY,CASH_OR_CAPACITY,210
N_MAIN_N3_MAX_DEPLOYABLE,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,4
N_MAIN_N3_MAX_DEPLOYABLE,ENTRY,FILLED,686
N_MAIN_N3_MAX_DEPLOYABLE,ENTRY,HELD,460
N_MAIN_N3_MAX_DEPLOYABLE,ENTRY,LIMIT_OR_STATUS_BLOCK,7
N_MAIN_N3_MAX_DEPLOYABLE,ENTRY,OVER_LIMIT,507
N_MAIN_N3_MAX_DEPLOYABLE,ENTRY,SLOTS_OR_RANK,2554
N_MAIN_N3_MAX_DEPLOYABLE,ENTRY,SUSPENDED_OR_NO_TRADE,1
N_MAIN_N3_MAX_DEPLOYABLE,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,4
N_MAIN_N3_MAX_DEPLOYABLE,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,4
N_MAIN_N3_CAP10,ENTRY,CASH_OR_CAPACITY,6
N_MAIN_N3_CAP10,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,4
N_MAIN_N3_CAP10,ENTRY,FILLED,725
N_MAIN_N3_CAP10,ENTRY,HELD,520
N_MAIN_N3_CAP10,ENTRY,LIMIT_OR_STATUS_BLOCK,5
N_MAIN_N3_CAP10,ENTRY,OVER_LIMIT,500
N_MAIN_N3_CAP10,ENTRY,SLOTS_OR_RANK,2668
N_MAIN_N3_CAP10,ENTRY,SUSPENDED_OR_NO_TRADE,1
N_MAIN_N3_CAP10,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,4
N_MAIN_N3_CAP10,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,4
N_MAIN_N4_MAX_DEPLOYABLE,ENTRY,CASH_OR_CAPACITY,220
N_MAIN_N4_MAX_DEPLOYABLE,ENTRY,END_BOUNDARY_NO_ENTRY_SESSION,4
N_MAIN_N4_MAX_DEPLOYABLE,ENTRY,FILLED,675
N_MAIN_N4_MAX_DEPLOYABLE,ENTRY,HELD,484
N_MAIN_N4_MAX_DEPLOYABLE,ENTRY,LIMIT_OR_STATUS_BLOCK,8
N_MAIN_N4_MAX_DEPLOYABLE,ENTRY,OVER_LIMIT,555
N_MAIN_N4_MAX_DEPLOYABLE,ENTRY,SLOTS_OR_RANK,2482
N_MAIN_N4_MAX_DEPLOYABLE,ENTRY,SUSPENDED_OR_NO_TRADE,1
N_MAIN_N4_MAX_DEPLOYABLE,EXIT_ATTEMPT,LIMIT_OR_STATUS_BLOCK,4
N_MAIN_N4_MAX_DEPLOYABLE,EXIT_ATTEMPT,SUSPENDED_OR_NO_TRADE,4
