scenario,signals,filled,lowopen_count,lowopen_pnl,lowopen_pnl_other,buy_day_structure_breaches,intraday_only_structure_touches,open_positions,stale_open_positions,unallocated_fraction,integer_allocation_uncertain_events,best_stock,best_stock_pnl,pnl_ex_best_stock,largest_trade_pnl,worst_trade_pnl,planned_risk_exceeded,max_planned_risk_nav,return_ex_best_day,return_ex_best_five_days
N_MAIN_N9_CAP10,3541,583,143,-381291.3925157002,311165.4359500996,8,221,7,0,0.0,0,600338.SH,64127.148000000016,-134253.10456560054,64127.148000000016,-30547.33316000001,70,0.039301607768868096,-0.11909233307478251,-0.25291352279089685
N_COST_N1_MAX_DEPLOYABLE,16648,808,253,-464330.92606059986,-193823.38567719975,7,288,10,0,0.5791599999995469,1,300619.SZ,60955.55424,-719109.8659777998,60955.55424,-88968.97136000001,107,0.06510169752861332,-0.6802428776868218,-0.7432971816062359
N_COST_N1_CAP10,16648,808,253,-461909.7937888,-177169.0028473999,7,288,10,0,0.6259199999994962,1,300619.SZ,54182.714879999985,-693261.5115162,57543.95407999997,-93651.5488,107,0.037842042924901405,-0.6622906649564546,-0.7274630172886023
N_COST_N4_MAX_DEPLOYABLE,4429,670,182,-744034.5156143999,52580.99096439965,9,268,7,0,0.0,0,300548.SZ,109140.25824,-800593.7828900003,109140.25824,-76356.38639999996,99,0.18642359749532542,-0.7183778203762858,-0.7829129382562277
N_COST_N4_CAP10,4429,712,189,-526387.2629522001,26003.822038199607,8,269,7,0,0.0,0,600338.SH,54191.2536,-554574.6945140006,54191.2536,-27920.557439999997,104,0.04174919120958112,-0.5277154831511218,-0.6009228412661558
N_COST_N9_MAX_DEPLOYABLE,3541,516,129,-494025.14993199985,119272.37275220014,4,195,7,0,0.0,0,002006.SZ,161481.47004000004,-536234.2472197998,161589.96576000005,-95189.20800000001,60,0.18768287311492174,-0.4288380219782285,-0.5701754306855211
N_COST_N9_CAP10,3541,582,142,-413916.70641880005,271766.3880242,8,218,7,0,0.0,0,600338.SH,63754.41599999998,-205904.73439460003,63754.41599999998,-30734.63504000001,77,0.03965884240906966,-0.192324946019091,-0.318245665537771
N_DELAY_N1_MAX_DEPLOYABLE,16648,806,521,-361337.8281308003,-228967.57316419994,46,362,10,0,0.1960599999997612,1,000422.SZ,79727.34976,-670032.7510550003,75982.91867999999,-49046.55191999997,75,0.07590365847225429,-0.6093054787109264,-0.697252197032614
N_DELAY_N1_CAP10,16648,807,518,-365801.9919254002,-210705.44697260033,46,339,10,0,0.7194399999997358,1,601127.SH,89144.34448000001,-665651.7833780006,102411.75996000001,-38147.318159999995,74,0.0442033892485424,-0.594192912743216,-0.6731665672961527
N_DELAY_N4_MAX_DEPLOYABLE,4429,694,391,-468675.81850060064,-147444.63246129977,43,320,8,0,0.0,0,688036.SH,90172.16420479998,-706292.6151667002,90172.16420479998,-81991.43044000003,85,0.24691790465554053,-0.6546630314706363,-0.730711360022579
N_DELAY_N4_CAP10,4429,723,404,-350867.7513882002,-81565.90856749995,45,317,9,0,0.0,0,300619.SZ,53692.606239999994,-486126.26619570015,53692.606239999994,-29587.193279999992,86,0.04017135363892984,-0.458697441592793,-0.5398905915765705
N_DELAY_N9_MAX_DEPLOYABLE,3541,551,310,-530051.9172276002,-141014.45904209983,40,278,8,0,0.0,0,002006.SZ,70536.79056000002,-741603.1668297,70645.20192000002,-59806.49664,66,0.15532989991669605,-0.6957856584486257,-0.752966218474596
N_DELAY_N9_CAP10,3541,591,333,-407034.5761483002,-131381.2496279001,38,291,10,0,0.0,0,601127.SH,42848.53603999999,-581264.3618162003,42848.53603999999,-24749.724720000013,68,0.035428209856104745,-0.548846880206042,-0.6172085622334321
N_EXIT_N1_MAX_DEPLOYABLE,16648,912,297,-524334.103652,-302676.7806332003,6,121,7,0,0.0,0,000983.SZ,57742.7898,-884753.6740852002,57742.7898,-79471.41436,82,0.08032140066608946,-0.8370609258236664,-0.8691620546678935
N_EXIT_N1_CAP10,16648,913,292,-447578.62317800004,-329931.3192226002,6,124,7,0,0.0,0,000983.SZ,52880.23908,-830390.1814806003,55361.667199999996,-74796.62528000001,80,0.038373530752843193,-0.7886031569934225,-0.8244105388872365
N_EXIT_N4_MAX_DEPLOYABLE,4429,709,182,-350669.68260500033,-327430.14080720016,9,73,5,0,0.0,0,002246.SZ,93664.74644000002,-771764.5698522005,93664.74644000002,-58660.920399999944,62,0.17250716361066162,-0.708698241580863,-0.7873880675475174
N_EXIT_N4_CAP10,4429,744,184,-209935.94237860013,-292809.4344832002,9,90,5,0,0.0,0,601908.SH,61347.138840000014,-564092.5157018005,59813.59644000001,-32653.2978,59,0.041081189169283286,-0.5249943702626864,-0.6055815068222501
N_EXIT_N9_MAX_DEPLOYABLE,3541,555,121,-261185.6639947001,-219467.56739280024,8,69,5,0,0.0,0,002163.SZ,101074.20959999994,-581727.4409875004,101074.20959999994,-63714.030750000034,38,0.17212064315251563,-0.5336642239110005,-0.6608992297525914
N_EXIT_N9_CAP10,3541,610,141,-49596.17367380021,-386173.09268570016,9,87,5,0,0.0,0,000983.SZ,58958.427479999984,-494727.6938395004,58958.427479999984,-32653.2978,46,0.03791445899084907,-0.45972648331541843,-0.5479349727868387
INDUSTRY_N4_MATCH_MAX_DEPLOYABLE,4414,678,183,-801391.1973757001,313660.4242410001,7,271,7,0,0.0,0,300548.SZ,115957.33816000004,-603688.1112946998,115957.33816000004,-115158.90372,89,0.15628340287378278,-0.5338071813805183,-0.6441700182477734
INDUSTRY_N4_MATCH_CAP10,4414,716,188,-508332.41392840014,91591.97877039958,9,277,7,0,0.0,0,600338.SH,55576.86160000002,-472317.2967580006,55576.86160000002,-29503.83014,96,0.042135762082170035,-0.448776931819834,-0.5350771212123586
INDUSTRY_N4_PLUS_MAX_DEPLOYABLE,4414,673,184,-983773.8970550006,587331.1598399994,8,267,7,0,0.9207400000001371,1,300548.SZ,113129.1104,-509571.84761500143,113129.1104,-147494.16239999997,88,0.1563589205245003,-0.45123577037168927,-0.5723749038676575
INDUSTRY_N4_PLUS_CAP10,4414,713,187,-508155.0947364003,256963.89204059963,7,278,7,0,0.578600000000165,1,600338.SH,63058.36220000003,-314249.5648958007,63058.36220000003,-35233.44511999999,95,0.039803284472902,-0.29462292810691804,-0.4089947783725304
