scenario,split,cell,closed_trades,pnl,win_rate
OLD_MAIN_PC_CAP10,board,STAR,67,243218.1145986997,0.47761194029850745
OLD_MAIN_PC_CAP10,entry_gate,False,180,-22920.281319100024,0.4777777777777778
OLD_MAIN_PC_CAP10,entry_gate,True,636,-249118.77337020083,0.41509433962264153
OLD_COST_B0_MAX_DEPLOYABLE,board,CHINEXT,171,-235383.55115199997,0.42105263157894735
OLD_COST_B0_MAX_DEPLOYABLE,board,MAIN,558,-701934.2198599998,0.34408602150537637
OLD_COST_B0_MAX_DEPLOYABLE,board,STAR,54,29525.522987200005,0.5185185185185185
OLD_COST_B0_MAX_DEPLOYABLE,entry_gate,False,171,-197563.0987792,0.38011695906432746
OLD_COST_B0_MAX_DEPLOYABLE,entry_gate,True,612,-710229.1492455998,0.3709150326797386
OLD_COST_B0_CAP10,board,CHINEXT,171,-228208.52689999997,0.42105263157894735
OLD_COST_B0_CAP10,board,MAIN,558,-676398.2042399999,0.34587813620071683
OLD_COST_B0_CAP10,board,STAR,54,16771.3507904,0.5185185185185185
OLD_COST_B0_CAP10,entry_gate,False,171,-194449.55327540002,0.38596491228070173
OLD_COST_B0_CAP10,entry_gate,True,612,-693385.8270741999,0.3709150326797386
OLD_COST_PC_MAX_DEPLOYABLE,board,CHINEXT,200,-374946.1344,0.425
OLD_COST_PC_MAX_DEPLOYABLE,board,MAIN,554,-140788.51146,0.40794223826714804
OLD_COST_PC_MAX_DEPLOYABLE,board,STAR,58,-45199.991155799995,0.4827586206896552
OLD_COST_PC_MAX_DEPLOYABLE,entry_gate,False,180,40304.21964440004,0.4722222222222222
OLD_COST_PC_MAX_DEPLOYABLE,entry_gate,True,632,-601238.8566601999,0.40189873417721517
OLD_COST_PC_CAP10,board,CHINEXT,202,-329980.6568519998,0.42574257425742573
OLD_COST_PC_CAP10,board,MAIN,553,-107068.40005600004,0.4159132007233273
OLD_COST_PC_CAP10,board,STAR,59,-57760.292598,0.4745762711864407
OLD_COST_PC_CAP10,entry_gate,False,181,35299.02961040004,0.46408839779005523
OLD_COST_PC_CAP10,entry_gate,True,633,-530108.3791163999,0.4107424960505529
OLD_DELAY_B0_MAX_DEPLOYABLE,board,CHINEXT,176,-103855.25006600012,0.42613636363636365
OLD_DELAY_B0_MAX_DEPLOYABLE,board,MAIN,569,-734513.1434180005,0.3374340949033392
OLD_DELAY_B0_MAX_DEPLOYABLE,board,STAR,53,-55134.297231200035,0.4528301886792453
OLD_DELAY_B0_MAX_DEPLOYABLE,entry_gate,False,173,-531045.0093850001,0.3179190751445087
OLD_DELAY_B0_MAX_DEPLOYABLE,entry_gate,True,625,-362457.6813302005,0.3776
OLD_DELAY_B0_CAP10,board,CHINEXT,177,-139160.49640400015,0.4067796610169492
OLD_DELAY_B0_CAP10,board,MAIN,566,-700267.6731480004,0.3374558303886926
OLD_DELAY_B0_CAP10,board,STAR,56,-12758.012232700024,0.4642857142857143
OLD_DELAY_B0_CAP10,entry_gate,False,173,-493112.33272840007,0.3179190751445087
OLD_DELAY_B0_CAP10,entry_gate,True,626,-359073.84905630053,0.3738019169329074
OLD_DELAY_PC_MAX_DEPLOYABLE,board,CHINEXT,180,-440846.83675200015,0.39444444444444443
OLD_DELAY_PC_MAX_DEPLOYABLE,board,MAIN,572,101860.31624499988,0.46153846153846156
OLD_DELAY_PC_MAX_DEPLOYABLE,board,STAR,60,9510.810862099883,0.43333333333333335
OLD_DELAY_PC_MAX_DEPLOYABLE,entry_gate,False,170,9480.08574209985,0.47058823529411764
OLD_DELAY_PC_MAX_DEPLOYABLE,entry_gate,True,642,-338955.7953870003,0.43769470404984423
OLD_DELAY_PC_CAP10,board,CHINEXT,180,-425147.9668619999,0.39444444444444443
OLD_DELAY_PC_CAP10,board,MAIN,572,97706.87011700013,0.46153846153846156
OLD_DELAY_PC_CAP10,board,STAR,60,22443.89609839995,0.43333333333333335
OLD_DELAY_PC_CAP10,entry_gate,False,170,3871.421483899867,0.47058823529411764
OLD_DELAY_PC_CAP10,entry_gate,True,642,-308868.6221304997,0.43769470404984423
OLD_NEIGHBOR_B0_CAP10_20_3,board,CHINEXT,183,-147919.23449000018,0.3770491803278688
OLD_NEIGHBOR_B0_CAP10_20_3,board,MAIN,549,-792162.4296920004,0.37158469945355194
OLD_NEIGHBOR_B0_CAP10_20_3,board,STAR,49,73662.04530140001,0.6122448979591837
OLD_NEIGHBOR_B0_CAP10_20_3,entry_gate,False,169,-87361.36004460005,0.42011834319526625
OLD_NEIGHBOR_B0_CAP10_20_3,entry_gate,True,612,-779058.2588360003,0.3790849673202614
OLD_NEIGHBOR_PC_CAP10_20_3,board,CHINEXT,195,-451054.8337020002,0.39487179487179486
OLD_NEIGHBOR_PC_CAP10_20_3,board,MAIN,558,127601.85081199923,0.4659498207885305
OLD_NEIGHBOR_PC_CAP10_20_3,board,STAR,66,68504.2454588998,0.3939393939393939
OLD_NEIGHBOR_PC_CAP10_20_3,entry_gate,False,181,-108492.54912850028,0.3867403314917127
OLD_NEIGHBOR_PC_CAP10_20_3,entry_gate,True,638,-146456.18830260087,0.4592476489028213
OLD_NEIGHBOR_B0_CAP10_40_8,board,CHINEXT,177,-123887.67861800005,0.384180790960452
OLD_NEIGHBOR_B0_CAP10_40_8,board,MAIN,564,-749935.9737790005,0.36347517730496454
OLD_NEIGHBOR_B0_CAP10_40_8,board,STAR,50,11033.973086099937,0.44
OLD_NEIGHBOR_B0_CAP10_40_8,entry_gate,False,177,-195925.05050770007,0.3898305084745763
OLD_NEIGHBOR_B0_CAP10_40_8,entry_gate,True,614,-666864.6288032006,0.36807817589576547
OLD_NEIGHBOR_PC_CAP10_40_8,board,CHINEXT,187,-276959.70383000013,0.39572192513368987
OLD_NEIGHBOR_PC_CAP10_40_8,board,MAIN,554,-410815.4892140005,0.4296028880866426
OLD_NEIGHBOR_PC_CAP10_40_8,board,STAR,76,70483.62470569994,0.4342105263157895
OLD_NEIGHBOR_PC_CAP10_40_8,entry_gate,False,180,-145440.25019270024,0.4388888888888889
OLD_NEIGHBOR_PC_CAP10_40_8,entry_gate,True,637,-471851.31814560044,0.4175824175824176
N_MAIN_N0_MAX_DEPLOYABLE,board,CHINEXT,196,-285439.44794900005,0.32142857142857145
N_MAIN_N0_MAX_DEPLOYABLE,board,MAIN,569,-547884.7791444003,0.4147627416520211
N_MAIN_N0_MAX_DEPLOYABLE,board,STAR,54,54491.380582400016,0.5
N_MAIN_N0_MAX_DEPLOYABLE,entry_gate,False,181,-140186.38927650018,0.430939226519337
N_MAIN_N0_MAX_DEPLOYABLE,entry_gate,True,638,-638646.4572345002,0.3887147335423197
N_MAIN_N0_CAP10,board,CHINEXT,196,-304102.4258900002,0.32142857142857145
N_MAIN_N0_CAP10,board,MAIN,570,-482454.2255928003,0.41403508771929826
N_MAIN_N0_CAP10,board,STAR,53,51485.22743079993,0.5094339622641509
N_MAIN_N0_CAP10,entry_gate,False,181,-115462.19038850008,0.430939226519337
N_MAIN_N0_CAP10,entry_gate,True,638,-619609.2336635005,0.3887147335423197
N_MAIN_N1_MAX_DEPLOYABLE,board,CHINEXT,169,53355.44619999989,0.4319526627218935
N_MAIN_N1_MAX_DEPLOYABLE,board,MAIN,596,-625289.8293980005,0.4161073825503356
N_MAIN_N1_MAX_DEPLOYABLE,board,STAR,33,-70642.18530710004,0.42424242424242425
N_MAIN_N1_MAX_DEPLOYABLE,entry_gate,False,173,-223065.49135190007,0.48554913294797686
N_MAIN_N1_MAX_DEPLOYABLE,entry_gate,True,625,-419511.07715320075,0.4016
N_MAIN_N1_CAP10,board,CHINEXT,169,94479.21936599977,0.4260355029585799
N_MAIN_N1_CAP10,board,MAIN,597,-668895.7516724003,0.4120603015075377
N_MAIN_N1_CAP10,board,STAR,34,-81322.88676200002,0.4117647058823529
N_MAIN_N1_CAP10,entry_gate,False,173,-210462.58222780016,0.47398843930635837
N_MAIN_N1_CAP10,entry_gate,True,627,-445276.83684060036,0.39872408293460926
N_MAIN_N2_MAX_DEPLOYABLE,board,CHINEXT,156,15372.004496000096,0.4551282051282051
N_MAIN_N2_MAX_DEPLOYABLE,board,MAIN,611,-671943.5226640003,0.4337152209492635
N_MAIN_N2_MAX_DEPLOYABLE,board,STAR,30,3718.5974241000076,0.4666666666666667
N_MAIN_N2_MAX_DEPLOYABLE,entry_gate,False,176,-292856.1534787002,0.44886363636363635
N_MAIN_N2_MAX_DEPLOYABLE,entry_gate,True,621,-359996.76726520003,0.4363929146537842
N_MAIN_N2_CAP10,board,CHINEXT,155,17091.343073999888,0.45806451612903226
N_MAIN_N2_CAP10,board,MAIN,611,-640782.3690340004,0.4353518821603928
N_MAIN_N2_CAP10,board,STAR,31,-8931.84724380002,0.4838709677419355
N_MAIN_N2_CAP10,entry_gate,False,178,-239889.90156200013,0.449438202247191
N_MAIN_N2_CAP10,entry_gate,True,619,-392732.9716418005,0.4394184168012924
N_MAIN_N3_MAX_DEPLOYABLE,board,CHINEXT,136,-410720.1634952003,0.4485294117647059
N_MAIN_N3_MAX_DEPLOYABLE,board,MAIN,520,-29267.436974000535,0.45
N_MAIN_N3_MAX_DEPLOYABLE,board,STAR,23,64712.899721899914,0.5217391304347826
N_MAIN_N3_MAX_DEPLOYABLE,entry_gate,False,151,-270575.8813735004,0.4105960264900662
N_MAIN_N3_MAX_DEPLOYABLE,entry_gate,True,528,-104698.8193738005,0.4640151515151515
N_MAIN_N3_CAP10,board,CHINEXT,152,-69837.61206160032,0.4605263157894737
N_MAIN_N3_CAP10,board,MAIN,537,-356913.8725110005,0.44878957169459965
N_MAIN_N3_CAP10,board,STAR,29,30664.356694399954,0.6206896551724138
N_MAIN_N3_CAP10,entry_gate,False,160,-271066.0439260002,0.38125
N_MAIN_N3_CAP10,entry_gate,True,558,-125021.08395220063,0.48028673835125446
N_MAIN_N4_MAX_DEPLOYABLE,board,CHINEXT,142,-332398.4408140001,0.43661971830985913
N_MAIN_N4_MAX_DEPLOYABLE,board,MAIN,502,-362527.70075300004,0.44621513944223107
N_MAIN_N4_MAX_DEPLOYABLE,board,STAR,24,103786.21881839997,0.625
N_MAIN_N4_MAX_DEPLOYABLE,entry_gate,False,148,-361407.8726594002,0.39864864864864863
N_MAIN_N4_MAX_DEPLOYABLE,entry_gate,True,520,-229732.05008919985,0.4653846153846154
N_MAIN_N4_CAP10,board,CHINEXT,156,-204420.4091850003,0.4230769230769231
N_MAIN_N4_CAP10,board,MAIN,525,-240599.72660700028,0.4666666666666667
N_MAIN_N4_CAP10,board,STAR,28,43032.30884220005,0.6428571428571429
N_MAIN_N4_CAP10,entry_gate,False,158,-272783.0398316001,0.379746835443038
N_MAIN_N4_CAP10,entry_gate,True,551,-129204.78711820036,0.4882032667876588
N_MAIN_N5_MAX_DEPLOYABLE,board,CHINEXT,117,-204050.86073000004,0.3418803418803419
N_MAIN_N5_MAX_DEPLOYABLE,board,MAIN,418,-724292.1287019998,0.41626794258373206
N_MAIN_N5_MAX_DEPLOYABLE,board,STAR,16,66672.70314089995,0.75
N_MAIN_N5_MAX_DEPLOYABLE,entry_gate,False,109,-371344.6866058999,0.3486238532110092
N_MAIN_N5_MAX_DEPLOYABLE,entry_gate,True,442,-490325.5996852,0.4253393665158371
N_MAIN_N5_CAP10,board,CHINEXT,137,-124637.79539000016,0.36496350364963503
N_MAIN_N5_CAP10,board,MAIN,449,-497807.87831800024,0.43429844097995546
N_MAIN_N5_CAP10,board,STAR,20,58531.57387200004,0.65
N_MAIN_N5_CAP10,entry_gate,False,107,-168544.65219100003,0.3925233644859813
N_MAIN_N5_CAP10,entry_gate,True,499,-395369.4476450004,0.43286573146292584
N_MAIN_N6_MAX_DEPLOYABLE,board,CHINEXT,145,-219286.97372219997,0.43448275862068964
N_MAIN_N6_MAX_DEPLOYABLE,board,MAIN,503,-530564.9027490004,0.43141153081510936
N_MAIN_N6_MAX_DEPLOYABLE,board,STAR,25,42487.76069110006,0.48
N_MAIN_N6_MAX_DEPLOYABLE,entry_gate,False,149,-319294.92099539994,0.3624161073825503
N_MAIN_N6_MAX_DEPLOYABLE,entry_gate,True,524,-388069.1947847004,0.4541984732824427
N_MAIN_N6_CAP10,board,CHINEXT,149,-75943.31120720011,0.42953020134228187
N_MAIN_N6_CAP10,board,MAIN,531,-349586.67445600056,0.4406779661016949
N_MAIN_N6_CAP10,board,STAR,31,3617.356513199986,0.5483870967741935
N_MAIN_N6_CAP10,entry_gate,False,153,-301748.2263560002,0.33986928104575165
N_MAIN_N6_CAP10,entry_gate,True,558,-120164.40279400046,0.471326164874552
N_MAIN_N7_MAX_DEPLOYABLE,board,CHINEXT,116,-238356.92526999992,0.4051724137931034
N_MAIN_N7_MAX_DEPLOYABLE,board,MAIN,386,-344944.3414240008,0.4792746113989637
N_MAIN_N7_MAX_DEPLOYABLE,board,STAR,18,50593.90411619993,0.6666666666666666
N_MAIN_N7_MAX_DEPLOYABLE,entry_gate,True,520,-532707.3625778008,0.46923076923076923
N_MAIN_N7_CAP10,board,CHINEXT,129,-41053.01752600022,0.4573643410852713
N_MAIN_N7_CAP10,board,MAIN,423,-237156.0057940003,0.47754137115839246
N_MAIN_N7_CAP10,board,STAR,25,41630.65875080002,0.64
N_MAIN_N7_CAP10,entry_gate,True,577,-236578.3645692005,0.4800693240901213
N_MAIN_N8_MAX_DEPLOYABLE,board,CHINEXT,134,-282935.40006300015,0.4552238805970149
N_MAIN_N8_MAX_DEPLOYABLE,board,MAIN,507,-278880.36517399986,0.4457593688362919
N_MAIN_N8_MAX_DEPLOYABLE,board,STAR,25,111646.22842010001,0.64
N_MAIN_N8_MAX_DEPLOYABLE,entry_gate,False,153,-404447.35799369996,0.4117647058823529
N_MAIN_N8_MAX_DEPLOYABLE,entry_gate,True,513,-45722.178823200054,0.4678362573099415
N_MAIN_N8_CAP10,board,CHINEXT,150,-114854.00072600025,0.44
N_MAIN_N8_CAP10,board,MAIN,530,-294948.82025200035,0.45660377358490567
N_MAIN_N8_CAP10,board,STAR,33,90947.1558286999,0.696969696969697
N_MAIN_N8_CAP10,entry_gate,False,161,-283279.0552154002,0.37888198757763975
N_MAIN_N8_CAP10,entry_gate,True,552,-35576.60993390053,0.4891304347826087
N_MAIN_N9_MAX_DEPLOYABLE,board,CHINEXT,113,-206436.48080399988,0.45132743362831856
N_MAIN_N9_MAX_DEPLOYABLE,board,MAIN,380,-67517.99227999998,0.48157894736842105
N_MAIN_N9_MAX_DEPLOYABLE,board,STAR,17,36094.949089600035,0.6470588235294118
N_MAIN_N9_MAX_DEPLOYABLE,entry_gate,True,510,-237859.52399439985,0.4803921568627451
N_MAIN_N9_CAP10,board,CHINEXT,119,-2605.0528620001714,0.4789915966386555
N_MAIN_N9_CAP10,board,MAIN,430,-93377.20759800036,0.4813953488372093
N_MAIN_N9_CAP10,board,STAR,27,25856.3038944,0.6666666666666666
N_MAIN_N9_CAP10,entry_gate,True,576,-70125.95656560053,0.4895833333333333
N_COST_N1_MAX_DEPLOYABLE,board,CHINEXT,169,101439.89387999999,0.4437869822485207
N_COST_N1_MAX_DEPLOYABLE,board,MAIN,595,-688237.6121759998,0.41680672268907565
N_COST_N1_MAX_DEPLOYABLE,board,STAR,34,-71356.59344179992,0.4117647058823529
N_COST_N1_MAX_DEPLOYABLE,entry_gate,False,172,-174011.13619579986,0.5058139534883721
N_COST_N1_MAX_DEPLOYABLE,entry_gate,True,626,-484143.175542,0.3993610223642173
N_COST_N1_CAP10,board,CHINEXT,169,125561.30191600008,0.4437869822485207
N_COST_N1_CAP10,board,MAIN,595,-680146.351204,0.4184873949579832
N_COST_N1_CAP10,board,STAR,34,-84493.74734819998,0.4117647058823529
N_COST_N1_CAP10,entry_gate,False,172,-187714.8378548001,0.5058139534883721
N_COST_N1_CAP10,entry_gate,True,626,-451363.95878139976,0.4009584664536741
N_COST_N4_MAX_DEPLOYABLE,board,CHINEXT,139,-296597.20996400004,0.41007194244604317
N_COST_N4_MAX_DEPLOYABLE,board,MAIN,500,-479544.0726040001,0.432
N_COST_N4_MAX_DEPLOYABLE,board,STAR,24,84687.75791799992,0.625
N_COST_N4_MAX_DEPLOYABLE,entry_gate,False,148,-469526.59133039997,0.3716216216216216
N_COST_N4_MAX_DEPLOYABLE,entry_gate,True,515,-221926.93331960018,0.4524271844660194
N_COST_N4_CAP10,board,CHINEXT,157,-196001.97754,0.4267515923566879
N_COST_N4_CAP10,board,MAIN,519,-344790.0487040006,0.4527938342967245
N_COST_N4_CAP10,board,STAR,29,40408.585330000016,0.6551724137931034
N_COST_N4_CAP10,entry_gate,False,155,-286607.21282420005,0.36774193548387096
N_COST_N4_CAP10,entry_gate,True,550,-213776.22808980048,0.48
N_COST_N9_MAX_DEPLOYABLE,board,CHINEXT,115,-208165.65711200016,0.45217391304347826
N_COST_N9_MAX_DEPLOYABLE,board,MAIN,378,-202683.81900799976,0.4656084656084656
N_COST_N9_MAX_DEPLOYABLE,board,STAR,16,36096.6989402001,0.6875
N_COST_N9_MAX_DEPLOYABLE,entry_gate,True,509,-374752.77717979974,0.46954813359528486
N_COST_N9_CAP10,board,CHINEXT,119,-4661.2178879999265,0.48739495798319327
N_COST_N9_CAP10,board,MAIN,429,-158249.28707600018,0.4755244755244755
N_COST_N9_CAP10,board,STAR,27,20760.186569400044,0.6666666666666666
N_COST_N9_CAP10,entry_gate,True,575,-142150.31839460004,0.48695652173913045
N_DELAY_N1_MAX_DEPLOYABLE,board,CHINEXT,154,-72435.09113000002,0.44155844155844154
N_DELAY_N1_MAX_DEPLOYABLE,board,MAIN,611,-513255.4879812002,0.4075286415711948
N_DELAY_N1_MAX_DEPLOYABLE,board,STAR,31,-4614.822183799981,0.45161290322580644
N_DELAY_N1_MAX_DEPLOYABLE,entry_gate,False,179,-263919.4684630002,0.4301675977653631
N_DELAY_N1_MAX_DEPLOYABLE,entry_gate,True,617,-326385.93283200014,0.41166936790923825
N_DELAY_N1_CAP10,board,CHINEXT,149,-39683.95628000006,0.40939597315436244
N_DELAY_N1_CAP10,board,MAIN,614,-534403.8605472004,0.41205211726384366
N_DELAY_N1_CAP10,board,STAR,34,-2419.6220708000983,0.47058823529411764
N_DELAY_N1_CAP10,entry_gate,False,179,-223081.60516040024,0.41899441340782123
N_DELAY_N1_CAP10,entry_gate,True,618,-353425.83373760036,0.41262135922330095
N_DELAY_N4_MAX_DEPLOYABLE,board,CHINEXT,153,-346131.306675,0.3660130718954248
N_DELAY_N4_MAX_DEPLOYABLE,board,MAIN,515,-353324.9020110002,0.47184466019417476
N_DELAY_N4_MAX_DEPLOYABLE,board,STAR,18,83335.75772409987,0.5555555555555556
N_DELAY_N4_MAX_DEPLOYABLE,entry_gate,False,151,-219946.90112620007,0.40397350993377484
N_DELAY_N4_MAX_DEPLOYABLE,entry_gate,True,535,-396173.5498357003,0.4635514018691589
N_DELAY_N4_CAP10,board,CHINEXT,157,-303806.4482519999,0.37579617834394907
N_DELAY_N4_CAP10,board,MAIN,529,-177536.4533060001,0.45935727788279773
N_DELAY_N4_CAP10,board,STAR,28,48909.2416022999,0.5357142857142857
N_DELAY_N4_CAP10,entry_gate,False,155,-139287.9947796999,0.4
N_DELAY_N4_CAP10,entry_gate,True,559,-293145.66517600033,0.4561717352415027
N_DELAY_N9_MAX_DEPLOYABLE,board,CHINEXT,112,-252252.20944800004,0.3482142857142857
N_DELAY_N9_MAX_DEPLOYABLE,board,MAIN,417,-428744.721948,0.44844124700239807
N_DELAY_N9_MAX_DEPLOYABLE,board,STAR,14,9930.555126299983,0.6428571428571429
N_DELAY_N9_MAX_DEPLOYABLE,entry_gate,True,543,-671066.3762697,0.43278084714548803
N_DELAY_N9_CAP10,board,CHINEXT,120,-271132.1757219999,0.35833333333333334
N_DELAY_N9_CAP10,board,MAIN,438,-279845.74422400026,0.4406392694063927
N_DELAY_N9_CAP10,board,STAR,23,12562.094169799893,0.5217391304347826
N_DELAY_N9_CAP10,entry_gate,True,581,-538415.8257762003,0.4268502581755594
N_EXIT_N1_MAX_DEPLOYABLE,board,CHINEXT,188,-84270.73375599999,0.3351063829787234
N_EXIT_N1_MAX_DEPLOYABLE,board,MAIN,686,-716348.3652150003,0.31486880466472306
N_EXIT_N1_MAX_DEPLOYABLE,board,STAR,31,-26391.78531419993,0.3225806451612903
N_EXIT_N1_MAX_DEPLOYABLE,entry_gate,False,213,-270118.6095029999,0.3145539906103286
N_EXIT_N1_MAX_DEPLOYABLE,entry_gate,True,692,-556892.2747822003,0.3208092485549133
N_EXIT_N1_CAP10,board,CHINEXT,187,-76840.859518,0.34759358288770054
N_EXIT_N1_CAP10,board,MAIN,687,-672678.0961000002,0.314410480349345
N_EXIT_N1_CAP10,board,STAR,32,-27990.9867826,0.3125
N_EXIT_N1_CAP10,entry_gate,False,214,-234442.48162639997,0.3177570093457944
N_EXIT_N1_CAP10,entry_gate,True,692,-543067.4607742003,0.3222543352601156
N_EXIT_N4_MAX_DEPLOYABLE,board,CHINEXT,157,-118533.03873699984,0.3821656050955414
N_EXIT_N4_MAX_DEPLOYABLE,board,MAIN,528,-567209.2518950005,0.3446969696969697
N_EXIT_N4_MAX_DEPLOYABLE,board,STAR,19,7642.467219799986,0.5263157894736842
N_EXIT_N4_MAX_DEPLOYABLE,entry_gate,False,154,-425788.5964676,0.33766233766233766
N_EXIT_N4_MAX_DEPLOYABLE,entry_gate,True,550,-252311.2269446004,0.36363636363636365
N_EXIT_N4_CAP10,board,CHINEXT,159,-81404.15563200015,0.3584905660377358
N_EXIT_N4_CAP10,board,MAIN,550,-434264.23933100025,0.34363636363636363
N_EXIT_N4_CAP10,board,STAR,30,12923.018101200047,0.5333333333333333
N_EXIT_N4_CAP10,entry_gate,False,164,-206530.2216007,0.3170731707317073
N_EXIT_N4_CAP10,entry_gate,True,575,-296215.1552611004,0.3652173913043478
N_EXIT_N9_MAX_DEPLOYABLE,board,CHINEXT,125,-125064.66263200034,0.384
N_EXIT_N9_MAX_DEPLOYABLE,board,MAIN,406,-386705.7995050002,0.35960591133004927
N_EXIT_N9_MAX_DEPLOYABLE,board,STAR,19,31117.230749500064,0.5789473684210527
N_EXIT_N9_MAX_DEPLOYABLE,entry_gate,True,550,-480653.23138750036,0.37272727272727274
N_EXIT_N9_CAP10,board,CHINEXT,132,-63995.03924200012,0.38636363636363635
N_EXIT_N9_CAP10,board,MAIN,445,-384927.19368000026,0.34831460674157305
N_EXIT_N9_CAP10,board,STAR,28,13152.96656250002,0.5357142857142857
N_EXIT_N9_CAP10,entry_gate,True,605,-435769.2663595004,0.3652892561983471
INDUSTRY_N4_MATCH_MAX_DEPLOYABLE,board,CHINEXT,145,-394979.19976000005,0.43448275862068964
INDUSTRY_N4_MATCH_MAX_DEPLOYABLE,board,MAIN,501,-184631.41029599996,0.45109780439121755
INDUSTRY_N4_MATCH_MAX_DEPLOYABLE,board,STAR,25,91879.83692129995,0.6
INDUSTRY_N4_MATCH_MAX_DEPLOYABLE,entry_gate,False,150,-396579.6531132998,0.3933333333333333
INDUSTRY_N4_MATCH_MAX_DEPLOYABLE,entry_gate,True,521,-91151.12002140004,0.47024952015355087
INDUSTRY_N4_MATCH_CAP10,board,CHINEXT,156,-220536.2800920003,0.4230769230769231
INDUSTRY_N4_MATCH_CAP10,board,MAIN,525,-239420.2470270003,0.4666666666666667
INDUSTRY_N4_MATCH_CAP10,board,STAR,28,43216.09196099997,0.6428571428571429
INDUSTRY_N4_MATCH_CAP10,entry_gate,False,158,-270632.2893585002,0.379746835443038
INDUSTRY_N4_MATCH_CAP10,entry_gate,True,551,-146108.14579950046,0.4882032667876588
INDUSTRY_N4_PLUS_MAX_DEPLOYABLE,board,CHINEXT,151,-363286.3659945999,0.46357615894039733
INDUSTRY_N4_PLUS_MAX_DEPLOYABLE,board,MAIN,492,-133042.76526100113,0.4634146341463415
INDUSTRY_N4_PLUS_MAX_DEPLOYABLE,board,STAR,23,99886.3940405999,0.5217391304347826
INDUSTRY_N4_PLUS_MAX_DEPLOYABLE,entry_gate,False,150,-628703.2047896,0.41333333333333333
INDUSTRY_N4_PLUS_MAX_DEPLOYABLE,entry_gate,True,516,232260.46757459897,0.4806201550387597
