archive,scenario,changed_artifacts,nav_max_abs_delta,net_return_delta,old_orders,new_orders
provisional_before_industry_history_completeness,OLD_COST_PC_MAX_DEPLOYABLE,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_COST_PC_CAP10,nav|trades|orders|audit|open_positions,182491.07248799992,-0.01810627850720001,106852,104348
provisional_after_upper_cap,OLD_COST_PC_CAP10,nav|trades|orders|audit|open_positions,182491.07248799992,-0.01810627850720001,107173,104348
provisional_before_universe_correction,OLD_COST_PC_CAP10,nav|trades|orders|audit|open_positions,182491.07248799992,-0.01810627850720001,107173,104348
provisional_before_preopen_coordinate,OLD_COST_PC_CAP10,trades|orders|open_positions,0.0,0.0,104348,104348
provisional_before_industry_history_completeness,OLD_COST_PC_CAP10,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_DELAY_B0_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,245487.05541960057,-0.002307926669799781,106734,104348
provisional_after_upper_cap,OLD_DELAY_B0_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,253610.42881720047,0.012091195900299674,107173,104348
provisional_before_universe_correction,OLD_DELAY_B0_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,253610.42881720047,0.012091195900299674,107173,104348
provisional_before_preopen_coordinate,OLD_DELAY_B0_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,43322.438271500054,0.0024105886254999205,104348,104348
provisional_before_industry_history_completeness,OLD_DELAY_B0_MAX_DEPLOYABLE,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_DELAY_B0_CAP10,nav|trades|orders|audit|open_positions,241417.03367040027,-0.00031279364979921954,106734,104348
provisional_after_upper_cap,OLD_DELAY_B0_CAP10,nav|trades|orders|audit|open_positions,241814.49010719988,-0.0003517118033992301,107173,104348
provisional_before_universe_correction,OLD_DELAY_B0_CAP10,nav|trades|orders|audit|open_positions,241814.49010719988,-0.0003517118033992301,107173,104348
provisional_before_preopen_coordinate,OLD_DELAY_B0_CAP10,nav|trades|orders|audit|open_positions,43981.45485180034,0.0035021036894004503,104348,104348
provisional_before_industry_history_completeness,OLD_DELAY_B0_CAP10,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_DELAY_PC_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,173210.52615740115,0.1506739386790013,106734,104348
provisional_after_upper_cap,OLD_DELAY_PC_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,175042.12474370073,0.15120025096570083,107173,104348
provisional_before_universe_correction,OLD_DELAY_PC_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,175042.12474370073,0.15120025096570083,107173,104348
provisional_before_preopen_coordinate,OLD_DELAY_PC_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,32547.87890640041,0.01074794240280066,104348,104348
provisional_before_industry_history_completeness,OLD_DELAY_PC_MAX_DEPLOYABLE,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_DELAY_PC_CAP10,nav|trades|orders|audit|open_positions,151153.30025359907,0.1283306797245991,106734,104348
provisional_after_upper_cap,OLD_DELAY_PC_CAP10,nav|trades|orders|audit|open_positions,153156.08569569944,0.13032631298149946,107173,104348
provisional_before_universe_correction,OLD_DELAY_PC_CAP10,nav|trades|orders|audit|open_positions,153156.08569569944,0.13032631298149946,107173,104348
provisional_before_preopen_coordinate,OLD_DELAY_PC_CAP10,nav|trades|orders|audit|open_positions,23553.93512759963,0.009897729854599573,104348,104348
provisional_before_industry_history_completeness,OLD_DELAY_PC_CAP10,,0.0,0.0,104348,104348
provisional_before_legal_submission,OLD_NEIGHBOR_B0_CAP10_20_3,nav|trades|orders|audit|open_positions,370871.25626199995,-0.06281447122690002,140080,135829
provisional_after_upper_cap,OLD_NEIGHBOR_B0_CAP10_20_3,nav|trades|orders|audit|open_positions,370871.25626199995,-0.06281447122690002,140350,135829
provisional_before_universe_correction,OLD_NEIGHBOR_B0_CAP10_20_3,nav|trades|orders|audit|open_positions,370871.25626199995,-0.06281447122690002,140350,135829
provisional_before_preopen_coordinate,OLD_NEIGHBOR_B0_CAP10_20_3,trades|orders|open_positions,0.0,0.0,135829,135829
provisional_before_industry_history_completeness,OLD_NEIGHBOR_B0_CAP10_20_3,,0.0,0.0,135829,135829
provisional_before_legal_submission,OLD_NEIGHBOR_PC_CAP10_20_3,nav|trades|orders|audit|open_positions,272988.1268296002,0.0007032650093002012,140080,135829
provisional_after_upper_cap,OLD_NEIGHBOR_PC_CAP10_20_3,nav|trades|orders|audit|open_positions,272988.1268296002,0.0007032650093002012,140350,135829
provisional_before_universe_correction,OLD_NEIGHBOR_PC_CAP10_20_3,nav|trades|orders|audit|open_positions,272988.1268296002,0.0007032650093002012,140350,135829
provisional_before_preopen_coordinate,OLD_NEIGHBOR_PC_CAP10_20_3,trades|orders|open_positions,0.0,0.0,135829,135829
provisional_before_industry_history_completeness,OLD_NEIGHBOR_PC_CAP10_20_3,,0.0,0.0,135829,135829
provisional_before_legal_submission,OLD_NEIGHBOR_B0_CAP10_40_8,nav|trades|orders|audit|open_positions,177823.07169840008,-0.11322696112070046,81569,80027
provisional_after_upper_cap,OLD_NEIGHBOR_B0_CAP10_40_8,nav|trades|orders|audit|open_positions,177823.07169840008,-0.11322696112070046,81807,80027
provisional_before_universe_correction,OLD_NEIGHBOR_B0_CAP10_40_8,nav|trades|orders|audit|open_positions,177823.07169840008,-0.11322696112070046,81807,80027
provisional_before_preopen_coordinate,OLD_NEIGHBOR_B0_CAP10_40_8,trades|orders|open_positions,0.0,0.0,80027,80027
provisional_before_industry_history_completeness,OLD_NEIGHBOR_B0_CAP10_40_8,,0.0,0.0,80027,80027
provisional_after_upper_cap,OLD_NEIGHBOR_PC_CAP10_40_8,nav|trades|orders|audit|open_positions,120603.06977640057,-0.08062021751000069,81807,80027
provisional_before_universe_correction,OLD_NEIGHBOR_PC_CAP10_40_8,nav|trades|orders|audit|open_positions,120603.06977640057,-0.08062021751000069,81807,80027
provisional_before_preopen_coordinate,OLD_NEIGHBOR_PC_CAP10_40_8,trades|orders|open_positions,0.0,0.0,80027,80027
provisional_before_industry_history_completeness,OLD_NEIGHBOR_PC_CAP10_40_8,,0.0,0.0,80027,80027
provisional_before_legal_submission,N_MAIN_N0_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,100947,101405
provisional_after_upper_cap,N_MAIN_N0_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,101405,101405
provisional_before_universe_correction,N_MAIN_N0_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,101405,101405
provisional_before_preopen_coordinate,N_MAIN_N0_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,101405,101405
provisional_before_industry_history_completeness,N_MAIN_N0_MAX_DEPLOYABLE,,0.0,0.0,101405,101405
provisional_before_legal_submission,N_MAIN_N0_CAP10,trades|orders|open_positions,0.0,0.0,100947,101405
provisional_after_upper_cap,N_MAIN_N0_CAP10,trades|orders|open_positions,0.0,0.0,101405,101405
provisional_before_universe_correction,N_MAIN_N0_CAP10,trades|orders|open_positions,0.0,0.0,101405,101405
provisional_before_preopen_coordinate,N_MAIN_N0_CAP10,trades|orders|open_positions,0.0,0.0,101405,101405
provisional_before_industry_history_completeness,N_MAIN_N0_CAP10,,0.0,0.0,101405,101405
provisional_before_legal_submission,N_MAIN_N1_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,16624,16648
provisional_after_upper_cap,N_MAIN_N1_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_universe_correction,N_MAIN_N1_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_preopen_coordinate,N_MAIN_N1_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_industry_history_completeness,N_MAIN_N1_MAX_DEPLOYABLE,,0.0,0.0,16648,16648
provisional_before_legal_submission,N_MAIN_N1_CAP10,trades|orders|open_positions,0.0,0.0,16624,16648
provisional_after_upper_cap,N_MAIN_N1_CAP10,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_universe_correction,N_MAIN_N1_CAP10,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_preopen_coordinate,N_MAIN_N1_CAP10,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_industry_history_completeness,N_MAIN_N1_CAP10,,0.0,0.0,16648,16648
provisional_before_legal_submission,N_MAIN_N2_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,16624,16648
provisional_after_upper_cap,N_MAIN_N2_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_universe_correction,N_MAIN_N2_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_preopen_coordinate,N_MAIN_N2_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_industry_history_completeness,N_MAIN_N2_MAX_DEPLOYABLE,,0.0,0.0,16648,16648
provisional_before_legal_submission,N_MAIN_N2_CAP10,trades|orders|open_positions,0.0,0.0,16624,16648
provisional_after_upper_cap,N_MAIN_N2_CAP10,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_universe_correction,N_MAIN_N2_CAP10,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_preopen_coordinate,N_MAIN_N2_CAP10,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_industry_history_completeness,N_MAIN_N2_CAP10,,0.0,0.0,16648,16648
provisional_before_legal_submission,N_MAIN_N3_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4425,4429
provisional_after_upper_cap,N_MAIN_N3_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_universe_correction,N_MAIN_N3_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_preopen_coordinate,N_MAIN_N3_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_industry_history_completeness,N_MAIN_N3_MAX_DEPLOYABLE,,0.0,0.0,4429,4429
provisional_before_legal_submission,N_MAIN_N3_CAP10,trades|orders|open_positions,0.0,0.0,4425,4429
provisional_after_upper_cap,N_MAIN_N3_CAP10,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_universe_correction,N_MAIN_N3_CAP10,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_preopen_coordinate,N_MAIN_N3_CAP10,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_industry_history_completeness,N_MAIN_N3_CAP10,,0.0,0.0,4429,4429
provisional_before_legal_submission,N_MAIN_N4_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4425,4429
provisional_after_upper_cap,N_MAIN_N4_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_universe_correction,N_MAIN_N4_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_preopen_coordinate,N_MAIN_N4_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_industry_history_completeness,N_MAIN_N4_MAX_DEPLOYABLE,,0.0,0.0,4429,4429
provisional_before_legal_submission,N_MAIN_N4_CAP10,trades|orders|open_positions,0.0,0.0,4425,4429
provisional_after_upper_cap,N_MAIN_N4_CAP10,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_universe_correction,N_MAIN_N4_CAP10,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_preopen_coordinate,N_MAIN_N4_CAP10,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_industry_history_completeness,N_MAIN_N4_CAP10,,0.0,0.0,4429,4429
provisional_before_legal_submission,N_MAIN_N5_MAX_DEPLOYABLE,trades|orders,0.0,0.0,3050,3055
provisional_after_upper_cap,N_MAIN_N5_MAX_DEPLOYABLE,trades|orders,0.0,0.0,3055,3055
provisional_before_universe_correction,N_MAIN_N5_MAX_DEPLOYABLE,trades|orders,0.0,0.0,3055,3055
provisional_before_preopen_coordinate,N_MAIN_N5_MAX_DEPLOYABLE,trades|orders,0.0,0.0,3055,3055
provisional_before_industry_history_completeness,N_MAIN_N5_MAX_DEPLOYABLE,,0.0,0.0,3055,3055
provisional_before_legal_submission,N_MAIN_N5_CAP10,trades|orders|open_positions,0.0,0.0,3050,3055
provisional_after_upper_cap,N_MAIN_N5_CAP10,trades|orders|open_positions,0.0,0.0,3055,3055
provisional_before_universe_correction,N_MAIN_N5_CAP10,trades|orders|open_positions,0.0,0.0,3055,3055
provisional_before_preopen_coordinate,N_MAIN_N5_CAP10,trades|orders|open_positions,0.0,0.0,3055,3055
provisional_before_industry_history_completeness,N_MAIN_N5_CAP10,,0.0,0.0,3055,3055
provisional_before_legal_submission,N_MAIN_N6_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,143268.6680467,-0.10028183137020044,4425,4429
provisional_after_upper_cap,N_MAIN_N6_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,143268.6680467,-0.10028183137020044,4429,4429
provisional_before_universe_correction,N_MAIN_N6_MAX_DEPLOYABLE,nav|trades|orders|audit|open_positions,143268.6680467,-0.10028183137020044,4429,4429
provisional_before_preopen_coordinate,N_MAIN_N6_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_industry_history_completeness,N_MAIN_N6_MAX_DEPLOYABLE,,0.0,0.0,4429,4429
provisional_before_legal_submission,N_MAIN_N6_CAP10,nav|trades|orders|open_positions,0.0,0.0,4425,4429
provisional_after_upper_cap,N_MAIN_N6_CAP10,nav|trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_universe_correction,N_MAIN_N6_CAP10,nav|trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_preopen_coordinate,N_MAIN_N6_CAP10,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_industry_history_completeness,N_MAIN_N6_CAP10,,0.0,0.0,4429,4429
provisional_before_legal_submission,N_MAIN_N7_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,3537,3541
provisional_after_upper_cap,N_MAIN_N7_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_universe_correction,N_MAIN_N7_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_preopen_coordinate,N_MAIN_N7_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_industry_history_completeness,N_MAIN_N7_MAX_DEPLOYABLE,,0.0,0.0,3541,3541
provisional_before_legal_submission,N_MAIN_N7_CAP10,trades|orders|open_positions,0.0,0.0,3537,3541
provisional_after_upper_cap,N_MAIN_N7_CAP10,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_universe_correction,N_MAIN_N7_CAP10,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_preopen_coordinate,N_MAIN_N7_CAP10,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_industry_history_completeness,N_MAIN_N7_CAP10,,0.0,0.0,3541,3541
provisional_before_legal_submission,N_MAIN_N8_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4425,4429
provisional_after_upper_cap,N_MAIN_N8_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_universe_correction,N_MAIN_N8_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_preopen_coordinate,N_MAIN_N8_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_industry_history_completeness,N_MAIN_N8_MAX_DEPLOYABLE,,0.0,0.0,4429,4429
provisional_before_legal_submission,N_MAIN_N8_CAP10,trades|orders|open_positions,0.0,0.0,4425,4429
provisional_after_upper_cap,N_MAIN_N8_CAP10,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_universe_correction,N_MAIN_N8_CAP10,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_preopen_coordinate,N_MAIN_N8_CAP10,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_industry_history_completeness,N_MAIN_N8_CAP10,,0.0,0.0,4429,4429
provisional_before_legal_submission,N_MAIN_N9_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,3537,3541
provisional_after_upper_cap,N_MAIN_N9_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_universe_correction,N_MAIN_N9_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_preopen_coordinate,N_MAIN_N9_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_industry_history_completeness,N_MAIN_N9_MAX_DEPLOYABLE,,0.0,0.0,3541,3541
provisional_before_legal_submission,N_MAIN_N9_CAP10,trades|orders|open_positions,0.0,0.0,3537,3541
provisional_after_upper_cap,N_MAIN_N9_CAP10,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_universe_correction,N_MAIN_N9_CAP10,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_preopen_coordinate,N_MAIN_N9_CAP10,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_industry_history_completeness,N_MAIN_N9_CAP10,,0.0,0.0,3541,3541
provisional_before_legal_submission,N_COST_N1_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,16624,16648
provisional_after_upper_cap,N_COST_N1_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_universe_correction,N_COST_N1_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_preopen_coordinate,N_COST_N1_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_industry_history_completeness,N_COST_N1_MAX_DEPLOYABLE,,0.0,0.0,16648,16648
provisional_before_legal_submission,N_COST_N1_CAP10,trades|orders|open_positions,0.0,0.0,16624,16648
provisional_after_upper_cap,N_COST_N1_CAP10,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_universe_correction,N_COST_N1_CAP10,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_preopen_coordinate,N_COST_N1_CAP10,trades|orders|open_positions,0.0,0.0,16648,16648
provisional_before_industry_history_completeness,N_COST_N1_CAP10,,0.0,0.0,16648,16648
provisional_before_legal_submission,N_COST_N4_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4425,4429
provisional_after_upper_cap,N_COST_N4_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_universe_correction,N_COST_N4_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_preopen_coordinate,N_COST_N4_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_industry_history_completeness,N_COST_N4_MAX_DEPLOYABLE,,0.0,0.0,4429,4429
provisional_before_legal_submission,N_COST_N4_CAP10,trades|orders|open_positions,0.0,0.0,4425,4429
provisional_after_upper_cap,N_COST_N4_CAP10,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_universe_correction,N_COST_N4_CAP10,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_preopen_coordinate,N_COST_N4_CAP10,trades|orders|open_positions,0.0,0.0,4429,4429
provisional_before_industry_history_completeness,N_COST_N4_CAP10,,0.0,0.0,4429,4429
provisional_before_legal_submission,N_COST_N9_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,3537,3541
provisional_after_upper_cap,N_COST_N9_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_universe_correction,N_COST_N9_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_preopen_coordinate,N_COST_N9_MAX_DEPLOYABLE,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_industry_history_completeness,N_COST_N9_MAX_DEPLOYABLE,,0.0,0.0,3541,3541
provisional_before_legal_submission,N_COST_N9_CAP10,trades|orders|open_positions,0.0,0.0,3537,3541
provisional_after_upper_cap,N_COST_N9_CAP10,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_universe_correction,N_COST_N9_CAP10,trades|orders|open_positions,0.0,0.0,3541,3541
provisional_before_preopen_coordinate,N_COST_N9_CAP10,trades|orders|open_positions,0.0,0.0,3541,3541
