source_row,audit_type,channel,scope,scope_value,market_view,denominator,coordinate,horizon,closing_arm,n,independent_value,authoritative_value,absolute_error,pass
58,partial_rank,,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,1,,829,-0.065612298432163679,-0.065612298432163596,8.3266726846886741e-17,True
59,partial_rank,,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,3,,829,-0.091788535155602424,-0.091788535155602299,1.2490009027033011e-16,True
60,partial_rank,,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,5,,829,-0.098898633687193788,-0.098898633687193802,1.3877787807814457e-17,True
61,partial_rank,,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,1,,829,-0.072532903590300374,-0.072532903590300304,6.9388939039072284e-17,True
62,partial_rank,,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,3,,829,-0.10142535759255994,-0.1014253575925598,1.3877787807814457e-16,True
63,partial_rank,,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,5,,829,-0.10916505455168866,-0.1091650545516886,6.9388939039072284e-17,True
64,partial_rank,,leave_one_year_out,2020,ALL_A,ALL_STATUS,pit,3,,722,-0.12509955093544869,-0.12509955093544861,8.3266726846886741e-17,True
65,partial_rank,,leave_one_year_out,2020,ALL_A,NON_ST,pit,3,,722,-0.12794753731683772,-0.1279475373168377,2.7755575615628914e-17,True
66,partial_rank,,leave_one_year_out,2020,CHINEXT_BOARD,ALL_STATUS,pit,3,,721,-0.11692102322499387,-0.1169210232249939,2.7755575615628914e-17,True
67,partial_rank,,leave_one_year_out,2020,CHINEXT_BOARD,NON_ST,pit,3,,722,-0.11539842797890203,-0.115398427978902,2.7755575615628914e-17,True
68,partial_rank,,leave_one_year_out,2020,SH_A,ALL_STATUS,pit,3,,722,-0.12148216099483565,-0.12148216099483559,5.5511151231257827e-17,True
69,partial_rank,,leave_one_year_out,2020,SH_A,NON_ST,pit,3,,722,-0.12276878967721133,-0.1227687896772113,2.7755575615628914e-17,True
70,partial_rank,,leave_one_year_out,2020,SZ_A,ALL_STATUS,pit,3,,722,-0.098017645839484996,-0.098017645839484899,9.7144514654701197e-17,True
71,partial_rank,,leave_one_year_out,2020,SZ_A,NON_ST,pit,3,,722,-0.1014033037173336,-0.1014033037173335,9.7144514654701197e-17,True
72,partial_rank,,leave_one_year_out,2021,ALL_A,ALL_STATUS,pit,3,,586,-0.16979036140170092,-0.1697903614017009,2.7755575615628914e-17,True
73,partial_rank,,leave_one_year_out,2021,ALL_A,NON_ST,pit,3,,586,-0.17153659799907417,-0.1715365979990742,2.7755575615628914e-17,True
74,partial_rank,,leave_one_year_out,2021,CHINEXT_BOARD,ALL_STATUS,pit,3,,586,-0.1254001407145621,-0.1254001407145621,0,True
