source_row,audit_type,channel,scope,scope_value,market_view,denominator,coordinate,horizon,closing_arm,n,independent_value,authoritative_value,absolute_error,pass
131,partial_rank,CROSSER_DOWNSIDE,phase,2,ALL_A,NON_ST,pit,5,,165,-0.35578857647532786,-0.35578857647532769,1.6653345369377348e-16,True
132,partial_rank,CROSSER_DOWNSIDE,phase,2,CHINEXT_BOARD,ALL_STATUS,pit,3,,275,-0.40440421462548859,-0.4044042146254887,1.1102230246251565e-16,True
133,partial_rank,CROSSER_DOWNSIDE,phase,2,CHINEXT_BOARD,ALL_STATUS,pit,5,,165,-0.28121369503891003,-0.28121369503890992,1.1102230246251565e-16,True
134,partial_rank,CROSSER_DOWNSIDE,phase,2,CHINEXT_BOARD,NON_ST,pit,3,,276,-0.3981856475602189,-0.39818564756021912,2.2204460492503131e-16,True
135,partial_rank,CROSSER_DOWNSIDE,phase,2,CHINEXT_BOARD,NON_ST,pit,5,,165,-0.27196374241170201,-0.27196374241170179,2.2204460492503131e-16,True
136,partial_rank,CROSSER_DOWNSIDE,phase,2,SH_A,ALL_STATUS,pit,3,,276,-0.38535242832819355,-0.38535242832819327,2.7755575615628914e-16,True
137,partial_rank,CROSSER_DOWNSIDE,phase,2,SH_A,ALL_STATUS,pit,5,,165,-0.36891315866107049,-0.36891315866107038,1.1102230246251565e-16,True
138,partial_rank,CROSSER_DOWNSIDE,phase,2,SH_A,NON_ST,pit,3,,276,-0.3930940534058765,-0.39309405340587661,1.1102230246251565e-16,True
139,partial_rank,CROSSER_DOWNSIDE,phase,2,SH_A,NON_ST,pit,5,,165,-0.37567735759807147,-0.37567735759807142,5.5511151231257827e-17,True
140,partial_rank,CROSSER_DOWNSIDE,phase,2,SZ_A,ALL_STATUS,pit,3,,276,-0.36051655135313049,-0.36051655135313038,1.1102230246251565e-16,True
141,partial_rank,CROSSER_DOWNSIDE,phase,2,SZ_A,ALL_STATUS,pit,5,,165,-0.28290647716114187,-0.28290647716114181,5.5511151231257827e-17,True
142,partial_rank,CROSSER_DOWNSIDE,phase,2,SZ_A,NON_ST,pit,3,,276,-0.36509189805050818,-0.36509189805050818,0,True
143,partial_rank,CROSSER_DOWNSIDE,phase,2,SZ_A,NON_ST,pit,5,,165,-0.27125559404529181,-0.27125559404529148,3.3306690738754696e-16,True
144,partial_rank,CROSSER_DOWNSIDE,phase,3,ALL_A,ALL_STATUS,pit,5,,166,-0.34364990378327459,-0.34364990378327481,2.2204460492503131e-16,True
145,partial_rank,CROSSER_DOWNSIDE,phase,3,ALL_A,NON_ST,pit,5,,166,-0.34215606452992753,-0.34215606452992758,5.5511151231257827e-17,True
146,partial_rank,CROSSER_DOWNSIDE,phase,3,CHINEXT_BOARD,ALL_STATUS,pit,5,,166,-0.33884335357345663,-0.3388433535734568,1.6653345369377348e-16,True
147,partial_rank,CROSSER_DOWNSIDE,phase,3,CHINEXT_BOARD,NON_ST,pit,5,,166,-0.34032155643997225,-0.34032155643997208,1.6653345369377348e-16,True
148,partial_rank,CROSSER_DOWNSIDE,phase,3,SH_A,ALL_STATUS,pit,5,,166,-0.29748608510727031,-0.2974860851072702,1.1102230246251565e-16,True
149,partial_rank,CROSSER_DOWNSIDE,phase,3,SH_A,NON_ST,pit,5,,166,-0.30076203070584195,-0.3007620307058419,5.5511151231257827e-17,True
150,partial_rank,CROSSER_DOWNSIDE,phase,3,SZ_A,ALL_STATUS,pit,5,,166,-0.35749202525951967,-0.35749202525951951,1.6653345369377348e-16,True
151,partial_rank,CROSSER_DOWNSIDE,phase,3,SZ_A,NON_ST,pit,5,,166,-0.35353257063275484,-0.35353257063275478,5.5511151231257827e-17,True
152,partial_rank,CROSSER_DOWNSIDE,phase,4,ALL_A,ALL_STATUS,pit,5,,166,-0.41930136954668218,-0.41930136954668218,0,True
153,partial_rank,CROSSER_DOWNSIDE,phase,4,ALL_A,NON_ST,pit,5,,166,-0.42651339540862732,-0.42651339540862698,3.3306690738754696e-16,True
154,partial_rank,CROSSER_DOWNSIDE,phase,4,CHINEXT_BOARD,ALL_STATUS,pit,5,,166,-0.36239611121724563,-0.3623961112172458,1.6653345369377348e-16,True
