symbol,raw_max_diff,pre_adj_max_diff,new_end
560570.SH,0.0,0.0,2026-09-16
589070.SH,0.0,0.0,2026-09-16
512480.SH,0.0,0.0,2026-09-16
562550.SH,0.0,0.0,2026-09-16
510880.SH,0.0,0.0,2026-09-16
159980.SZ,0.0,0.0,2026-09-16
516650.SH,0.0,0.0,2026-09-16
561360.SH,0.0,0.0,2026-09-16
159755.SZ,0.0,0.0,2026-09-16
563300.SH,0.0,0.0,2026-09-16
159566.SZ,0.0,0.0,2026-09-16
159692.SZ,0.0,0.0,2026-09-16
159880.SZ,0.0,0.0,2026-09-16
515170.SH,0.0,0.0,2026-09-16
512710.SH,0.0,0.0,2026-09-16
515030.SH,0.0,0.0,2026-09-16
562500.SH,0.0,0.0,2026-09-16
510720.SH,0.0,0.0032000000000000917,2026-09-16
159995.SZ,0.0,0.0,2026-09-16
159562.SZ,0.0,0.0,2026-09-16
560860.SH,0.0,0.0,2026-09-16
515000.SH,0.0,0.0,2026-09-16
512660.SH,0.0,0.0,2026-09-16
512980.SH,0.0,0.0,2026-09-16
159259.SZ,0.0,0.0,2026-09-16
512670.SH,0.0,0.0,2026-09-16
159227.SZ,0.0,0.0,2026-09-16
159819.SZ,0.0,0.0,2026-09-16
159949.SZ,0.0,0.0,2026-09-16
515980.SH,0.0,0.0,2026-09-16
512010.SH,0.0,0.0,2026-09-16
512290.SH,0.0,0.0,2026-09-16
589720.SH,0.0,0.0,2026-09-16
561420.SH,0.0,0.0,2026-09-16
159326.SZ,0.0,0.0,2026-09-16
159141.SZ,0.0,0.0,2026-09-16
516130.SH,0.0,0.0,2026-09-16
159363.SZ,0.0,0.0,2026-09-16
510150.SH,0.0,0.0,2026-09-16
560080.SH,0.0,0.0,2026-09-16
512170.SH,0.0,0.0,2026-09-16
000852.SH,0.0,0.0,2026-09-16
515650.SH,0.0,0.0,2026-09-16
159938.SZ,0.0,0.0,2026-09-16
159928.SZ,0.0,0.0,2026-09-16
515700.SH,0.0,0.0,2026-09-16
561550.SH,0.0,0.0,2026-09-16
159207.SZ,0.0,0.0,2026-09-16
159307.SZ,0.0,0.010999999999999899,2026-09-16
516160.SH,0.0,0.0,2026-09-16
159869.SZ,0.0,0.0,2026-09-16
159929.SZ,0.0,0.0,2026-09-16
512070.SH,0.0,0.0,2026-09-16
510050.SH,0.0,0.0,2026-09-16
588000.SH,0.0,0.0,2026-09-16
159263.SZ,0.0,0.0,2026-09-16
159206.SZ,0.0,0.0,2026-09-16
516150.SH,0.0,0.0,2026-09-16
588020.SH,0.0,0.0,2026-09-16
515630.SH,0.0,0.0,2026-09-16
515880.SH,0.0,0.0,2026-09-16
159859.SZ,0.0,0.0,2026-09-16
512100.SH,0.0,0.0,2026-09-16
512040.SH,0.0,0.0,2026-09-16
588170.SH,0.0,0.0,2026-09-16
