symbol,trade_date,max_abs_ohlc_error,volume_relative_error,amount_relative_error
600020.SH,2026-09-10,0.0,2.630409107528494e-06,6.252906411006765e-09
600020.SH,2026-09-11,0.0,0.0,0.0
600020.SH,2026-09-14,0.0,1.9916624324313875e-06,1.1526961133554809e-08
600020.SH,2026-09-15,0.0,1.8245513189377392e-06,1.3551280327282712e-09
600020.SH,2026-09-16,0.0,2.3955431945526716e-06,2.8924674365729905e-09
600026.SH,2026-09-07,0.0,3.795829568770694e-07,5.0935844908528965e-11
600026.SH,2026-09-08,0.0,7.552553240179226e-07,4.179560883192117e-10
600026.SH,2026-09-09,0.0,1.9179798915152214e-07,5.482006150066214e-10
600026.SH,2026-09-10,0.0,2.0133718764297036e-07,1.8411905748283558e-10
600026.SH,2026-09-11,0.0,2.8993448089594163e-08,1.3736876671945482e-10
600026.SH,2026-09-14,0.0,3.894280188923902e-07,1.069093120290555e-11
600026.SH,2026-09-15,0.0,8.377605955561883e-08,5.2700202072489647e-11
600026.SH,2026-09-16,0.0,5.857671118231369e-07,2.0967377577582942e-10
600029.SH,2026-09-07,0.0,7.711346243522332e-07,9.65420755430141e-10
600029.SH,2026-09-08,0.0,4.602744509961417e-07,1.1567280374731253e-09
600029.SH,2026-09-09,0.0,9.292054757406494e-07,5.90983382922223e-10
600029.SH,2026-09-10,0.0,3.9146372632520356e-08,7.837234339608933e-11
600029.SH,2026-09-11,0.0,2.5911864172157736e-07,5.274015582794678e-10
600029.SH,2026-09-14,0.0,4.92143234023021e-07,2.2306880789566084e-09
600029.SH,2026-09-15,0.0,7.760604996070547e-07,7.940358544338321e-10
600029.SH,2026-09-16,0.0,1.8770354455056347e-08,5.839735044680888e-10
600030.SH,2026-09-07,0.0,6.198309072359617e-08,4.909882821320163e-10
600030.SH,2026-09-08,0.0,2.7783560430887e-07,6.97120272389156e-11
600030.SH,2026-09-09,0.0,9.720466193003162e-08,1.3231138278448337e-10
600030.SH,2026-09-10,0.0,4.526754665071622e-07,4.906842828137253e-10
600030.SH,2026-09-11,0.0,6.641699240081126e-08,4.6545091981213437e-11
600030.SH,2026-09-14,0.0,5.120009175056441e-07,3.6532531584172114e-10
600030.SH,2026-09-15,0.0,5.4124038223358e-07,5.4640384332141567e-11
600030.SH,2026-09-16,0.0,4.0718638563188795e-07,4.687015747908884e-12
600031.SH,2026-09-07,0.0,1.375717855309058e-07,1.4649427065454208e-09
600031.SH,2026-09-08,0.0,7.829653444291336e-07,2.0519225377212153e-10
600031.SH,2026-09-09,0.0,3.224817160929018e-07,1.0210737360777303e-10
600031.SH,2026-09-10,0.0,9.164046922691809e-07,2.1210738941386727e-10
600031.SH,2026-09-11,0.0,9.357679520063333e-07,5.062490811423863e-10
600031.SH,2026-09-14,0.0,1.2734345382698278e-07,1.5361950243484563e-10
600031.SH,2026-09-15,0.0,2.2235064207083157e-07,2.8393217376735362e-11
600031.SH,2026-09-16,0.0,1.2099725794804066e-08,1.0559630815864263e-10
600033.SH,2026-09-07,0.0,6.259800108307062e-08,2.4215651179208304e-09
600033.SH,2026-09-08,0.0,8.899535700098106e-07,3.681632167184856e-09
600033.SH,2026-09-09,0.0,1.4365387460836363e-06,6.57694888461754e-09
600033.SH,2026-09-10,0.0,0.0,0.0
600033.SH,2026-09-11,0.0,8.530323380294185e-07,3.719309954791682e-09
600033.SH,2026-09-14,0.0,0.0,2.2493243925792364e-10
600033.SH,2026-09-15,0.0,1.0384444840078972e-06,8.380911838495359e-10
600033.SH,2026-09-16,0.0,5.55981173775164e-07,2.308967276481455e-09
600035.SH,2026-09-07,0.0,2.8170346381096454e-06,3.1956328080912133e-09
600035.SH,2026-09-08,0.0,5.76070016932426e-08,4.31734797552901e-09
600035.SH,2026-09-09,0.0,0.0,2.027771830936588e-16
600035.SH,2026-09-10,0.0,0.0,0.0
600035.SH,2026-09-11,0.0,2.8000232713045216e-06,2.3264485573479665e-09
600035.SH,2026-09-14,0.0,1.9176579865055416e-06,2.1949254380600397e-09
600035.SH,2026-09-15,0.0,1.5818429736116956e-06,4.328291237265713e-09
600035.SH,2026-09-16,0.0,1.923258153172126e-06,7.05375323799397e-09
600036.SH,2026-09-07,0.0,6.091926768812936e-07,7.54447946366844e-11
600036.SH,2026-09-08,0.0,5.881139613164189e-07,1.6322386645968973e-10
600036.SH,2026-09-09,0.0,8.563355278127017e-07,4.2845426987193574e-10
600036.SH,2026-09-10,0.0,1.212115849426848e-07,4.3897368988862084e-10
600036.SH,2026-09-11,0.0,6.775224278555487e-08,1.605888313023288e-10
600036.SH,2026-09-14,0.0,1.8765074218683295e-07,5.155672273897564e-11
600036.SH,2026-09-15,0.0,8.629897865511002e-07,1.5807282652199198e-10
600036.SH,2026-09-16,0.0,2.7880048507567064e-07,8.655305983918316e-11
600037.SH,2026-09-07,0.0,9.252962960666857e-08,1.3003705434230943e-09
600037.SH,2026-09-08,0.0,5.5529028104851465e-08,1.6946946737891376e-09
600037.SH,2026-09-09,0.0,2.148920629401661e-07,7.998609407749262e-09
600037.SH,2026-09-10,0.0,1.3445577010214604e-06,2.2969467870061856e-09
600037.SH,2026-09-11,0.0,3.0383384146240778e-06,7.610491015738542e-10
600037.SH,2026-09-14,0.0,0.0,0.0
600037.SH,2026-09-15,0.0,2.4137234661390803e-06,5.764502336419089e-09
600037.SH,2026-09-16,0.0,6.772376694490976e-07,3.429508788671727e-09
600038.SH,2026-09-07,0.0,7.413865963855162e-06,1.4385924699280848e-09
600038.SH,2026-09-08,0.0,6.852852218593334e-06,3.15129569061268e-09
600038.SH,2026-09-09,0.0,3.3445769516283393e-06,2.712664191600253e-09
600038.SH,2026-09-10,0.0,1.616002301187277e-06,2.8152111402062016e-09
600038.SH,2026-09-11,0.0,5.63640925388718e-06,2.6147357026547058e-09
600038.SH,2026-09-14,0.0,5.483883779552525e-06,1.3889494880637243e-09
600038.SH,2026-09-15,0.0,5.290310846069337e-06,1.1138173175819166e-09
600038.SH,2026-09-16,0.0,1.961122276191823e-06,2.438315255196693e-10
600039.SH,2026-09-07,0.0,7.607883593294716e-07,1.318645577023881e-09
600039.SH,2026-09-08,0.0,1.4380233506231675e-06,2.158511288347598e-09
600039.SH,2026-09-09,0.0,2.172542047999523e-06,2.439235243111961e-09
600039.SH,2026-09-10,0.0,2.3293679725879975e-06,5.043002377281387e-10
600039.SH,2026-09-11,0.0,2.1402675580902665e-06,2.497206967886197e-09
600039.SH,2026-09-14,0.0,2.934228390361529e-07,2.888158288240014e-09
600039.SH,2026-09-15,0.0,0.0,1.2255036747398632e-16
600039.SH,2026-09-16,0.0,0.0,3.3860102530545787e-09
600048.SH,2026-09-07,0.0,1.1516860268219553e-07,3.7208265655228565e-10
600048.SH,2026-09-08,0.0,3.007327263297062e-07,5.824700295110986e-10
600048.SH,2026-09-09,0.0,2.6675464353368025e-08,3.2373382272151995e-10
600048.SH,2026-09-10,0.0,1.6104750297883407e-07,5.825105928044666e-10
600048.SH,2026-09-11,0.0,1.461200044542691e-07,4.1796363111460697e-10
600048.SH,2026-09-14,0.0,2.905904456681268e-07,8.099677007978606e-10
600048.SH,2026-09-15,0.0,1.182501331112186e-08,2.3475804062014923e-11
600048.SH,2026-09-16,0.0,9.899704008749842e-08,8.842271815600212e-10
600050.SH,2026-09-07,0.0,2.7135612722930637e-07,1.3267899884921878e-10
600050.SH,2026-09-08,0.0,2.8179975048425365e-07,6.335705126169989e-10
600050.SH,2026-09-09,0.0,3.631551500484449e-07,2.155866345574305e-11
600050.SH,2026-09-10,0.0,1.9258015229015457e-07,3.8681985576010334e-10
600050.SH,2026-09-11,0.0,2.1768414579949876e-07,1.7555910904844762e-09
600050.SH,2026-09-14,0.0,3.678384545992497e-07,1.4941362229252637e-09
600050.SH,2026-09-15,0.0,4.615578304536436e-07,3.0667254134033005e-10
600050.SH,2026-09-16,0.0,3.4198320433433245e-07,9.22172769986488e-10
600051.SH,2026-09-07,0.0,0.0,1.2453308907122316e-16
600051.SH,2026-09-08,0.0,0.0,0.0
600051.SH,2026-09-09,0.0,4.926199664502345e-06,2.895881194595553e-09
600051.SH,2026-09-10,0.0,5.037637146672724e-06,1.3154296828999659e-08
600051.SH,2026-09-11,0.0,0.0,0.0
600051.SH,2026-09-14,0.0,8.968690302155176e-06,1.442801912486907e-08
600051.SH,2026-09-15,0.0,0.0,1.2068946375489973e-16
600051.SH,2026-09-16,0.0,9.01599437401951e-06,1.496829768834863e-08
600053.SH,2026-09-07,0.0,0.0,0.0
600053.SH,2026-09-08,0.0,0.0,1.5218918826292068e-16
600053.SH,2026-09-09,0.0,0.0,0.0
600053.SH,2026-09-10,0.0,0.0,0.0
600053.SH,2026-09-11,0.0,8.432407089630585e-07,4.8886349130784415e-08
600053.SH,2026-09-14,0.0,0.0,0.0
600053.SH,2026-09-15,0.0,0.0,0.0
600053.SH,2026-09-16,0.0,0.0,0.0
600054.SH,2026-09-07,0.0,9.537799204337715e-08,3.1888864995601887e-09
600054.SH,2026-09-08,0.0,1.3862940801083898e-06,0.0
600054.SH,2026-09-09,0.0,4.214491468708132e-06,3.461755888337291e-09
600054.SH,2026-09-10,0.0,0.0,0.0
600054.SH,2026-09-11,0.0,1.9542895580940909e-07,1.7700778094771608e-09
600054.SH,2026-09-14,0.0,0.0,1.166879259186202e-10
