comparison,variant,split,net_total_return,delta_net_total_return,annualized_return,delta_annualized_return,maximum_drawdown,delta_maximum_drawdown,sharpe,delta_sharpe,sortino,delta_sortino,calmar,delta_calmar,turnover,delta_turnover,average_exposure,delta_average_exposure,profit_factor,delta_profit_factor,completed_trades,delta_trade_count,delta_tail_loss,economic_significance
ISOLATED_OR_CUMULATIVE_VS_P0,I_DERISK_ONLY,validation,0.10865219417555605,0.0,0.37297828657607823,0.0,-0.12611613807255473,0.0,1.5397749868120392,0.0,2.1202403304155273,0.0,2.957419187396172,0.0,14.476252775396919,0.0,0.966984468214279,0.0,1.500398207007515,0.004214171273995149,1017,0,0.0,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,I_DERISK_ONLY,holdout,-0.15601811011304267,0.004261766792672317,-0.40072033064512624,0.009088154592750364,-0.1977161810937158,0.0038342310338764785,-2.5597903785240197,0.08030542177307431,-3.6898507648838326,0.1252183280563406,-2.0267452488129343,0.006535065089106951,16.351900043967152,-0.011653982372241245,0.9655752835785725,-0.0025705248072064313,0.6018639234277016,-0.00152266501374132,915,0,0.0003001471065737643,SMALL_POSITIVE
ISOLATED_OR_CUMULATIVE_VS_P0,P1_TEMPORAL_CONFIRMATION,discovery,-0.040895003418070286,-0.0024125639280192512,-0.12028644847819925,-0.006809685753961459,-0.09010024756070845,0.034792426176632696,-0.8977041135386665,-0.17336749391075224,-0.7206847164642818,0.0816764495547081,-1.33502905635361,-0.42643482637589236,4.776251764874828,0.9425596428215619,0.23290630107524105,0.0007810955451110768,1.0464302377385342,-0.2196144956317716,469,-104,0.007094692116899795,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,P1_TEMPORAL_CONFIRMATION,validation,0.11916714535095174,0.010514951175395693,0.41339169977943513,0.040413413203356896,-0.07589204618630108,0.05022409188625365,1.6523011865544128,0.11252619974237366,2.7335248983549887,0.6132845679394614,5.447101778816639,2.4896825914204666,13.772643411072067,-0.7036093643248513,0.9550898897379103,-0.011894578476368656,1.603254761241464,0.10707072550794416,731,-286,0.00543715102607803,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,P1_TEMPORAL_CONFIRMATION,holdout,-0.029391143376105933,0.13088873352960906,-0.08611439452423209,0.3236940907136445,-0.13412781865812495,0.06742259346946733,-0.4031598105027791,2.236935989794315,-0.6452200812546816,3.169849011685492,-0.6420323195125309,1.3912479943895102,16.414423796512867,0.05086977017347394,0.9583811095587911,-0.009764698826987828,0.6098802378464379,0.006493649404994972,732,-183,0.004054278639402414,ECONOMICALLY_MEANINGFUL_POSITIVE
ISOLATED_OR_CUMULATIVE_VS_P0,P2_CANONICAL_PERSISTENCE,discovery,-0.05792438141222378,-0.019441941922172745,-0.16735339170042218,-0.05387662897618439,-0.09119365041662308,0.03369902332071806,-1.862257315859768,-1.1379206962318538,-1.5618233002913615,-0.7594621342723716,-1.8351430273474,-0.9265487973696824,3.862284200870168,0.028592078816902067,0.19730268826003525,-0.03482251727009472,1.2814258966028402,0.015381163232534467,138,-435,0.018489693488572975,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,P2_CANONICAL_PERSISTENCE,validation,0.2038390709090443,0.09518687673348825,0.768481635706288,0.3955033491302098,-0.07759276119156522,0.04852337688098951,2.8681824366520923,1.328407449840053,4.4292433271703295,2.3090029967548023,9.904037746627148,6.946618559230976,12.684643278392642,-1.791609497004277,0.9124584761863274,-0.05452599202795161,1.959438042756828,0.4632540070233082,214,-803,0.010232035081120819,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,P2_CANONICAL_PERSISTENCE,holdout,0.04072397084021806,0.20100384774593305,0.12805176287946174,0.5378602481173383,-0.10616319521384088,0.0953872169137514,0.7206250287765706,3.3607208290736645,1.101217790174317,4.91628688311449,1.2061784936062963,3.2394588075083375,16.395944779180518,0.032390752841124026,0.9135900945138379,-0.054555713871941025,0.518992767444798,-0.08439382099664483,233,-682,0.01437129749357019,ECONOMICALLY_MEANINGFUL_POSITIVE
ISOLATED_OR_CUMULATIVE_VS_P0,P3_MASS_PROMINENCE,discovery,-0.02054429284834758,0.017938146641703456,-0.061726608852529674,0.051750153871708116,-0.06244871279021724,0.0624439609471239,-0.655674946507548,0.0686616731203663,-0.4328075599857587,0.3695536060332312,-0.9884368483284305,-0.07984261835071282,2.8815852413501832,-0.9521068807030826,0.1599607434340944,-0.07216446209603558,1.0022849085301406,-0.26375982484016514,44,-529,0.020451024683295634,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,P3_MASS_PROMINENCE,validation,0.16942327553301717,0.06077108135746112,0.6176655696812525,0.2446872831051743,-0.07327868364444856,0.05283745442810617,2.769255942856796,1.2294809560447568,4.05170928649108,1.9314689560755531,8.428993794132458,5.471574606736286,11.508971463822306,-2.967281311574613,0.7513926692138013,-0.21559179900047765,1.6878326904014314,0.19164865466791148,63,-954,0.01970077924802517,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,P3_MASS_PROMINENCE,holdout,-0.003383881054915716,0.15689599585079927,-0.010179720408204807,0.3996287648296718,-0.13541759147382337,0.06613282065376891,0.02412359970646447,2.6642194000035584,0.041406187268341936,3.856475280208515,-0.07517280655647,1.9581075073455712,13.084228942123994,-3.279325084215399,0.8080504199285665,-0.16009538845721238,0.5770527958400793,-0.026333792601363593,90,-825,0.020654904493148094,ECONOMICALLY_MEANINGFUL_POSITIVE
ISOLATED_OR_CUMULATIVE_VS_P0,P4_CHIP_SIZING,discovery,-0.027708044155362765,0.01077439533468827,-0.08263102073486472,0.030845741989373066,-0.0653660146000431,0.059526659137298044,-1.0545992734490923,-0.33026265382117803,-0.6429811670863924,0.15937999893259747,-1.264128174869793,-0.35553394489207535,3.104458191636386,-0.7292339304168798,0.16441059106476874,-0.06771461446536123,1.0022849085301406,-0.26375982484016514,44,-529,0.020451024683295634,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,P4_CHIP_SIZING,validation,0.20078494422839954,0.09213275005284349,0.7547297175180214,0.3817514309419432,-0.0760074665858329,0.05010867148672182,3.0886283595527204,1.5488533727406812,5.362198965397734,3.241958634982207,9.929678641054668,6.972259453658496,11.550687371557185,-2.925565403839734,0.8237970106179812,-0.1431874575962978,1.6878326904014314,0.19164865466791148,63,-954,0.01970077924802517,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,P4_CHIP_SIZING,holdout,0.029322635268036468,0.18960251217375146,0.09115881559785866,0.5009673008357353,-0.14010180755017998,0.0614486045774123,0.5657772855286145,3.2058730858257087,0.9708841537720462,4.78595324671222,0.650661238365597,2.683941552267638,14.032410393855155,-2.3311436324842383,0.8293985340488166,-0.13874727433696232,0.5770527958400793,-0.026333792601363593,90,-825,0.020654904493148094,ECONOMICALLY_MEANINGFUL_POSITIVE
ISOLATED_OR_CUMULATIVE_VS_P0,P5_HEALTHY_HOLDING,discovery,-0.03042929438419073,0.008053145105860304,-0.09048881938312736,0.02298794334111043,-0.06705113881688318,0.05784153492045796,-1.0883162438075988,-0.36397962417968455,-0.7296384697043519,0.07272269631463801,-1.3495493287631182,-0.4409550987854005,3.0975587031674925,-0.7361334188857733,0.1784927751786985,-0.053632430351431476,1.3179512643375113,0.051906530967205544,44,-529,0.020451024683295634,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,P5_HEALTHY_HOLDING,validation,0.2160565046302323,0.10740431045467624,0.8242207597703599,0.4512424731942817,-0.0774082301230794,0.048707907949475326,3.312264028831915,1.7724890420198758,5.544460376016035,3.424220045600508,10.647714829028457,7.690295641632285,10.874369299274974,-3.6018834761219445,0.825436822059079,-0.1415476461552,1.9500422498130823,0.4538582140795624,63,-954,0.01970077924802517,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,P5_HEALTHY_HOLDING,holdout,0.04504789261501396,0.20532776952072895,0.14225855593972891,0.5520670411776055,-0.14159947035979759,0.059950941767794697,0.7912375777838462,3.4313333780809403,1.3907977352137164,5.20586682815389,1.00465457659027,3.037934890492311,14.303718130358382,-2.0598358959810117,0.8349688808398158,-0.1331769275459631,0.6626225998907634,0.05923601144932056,90,-825,0.020654904493148094,ECONOMICALLY_MEANINGFUL_POSITIVE
ISOLATED_OR_CUMULATIVE_VS_P0,P6_DETERIORATION_DERISK,discovery,-0.03042929438419073,0.008053145105860304,-0.09048881938312736,0.02298794334111043,-0.06705113881688318,0.05784153492045796,-1.0883162438075988,-0.36397962417968455,-0.7296384697043519,0.07272269631463801,-1.3495493287631182,-0.4409550987854005,3.0975587031674925,-0.7361334188857733,0.1784927751786985,-0.053632430351431476,1.3179512643375113,0.051906530967205544,44,-529,0.020451024683295634,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,P6_DETERIORATION_DERISK,validation,0.2208175305050153,0.11216533632945924,0.8462587653753206,0.4732804787992424,-0.0754304138200288,0.05068572425252593,3.402352813195593,1.862577826383554,5.842309890557838,3.722069560142311,11.219065659568425,8.261646472172252,10.875229500701593,-3.6010232746953257,0.8237335147596782,-0.14325095345460082,1.9848892071628663,0.48870517142934644,63,-954,0.01970077924802517,NOT_HOLDOUT_CLASSIFICATION
ISOLATED_OR_CUMULATIVE_VS_P0,P6_DETERIORATION_DERISK,holdout,0.06395533151689503,0.22423520842261002,0.20578763827510782,0.6155961235129844,-0.14159205079948756,0.059958361328104726,1.0766239092980658,3.71671970959516,1.9633747694043135,5.778443862344487,1.4533841208821068,3.486664434784148,14.35610706429503,-2.007446962044364,0.8323903295427838,-0.1357554788429951,0.6804314666168177,0.07704487817537486,90,-825,0.02295912013345043,ECONOMICALLY_MEANINGFUL_POSITIVE
