variant,slice_type,slice,completed_trades,mean_net_return,profit_factor,win_rate,return_p05,mean_mae,delta_mean_net_return_vs_p0,delta_profit_factor_vs_p0,top_five_winner_profit_share
I_HOLDING_ONLY,chronological_split,validation,1017,0.014608593095106344,1.5124764702909106,0.41002949852507375,-0.09311756075057084,-0.042136535469642404,0.00046440736916808154,0.01629243455739071,0.07855625207723017
I_HOLDING_ONLY,chronological_split,holdout,914,-0.01338379090867596,0.6158866062810261,0.237417943107221,-0.08762553964460917,-0.04365290675728056,0.0004094706948744708,0.01250001783958321,0.1236010622842288
I_HOLDING_ONLY,symbol_subset,HASH_BUCKET_A,1258,-0.00020932902755440658,0.993228548942335,0.32432432432432434,-0.08812134937621714,-0.04106557027160791,0.00019888446673859913,0.006469126356504651,0.06634631184597452
I_HOLDING_ONLY,symbol_subset,HASH_BUCKET_B,1246,0.005400510618976787,1.1914675566804773,0.35714285714285715,-0.0880617669166214,-0.03949324267190326,0.0007650901492266783,0.027125420786115573,0.08225928018509532
I_HOLDING_ONLY,holdout_calendar_subperiod,SEP_OCT,470,-0.0180371625041576,0.5016342613480017,0.20638297872340425,-0.08765676397040485,-0.04601603742686956,-0.00010849345026947912,-0.002259666007108252,0.20838023117396268
I_HOLDING_ONLY,holdout_calendar_subperiod,NOV_DEC,444,-0.00845792458012558,0.7468826455236907,0.2702702702702703,-0.0870385332495829,-0.04115139456199492,0.0009676033118322328,0.02959242920488503,0.1978081840035978
I_HOLDING_ONLY,pit_volatility_regime,LOW_VOL,947,0.004544160006325278,1.1960295189999337,0.3453009503695882,-0.06352469455310226,-0.030973677720663954,0.0007446627964707705,0.03209553641411644,0.10306920999922328
I_HOLDING_ONLY,pit_volatility_regime,MID_VOL,745,0.01263524256330701,1.4889077958068142,0.3906040268456376,-0.08153022906026239,-0.0364146713798586,0.000603687492556378,0.021656380673297004,0.09884712239479027
I_HOLDING_ONLY,pit_volatility_regime,HIGH_VOL,812,-0.008929648917576513,0.7791227213529969,0.2894088669950739,-0.11103820401659163,-0.054689734964791625,7.511810769251018e-05,0.0020298912926338675,0.09922942944135654
I_DERISK_ONLY,chronological_split,discovery,573,0.006274162405075169,1.2747918486312548,0.3856893542757417,-0.0723112978260918,-0.03147497446044775,0.00016946676814117746,0.008747115260949068,0.10066828334492721
I_DERISK_ONLY,chronological_split,validation,1017,0.01423773742261394,1.500398207007515,0.41002949852507375,-0.09311756075057084,-0.042114488662744906,9.355169667567796e-05,0.004214171273995149,0.07933632395940951
I_DERISK_ONLY,chronological_split,holdout,915,-0.013806083191237235,0.6018639234277016,0.24043715846994534,-0.0873175864565865,-0.043603573748740264,-1.2821587686803401e-05,-0.00152266501374132,0.12694935283765765
I_DERISK_ONLY,symbol_subset,HASH_BUCKET_A,1259,-0.0002947497503605706,0.9904123548958065,0.32803812549642575,-0.08807784358476911,-0.040953730068348584,0.00011346374393243514,0.003652932309976098,0.0668514848021971
I_DERISK_ONLY,symbol_subset,HASH_BUCKET_B,1246,0.004665648340793212,1.1658897568842839,0.35714285714285715,-0.08767603593612691,-0.03948805711066982,3.0227871043102955e-05,0.001547620989922116,0.08430568024096798
