observation_timing,chip_state,completed_trades,win_rate,mean_return,median_return,average_winner,average_loser,payoff_ratio,profit_factor,worst_trade,return_p01,return_p05,large_loss_probability,large_winner_probability,average_holding_period,median_holding_period,mean_mfe,mean_mae,mean_mfe_capture_ratio,mean_profit_giveback,split
entry,ENSEMBLE_AMBIGUOUS,1182,0.34179357021996615,-0.0005122494883347025,-0.024401940559803603,0.08254869977760505,-0.043644156305095196,1.8914032660076414,0.9821682769499835,-0.37131225131438994,-0.12280910797521669,-0.0841826028169176,0.0583756345177665,0.10236886632825719,11.3248730964467,10.0,0.08108864573022484,-0.03871126674280576,-2.528767752149841,0.07895793886487151,total
entry,NO_CANONICAL_BASE,0,,,,,,,,,,,,,,,,,,,total
entry,SPLIT_MERGE_LOST_OR_TRANSITION,573,0.3612565445026178,0.00499690060290892,-0.0263840670340576,0.10936977682245766,-0.05403366053765553,2.0241045254788714,1.1447804283446075,-0.21903086744147537,-0.14854753937507703,-0.1059363838241945,0.12041884816753927,0.14485165794066318,11.24258289703316,10.0,0.10776629430998157,-0.04756200934324519,-1.965601480715548,0.10011186944774535,total
entry,VALID_CANONICAL_BASE,181,0.35359116022099446,0.002276584575786846,-0.014571591049354904,0.0636237721085837,-0.031280851339589216,2.0339527021779333,1.1125895123024592,-0.10266781054077834,-0.08769247713487423,-0.057103874513494746,0.027624309392265192,0.0718232044198895,12.027624309392266,12.0,0.07755860163481942,-0.028113814330688113,-0.7845370982106787,0.07263168616102883,discovery
entry,ENSEMBLE_AMBIGUOUS,288,0.3680555555555556,0.00021921076880058391,-0.014777524221122995,0.06262136270493532,-0.03612489969949767,1.73346814041967,1.0096023235411264,-0.37131225131438994,-0.1480073800572086,-0.06729828608222453,0.027777777777777776,0.0798611111111111,12.239583333333334,11.5,0.08280628724650968,-0.030554398120035426,-0.9081998441208871,0.07994218591568977,discovery
entry,NO_CANONICAL_BASE,0,,,,,,,,,,,,,,,,,,,discovery
entry,SPLIT_MERGE_LOST_OR_TRANSITION,104,0.49038461538461536,0.02906534702241529,-0.004811295959089745,0.1163987100253541,-0.054972417376639035,2.117402064163521,2.037500099478105,-0.21903086744147537,-0.1480556673706854,-0.10325746558023166,0.09615384615384616,0.23076923076923078,12.701923076923077,13.0,0.13482869749449936,-0.03987397416742121,-1.8001787182847058,0.10304218175752926,discovery
entry,VALID_CANONICAL_BASE,290,0.4241379310344828,0.02562823590479433,-0.01292927082498474,0.1187169208714871,-0.04293408895091351,2.7650970073504064,2.0365684545155687,-0.13415768813160078,-0.1007484565888617,-0.08130882363608269,0.05517241379310345,0.16551724137931034,11.648275862068965,11.0,0.11854244424379794,-0.03801818943896912,-1.955083188995448,0.09020212841484372,validation
entry,ENSEMBLE_AMBIGUOUS,441,0.41043083900226757,0.009405683670715278,-0.02100980707031741,0.08935879016274167,-0.04625397892565694,1.9319157451592694,1.344910576437799,-0.1345841484142527,-0.12132932361479856,-0.08951561771418104,0.07936507936507936,0.1360544217687075,12.253968253968255,11.0,0.09854523402697178,-0.040114756298277036,-1.8692651950554335,0.08647036790380462,validation
entry,NO_CANONICAL_BASE,0,,,,,,,,,,,,,,,,,,,validation
entry,SPLIT_MERGE_LOST_OR_TRANSITION,286,0.3916083916083916,0.009806090811550408,-0.022724979695866676,0.11249144639675558,-0.056290230024903506,1.9984186660276206,1.2863384516959397,-0.18830621477878562,-0.1585219595262169,-0.1084577328004197,0.13636363636363635,0.15384615384615385,11.405594405594405,10.0,0.1208747144793481,-0.04935158218591029,-1.5900818799920011,0.10839838241437866,validation
entry,VALID_CANONICAL_BASE,279,0.2078853046594982,-0.01734839517874274,-0.03286044796287757,0.07859707823038331,-0.04252865516846813,1.8480969576639064,0.4850209210158668,-0.11816196974607462,-0.10454733804645809,-0.07938994064675987,0.05017921146953405,0.05017921146953405,9.043010752688172,7.0,0.05073571997087277,-0.04171771090005003,-3.8854938945609065,0.06548567879950061,holdout
entry,ENSEMBLE_AMBIGUOUS,453,0.2582781456953642,-0.010632490276846856,-0.033661876709466076,0.09006725849549618,-0.04569758136721631,1.9709414765681872,0.6863099784478509,-0.1549731678107572,-0.11395358123440191,-0.0835466639219407,0.05739514348785872,0.08388520971302428,9.838852097130243,9.0,0.06300247311310471,-0.04253077947877711,-4.245758866451322,0.07101876809929722,holdout
entry,NO_CANONICAL_BASE,0,,,,,,,,,,,,,,,,,,,holdout
entry,SPLIT_MERGE_LOST_OR_TRANSITION,183,0.24043715846994534,-0.01619734435501527,-0.03859993298473241,0.09327653623906934,-0.0508509468452291,1.8343126731340433,0.5806457382582584,-0.12589144919261008,-0.1244001462677078,-0.09924849023385642,0.1092896174863388,0.08196721311475409,10.158469945355192,9.0,0.07190018447594511,-0.049134347186324305,-2.671178705273099,0.08549604874460515,holdout
