observation_timing,feature,bucket,split,discovery_low_threshold,discovery_high_threshold,completed_trades,win_rate,mean_return,median_return,average_winner,average_loser,payoff_ratio,profit_factor,worst_trade,return_p01,return_p05,large_loss_probability,large_winner_probability,average_holding_period,median_holding_period,mean_mfe,mean_mae,mean_mfe_capture_ratio,mean_profit_giveback
candidate,cost_migration_5,MID,holdout,-0.004981312305271657,-0.0024937655860348684,14,0.35714285714285715,0.001915151506503129,-0.02643845442394438,0.06875580572613371,-0.035218545282180526,1.9522613774999384,1.0845896541666324,-0.06200416214256754,-0.059761440735255654,-0.0507905551060081,0.0,0.07142857142857142,10.5,11.0,0.09099177239423646,-0.030548941098281823,-2.5655179702188176,0.08642724573113454
candidate,cost_migration_5,HIGH,holdout,-0.004981312305271657,-0.0024937655860348684,148,0.2702702702702703,-0.007351365812119718,-0.030392811678621234,0.09067163059293261,-0.04365617929547243,2.0769483737743433,0.7692401384349419,-0.10620139295225028,-0.09521411056533872,-0.08200940521184145,0.05405405405405406,0.0945945945945946,10.236486486486486,9.0,0.057598109936146294,-0.039676368187596574,-4.372691654856794,0.06232460414442338
candidate,cost_migration_5,MISSING,holdout,-0.004981312305271657,-0.0024937655860348684,704,0.234375,-0.015340760030339622,-0.03467563921615313,0.08638855212678909,-0.04648238620088922,1.8585223175383463,0.5689354033280651,-0.1549731678107572,-0.12071604838898527,-0.09103929394502228,0.07102272727272728,0.07102272727272728,9.613636363636363,8.0,0.06141924469279794,-0.044717127170463784,-3.719499571780433,0.07415625956151532
candidate,root_anchor_retained_from_candidate,FALSE,total,,,1845,0.33550135501355016,-0.00020758872350917692,-0.025565214272942338,0.09248952257627022,-0.04700980070928686,1.9674519181273356,0.993354598140963,-0.37131225131438994,-0.13439650588988586,-0.0929615580484618,0.08184281842818428,0.11436314363143632,11.103523035230353,10.0,0.08784187661123584,-0.04206468039546699,-2.4275326196608655,0.08540570336327556
candidate,root_anchor_retained_from_candidate,TRUE,total,,,660,0.35909090909090907,0.008552718652830572,-0.01968751691137849,0.09270437661263468,-0.03859608261542847,2.401911549841508,1.3457518612587174,-0.10503767715679979,-0.09354659516298613,-0.07250961180359414,0.03333333333333333,0.10303030303030303,11.242424242424242,10.0,0.08802921991438231,-0.03508110603986189,-2.127042446681957,0.07680957431379448
candidate,root_anchor_retained_from_candidate,FALSE,discovery,,,389,0.3856041131105398,0.006135660478502716,-0.014292660235954435,0.07927572993191132,-0.03976814880187925,1.9934478299921552,1.251117884932315,-0.37131225131438994,-0.1492441868062721,-0.07519191981674771,0.043701799485861184,0.11568123393316196,12.16452442159383,11.0,0.09322724770451453,-0.032750237414538926,-1.1755272594581219,0.08443105173153233
candidate,root_anchor_retained_from_candidate,TRUE,discovery,,,184,0.3858695652173913,0.006039231922965333,-0.014043375044518858,0.06696845891801215,-0.03224373371109064,2.076944919532613,1.3049830910337656,-0.10266781054077834,-0.09110777215452603,-0.06387434983516285,0.03260869565217391,0.08152173913043478,12.451086956521738,13.0,0.08501686307211347,-0.028778902236852793,-0.7373322007007426,0.07631735064174915
candidate,root_anchor_retained_from_candidate,FALSE,validation,,,774,0.39276485788113696,0.008783385993871885,-0.02191943232522464,0.10015596951394819,-0.05031717866592215,1.990492554817663,1.287467524818233,-0.18830621477878562,-0.13507505849742824,-0.09886201915783359,0.10594315245478036,0.14599483204134367,11.797157622739018,11.0,0.10670874813904588,-0.044132805180175726,-1.8157665176575495,0.09525782524125241
candidate,root_anchor_retained_from_candidate,TRUE,validation,,,243,0.4609053497942387,0.031219325613260792,-0.009661017687339069,0.11542633527540658,-0.04077445363987149,2.8308493424553554,2.420268140114502,-0.10031718540361112,-0.08967275985810809,-0.07313463196236966,0.03292181069958848,0.16049382716049382,11.987654320987655,11.0,0.12268870089739921,-0.035685776792409675,-1.8088575408000473,0.0887425107805162
candidate,root_anchor_retained_from_candidate,FALSE,holdout,,,682,0.24193548387096775,-0.014029492493062798,-0.03484090878127194,0.09037721365263224,-0.047350781688497386,1.908674163970285,0.6091513289266868,-0.1549731678107572,-0.12099611794251149,-0.09080586814569692,0.07624633431085044,0.07771260997067449,9.711143695014663,8.0,0.06335819931239363,-0.04503035449549113,-3.8792806868765424,0.07478047924479175
