variant,split,completed_trades,win_rate,mean_return,median_return,average_winner,average_loser,payoff_ratio,profit_factor,worst_trade,return_p01,return_p05,large_loss_probability,large_winner_probability,average_holding_period,median_holding_period,mean_mfe,mean_mae,mean_mfe_capture_ratio,mean_profit_giveback
P2_CANONICAL_PERSISTENCE,holdout,233,0.2017167381974249,-0.015711541130410053,-0.03286044796287757,0.0840400977422746,-0.04091760041544327,2.05388627116452,0.518992767444798,-0.11816196974607462,-0.10327412861374356,-0.07324643606959007,0.03862660944206009,0.04721030042918455,9.064377682403434,8.0,0.05153690136114613,-0.040507395968313355,-3.777800581251956,0.06464567779043859
P3_MASS_PROMINENCE,total,197,0.3248730964467005,-0.0010690576025981083,-0.020771203562413687,0.072538902814942,-0.03648942953284298,1.9879429123344345,0.9566041081910062,-0.11816196974607462,-0.09418746531644946,-0.06918678628931664,0.030456852791878174,0.05583756345177665,10.583756345177665,10.0,0.07158766200907049,-0.03237537638204307,-2.673892101743639,0.07001523563174666
P3_MASS_PROMINENCE,discovery,44,0.38636363636363635,3.878783393373745e-05,-0.009175184703892059,0.04403739846592288,-0.027664041082503872,1.5918642664890468,1.0022849085301406,-0.09077636299765868,-0.0754484736499124,-0.052399486885541004,0.022727272727272728,0.022727272727272728,11.75,10.5,0.07048234101108498,-0.025534111055287953,-0.679590633820961,0.06779913970946529
P3_MASS_PROMINENCE,validation,63,0.4444444444444444,0.014983300702633076,-0.011808487886207253,0.08272496560585685,-0.03921003121994594,2.1097908630017894,1.6878326904014314,-0.09536266391085502,-0.08893632252048272,-0.07341678150254567,0.031746031746031744,0.1111111111111111,11.619047619047619,11.0,0.1042261922963514,-0.031271005103477315,-1.772524891292462,0.08655896018774961
P3_MASS_PROMINENCE,holdout,90,0.2111111111111111,-0.012847321740786623,-0.029458290279592403,0.08302920890903197,-0.03850442149214652,2.1563551844550335,0.5770527958400793,-0.11816196974607462,-0.09678108052249902,-0.06696282907001216,0.03333333333333333,0.03333333333333333,9.28888888888889,8.0,0.04928106996254458,-0.03649305488123049,-4.390213601233845,0.05951805311565993
P4_CHIP_SIZING,total,197,0.3248730964467005,-0.0010690576025981083,-0.020771203562413687,0.072538902814942,-0.03648942953284298,1.9879429123344345,0.9566041081910062,-0.11816196974607462,-0.09418746531644946,-0.06918678628931664,0.030456852791878174,0.05583756345177665,10.583756345177665,10.0,0.07158766200907049,-0.03237537638204307,-2.673892101743639,0.07001523563174666
P4_CHIP_SIZING,discovery,44,0.38636363636363635,3.878783393373745e-05,-0.009175184703892059,0.04403739846592288,-0.027664041082503872,1.5918642664890468,1.0022849085301406,-0.09077636299765868,-0.0754484736499124,-0.052399486885541004,0.022727272727272728,0.022727272727272728,11.75,10.5,0.07048234101108498,-0.025534111055287953,-0.679590633820961,0.06779913970946529
P4_CHIP_SIZING,validation,63,0.4444444444444444,0.014983300702633076,-0.011808487886207253,0.08272496560585685,-0.03921003121994594,2.1097908630017894,1.6878326904014314,-0.09536266391085502,-0.08893632252048272,-0.07341678150254567,0.031746031746031744,0.1111111111111111,11.619047619047619,11.0,0.1042261922963514,-0.031271005103477315,-1.772524891292462,0.08655896018774961
P4_CHIP_SIZING,holdout,90,0.2111111111111111,-0.012847321740786623,-0.029458290279592403,0.08302920890903197,-0.03850442149214652,2.1563551844550335,0.5770527958400793,-0.11816196974607462,-0.09678108052249902,-0.06696282907001216,0.03333333333333333,0.03333333333333333,9.28888888888889,8.0,0.04928106996254458,-0.03649305488123049,-4.390213601233845,0.05951805311565993
P5_HEALTHY_HOLDING,total,197,0.3197969543147208,0.0031480796342564467,-0.020771203562413687,0.08693814838923937,-0.036245758660996726,2.3985743877611707,1.127687958425028,-0.11816196974607462,-0.09418746531644946,-0.06918678628931664,0.030456852791878174,0.08121827411167512,10.97969543147208,10.0,0.0740046373105006,-0.03244637137689593,-2.6489797884720336,0.06820392227435748
P5_HEALTHY_HOLDING,discovery,44,0.36363636363636365,0.005425163705114566,-0.009175184703892059,0.061842115309880694,-0.026813094354751793,2.3064147125906445,1.3179512643375113,-0.09077636299765868,-0.0754484736499124,-0.052399486885541004,0.022727272727272728,0.06818181818181818,12.363636363636363,11.5,0.07518291108822024,-0.025851975009515537,-0.6566964395867675,0.06709909066298886
P5_HEALTHY_HOLDING,validation,63,0.4444444444444444,0.020695103486354793,-0.011808487886207253,0.09557652186923073,-0.03921003121994594,2.437552812266353,1.9500422498130823,-0.09536266391085502,-0.08893632252048272,-0.07341678150254567,0.031746031746031744,0.14285714285714285,12.142857142857142,11.0,0.10793764912271427,-0.031271005103477315,-1.7426486743165441,0.0845435104480277
P5_HEALTHY_HOLDING,holdout,90,0.2111111111111111,-0.010248078163520812,-0.029458290279592403,0.09534141532765948,-0.03850442149214652,2.4761160311707475,0.6626225998907634,-0.11816196974607462,-0.09678108052249902,-0.06696282907001216,0.03333333333333333,0.044444444444444446,9.488888888888889,8.0,0.04967548408395477,-0.03649305488123049,-4.367935666100707,0.057306350451679665
P6_DETERIORATION_DERISK,total,197,0.3248730964467005,0.0036441051641219373,-0.020771203562413687,0.08598152505525103,-0.0359769089188274,2.3899086285941387,1.1500312197746232,-0.11816196974607462,-0.09095981503418653,-0.06818030748491163,0.025380710659898477,0.08121827411167512,10.97969543147208,10.0,0.0740046373105006,-0.03244637137689593,-2.6421074679840286,0.0677065850987764
P6_DETERIORATION_DERISK,discovery,44,0.36363636363636365,0.005425163705114566,-0.009175184703892059,0.061842115309880694,-0.026813094354751793,2.3064147125906445,1.3179512643375113,-0.09077636299765868,-0.0754484736499124,-0.052399486885541004,0.022727272727272728,0.06818181818181818,12.363636363636363,11.5,0.07518291108822024,-0.025851975009515537,-0.6566964395867675,0.06709909066298886
P6_DETERIORATION_DERISK,validation,63,0.4444444444444444,0.02119291261094372,-0.011808487886207253,0.09609970564071434,-0.038732521812872775,2.481111508953583,1.9848892071628663,-0.09536266391085502,-0.08893632252048272,-0.07341678150254567,0.031746031746031744,0.14285714285714285,12.142857142857142,11.0,0.10793764912271427,-0.031271005103477315,-1.733188446341369,0.08404438496134421
P6_DETERIORATION_DERISK,holdout,90,0.2222222222222222,-0.009510799779805262,-0.029458290279592403,0.0911276000318987,-0.03826462829743496,2.381510133158862,0.6804314666168177,-0.11816196974607462,-0.09014724629586791,-0.06465861342970983,0.022222222222222223,0.044444444444444446,9.488888888888889,8.0,0.04967548408395477,-0.03649305488123049,-4.3593847184874965,0.056567122474697286
