gap,period,mcb_mode,policy,entry,count,wins,losses,total_pnl,best_trade,worst_trade,capital_days
IFCGR,2018_2021,independent,P2,2021-08-30 09:30:00,1,1,0,2731.139273570785,2731.139273570785,2731.139273570785,1127155.6153258434
IFCGR,2018_2021,independent,P3_D4,2018-11-05 09:30:00,1,1,0,2983.52569813015,2983.52569813015,2983.52569813015,39068.42004950425
IFCGR,2018_2021,independent,P3_D4,2018-11-19 09:30:00,1,1,0,512.3767165938843,512.3767165938843,512.3767165938843,507352.81601153297
IFCGR,2018_2021,independent,P3_D4,2019-02-25 09:30:00,1,1,0,5164.312891713409,5164.312891713409,5164.312891713409,602027.0440601038
IFCGR,2018_2021,independent,P3_D4,2019-02-26 09:30:00,1,1,0,1062.736328641815,1062.736328641815,1062.736328641815,638164.8514944894
IFCGR,2018_2021,independent,P3_D4,2019-09-05 09:30:00,2,1,1,97.7895590374319,1638.0618268044927,-1540.2722677670608,1701436.435773612
IFCGR,2018_2021,independent,P3_D4,2019-12-26 09:30:00,1,1,0,5577.396001537054,5577.396001537054,5577.396001537054,325281.111306736
IFCGR,2018_2021,independent,P3_D4,2020-07-10 09:30:00,1,0,1,-2192.5056771348245,-2192.5056771348245,-2192.5056771348245,746149.6480308205
IFCGR,2018_2021,independent,P3_D4,2021-08-30 09:30:00,1,1,0,2731.139273570785,2731.139273570785,2731.139273570785,1127155.6153258434
IFCGR,2018_2021,independent,P3_D5,2018-11-05 09:30:00,1,1,0,2983.52569813015,2983.52569813015,2983.52569813015,39068.42004950425
IFCGR,2018_2021,independent,P3_D5,2018-11-19 09:30:00,1,1,0,512.3767165938843,512.3767165938843,512.3767165938843,507352.81601153297
IFCGR,2018_2021,independent,P3_D5,2019-02-25 09:30:00,1,1,0,5164.312891713409,5164.312891713409,5164.312891713409,602027.0440601038
IFCGR,2018_2021,independent,P3_D5,2019-02-26 09:30:00,1,1,0,1062.736328641815,1062.736328641815,1062.736328641815,638164.8514944894
IFCGR,2018_2021,independent,P3_D5,2019-09-05 09:30:00,2,1,1,97.7895590374319,1638.0618268044927,-1540.2722677670608,1701436.435773612
IFCGR,2018_2021,independent,P3_D5,2019-12-26 09:30:00,1,1,0,5577.396001537054,5577.396001537054,5577.396001537054,325281.111306736
IFCGR,2018_2021,independent,P3_D5,2020-07-10 09:30:00,1,0,1,-2192.5056771348245,-2192.5056771348245,-2192.5056771348245,746149.6480308205
IFCGR,2018_2021,independent,P3_D5,2021-08-30 09:30:00,1,1,0,2731.139273570785,2731.139273570785,2731.139273570785,1127155.6153258434
IFCGR,2018_2021,independent,P3_D6,2018-11-05 09:30:00,1,1,0,2983.52569813015,2983.52569813015,2983.52569813015,39068.42004950425
IFCGR,2018_2021,independent,P3_D6,2018-11-19 09:30:00,1,1,0,512.3767165938843,512.3767165938843,512.3767165938843,507352.81601153297
IFCGR,2018_2021,independent,P3_D6,2019-02-25 09:30:00,1,1,0,5164.312891713409,5164.312891713409,5164.312891713409,602027.0440601038
IFCGR,2018_2021,independent,P3_D6,2019-02-26 09:30:00,1,1,0,1062.736328641815,1062.736328641815,1062.736328641815,638164.8514944894
IFCGR,2018_2021,independent,P3_D6,2019-09-05 09:30:00,2,1,1,97.7895590374319,1638.0618268044927,-1540.2722677670608,1701436.435773612
IFCGR,2018_2021,independent,P3_D6,2019-12-26 09:30:00,1,1,0,5577.396001537054,5577.396001537054,5577.396001537054,325281.111306736
IFCGR,2018_2021,independent,P3_D6,2020-07-10 09:30:00,1,0,1,-2192.5056771348245,-2192.5056771348245,-2192.5056771348245,746149.6480308205
IFCGR,2018_2021,independent,P3_D6,2021-08-30 09:30:00,1,1,0,2731.139273570785,2731.139273570785,2731.139273570785,1127155.6153258434
IFCGR,2022_2023,confirmation_tag,P1,2023-01-31 09:30:00,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
IFCGR,2022_2023,confirmation_tag,P1,2023-02-01 09:30:00,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
IFCGR,2022_2023,confirmation_tag,P2,2023-01-31 09:30:00,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
IFCGR,2022_2023,confirmation_tag,P2,2023-02-01 09:30:00,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
IFCGR,2022_2023,confirmation_tag,P3_D4,2023-01-31 09:30:00,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
IFCGR,2022_2023,confirmation_tag,P3_D4,2023-02-01 09:30:00,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
IFCGR,2022_2023,confirmation_tag,P3_D5,2023-01-31 09:30:00,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
IFCGR,2022_2023,confirmation_tag,P3_D5,2023-02-01 09:30:00,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
IFCGR,2022_2023,confirmation_tag,P3_D6,2023-01-31 09:30:00,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
IFCGR,2022_2023,confirmation_tag,P3_D6,2023-02-01 09:30:00,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
IFCGR,2022_2023,independent,P1,2023-01-31 09:30:00,3,3,0,11215.20597876429,5884.753869620057,1398.4172620857207,1747175.4408692173
IFCGR,2022_2023,independent,P2,2023-01-31 09:30:00,2,2,0,7283.171131705778,5884.753869620057,1398.4172620857207,1369573.6954983626
IFCGR,2022_2023,independent,P3_D4,2023-01-31 09:30:00,2,2,0,7283.171131705778,5884.753869620057,1398.4172620857207,1369573.6954983626
IFCGR,2022_2023,independent,P3_D5,2023-01-31 09:30:00,2,2,0,7283.171131705778,5884.753869620057,1398.4172620857207,1369573.6954983626
IFCGR,2022_2023,independent,P3_D6,2023-01-31 09:30:00,2,2,0,7283.171131705778,5884.753869620057,1398.4172620857207,1369573.6954983626
OGR,2018_2021,confirmation_tag,P1,2018-11-05 09:30:00,1,1,0,2983.5256981301427,2983.5256981301427,2983.5256981301427,39068.420049504195
OGR,2018_2021,confirmation_tag,P1,2019-02-25 09:30:00,1,1,0,5164.31289171338,5164.31289171338,5164.31289171338,602027.0440601012
OGR,2018_2021,confirmation_tag,P1,2019-02-26 09:30:00,1,1,0,1062.7363286418113,1062.7363286418113,1062.7363286418113,638164.8514944892
OGR,2018_2021,confirmation_tag,P1,2019-09-05 09:30:00,1,0,1,-1540.2722677670536,-1540.2722677670536,-1540.2722677670536,969401.4133598552
OGR,2018_2021,confirmation_tag,P1,2019-09-10 09:30:00,1,0,1,-2980.875592255248,-2980.875592255248,-2980.875592255248,901570.4489180226
OGR,2018_2021,confirmation_tag,P1,2019-12-26 09:30:00,1,1,0,5577.396001537025,5577.396001537025,5577.396001537025,325281.11130673456
OGR,2018_2021,confirmation_tag,P1,2020-07-10 09:30:00,1,0,1,-2185.228470033653,-2185.228470033653,-2185.228470033653,743673.0818016832
OGR,2018_2021,confirmation_tag,P1,2021-08-30 09:30:00,1,1,0,2731.139273570785,2731.139273570785,2731.139273570785,1127155.615325843
OGR,2018_2021,confirmation_tag,P2,2018-11-05 09:30:00,1,1,0,2983.5256981301427,2983.5256981301427,2983.5256981301427,39068.420049504195
OGR,2018_2021,confirmation_tag,P2,2019-02-25 09:30:00,1,1,0,5164.31289171338,5164.31289171338,5164.31289171338,602027.0440601012
OGR,2018_2021,confirmation_tag,P2,2019-02-26 09:30:00,1,1,0,1062.7363286418113,1062.7363286418113,1062.7363286418113,638164.8514944892
OGR,2018_2021,confirmation_tag,P2,2019-09-05 09:30:00,1,0,1,-1540.2722677670536,-1540.2722677670536,-1540.2722677670536,969401.4133598552
OGR,2018_2021,confirmation_tag,P2,2019-09-10 09:30:00,1,0,1,-2980.875592255248,-2980.875592255248,-2980.875592255248,901570.4489180226
OGR,2018_2021,confirmation_tag,P2,2019-12-26 09:30:00,1,1,0,5577.396001537025,5577.396001537025,5577.396001537025,325281.11130673456
OGR,2018_2021,confirmation_tag,P2,2020-07-10 09:30:00,1,0,1,-2185.228470033653,-2185.228470033653,-2185.228470033653,743673.0818016832
OGR,2018_2021,confirmation_tag,P2,2021-08-30 09:30:00,1,1,0,2731.139273570785,2731.139273570785,2731.139273570785,1127155.615325843
OGR,2018_2021,confirmation_tag,P3_D4,2018-11-05 09:30:00,1,1,0,2983.5256981301427,2983.5256981301427,2983.5256981301427,39068.420049504195
OGR,2018_2021,confirmation_tag,P3_D4,2019-02-25 09:30:00,1,1,0,5164.31289171338,5164.31289171338,5164.31289171338,602027.0440601012
OGR,2018_2021,confirmation_tag,P3_D4,2019-02-26 09:30:00,1,1,0,1062.7363286418113,1062.7363286418113,1062.7363286418113,638164.8514944892
OGR,2018_2021,confirmation_tag,P3_D4,2019-09-05 09:30:00,1,0,1,-1540.2722677670536,-1540.2722677670536,-1540.2722677670536,969401.4133598552
OGR,2018_2021,confirmation_tag,P3_D4,2019-09-10 09:30:00,1,0,1,-2980.875592255248,-2980.875592255248,-2980.875592255248,901570.4489180226
OGR,2018_2021,confirmation_tag,P3_D4,2019-12-26 09:30:00,1,1,0,5577.396001537025,5577.396001537025,5577.396001537025,325281.11130673456
OGR,2018_2021,confirmation_tag,P3_D4,2020-07-10 09:30:00,1,0,1,-2185.228470033653,-2185.228470033653,-2185.228470033653,743673.0818016832
OGR,2018_2021,confirmation_tag,P3_D4,2021-08-30 09:30:00,1,1,0,2731.139273570785,2731.139273570785,2731.139273570785,1127155.615325843
OGR,2018_2021,confirmation_tag,P3_D5,2018-11-05 09:30:00,1,1,0,2983.5256981301427,2983.5256981301427,2983.5256981301427,39068.420049504195
OGR,2018_2021,confirmation_tag,P3_D5,2019-02-25 09:30:00,1,1,0,5164.31289171338,5164.31289171338,5164.31289171338,602027.0440601012
OGR,2018_2021,confirmation_tag,P3_D5,2019-02-26 09:30:00,1,1,0,1062.7363286418113,1062.7363286418113,1062.7363286418113,638164.8514944892
OGR,2018_2021,confirmation_tag,P3_D5,2019-09-05 09:30:00,1,0,1,-1540.2722677670536,-1540.2722677670536,-1540.2722677670536,969401.4133598552
OGR,2018_2021,confirmation_tag,P3_D5,2019-09-10 09:30:00,1,0,1,-2980.875592255248,-2980.875592255248,-2980.875592255248,901570.4489180226
OGR,2018_2021,confirmation_tag,P3_D5,2019-12-26 09:30:00,1,1,0,5577.396001537025,5577.396001537025,5577.396001537025,325281.11130673456
OGR,2018_2021,confirmation_tag,P3_D5,2020-07-10 09:30:00,1,0,1,-2185.228470033653,-2185.228470033653,-2185.228470033653,743673.0818016832
OGR,2018_2021,confirmation_tag,P3_D5,2021-08-30 09:30:00,1,1,0,2731.139273570785,2731.139273570785,2731.139273570785,1127155.615325843
OGR,2018_2021,confirmation_tag,P3_D6,2018-11-05 09:30:00,1,1,0,2983.5256981301427,2983.5256981301427,2983.5256981301427,39068.420049504195
OGR,2018_2021,confirmation_tag,P3_D6,2019-02-25 09:30:00,1,1,0,5164.31289171338,5164.31289171338,5164.31289171338,602027.0440601012
OGR,2018_2021,confirmation_tag,P3_D6,2019-02-26 09:30:00,1,1,0,1062.7363286418113,1062.7363286418113,1062.7363286418113,638164.8514944892
OGR,2018_2021,confirmation_tag,P3_D6,2019-09-05 09:30:00,1,0,1,-1540.2722677670536,-1540.2722677670536,-1540.2722677670536,969401.4133598552
OGR,2018_2021,confirmation_tag,P3_D6,2019-09-10 09:30:00,1,0,1,-2980.875592255248,-2980.875592255248,-2980.875592255248,901570.4489180226
OGR,2018_2021,confirmation_tag,P3_D6,2019-12-26 09:30:00,1,1,0,5577.396001537025,5577.396001537025,5577.396001537025,325281.11130673456
OGR,2018_2021,confirmation_tag,P3_D6,2020-07-10 09:30:00,1,0,1,-2185.228470033653,-2185.228470033653,-2185.228470033653,743673.0818016832
OGR,2018_2021,confirmation_tag,P3_D6,2021-08-30 09:30:00,1,1,0,2731.139273570785,2731.139273570785,2731.139273570785,1127155.615325843
OGR,2018_2021,independent,P1,2018-11-05 09:30:00,1,1,0,2983.5256981301463,2983.5256981301463,2983.5256981301463,39068.420049504224
OGR,2018_2021,independent,P1,2018-11-19 09:30:00,1,1,0,512.3767165938843,512.3767165938843,512.3767165938843,507352.81601153297
OGR,2018_2021,independent,P1,2019-02-25 09:30:00,1,1,0,5164.312891713387,5164.312891713387,5164.312891713387,602027.0440601021
OGR,2018_2021,independent,P1,2019-02-26 09:30:00,2,2,0,2492.9783427721813,1430.2420141303664,1062.736328641815,1107881.0357904956
OGR,2018_2021,independent,P1,2019-09-05 09:30:00,2,1,1,97.78955903743918,1638.0618268044927,-1540.2722677670536,1701436.4357736078
OGR,2018_2021,independent,P1,2019-09-10 09:30:00,1,0,1,-2980.875592255248,-2980.875592255248,-2980.875592255248,901570.4489180226
