strategy,symbol_action,event_id_action,record_date,effective_date,share_multiplier,cash_per_share_gross,share_credit_date,pay_date,announcement_date,holding_overlap,registered_source,execution_timing_resolved
ATRDR,301042,cninfo:distribution:3ea0ac86d1807a6e240e12eac39d46cd,2023-05-24,2023-05-25,1.0,1.5,,2023-05-25,2023-05-18,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,301218,cninfo:distribution:770618eef411053a1baba86edc1a9c7c,2023-05-25,2023-05-26,1.0,0.052000000000000005,,2023-05-26,2023-05-18,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,001336,cninfo:distribution:c31b8306aac17be1fcc6191ff7e08860,2023-05-29,2023-05-30,1.0,0.12,,2023-05-30,2023-05-24,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,300432,cninfo:distribution:e8be51072a1ccb2956109ea044f93063,2023-05-29,2023-05-30,1.0,0.2,,2023-05-30,2023-05-22,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,300771,cninfo:distribution:19d2edeec1a0fe873862cddccc2936ff,2023-05-29,2023-05-30,1.0,0.3,,2023-05-30,2023-05-23,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,601811,cninfo:distribution:929d09447ecb3dc96a5883c2a68f08e8,2023-06-02,2023-06-05,1.0,0.33999999999999997,,2023-06-05,2023-05-30,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,000045,cninfo:distribution:de3caa3cfbbc220a058519ac2ec2a1a7,2023-06-05,2023-06-06,1.0,0.06,,2023-06-06,2023-05-31,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,301338,cninfo:distribution:b63e0a827c40d77b093a784a673c326c,2023-06-05,2023-06-06,1.4,0.5,2023-06-06,2023-06-06,2023-05-29,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,603006,cninfo:distribution:0943040d9f637fa6c95ac303c79354ef,2023-06-05,2023-06-06,1.0,0.38,,2023-06-06,2023-05-27,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,301123,cninfo:distribution:29a4e657ccf2cf99f79442d4e4ea81e6,2023-06-06,2023-06-07,1.0,0.5,,2023-06-07,2023-05-31,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,603368,cninfo:distribution:3640f7fa7f52b153a3434f727621f266,2023-06-07,2023-06-08,1.0,0.508,,2023-06-08,2023-06-02,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,301099,cninfo:distribution:b1661c4d5a5b9d60213f83a952e34536,2023-06-08,2023-06-09,1.0,0.5,,2023-06-09,2023-06-01,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,003019,cninfo:distribution:dd2099f9acf5e87c118c657ad6026c2b,2023-06-13,2023-06-14,1.1,0.8,2023-06-14,2023-06-14,2023-06-07,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,002475,cninfo:distribution:f0a6c8559ee8860f7db85f1c9d44a628,2023-06-14,2023-06-15,1.0,0.1299661,,2023-06-15,2023-06-09,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,600570,cninfo:distribution:455d0c1c241a1408a4cb1a95d4af4ac5,2023-06-16,2023-06-19,1.0,0.13,,2023-06-19,2023-06-09,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
