gap,period,mcb_mode,policy,CAGR_delta,MaxDD_delta,CVaR5_delta,average_gross_exposure_delta,capital_days_delta,funded_trade_count_delta,funded_opportunity_rate_delta,net_pnl_delta,observed_checkpoint_MaxDD_delta,shared_funded_pnl,shared_funded_trade_count,incremental_pnl_per_added_capital_day,maxdd_admissible,checkpoint_risk_budget_status,risk_status,exposure_only_cagr_benchmark,cagr_above_exposure_only_benchmark,segmentation_idle_removed_count,segmentation_idle_removed_notional,previously_rejected_requests_no_longer_in_actual_state
OGR,2022_2023,independent,P0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,True,ADMISSIBLE,ADMISSIBLE,0.0494573270397227,0.0,0,0.0,0
OGR,2022_2023,independent,P1,0.0008340472316697017,0.0,-5.488173215600391e-06,0.0003352769645494913,2086392.3466490507,3,0.21837837837837837,11591.378104286268,0.0,11215.20597876429,3,0.0055557039033924515,True,ADMISSIBLE,ADMISSIBLE,0.04957520647796919,0.0007161677934232127,3,102856.11915496443,199
OGR,2022_2023,independent,P2,0.0005478159826136988,0.0,-4.837791790199969e-06,0.00027548374962141353,1631128.3787145615,2,0.14905873781355172,7612.371968258172,0.0,7283.171131705778,2,0.004666936133045047,True,ADMISSIBLE,ADMISSIBLE,0.04955418388670306,0.00045095913563333867,2,75814.94608185097,146
OGR,2022_2023,independent,P3_D4,0.0005478159826136988,0.0,-4.837791790199969e-06,0.00027548374962141353,1631128.3787145615,2,0.14905873781355172,7612.371968258172,0.0,7283.171131705778,2,0.004666936133045047,True,ADMISSIBLE,ADMISSIBLE,0.04955418388670306,0.00045095913563333867,2,75814.94608185097,146
OGR,2022_2023,independent,P3_D5,0.0005478159826136988,0.0,-4.837791790199969e-06,0.00027548374962141353,1631128.3787145615,2,0.14905873781355172,7612.371968258172,0.0,7283.171131705778,2,0.004666936133045047,True,ADMISSIBLE,ADMISSIBLE,0.04955418388670306,0.00045095913563333867,2,75814.94608185097,146
OGR,2022_2023,independent,P3_D6,0.0005478159826136988,0.0,-4.837791790199969e-06,0.00027548374962141353,1631128.3787145615,2,0.14905873781355172,7612.371968258172,0.0,7283.171131705778,2,0.004666936133045047,True,ADMISSIBLE,ADMISSIBLE,0.04955418388670306,0.00045095913563333867,2,75814.94608185097,146
OGR,2022_2023,confirmation_tag,P0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,True,ADMISSIBLE,ADMISSIBLE,0.0457760400688374,0.0,0,0.0,0
OGR,2022_2023,confirmation_tag,P1,0.000574873215296999,0.0,-1.2800667841001562e-06,0.0002799316262781931,1609607.5818767548,2,0.15340086830680177,7960.482223060913,0.0,7628.423489622401,2,0.004945604327844447,True,ADMISSIBLE,ADMISSIBLE,0.04587998913293312,0.00047092415120127823,2,75760.18221378038,104
OGR,2022_2023,confirmation_tag,P2,0.000574873215296999,0.0,-1.2800667841001562e-06,0.0002799316262781931,1609607.5818767548,2,0.15340086830680177,7960.482223060913,0.0,7628.423489622401,2,0.004945604327844447,True,ADMISSIBLE,ADMISSIBLE,0.04587998913293312,0.00047092415120127823,2,75760.18221378038,104
OGR,2022_2023,confirmation_tag,P3_D4,0.000574873215296999,0.0,-1.2800667841001562e-06,0.0002799316262781931,1609607.5818767548,2,0.15340086830680177,7960.482223060913,0.0,7628.423489622401,2,0.004945604327844447,True,ADMISSIBLE,ADMISSIBLE,0.04587998913293312,0.00047092415120127823,2,75760.18221378038,104
OGR,2022_2023,confirmation_tag,P3_D5,0.000574873215296999,0.0,-1.2800667841001562e-06,0.0002799316262781931,1609607.5818767548,2,0.15340086830680177,7960.482223060913,0.0,7628.423489622401,2,0.004945604327844447,True,ADMISSIBLE,ADMISSIBLE,0.04587998913293312,0.00047092415120127823,2,75760.18221378038,104
OGR,2022_2023,confirmation_tag,P3_D6,0.000574873215296999,0.0,-1.2800667841001562e-06,0.0002799316262781931,1609607.5818767548,2,0.15340086830680177,7960.482223060913,0.0,7628.423489622401,2,0.004945604327844447,True,ADMISSIBLE,ADMISSIBLE,0.04587998913293312,0.00047092415120127823,2,75760.18221378038,104
IFCGR,2018_2021,independent,P0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,True,ADMISSIBLE,ADMISSIBLE,0.0882445124723412,0.0,0,0.0,0
IFCGR,2018_2021,independent,P1,-9.258260696780318e-05,0.0005283300685774012,-6.564240155510111e-05,0.0006958554826989038,6382858.614957571,10,0.19606925596630786,-2340.6320819873363,0.0005011702533149753,14393.414421065989,11,-0.0003667059264797604,True,ADMISSIBLE,ADMISSIBLE,0.08869189186812224,-0.0005399620027488339,11,356589.39107083576,408
IFCGR,2018_2021,independent,P2,-1.0040516364606678e-05,0.000531162619631001,-4.209406074020053e-05,0.0005480151134661937,5183390.638056755,8,0.18010574399367385,-253.86872835364193,0.0005042502007038818,15936.770792089705,9,-4.89773482418483e-05,True,ADMISSIBLE,ADMISSIBLE,0.08859684234030527,-0.00036237038432866686,9,304771.5184045481,382
IFCGR,2018_2021,independent,P3_D4,-1.0040516364606678e-05,0.000531162619631001,-4.209406074020053e-05,0.0005480151134661937,5183390.638056755,8,0.18010574399367385,-253.86872835364193,0.0005042502007038818,15936.770792089705,9,-4.89773482418483e-05,True,ADMISSIBLE,ADMISSIBLE,0.08859684234030527,-0.00036237038432866686,9,304771.5184045481,382
IFCGR,2018_2021,independent,P3_D5,-1.0040516364606678e-05,0.000531162619631001,-4.209406074020053e-05,0.0005480151134661937,5183390.638056755,8,0.18010574399367385,-253.86872835364193,0.0005042502007038818,15936.770792089705,9,-4.89773482418483e-05,True,ADMISSIBLE,ADMISSIBLE,0.08859684234030527,-0.00036237038432866686,9,304771.5184045481,382
IFCGR,2018_2021,independent,P3_D6,-1.0040516364606678e-05,0.000531162619631001,-4.209406074020053e-05,0.0005480151134661937,5183390.638056755,8,0.18010574399367385,-253.86872835364193,0.0005042502007038818,15936.770792089705,9,-4.89773482418483e-05,True,ADMISSIBLE,ADMISSIBLE,0.08859684234030527,-0.00036237038432866686,9,304771.5184045481,382
IFCGR,2018_2021,confirmation_tag,P0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,True,ADMISSIBLE,ADMISSIBLE,0.0730026753062251,0.0,0,0.0,0
IFCGR,2018_2021,confirmation_tag,P1,-0.00041856239451430743,0.0005519975682089992,-0.00016476923116810066,0.0020601210611079085,19475075.033964038,28,0.18071593533487296,-10138.83854632359,0.0005238183802093177,10812.7338635372,8,-0.0005206058784698756,True,ADMISSIBLE,ADMISSIBLE,0.07422980413017806,-0.0016456912184672629,8,282292.7695273706,305
IFCGR,2018_2021,confirmation_tag,P2,-0.00041856239451430743,0.0005519975682089992,-0.00016476923116810066,0.0020601210611079085,19475075.033964038,28,0.18071593533487296,-10138.83854632359,0.0005238183802093177,10812.7338635372,8,-0.0005206058784698756,True,ADMISSIBLE,ADMISSIBLE,0.07422980413017806,-0.0016456912184672629,8,282292.7695273706,305
IFCGR,2018_2021,confirmation_tag,P3_D4,-0.00041856239451430743,0.0005519975682089992,-0.00016476923116810066,0.0020601210611079085,19475075.033964038,28,0.18071593533487296,-10138.83854632359,0.0005238183802093177,10812.7338635372,8,-0.0005206058784698756,True,ADMISSIBLE,ADMISSIBLE,0.07422980413017806,-0.0016456912184672629,8,282292.7695273706,305
IFCGR,2018_2021,confirmation_tag,P3_D5,-0.00041856239451430743,0.0005519975682089992,-0.00016476923116810066,0.0020601210611079085,19475075.033964038,28,0.18071593533487296,-10138.83854632359,0.0005238183802093177,10812.7338635372,8,-0.0005206058784698756,True,ADMISSIBLE,ADMISSIBLE,0.07422980413017806,-0.0016456912184672629,8,282292.7695273706,305
IFCGR,2018_2021,confirmation_tag,P3_D6,-0.00041856239451430743,0.0005519975682089992,-0.00016476923116810066,0.0020601210611079085,19475075.033964038,28,0.18071593533487296,-10138.83854632359,0.0005238183802093177,10812.7338635372,8,-0.0005206058784698756,True,ADMISSIBLE,ADMISSIBLE,0.07422980413017806,-0.0016456912184672629,8,282292.7695273706,305
IFCGR,2022_2023,independent,P0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,True,ADMISSIBLE,ADMISSIBLE,0.0494871782617583,0.0,0,0.0,0
IFCGR,2022_2023,independent,P1,0.0008346523808088965,0.0,-5.488520655699651e-06,0.00033545546586230546,2086392.34664917,3,0.21837837837837837,11591.378104284406,0.0,11215.20597876429,3,0.0055557039033912415,True,ADMISSIBLE,ADMISSIBLE,0.049605110454888156,0.000716720187679043,3,102856.1191549644,199
IFCGR,2022_2023,independent,P2,0.0005482135065483992,0.0,-4.838880441399539e-06,0.0002756401127793906,1631128.3787145615,2,0.14905873781355172,7612.371968250722,0.0,7283.171131705778,2,0.004666936133040479,True,ADMISSIBLE,ADMISSIBLE,0.04958408186394309,0.00045130990436360874,2,75814.94608185093,146
IFCGR,2022_2023,independent,P3_D4,0.0005482135065483992,0.0,-4.838880441399539e-06,0.0002756401127793906,1631128.3787145615,2,0.14905873781355172,7612.371968250722,0.0,7283.171131705778,2,0.004666936133040479,True,ADMISSIBLE,ADMISSIBLE,0.04958408186394309,0.00045130990436360874,2,75814.94608185093,146
IFCGR,2022_2023,independent,P3_D5,0.0005482135065483992,0.0,-4.838880441399539e-06,0.0002756401127793906,1631128.3787145615,2,0.14905873781355172,7612.371968250722,0.0,7283.171131705778,2,0.004666936133040479,True,ADMISSIBLE,ADMISSIBLE,0.04958408186394309,0.00045130990436360874,2,75814.94608185093,146
IFCGR,2022_2023,independent,P3_D6,0.0005482135065483992,0.0,-4.838880441399539e-06,0.0002756401127793906,1631128.3787145615,2,0.14905873781355172,7612.371968250722,0.0,7283.171131705778,2,0.004666936133040479,True,ADMISSIBLE,ADMISSIBLE,0.04958408186394309,0.00045130990436360874,2,75814.94608185093,146
IFCGR,2022_2023,confirmation_tag,P0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,True,ADMISSIBLE,ADMISSIBLE,0.0458032147716176,0.0,0,0.0,0
IFCGR,2022_2023,confirmation_tag,P1,0.0005752917798539994,0.0,-1.2789026471995632e-06,0.00028009676361549773,1609607.581876874,2,0.15340086830680177,7960.482223063707,0.0,7628.423489622401,2,0.004945604327845817,True,ADMISSIBLE,ADMISSIBLE,0.04590721554956025,0.00047129100191134476,2,75760.18221378038,104
IFCGR,2022_2023,confirmation_tag,P2,0.0005752917798539994,0.0,-1.2789026471995632e-06,0.00028009676361549773,1609607.581876874,2,0.15340086830680177,7960.482223063707,0.0,7628.423489622401,2,0.004945604327845817,True,ADMISSIBLE,ADMISSIBLE,0.04590721554956025,0.00047129100191134476,2,75760.18221378038,104
IFCGR,2022_2023,confirmation_tag,P3_D4,0.0005752917798539994,0.0,-1.2789026471995632e-06,0.00028009676361549773,1609607.581876874,2,0.15340086830680177,7960.482223063707,0.0,7628.423489622401,2,0.004945604327845817,True,ADMISSIBLE,ADMISSIBLE,0.04590721554956025,0.00047129100191134476,2,75760.18221378038,104
IFCGR,2022_2023,confirmation_tag,P3_D5,0.0005752917798539994,0.0,-1.2789026471995632e-06,0.00028009676361549773,1609607.581876874,2,0.15340086830680177,7960.482223063707,0.0,7628.423489622401,2,0.004945604327845817,True,ADMISSIBLE,ADMISSIBLE,0.04590721554956025,0.00047129100191134476,2,75760.18221378038,104
IFCGR,2022_2023,confirmation_tag,P3_D6,0.0005752917798539994,0.0,-1.2789026471995632e-06,0.00028009676361549773,1609607.581876874,2,0.15340086830680177,7960.482223063707,0.0,7628.423489622401,2,0.004945604327845817,True,ADMISSIBLE,ADMISSIBLE,0.04590721554956025,0.00047129100191134476,2,75760.18221378038,104
