gap,period,mcb_mode,policy,strategy,count,wins,losses,total_pnl,best_trade,worst_trade,capital_days
IFCGR,2022_2023,confirmation_tag,P3_D5,MCB,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
IFCGR,2022_2023,confirmation_tag,P3_D6,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
IFCGR,2022_2023,confirmation_tag,P3_D6,MCB,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
IFCGR,2022_2023,independent,P1,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
IFCGR,2022_2023,independent,P1,MCB,2,2,0,5330.452109144233,3932.034847058512,1398.4172620857207,1182049.8967991457
IFCGR,2022_2023,independent,P2,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
IFCGR,2022_2023,independent,P2,MCB,1,1,0,1398.4172620857207,1398.4172620857207,1398.4172620857207,804448.1514282912
IFCGR,2022_2023,independent,P3_D4,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
IFCGR,2022_2023,independent,P3_D4,MCB,1,1,0,1398.4172620857207,1398.4172620857207,1398.4172620857207,804448.1514282912
IFCGR,2022_2023,independent,P3_D5,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
IFCGR,2022_2023,independent,P3_D5,MCB,1,1,0,1398.4172620857207,1398.4172620857207,1398.4172620857207,804448.1514282912
IFCGR,2022_2023,independent,P3_D6,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
IFCGR,2022_2023,independent,P3_D6,MCB,1,1,0,1398.4172620857207,1398.4172620857207,1398.4172620857207,804448.1514282912
OGR,2018_2021,confirmation_tag,P1,ATRDR,8,5,3,10812.733863537189,5577.396001537025,-2980.875592255248,5346341.986316233
OGR,2018_2021,confirmation_tag,P2,ATRDR,8,5,3,10812.733863537189,5577.396001537025,-2980.875592255248,5346341.986316233
OGR,2018_2021,confirmation_tag,P3_D4,ATRDR,8,5,3,10812.733863537189,5577.396001537025,-2980.875592255248,5346341.986316233
OGR,2018_2021,confirmation_tag,P3_D5,ATRDR,8,5,3,10812.733863537189,5577.396001537025,-2980.875592255248,5346341.986316233
OGR,2018_2021,confirmation_tag,P3_D6,ATRDR,8,5,3,10812.733863537189,5577.396001537025,-2980.875592255248,5346341.986316233
OGR,2018_2021,independent,P1,ATRDR,8,5,3,10812.733863537196,5577.396001537025,-2980.875592255248,5346341.986316234
OGR,2018_2021,independent,P1,MCB,3,3,0,3580.6805575287435,1638.0618268044927,512.3767165938843,1709104.0227212918
OGR,2018_2021,independent,P2,ATRDR,7,5,2,13786.33224869128,5577.396001537025,-2192.5056771348172,4447248.103627346
OGR,2018_2021,independent,P2,MCB,2,2,0,2150.438543398377,1638.0618268044927,512.3767165938843,1239387.8384252856
OGR,2018_2021,independent,P3_D4,ATRDR,7,5,2,13786.33224869128,5577.396001537025,-2192.5056771348172,4447248.103627346
OGR,2018_2021,independent,P3_D4,MCB,2,2,0,2150.438543398377,1638.0618268044927,512.3767165938843,1239387.8384252856
OGR,2018_2021,independent,P3_D5,ATRDR,7,5,2,13786.33224869128,5577.396001537025,-2192.5056771348172,4447248.103627346
