gap,period,mcb_mode,policy,date,portfolio_return,DD,ATRDR_contribution,MCB_contribution,Gap_contribution,SMV6_contribution,shared_funded_contribution,Demand_exposure,Gap_exposure,SMV6_exposure,total_gross,cash,top_symbols
OGR,2022_2023,independent,P2,2022-06-09,-0.007762605058762917,0.009901900540567943,-0.0057829923103421286,-0.0007237822774373854,-0.00011861550700727949,-0.0011372149639763509,0.0,0.33666525610686837,0.004155962944748392,0.08488113281073889,0.42570235186235567,3864795.6764326813,"[[""159601.SZ"", 202348.8], [""515170.SH"", 201117.8], [""510150.SH"", 104220.90000000001], [""002446.SZ"", 85898.48155441655], [""300066.SZ"", 64431.95677493724], [""515650.SH"", 63528.899999999994], [""300586.SZ"", 63058.0250246096], [""300015.SZ"", 62150.21422441366], [""300170.SZ"", 61730.11641384879], [""300518.SZ"", 60534.82578807242]]"
OGR,2022_2023,independent,P2,2023-11-21,-0.006575099295690889,0.006580037622994861,-0.003985226216293724,-0.0023419223230796084,-6.748640158012149e-06,-0.00024120211615945333,0.0,0.6191440985249358,0.0009499307376868685,0.013406658129116846,0.6335006873917395,2688932.9943067976,"[[""000039.SZ"", 99381.16920219529], [""603666.SH"", 98764.37076320435], [""002565.SZ"", 98700.41499466014], [""600566.SH"", 98679.50410404608], [""603115.SH"", 98544.05510400275], [""159997.SZ"", 98362.0], [""002526.SZ"", 98016.48998720174], [""002645.SZ"", 97720.52604100178], [""002214.SZ"", 97361.19736913625], [""600292.SH"", 97209.81661916616]]"
OGR,2022_2023,independent,P3_D4,2022-05-24,-0.016259895354801546,0.016259895354801546,-0.015534197278400224,0.0,-0.0007256980764012182,0.0,0.0,0.3279212043711468,0.013746094392241606,0.0,0.34166729876338836,4355132.593273551,"[[""600386.SH"", 54930.799141877455], [""000521.SZ"", 54531.93004438579], [""600740.SH"", 54331.34267052282], [""601011.SH"", 54022.699763527715], [""603358.SH"", 53672.98782439586], [""002753.SZ"", 53530.72038984097], [""600997.SH"", 53399.14980486719], [""603331.SH"", 53396.379300635315], [""002189.SZ"", 53020.75145526367], [""000727.SZ"", 52987.61183803794]]"
OGR,2022_2023,independent,P3_D4,2023-12-05,-0.0123467934081547,0.014497323441831855,-0.00806330630815069,-0.0042834871000039885,0.0,0.0,0.0,0.5707910586106462,0.0,0.0,0.5707910586106462,3123924.3034852482,"[[""600566.SH"", 105253.6881786139], [""600218.SH"", 102141.92596861385], [""000039.SZ"", 101076.64846679967], [""002645.SZ"", 100081.80269255016], [""600397.SH"", 97928.18370273185], [""603115.SH"", 96908.19761555649], [""001696.SZ"", 96189.58843175616], [""000678.SZ"", 95785.46766492091], [""002565.SZ"", 95335.62811984216], [""002526.SZ"", 95144.21189233867]]"
OGR,2022_2023,independent,P3_D4,2023-02-16,-0.011614293658677943,0.012421899861916663,-0.007062494954426023,-0.004551798704251958,0.0,0.0,-0.00012835838139870303,0.6076013406376589,0.0,0.0,0.6076013406376589,2796623.4051472596,"[[""600751.SH"", 103915.89910132282], [""002438.SZ"", 103160.02718529543], [""000020.SZ"", 99000.78321999291], [""002189.SZ"", 98265.94325369583], [""603757.SH"", 96189.16889841367], [""000551.SZ"", 95735.49746407136], [""603828.SH"", 95291.76609971942], [""000712.SZ"", 95038.28219683682], [""002523.SZ"", 94575.2513282709], [""603268.SH"", 93546.51391342029]]"
OGR,2022_2023,independent,P3_D4,2022-03-15,-0.011017516397568095,0.03045978905935276,-0.010218777377815307,-0.0007987390197528564,0.0,0.0,0.0,0.19748607278711003,0.0,0.0,0.19748607278711003,5189172.240529358,"[[""603617.SH"", 84933.32787123932], [""000576.SZ"", 84038.0327398922], [""000777.SZ"", 77237.34158384972], [""300154.SZ"", 54873.00635502475], [""600613.SH"", 51632.20090785141], [""603387.SH"", 51233.59117625954], [""600829.SH"", 49632.21842209274], [""000518.SZ"", 48946.61627162504], [""600664.SH"", 47780.44058137901], [""002485.SZ"", 47219.23763518337]]"
OGR,2022_2023,independent,P3_D4,2023-11-24,-0.008744425305753367,0.011773838107825063,-0.005880160400286728,-0.0028631434532837875,-1.1214521827019404e-06,0.0,0.0,0.6109826650500928,0.0,0.0,0.6109826650500928,2839221.233799887,"[[""600566.SH"", 106087.97549772149], [""000039.SZ"", 100946.22698490703], [""002565.SZ"", 97578.8193697208], [""002645.SZ"", 97448.07104274622], [""603755.SH"", 97435.2520468119], [""600397.SH"", 97298.42046348599], [""603115.SH"", 96777.32901648078], [""002526.SZ"", 96580.35093977021], [""600292.SH"", 96443.17768683835], [""002429.SZ"", 96286.07353923976]]"
OGR,2022_2023,independent,P3_D4,2022-01-25,-0.008718901458251493,0.014596200270377002,-0.0055155632237762,-0.00320333823447542,0.0,0.0,0.0,0.17062640565575665,0.0,0.0,0.17062640565575665,5450597.579025926,"[[""603839.SH"", 90418.28111176926], [""603868.SH"", 88053.83438280447], [""000726.SZ"", 84697.85550823726], [""603508.SH"", 83204.59317483955], [""002313.SZ"", 81975.68319995589], [""600630.SH"", 80058.12335902125], [""603685.SH"", 78774.73968077493], [""603366.SH"", 77372.67397740993], [""002899.SZ"", 74828.16672644907], [""600103.SH"", 74019.26466843691]]"
OGR,2022_2023,independent,P3_D4,2022-03-08,-0.008437536429780845,0.020919511402285318,-0.007709683620135333,-0.0007278528096455646,0.0,0.0,0.0,0.20530586470252263,0.0,0.0,0.2053058647025226,5189172.240529358,"[[""000777.SZ"", 87146.07948440939], [""603617.SH"", 84428.14822590853], [""000576.SZ"", 83547.40202331233], [""300154.SZ"", 57148.44202524907], [""600829.SH"", 51382.072276717794], [""600613.SH"", 50768.786176950875], [""002485.SZ"", 50505.11241907499], [""002488.SZ"", 50298.62698379585], [""002078.SZ"", 50007.871604465705], [""000518.SZ"", 49685.99113977647]]"
OGR,2022_2023,independent,P3_D4,2023-04-21,-0.007992899194250058,0.010493913977986269,0.0,0.0,-2.0795651706509897e-05,-0.0079721035425436,0.0,0.0,0.0008944302301436672,0.027391537692382516,0.02828596792252619,6982599.041924306,"[[""159997.SZ"", 121017.9], [""515000.SH"", 75813.8], [""300699.SZ"", 6427.2486162589075]]"
OGR,2022_2023,independent,P3_D4,2022-06-09,-0.007762605058762917,0.009901900540567943,-0.0057829923103421286,-0.0007237822774373854,-0.00011861550700727949,-0.0011372149639763509,0.0,0.33666525610686837,0.004155962944748392,0.08488113281073889,0.42570235186235567,3864795.6764326813,"[[""159601.SZ"", 202348.8], [""515170.SH"", 201117.8], [""510150.SH"", 104220.90000000001], [""002446.SZ"", 85898.48155441655], [""300066.SZ"", 64431.95677493724], [""515650.SH"", 63528.899999999994], [""300586.SZ"", 63058.0250246096], [""300015.SZ"", 62150.21422441366], [""300170.SZ"", 61730.11641384879], [""300518.SZ"", 60534.82578807242]]"
