gap,period,mcb_mode,policy,classification,opportunity_count,units
OGR,2018_2021,independent,P3_D5,STRUCTURAL_IDLE,971,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2018_2021,independent,P3_D6,DAILY_CAP,889,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P3_D6,MAX_K,715,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P3_D6,FAMILY_CAP_BLOCK,28,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P3_D6,STRUCTURAL_IDLE,971,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2018_2021,confirmation_tag,P0,DAILY_CAP,854,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P0,EXACT_CONFIRMATION_TAG,559,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P0,MAX_K,372,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P0,SEGMENTATION_IDLE,313,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P0,STRUCTURAL_IDLE,962,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2018_2021,confirmation_tag,P1,DAILY_CAP,909,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P1,MAX_K,598,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P1,EXACT_CONFIRMATION_TAG,483,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P1,STRUCTURAL_IDLE,973,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2018_2021,confirmation_tag,P2,DAILY_CAP,909,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P2,MAX_K,598,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P2,EXACT_CONFIRMATION_TAG,483,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P2,STRUCTURAL_IDLE,973,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2018_2021,confirmation_tag,P3_D4,DAILY_CAP,909,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P3_D4,MAX_K,598,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P3_D4,EXACT_CONFIRMATION_TAG,483,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P3_D4,STRUCTURAL_IDLE,973,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2018_2021,confirmation_tag,P3_D5,DAILY_CAP,909,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P3_D5,MAX_K,598,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P3_D5,EXACT_CONFIRMATION_TAG,483,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P3_D5,STRUCTURAL_IDLE,973,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2018_2021,confirmation_tag,P3_D6,DAILY_CAP,909,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P3_D6,MAX_K,598,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P3_D6,EXACT_CONFIRMATION_TAG,483,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,confirmation_tag,P3_D6,STRUCTURAL_IDLE,973,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2022_2023,independent,P0,DAILY_CAP,206,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P0,SEGMENTATION_IDLE,202,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P0,MAX_K,76,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P0,STRUCTURAL_IDLE,480,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2022_2023,independent,P1,MAX_K,222,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P1,DAILY_CAP,206,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P1,STRUCTURAL_IDLE,484,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2022_2023,independent,P2,DAILY_CAP,206,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P2,MAX_K,169,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P2,FAMILY_CAP_BLOCK,54,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P2,STRUCTURAL_IDLE,481,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2022_2023,independent,P3_D4,DAILY_CAP,206,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P3_D4,MAX_K,169,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P3_D4,FAMILY_CAP_BLOCK,54,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P3_D4,STRUCTURAL_IDLE,481,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2022_2023,independent,P3_D5,DAILY_CAP,206,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P3_D5,MAX_K,169,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P3_D5,FAMILY_CAP_BLOCK,54,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P3_D5,STRUCTURAL_IDLE,481,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2022_2023,independent,P3_D6,DAILY_CAP,206,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P3_D6,MAX_K,169,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P3_D6,FAMILY_CAP_BLOCK,54,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,independent,P3_D6,STRUCTURAL_IDLE,481,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2022_2023,confirmation_tag,P0,EXACT_CONFIRMATION_TAG,249,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P0,DAILY_CAP,197,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P0,SEGMENTATION_IDLE,106,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P0,MAX_K,70,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P0,STRUCTURAL_IDLE,480,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2022_2023,confirmation_tag,P1,EXACT_CONFIRMATION_TAG,249,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P1,DAILY_CAP,197,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P1,MAX_K,136,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P1,STRUCTURAL_IDLE,484,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2022_2023,confirmation_tag,P2,EXACT_CONFIRMATION_TAG,249,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P2,DAILY_CAP,197,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P2,MAX_K,136,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P2,STRUCTURAL_IDLE,484,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2022_2023,confirmation_tag,P3_D4,EXACT_CONFIRMATION_TAG,249,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P3_D4,DAILY_CAP,197,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P3_D4,MAX_K,136,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P3_D4,STRUCTURAL_IDLE,484,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2022_2023,confirmation_tag,P3_D5,EXACT_CONFIRMATION_TAG,249,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P3_D5,DAILY_CAP,197,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P3_D5,MAX_K,136,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P3_D5,STRUCTURAL_IDLE,484,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2022_2023,confirmation_tag,P3_D6,EXACT_CONFIRMATION_TAG,249,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P3_D6,DAILY_CAP,197,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P3_D6,MAX_K,136,NATIVE_REQUEST_CHECKPOINTS
OGR,2022_2023,confirmation_tag,P3_D6,STRUCTURAL_IDLE,484,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2018_2021,independent,P0,DAILY_CAP,889,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P0,MAX_K,490,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P0,SEGMENTATION_IDLE,419,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P0,STRUCTURAL_IDLE,961,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2018_2021,independent,P1,DAILY_CAP,889,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P1,MAX_K,741,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P1,STRUCTURAL_IDLE,973,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2018_2021,independent,P2,DAILY_CAP,889,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P2,MAX_K,715,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P2,FAMILY_CAP_BLOCK,28,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P2,STRUCTURAL_IDLE,971,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2018_2021,independent,P3_D4,DAILY_CAP,889,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P3_D4,MAX_K,715,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P3_D4,FAMILY_CAP_BLOCK,28,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P3_D4,STRUCTURAL_IDLE,971,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2018_2021,independent,P3_D5,DAILY_CAP,889,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P3_D5,MAX_K,715,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P3_D5,FAMILY_CAP_BLOCK,28,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P3_D5,STRUCTURAL_IDLE,971,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2018_2021,independent,P3_D6,DAILY_CAP,889,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P3_D6,MAX_K,715,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P3_D6,FAMILY_CAP_BLOCK,28,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,independent,P3_D6,STRUCTURAL_IDLE,971,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2018_2021,confirmation_tag,P0,DAILY_CAP,854,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P0,EXACT_CONFIRMATION_TAG,559,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P0,MAX_K,372,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P0,SEGMENTATION_IDLE,313,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P0,STRUCTURAL_IDLE,962,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2018_2021,confirmation_tag,P1,DAILY_CAP,909,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P1,MAX_K,598,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P1,EXACT_CONFIRMATION_TAG,483,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P1,STRUCTURAL_IDLE,973,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2018_2021,confirmation_tag,P2,DAILY_CAP,909,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P2,MAX_K,598,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P2,EXACT_CONFIRMATION_TAG,483,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P2,STRUCTURAL_IDLE,973,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2018_2021,confirmation_tag,P3_D4,DAILY_CAP,909,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P3_D4,MAX_K,598,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P3_D4,EXACT_CONFIRMATION_TAG,483,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P3_D4,STRUCTURAL_IDLE,973,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2018_2021,confirmation_tag,P3_D5,DAILY_CAP,909,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P3_D5,MAX_K,598,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P3_D5,EXACT_CONFIRMATION_TAG,483,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P3_D5,STRUCTURAL_IDLE,973,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2018_2021,confirmation_tag,P3_D6,DAILY_CAP,909,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P3_D6,MAX_K,598,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P3_D6,EXACT_CONFIRMATION_TAG,483,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2018_2021,confirmation_tag,P3_D6,STRUCTURAL_IDLE,973,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2022_2023,independent,P0,DAILY_CAP,206,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P0,SEGMENTATION_IDLE,202,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P0,MAX_K,76,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P0,STRUCTURAL_IDLE,480,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2022_2023,independent,P1,MAX_K,222,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P1,DAILY_CAP,206,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P1,STRUCTURAL_IDLE,484,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2022_2023,independent,P2,DAILY_CAP,206,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P2,MAX_K,169,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P2,FAMILY_CAP_BLOCK,54,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P2,STRUCTURAL_IDLE,481,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2022_2023,independent,P3_D4,DAILY_CAP,206,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P3_D4,MAX_K,169,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P3_D4,FAMILY_CAP_BLOCK,54,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P3_D4,STRUCTURAL_IDLE,481,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2022_2023,independent,P3_D5,DAILY_CAP,206,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P3_D5,MAX_K,169,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P3_D5,FAMILY_CAP_BLOCK,54,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P3_D5,STRUCTURAL_IDLE,481,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2022_2023,independent,P3_D6,DAILY_CAP,206,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P3_D6,MAX_K,169,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P3_D6,FAMILY_CAP_BLOCK,54,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,independent,P3_D6,STRUCTURAL_IDLE,481,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2022_2023,confirmation_tag,P0,EXACT_CONFIRMATION_TAG,249,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P0,DAILY_CAP,197,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P0,SEGMENTATION_IDLE,106,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P0,MAX_K,70,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P0,STRUCTURAL_IDLE,480,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2022_2023,confirmation_tag,P1,EXACT_CONFIRMATION_TAG,249,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P1,DAILY_CAP,197,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P1,MAX_K,136,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P1,STRUCTURAL_IDLE,484,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2022_2023,confirmation_tag,P2,EXACT_CONFIRMATION_TAG,249,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P2,DAILY_CAP,197,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P2,MAX_K,136,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P2,STRUCTURAL_IDLE,484,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2022_2023,confirmation_tag,P3_D4,EXACT_CONFIRMATION_TAG,249,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P3_D4,DAILY_CAP,197,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P3_D4,MAX_K,136,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P3_D4,STRUCTURAL_IDLE,484,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2022_2023,confirmation_tag,P3_D5,EXACT_CONFIRMATION_TAG,249,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P3_D5,DAILY_CAP,197,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P3_D5,MAX_K,136,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P3_D5,STRUCTURAL_IDLE,484,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
IFCGR,2022_2023,confirmation_tag,P3_D6,EXACT_CONFIRMATION_TAG,249,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P3_D6,DAILY_CAP,197,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P3_D6,MAX_K,136,NATIVE_REQUEST_CHECKPOINTS
IFCGR,2022_2023,confirmation_tag,P3_D6,STRUCTURAL_IDLE,484,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
