gap,period,mcb_mode,policy,timestamp,request_count,requested_notional,funded_notional
OGR,2022_2023,independent,P1,2023-11-20 09:30:00,31,1348221.3458101472,1348221.3458101472
OGR,2022_2023,independent,P2,2023-11-20 09:30:00,31,1347424.5720320195,1347424.5720320195
IFCGR,2022_2023,independent,P3_D6,2023-11-20 09:30:00,31,1347424.5720320195,1347424.5720320195
OGR,2022_2023,independent,P3_D4,2023-11-20 09:30:00,31,1347424.5720320195,1347424.5720320195
OGR,2022_2023,independent,P3_D5,2023-11-20 09:30:00,31,1347424.5720320195,1347424.5720320195
IFCGR,2022_2023,independent,P3_D4,2023-11-20 09:30:00,31,1347424.5720320195,1347424.5720320195
IFCGR,2022_2023,independent,P2,2023-11-20 09:30:00,31,1347424.5720320195,1347424.5720320195
IFCGR,2022_2023,independent,P3_D5,2023-11-20 09:30:00,31,1347424.5720320195,1347424.5720320195
OGR,2022_2023,independent,P3_D6,2023-11-20 09:30:00,31,1347424.5720320195,1347424.5720320195
OGR,2022_2023,independent,P0,2023-11-20 09:30:00,31,1345702.4515211615,1345702.4515211612
IFCGR,2022_2023,independent,P0,2023-11-20 09:30:00,31,1345702.4515211612,1345702.4515211612
IFCGR,2022_2023,independent,P1,2023-01-30 09:30:00,32,1330212.6374748894,1330212.6374748894
IFCGR,2022_2023,independent,P0,2023-01-30 09:30:00,32,1330212.6374748894,1330212.6374748894
IFCGR,2022_2023,independent,P3_D5,2023-01-30 09:30:00,32,1330212.6374748894,1330212.6374748894
IFCGR,2022_2023,independent,P3_D4,2023-01-30 09:30:00,32,1330212.6374748894,1330212.6374748894
IFCGR,2022_2023,independent,P2,2023-01-30 09:30:00,32,1330212.6374748894,1330212.6374748894
IFCGR,2022_2023,independent,P3_D6,2023-01-30 09:30:00,32,1330212.6374748894,1330212.6374748894
OGR,2022_2023,independent,P3_D4,2023-01-30 09:30:00,32,1330212.6374748892,1330212.6374748892
OGR,2022_2023,independent,P3_D6,2023-01-30 09:30:00,32,1330212.6374748892,1330212.6374748892
OGR,2022_2023,independent,P0,2023-01-30 09:30:00,32,1330212.6374748892,1330212.6374748892
OGR,2022_2023,independent,P2,2023-01-30 09:30:00,32,1330212.6374748892,1330212.6374748892
OGR,2022_2023,independent,P1,2023-01-30 09:30:00,32,1330212.6374748892,1330212.6374748892
OGR,2022_2023,independent,P3_D5,2023-01-30 09:30:00,32,1330212.6374748892,1330212.6374748892
IFCGR,2018_2021,independent,P1,2019-09-04 09:30:00,29,1296896.171703926,1296896.1717039263
OGR,2018_2021,independent,P1,2019-09-04 09:30:00,29,1296896.1717039244,1296896.1717039244
IFCGR,2018_2021,independent,P3_D6,2019-09-04 09:30:00,29,1296754.143119711,1296754.143119711
IFCGR,2018_2021,independent,P2,2019-09-04 09:30:00,29,1296754.143119711,1296754.143119711
IFCGR,2018_2021,independent,P3_D5,2019-09-04 09:30:00,29,1296754.143119711,1296754.143119711
IFCGR,2018_2021,independent,P3_D4,2019-09-04 09:30:00,29,1296754.143119711,1296754.143119711
OGR,2018_2021,independent,P3_D5,2019-09-04 09:30:00,29,1296754.143119709,1296754.143119709
OGR,2018_2021,independent,P3_D4,2019-09-04 09:30:00,29,1296754.143119709,1296754.143119709
OGR,2018_2021,independent,P2,2019-09-04 09:30:00,29,1296754.143119709,1296754.143119709
OGR,2018_2021,independent,P3_D6,2019-09-04 09:30:00,29,1296754.143119709,1296754.143119709
IFCGR,2018_2021,independent,P0,2019-09-04 09:30:00,29,1295296.0368775933,1295296.0368775933
OGR,2018_2021,independent,P0,2019-09-04 09:30:00,29,1295296.0368775893,1295296.0368775895
IFCGR,2018_2021,independent,P0,2020-07-07 09:30:00,40,1289948.204170258,1289948.204170258
OGR,2018_2021,independent,P0,2020-07-07 09:30:00,40,1289948.2041702552,1289948.2041702552
IFCGR,2018_2021,independent,P2,2020-07-07 09:30:00,40,1289865.6261692378,1289865.6261692378
IFCGR,2018_2021,independent,P3_D5,2020-07-07 09:30:00,40,1289865.6261692378,1289865.6261692378
IFCGR,2018_2021,independent,P3_D6,2020-07-07 09:30:00,40,1289865.6261692378,1289865.6261692378
IFCGR,2018_2021,independent,P3_D4,2020-07-07 09:30:00,40,1289865.6261692378,1289865.6261692378
OGR,2018_2021,independent,P3_D6,2020-07-07 09:30:00,40,1289865.626169235,1289865.626169235
OGR,2018_2021,independent,P3_D4,2020-07-07 09:30:00,40,1289865.626169235,1289865.626169235
OGR,2018_2021,independent,P3_D5,2020-07-07 09:30:00,40,1289865.626169235,1289865.626169235
OGR,2018_2021,independent,P2,2020-07-07 09:30:00,40,1289865.626169235,1289865.626169235
IFCGR,2018_2021,independent,P1,2020-07-07 09:30:00,40,1289295.6103618525,1289295.6103618525
OGR,2018_2021,independent,P1,2020-07-07 09:30:00,40,1289295.610361849,1289295.610361849
IFCGR,2018_2021,confirmation_tag,P0,2020-07-10 09:30:00,65,1272862.4822338282,481943.8135726398
OGR,2018_2021,confirmation_tag,P0,2020-07-10 09:30:00,65,1272862.4822338272,481943.8135726396
IFCGR,2018_2021,confirmation_tag,P0,2019-02-26 09:30:00,73,1245349.690781439,760826.0963864559
OGR,2018_2021,confirmation_tag,P0,2019-02-26 09:30:00,73,1245349.6907814383,760826.0963864558
IFCGR,2018_2021,independent,P2,2019-02-26 09:30:00,46,1199481.3481456127,909250.8384798676
IFCGR,2018_2021,independent,P3_D6,2019-02-26 09:30:00,46,1199481.3481456127,909250.8384798676
IFCGR,2018_2021,independent,P3_D5,2019-02-26 09:30:00,46,1199481.3481456127,909250.8384798676
IFCGR,2018_2021,independent,P3_D4,2019-02-26 09:30:00,46,1199481.3481456127,909250.8384798676
OGR,2018_2021,independent,P3_D6,2019-02-26 09:30:00,46,1199481.348145611,909250.8384798658
OGR,2018_2021,independent,P3_D4,2019-02-26 09:30:00,46,1199481.348145611,909250.8384798658
OGR,2018_2021,independent,P3_D5,2019-02-26 09:30:00,46,1199481.348145611,909250.8384798658
OGR,2018_2021,independent,P2,2019-02-26 09:30:00,46,1199481.348145611,909250.8384798658
OGR,2018_2021,confirmation_tag,P0,2020-07-07 09:30:00,59,1193818.3700335035,1193818.3700335035
IFCGR,2018_2021,confirmation_tag,P0,2020-07-07 09:30:00,59,1193818.3700335033,1193818.3700335033
OGR,2018_2021,confirmation_tag,P2,2020-07-07 09:30:00,59,1190737.094034324,1190737.094034324
IFCGR,2018_2021,confirmation_tag,P3_D5,2020-07-07 09:30:00,59,1190737.094034324,1190737.094034324
IFCGR,2018_2021,confirmation_tag,P3_D6,2020-07-07 09:30:00,59,1190737.094034324,1190737.094034324
OGR,2018_2021,confirmation_tag,P3_D6,2020-07-07 09:30:00,59,1190737.094034324,1190737.094034324
IFCGR,2018_2021,confirmation_tag,P1,2020-07-07 09:30:00,59,1190737.094034324,1190737.094034324
IFCGR,2018_2021,confirmation_tag,P2,2020-07-07 09:30:00,59,1190737.094034324,1190737.094034324
OGR,2018_2021,confirmation_tag,P3_D5,2020-07-07 09:30:00,59,1190737.094034324,1190737.094034324
IFCGR,2018_2021,confirmation_tag,P3_D4,2020-07-07 09:30:00,59,1190737.094034324,1190737.094034324
OGR,2018_2021,confirmation_tag,P1,2020-07-07 09:30:00,59,1190737.094034324,1190737.094034324
OGR,2018_2021,confirmation_tag,P3_D4,2020-07-07 09:30:00,59,1190737.094034324,1190737.094034324
OGR,2022_2023,independent,P1,2023-07-26 09:30:00,27,1176554.4565763164,1176554.4565763164
IFCGR,2022_2023,independent,P1,2023-07-26 09:30:00,27,1176535.0515532112,1176535.0515532112
OGR,2022_2023,independent,P2,2023-07-26 09:30:00,27,1176157.3784945759,1176157.3784945759
OGR,2022_2023,independent,P3_D4,2023-07-26 09:30:00,27,1176157.3784945759,1176157.3784945759
OGR,2022_2023,independent,P3_D5,2023-07-26 09:30:00,27,1176157.3784945759,1176157.3784945759
OGR,2022_2023,independent,P3_D6,2023-07-26 09:30:00,27,1176157.3784945759,1176157.3784945759
IFCGR,2022_2023,independent,P2,2023-07-26 09:30:00,27,1176137.97347147,1176137.97347147
IFCGR,2022_2023,independent,P3_D5,2023-07-26 09:30:00,27,1176137.97347147,1176137.97347147
IFCGR,2022_2023,independent,P3_D6,2023-07-26 09:30:00,27,1176137.97347147,1176137.97347147
IFCGR,2022_2023,independent,P3_D4,2023-07-26 09:30:00,27,1176137.97347147,1176137.97347147
OGR,2022_2023,independent,P0,2023-07-26 09:30:00,27,1175069.7669283587,1175069.7669283587
IFCGR,2022_2023,independent,P0,2023-07-26 09:30:00,27,1175050.361905253,1175050.361905253
IFCGR,2022_2023,independent,P1,2023-11-15 09:30:00,25,1109167.2671165934,1109167.2671165934
OGR,2022_2023,independent,P1,2023-11-15 09:30:00,25,1109167.2671165927,1109167.2671165927
IFCGR,2022_2023,independent,P3_D6,2023-11-15 09:30:00,25,1108500.408852326,1108500.408852326
OGR,2022_2023,independent,P3_D5,2023-11-15 09:30:00,25,1108500.408852326,1108500.408852326
OGR,2022_2023,independent,P3_D6,2023-11-15 09:30:00,25,1108500.408852326,1108500.408852326
OGR,2022_2023,independent,P2,2023-11-15 09:30:00,25,1108500.408852326,1108500.408852326
IFCGR,2022_2023,independent,P3_D5,2023-11-15 09:30:00,25,1108500.408852326,1108500.408852326
IFCGR,2022_2023,independent,P2,2023-11-15 09:30:00,25,1108500.408852326,1108500.408852326
OGR,2022_2023,independent,P3_D4,2023-11-15 09:30:00,25,1108500.408852326,1108500.408852326
IFCGR,2022_2023,independent,P3_D4,2023-11-15 09:30:00,25,1108500.408852326,1108500.408852326
IFCGR,2022_2023,independent,P0,2023-11-15 09:30:00,25,1106589.9349232975,1106589.9349232975
OGR,2022_2023,independent,P0,2023-11-15 09:30:00,25,1106589.9349232975,1106589.9349232975
OGR,2022_2023,confirmation_tag,P3_D4,2023-07-26 09:30:00,36,1092864.3078239404,1092864.3078239406
OGR,2022_2023,confirmation_tag,P1,2023-07-26 09:30:00,36,1092864.3078239404,1092864.3078239406
OGR,2022_2023,confirmation_tag,P3_D6,2023-07-26 09:30:00,36,1092864.3078239404,1092864.3078239406
OGR,2022_2023,confirmation_tag,P3_D5,2023-07-26 09:30:00,36,1092864.3078239404,1092864.3078239406
OGR,2022_2023,confirmation_tag,P2,2023-07-26 09:30:00,36,1092864.3078239404,1092864.3078239406
IFCGR,2022_2023,confirmation_tag,P2,2023-07-26 09:30:00,36,1092844.9028008361,1092844.9028008361
IFCGR,2022_2023,confirmation_tag,P3_D4,2023-07-26 09:30:00,36,1092844.9028008361,1092844.9028008361
IFCGR,2022_2023,confirmation_tag,P3_D5,2023-07-26 09:30:00,36,1092844.9028008361,1092844.9028008361
IFCGR,2022_2023,confirmation_tag,P1,2023-07-26 09:30:00,36,1092844.9028008361,1092844.9028008361
IFCGR,2022_2023,confirmation_tag,P3_D6,2023-07-26 09:30:00,36,1092844.9028008361,1092844.9028008361
OGR,2022_2023,confirmation_tag,P0,2023-07-26 09:30:00,36,1091663.5915584303,1091663.5915584303
IFCGR,2022_2023,confirmation_tag,P0,2023-07-26 09:30:00,36,1091644.1865353258,1091644.1865353258
IFCGR,2018_2021,confirmation_tag,P1,2019-09-04 09:30:00,34,1075251.4482551147,1075251.4482551147
OGR,2018_2021,confirmation_tag,P1,2019-09-04 09:30:00,34,1075251.4482551147,1075251.4482551147
OGR,2018_2021,confirmation_tag,P3_D5,2019-09-04 09:30:00,34,1075251.4482551147,1075251.4482551147
IFCGR,2018_2021,confirmation_tag,P2,2019-09-04 09:30:00,34,1075251.4482551147,1075251.4482551147
IFCGR,2018_2021,confirmation_tag,P3_D6,2019-09-04 09:30:00,34,1075251.4482551147,1075251.4482551147
OGR,2018_2021,confirmation_tag,P3_D4,2019-09-04 09:30:00,34,1075251.4482551147,1075251.4482551147
IFCGR,2018_2021,confirmation_tag,P3_D4,2019-09-04 09:30:00,34,1075251.4482551147,1075251.4482551147
IFCGR,2018_2021,confirmation_tag,P3_D5,2019-09-04 09:30:00,34,1075251.4482551147,1075251.4482551147
OGR,2018_2021,confirmation_tag,P2,2019-09-04 09:30:00,34,1075251.4482551147,1075251.4482551147
OGR,2018_2021,confirmation_tag,P3_D6,2019-09-04 09:30:00,34,1075251.4482551147,1075251.4482551147
OGR,2018_2021,confirmation_tag,P0,2019-09-04 09:30:00,34,1073993.9926092078,1073993.992609208
IFCGR,2018_2021,confirmation_tag,P0,2019-09-04 09:30:00,34,1073993.9926092078,1073993.992609208
IFCGR,2018_2021,confirmation_tag,P1,2019-02-19 09:30:00,58,1058281.27371938,1058281.27371938
IFCGR,2018_2021,confirmation_tag,P3_D6,2019-02-19 09:30:00,58,1058281.27371938,1058281.27371938
IFCGR,2018_2021,confirmation_tag,P2,2019-02-19 09:30:00,58,1058281.27371938,1058281.27371938
IFCGR,2018_2021,confirmation_tag,P3_D4,2019-02-19 09:30:00,58,1058281.27371938,1058281.27371938
IFCGR,2018_2021,confirmation_tag,P3_D5,2019-02-19 09:30:00,58,1058281.27371938,1058281.27371938
OGR,2018_2021,confirmation_tag,P2,2019-02-19 09:30:00,58,1058281.2737193797,1058281.2737193797
OGR,2018_2021,confirmation_tag,P3_D5,2019-02-19 09:30:00,58,1058281.2737193797,1058281.2737193797
OGR,2018_2021,confirmation_tag,P1,2019-02-19 09:30:00,58,1058281.2737193797,1058281.2737193797
OGR,2018_2021,confirmation_tag,P3_D4,2019-02-19 09:30:00,58,1058281.2737193797,1058281.2737193797
OGR,2018_2021,confirmation_tag,P3_D6,2019-02-19 09:30:00,58,1058281.2737193797,1058281.2737193797
IFCGR,2018_2021,confirmation_tag,P0,2019-02-19 09:30:00,58,1057271.4072209797,1057271.4072209797
OGR,2018_2021,confirmation_tag,P0,2019-02-19 09:30:00,58,1057271.4072209795,1057271.4072209795
IFCGR,2018_2021,independent,P1,2019-02-19 09:30:00,40,1057088.1781686249,1057088.1781686249
IFCGR,2018_2021,independent,P3_D6,2019-02-19 09:30:00,40,1057088.1781686249,1057088.1781686249
IFCGR,2018_2021,independent,P3_D5,2019-02-19 09:30:00,40,1057088.1781686249,1057088.1781686249
IFCGR,2018_2021,independent,P3_D4,2019-02-19 09:30:00,40,1057088.1781686249,1057088.1781686249
IFCGR,2018_2021,independent,P2,2019-02-19 09:30:00,40,1057088.1781686249,1057088.1781686249
OGR,2018_2021,independent,P3_D6,2019-02-19 09:30:00,40,1057088.1781686235,1057088.1781686235
OGR,2018_2021,independent,P1,2019-02-19 09:30:00,40,1057088.1781686235,1057088.1781686235
OGR,2018_2021,independent,P2,2019-02-19 09:30:00,40,1057088.1781686235,1057088.1781686235
OGR,2018_2021,independent,P3_D4,2019-02-19 09:30:00,40,1057088.1781686235,1057088.1781686235
OGR,2018_2021,independent,P3_D5,2019-02-19 09:30:00,40,1057088.1781686235,1057088.1781686235
IFCGR,2018_2021,independent,P0,2019-02-19 09:30:00,40,1055906.6555686714,1055906.6555686714
OGR,2018_2021,independent,P0,2019-02-19 09:30:00,40,1055906.6555686696,1055906.6555686696
IFCGR,2018_2021,independent,P2,2019-12-16 09:30:00,17,1051523.1990851362,1051014.7911038722
IFCGR,2018_2021,independent,P3_D5,2019-12-16 09:30:00,17,1051523.1990851362,1051014.7911038722
IFCGR,2018_2021,independent,P3_D4,2019-12-16 09:30:00,17,1051523.1990851362,1051014.7911038722
IFCGR,2018_2021,independent,P3_D6,2019-12-16 09:30:00,17,1051523.1990851362,1051014.7911038722
OGR,2018_2021,independent,P3_D6,2019-12-16 09:30:00,17,1051523.1990851345,1051014.7911038706
OGR,2018_2021,independent,P2,2019-12-16 09:30:00,17,1051523.1990851345,1051014.7911038706
OGR,2018_2021,independent,P3_D5,2019-12-16 09:30:00,17,1051523.1990851345,1051014.7911038706
OGR,2018_2021,independent,P3_D4,2019-12-16 09:30:00,17,1051523.1990851345,1051014.7911038706
IFCGR,2018_2021,independent,P1,2019-12-16 09:30:00,17,1051370.9255433367,1050862.5175620725
OGR,2018_2021,independent,P1,2019-12-16 09:30:00,17,1051370.925543335,1050862.517562071
IFCGR,2018_2021,confirmation_tag,P0,2019-09-05 09:30:00,53,1009474.8450815958,269193.57049150823
OGR,2018_2021,confirmation_tag,P0,2019-09-05 09:30:00,53,1009474.8450815957,269193.5704915081
IFCGR,2018_2021,confirmation_tag,P0,2020-12-22 09:30:00,6,1007330.593940219,1007330.593940219
OGR,2018_2021,confirmation_tag,P0,2020-12-22 09:30:00,6,1007330.593940219,1007330.593940219
IFCGR,2018_2021,independent,P3_D6,2020-12-22 09:30:00,6,1007161.6782189152,1007161.6782189152
IFCGR,2018_2021,independent,P3_D5,2020-12-22 09:30:00,6,1007161.6782189152,1007161.6782189152
IFCGR,2018_2021,independent,P2,2020-12-22 09:30:00,6,1007161.6782189152,1007161.6782189152
IFCGR,2018_2021,independent,P3_D4,2020-12-22 09:30:00,6,1007161.6782189152,1007161.6782189152
OGR,2018_2021,independent,P3_D4,2020-12-22 09:30:00,6,1007161.678218915,1007161.678218915
OGR,2018_2021,independent,P3_D6,2020-12-22 09:30:00,6,1007161.678218915,1007161.678218915
OGR,2018_2021,independent,P2,2020-12-22 09:30:00,6,1007161.678218915,1007161.678218915
OGR,2018_2021,independent,P3_D5,2020-12-22 09:30:00,6,1007161.678218915,1007161.678218915
IFCGR,2018_2021,independent,P1,2020-12-22 09:30:00,6,1007050.8308604147,1007050.8308604147
OGR,2018_2021,confirmation_tag,P3_D4,2020-12-22 09:30:00,6,1007050.8308604145,1007050.8308604145
OGR,2018_2021,confirmation_tag,P3_D5,2020-12-22 09:30:00,6,1007050.8308604145,1007050.8308604145
OGR,2018_2021,confirmation_tag,P3_D6,2020-12-22 09:30:00,6,1007050.8308604145,1007050.8308604145
OGR,2018_2021,confirmation_tag,P2,2020-12-22 09:30:00,6,1007050.8308604145,1007050.8308604145
OGR,2018_2021,confirmation_tag,P1,2020-12-22 09:30:00,6,1007050.8308604145,1007050.8308604145
IFCGR,2018_2021,confirmation_tag,P2,2020-12-22 09:30:00,6,1007050.8308604145,1007050.8308604145
IFCGR,2018_2021,confirmation_tag,P1,2020-12-22 09:30:00,6,1007050.8308604145,1007050.8308604145
IFCGR,2018_2021,confirmation_tag,P3_D5,2020-12-22 09:30:00,6,1007050.8308604145,1007050.8308604145
IFCGR,2018_2021,confirmation_tag,P3_D4,2020-12-22 09:30:00,6,1007050.8308604145,1007050.8308604145
IFCGR,2018_2021,confirmation_tag,P3_D6,2020-12-22 09:30:00,6,1007050.8308604145,1007050.8308604145
OGR,2018_2021,independent,P1,2020-12-22 09:30:00,6,1007050.8308604144,1007050.8308604144
OGR,2022_2023,independent,P3_D5,2022-01-05 09:30:00,24,1005364.7625829584,1005364.7625829584
IFCGR,2022_2023,independent,P3_D6,2022-01-05 09:30:00,24,1005364.7625829584,1005364.7625829584
IFCGR,2022_2023,independent,P0,2022-01-05 09:30:00,24,1005364.7625829584,1005364.7625829584
IFCGR,2022_2023,independent,P1,2022-01-05 09:30:00,24,1005364.7625829584,1005364.7625829584
IFCGR,2022_2023,independent,P2,2022-01-05 09:30:00,24,1005364.7625829584,1005364.7625829584
IFCGR,2022_2023,independent,P3_D4,2022-01-05 09:30:00,24,1005364.7625829584,1005364.7625829584
OGR,2022_2023,independent,P0,2022-01-05 09:30:00,24,1005364.7625829584,1005364.7625829584
IFCGR,2022_2023,independent,P3_D5,2022-01-05 09:30:00,24,1005364.7625829584,1005364.7625829584
OGR,2022_2023,independent,P2,2022-01-05 09:30:00,24,1005364.7625829584,1005364.7625829584
OGR,2022_2023,independent,P3_D6,2022-01-05 09:30:00,24,1005364.7625829584,1005364.7625829584
OGR,2022_2023,independent,P3_D4,2022-01-05 09:30:00,24,1005364.7625829584,1005364.7625829584
OGR,2022_2023,independent,P1,2022-01-05 09:30:00,24,1005364.7625829584,1005364.7625829584
IFCGR,2022_2023,confirmation_tag,P3_D4,2023-11-16 09:30:00,27,1002756.5839724479,1002756.5839724479
IFCGR,2022_2023,confirmation_tag,P1,2023-11-16 09:30:00,27,1002756.5839724479,1002756.5839724479
IFCGR,2022_2023,confirmation_tag,P2,2023-11-16 09:30:00,27,1002756.5839724479,1002756.5839724479
IFCGR,2022_2023,confirmation_tag,P3_D5,2023-11-16 09:30:00,27,1002756.5839724479,1002756.5839724479
