year,quintile,observations,mean_fwd5,mean_fwd10,mean_fwd20,median_fwd10,mean_mfe10,mean_mae10,new_high10,feature
2020,5,2941,0.006100338081144364,0.00834237205641519,0.01242868400428417,-0.010790114862512912,0.08160327834009612,-0.06342127507072517,0.7956477388643318,residual_resilience
2021,1,2930,0.00448805629599572,0.0058147870128443455,0.0024715721584716876,-0.009229906160750811,0.07085247911082915,-0.05547204394835135,0.8180887372013652,residual_resilience
2021,2,2929,0.004312887968214505,0.00437437131052004,0.010189411340409989,-0.007392197125256961,0.0625363491624265,-0.04894578673874497,0.8200751109593718,residual_resilience
2021,3,2930,0.002877918398233088,0.0032089343479609865,0.005955391496207489,-0.0050827972822856116,0.060259122820695704,-0.048016552325678676,0.822184300341297,residual_resilience
2021,4,2929,0.002223484045233519,0.007657623615894936,0.00899878123256334,-0.005033979360684837,0.0655035713519074,-0.05138095391016237,0.808467053601912,residual_resilience
2021,5,2930,0.002715418370982999,0.0023085661288678883,0.0037632357780799895,-0.010608547732673113,0.07866918308621197,-0.06601768332178203,0.7959044368600683,residual_resilience
2022,1,3256,0.0025706869314533615,-0.00021222725700731877,-0.0016978531209640088,-0.00759344819476393,0.0629825635118515,-0.060296572560084076,0.7886977886977887,residual_resilience
2022,2,3256,0.003322202112687369,0.0046480909931833425,0.0064304279409647044,0.0015777620167483075,0.05778444959037155,-0.05207667979600126,0.816953316953317,residual_resilience
2022,3,3256,0.0038851880272160167,0.0037891886061344336,0.006710777190005101,-0.0012576368760637835,0.0559214132543527,-0.050924968110975896,0.8234029484029484,residual_resilience
2022,4,3256,0.0038135658206423805,-3.843416489283512e-05,0.002634072936327923,-0.0038700579073482344,0.058426337171819186,-0.05622288242514724,0.8184889434889435,residual_resilience
2022,5,3256,-0.0003803820436972452,-0.00852786928520706,-0.015643562276868663,-0.01492438259895068,0.06771766161776051,-0.07221346518308708,0.7773341523341524,residual_resilience
2023,1,3272,0.0026679704499412617,0.008416535094530522,0.0021215686818915076,-0.004109443011360847,0.057385535421121736,-0.043263960475833564,0.8187652811735942,residual_resilience
2023,2,3272,0.003659153963753673,0.007735824070974698,0.004182769061290349,-2.220446049250313e-16,0.04707535711714739,-0.036245625448234266,0.8267114914425427,residual_resilience
2023,3,3271,0.0027441939308028825,0.00750104802199059,0.008235140554124713,-0.0004775549188155148,0.045047138427698044,-0.03544972185660931,0.8251299296851116,residual_resilience
2023,4,3272,0.0038161698696789538,0.009787326158424646,0.006807200190851479,0.00280441943471188,0.04948359645496928,-0.035187288299801556,0.8380195599022005,residual_resilience
