target,split,feature,family,kind,category,winner_total,winner_available,winner_coverage,nonwinner_total,nonwinner_available,nonwinner_coverage,winner_median,nonwinner_median,auc_winner_higher,auc_cluster_ci_low,auc_cluster_ci_high
any_upside,discovery,peak_band_width_rel_price_chg_10,peak_shape,continuous,recent_change,643,103,0.1601866252,139,36,0.2589928058,0.01078626097,0.0139225882,0.4509169364,0.3290220799,0.5722386477
any_upside,discovery,peak_band_width_rel_price_chg_20,peak_shape,continuous,recent_change,643,38,0.05909797823,139,28,0.2014388489,0.006215254495,0.0171906609,0.3336466165,0.2110080222,0.4742207615
any_upside,discovery,peak_location_rel_price_chg_5,peak_shape,continuous,recent_change,643,130,0.2021772939,139,42,0.3021582734,0.1285841242,0.1159353558,0.586996337,0.495538701,0.6647435724
any_upside,discovery,peak_location_rel_price_chg_10,peak_shape,continuous,recent_change,643,103,0.1601866252,139,36,0.2589928058,0.1600232263,0.1625403781,0.5221143474,0.427380512,0.6245846578
any_upside,discovery,peak_location_rel_price_chg_20,peak_shape,continuous,recent_change,643,38,0.05909797823,139,28,0.2014388489,0.100710106,0.1912541233,0.3195488722,0.1883529892,0.4759863031
any_upside,discovery,base_presence_20_chg_5,base_persistence,continuous,recent_change,643,303,0.4712286159,139,21,0.1510791367,0,0,0.4782335376,0.3860496421,0.5757239421
any_upside,discovery,base_presence_20_chg_10,base_persistence,continuous,recent_change,643,288,0.4479004666,139,21,0.1510791367,0,0,0.4650297619,0.3604521176,0.5652362934
any_upside,discovery,base_presence_20_chg_20,base_persistence,continuous,recent_change,643,246,0.3825816485,139,21,0.1510791367,0,0,0.4309910956,0.3178628153,0.5463429779
any_upside,discovery,concentration_20_chg_5,scalar_chip,continuous,recent_change,643,589,0.9160186625,139,138,0.9928057554,-0.01108489749,-0.0266528791,0.6705297606,0.6234795678,0.7186060804
any_upside,discovery,concentration_20_chg_10,scalar_chip,continuous,recent_change,643,586,0.9113530327,139,138,0.9928057554,-0.004423818187,-0.02353837407,0.6346762626,0.5946553491,0.6747200511
any_upside,discovery,concentration_20_chg_20,scalar_chip,continuous,recent_change,643,311,0.4836702955,139,138,0.9928057554,-0.01548606321,-0.005180558142,0.4606691831,0.4086685635,0.5042441336
any_upside,discovery,profit_ratio_chg_5,scalar_chip,continuous,recent_change,643,589,0.9160186625,139,138,0.9928057554,-0.2105785758,-0.04833473422,0.2158657513,0.1723202644,0.2619794588
any_upside,discovery,profit_ratio_chg_10,scalar_chip,continuous,recent_change,643,586,0.9113530327,139,138,0.9928057554,-0.2865231591,-0.1982145499,0.4063906613,0.3596636532,0.4405137194
any_upside,discovery,profit_ratio_chg_20,scalar_chip,continuous,recent_change,643,311,0.4836702955,139,138,0.9928057554,-0.2056991188,-0.2912919994,0.5729530733,0.5152197897,0.6304787037
any_upside,discovery,average_cost_rel_price_chg_5,cost_anchors,continuous,recent_change,643,589,0.9160186625,139,138,0.9928057554,0.1230336117,0.08398732888,0.6825373391,0.6442076196,0.7209873182
any_upside,discovery,average_cost_rel_price_chg_10,cost_anchors,continuous,recent_change,643,586,0.9113530327,139,138,0.9928057554,0.1505417133,0.1329169032,0.5862393036,0.5455438401,0.6233947643
any_upside,discovery,average_cost_rel_price_chg_20,cost_anchors,continuous,recent_change,643,311,0.4836702955,139,138,0.9928057554,0.0959408908,0.1394122861,0.4367398294,0.3777445481,0.4908832168
any_upside,discovery,p10_rel_price_chg_5,cost_anchors,continuous,recent_change,643,589,0.9160186625,139,138,0.9928057554,0.1001951426,0.06402693164,0.7017297803,0.6611542486,0.7401301771
any_upside,discovery,p10_rel_price_chg_10,cost_anchors,continuous,recent_change,643,586,0.9113530327,139,138,0.9928057554,0.1208029499,0.1090295209,0.5878777761,0.5462923744,0.6262117351
any_upside,discovery,p10_rel_price_chg_20,cost_anchors,continuous,recent_change,643,311,0.4836702955,139,138,0.9928057554,0.0789386724,0.1202994952,0.4207092595,0.3651934555,0.475167811
any_upside,discovery,p50_rel_price_chg_5,cost_anchors,continuous,recent_change,643,589,0.9160186625,139,138,0.9928057554,0.121836171,0.08755466716,0.6632095667,0.6252462741,0.7018547863
any_upside,discovery,p50_rel_price_chg_10,cost_anchors,continuous,recent_change,643,586,0.9113530327,139,138,0.9928057554,0.1488915817,0.1286046818,0.5793020725,0.5415197944,0.6179239647
any_upside,discovery,p50_rel_price_chg_20,cost_anchors,continuous,recent_change,643,311,0.4836702955,139,138,0.9928057554,0.09022932477,0.1356317371,0.4291905494,0.3711760145,0.4808860366
any_upside,discovery,p90_rel_price_chg_5,cost_anchors,continuous,recent_change,643,589,0.9160186625,139,138,0.9928057554,0.1440069322,0.1015503054,0.6707635147,0.6271231387,0.7108027179
any_upside,discovery,p90_rel_price_chg_10,cost_anchors,continuous,recent_change,643,586,0.9113530327,139,138,0.9928057554,0.178427239,0.1599353926,0.5753697383,0.5346641189,0.6159982276
any_upside,discovery,p90_rel_price_chg_20,cost_anchors,continuous,recent_change,643,311,0.4836702955,139,138,0.9928057554,0.1194059329,0.158499494,0.4466657347,0.3869768927,0.5070550613
any_upside,validation,base_exists,structural_base,binary,absolute_state,541,541,1,169,169,1,0,0,0.4845946035,0.4426748619,0.5227411224
any_upside,validation,strict_temporal_valid,structural_base,binary,absolute_state,541,541,1,169,169,1,0,0,0.4971726695,0.4581458078,0.5352134694
any_upside,validation,peak_track_age,peak_age,continuous,absolute_state,541,169,0.3123844732,169,58,0.3431952663,60,77.5,0.4405223424,0.3402800037,0.538681584
any_upside,validation,peak_track_mass,peak_mass,continuous,absolute_state,541,169,0.3123844732,169,58,0.3431952663,0.2325172893,0.1784938517,0.5348908386,0.4507377294,0.6202426972
any_upside,validation,peak_track_prominence,peak_prominence,continuous,absolute_state,541,169,0.3123844732,169,58,0.3431952663,0.01086697341,0.01000717802,0.5263211589,0.4401658431,0.6028641173
any_upside,validation,peak_band_width_abs,peak_shape,continuous,absolute_state,541,169,0.3123844732,169,58,0.3431952663,0.5079992213,0.4326936595,0.5355539686,0.4351989969,0.6288997024
any_upside,validation,peak_band_width_rel_price,peak_shape,continuous,absolute_state,541,169,0.3123844732,169,58,0.3431952663,0.09503185839,0.086663767,0.5666190573,0.4847201863,0.6554136254
any_upside,validation,peak_location_rel_price,peak_shape,continuous,absolute_state,541,169,0.3123844732,169,58,0.3431952663,0.1804841037,0.07742277425,0.6638441134,0.5808003185,0.749693932
any_upside,validation,rolling_base_episode_age,base_persistence,continuous,persistence,541,169,0.3123844732,169,58,0.3431952663,8,6.5,0.5304019588,0.4406720417,0.6155815405
any_upside,validation,days_since_rebinding,base_persistence,continuous,persistence,541,169,0.3123844732,169,58,0.3431952663,7,5.5,0.5304019588,0.4406720417,0.6155815405
any_upside,validation,rebinding_observed,base_persistence,binary,lifecycle_event,541,541,1,169,169,1,0,0,0.4845946035,0.4426748619,0.5227411224
any_upside,validation,base_presence_5,base_persistence,continuous,persistence,541,541,1,169,169,1,0,0,0.4890297389,0.4401501401,0.536514225
any_upside,validation,base_presence_10,base_persistence,continuous,persistence,541,541,1,169,169,1,0,0.2,0.4810071203,0.4379990837,0.5289269665
any_upside,validation,base_presence_20,base_persistence,continuous,persistence,541,541,1,169,169,1,0.15,0.25,0.4605048726,0.4138070632,0.517150995
any_upside,validation,peak_track_split,lifecycle_events,binary,lifecycle_event,541,541,1,169,169,1,0,0,0.4866727187,0.4636894595,0.5126025767
any_upside,validation,peak_track_merge,lifecycle_events,binary,lifecycle_event,541,541,1,169,169,1,0,0,0.4792735347,0.4531329488,0.5084943034
any_upside,validation,peak_track_lost,lifecycle_events,binary,lifecycle_event,541,541,1,169,169,1,0,0,0.4899922344,0.4600500847,0.5177106737
any_upside,validation,split_count_20,lifecycle_events,continuous,persistence,541,541,1,169,169,1,1,1,0.4515525708,0.4050874846,0.4990887794
any_upside,validation,merge_count_20,lifecycle_events,continuous,persistence,541,541,1,169,169,1,1,2,0.4521978803,0.4022723959,0.4991834215
any_upside,validation,lost_count_20,lifecycle_events,continuous,persistence,541,541,1,169,169,1,3,3,0.4957508012,0.4348109926,0.5432425393
any_upside,validation,ensemble_ambiguity,ensemble_ambiguity,binary,absolute_state,541,541,1,169,169,1,1,1,0.528907677,0.4878021788,0.5739376387
any_upside,validation,ambiguity_rate_20,ensemble_ambiguity,continuous,persistence,541,541,1,169,169,1,0.75,0.7,0.5453411937,0.494906976,0.5946859189
any_upside,validation,concentration_20,scalar_chip,continuous,absolute_state,541,541,1,169,167,0.9881656805,0.6607843504,0.6192942765,0.5330780214,0.4792229982,0.5866013135
any_upside,validation,profit_ratio,scalar_chip,continuous,absolute_state,541,541,1,169,167,0.9881656805,0.1131398821,0.4177915127,0.238834715,0.2054009492,0.283741
any_upside,validation,asr,scalar_chip,continuous,absolute_state,541,541,1,169,167,0.9881656805,0.4530277774,0.5256577388,0.4364837792,0.3848886202,0.4854822983
any_upside,validation,cbw,scalar_chip,continuous,absolute_state,541,541,1,169,167,0.9881656805,71.05744379,70.20535324,0.5135754369,0.4569314237,0.5647159711
any_upside,validation,average_cost_rel_price,cost_anchors,continuous,absolute_state,541,541,1,169,167,0.9881656805,0.1162345213,0.03048054513,0.7012518401,0.6500817899,0.7515064548
any_upside,validation,p01_rel_price,cost_anchors,continuous,absolute_state,541,541,1,169,167,0.9881656805,-0.0761242071,-0.1647255742,0.6888773285,0.6424657168,0.7288194093
any_upside,validation,p10_rel_price,cost_anchors,continuous,absolute_state,541,541,1,169,167,0.9881656805,-0.003564587898,-0.09203412913,0.7240970923,0.6777896462,0.7567296524
any_upside,validation,p50_rel_price,cost_anchors,continuous,absolute_state,541,541,1,169,167,0.9881656805,0.08639237023,0.01934005508,0.7261004793,0.6763677222,0.7727344531
any_upside,validation,p90_rel_price,cost_anchors,continuous,absolute_state,541,541,1,169,167,0.9881656805,0.277802721,0.159755399,0.6745713748,0.6185951512,0.7258362419
any_upside,validation,p99_rel_price,cost_anchors,continuous,absolute_state,541,541,1,169,167,0.9881656805,0.4923600661,0.3238494869,0.6401208673,0.581947878,0.6964857444
any_upside,validation,model_spread_cost_p50,model_consensus,continuous,absolute_state,541,541,1,169,167,0.9881656805,0.1390142037,0.1452862013,0.4921192735,0.4401122976,0.5407017606
any_upside,validation,model_spread_cost_p90,model_consensus,continuous,absolute_state,541,541,1,169,167,0.9881656805,0.3359512702,0.1995296222,0.6122007372,0.5577068549,0.6672792971
any_upside,validation,model_spread_dominant_peak_today,model_consensus,continuous,absolute_state,541,541,1,169,167,0.9881656805,0,0,0.5039957054,0.4648128383,0.546848729
any_upside,validation,peak_track_age_chg_5,peak_age,continuous,recent_change,541,119,0.2199630314,169,34,0.201183432,5,5,0.5,0.5,0.5
any_upside,validation,peak_track_age_chg_10,peak_age,continuous,recent_change,541,102,0.1885397412,169,36,0.2130177515,10,10,0.5,0.5,0.5
any_upside,validation,peak_track_age_chg_20,peak_age,continuous,recent_change,541,77,0.1423290203,169,27,0.1597633136,20,20,0.5,0.5,0.5
any_upside,validation,peak_track_mass_chg_5,peak_mass,continuous,recent_change,541,119,0.2199630314,169,34,0.201183432,-0.00594886873,-0.003753833981,0.4194265942,0.3093842105,0.5350446705
any_upside,validation,peak_track_mass_chg_10,peak_mass,continuous,recent_change,541,102,0.1885397412,169,36,0.2130177515,-0.01348944183,-0.006921553846,0.3916122004,0.2862798792,0.5049820891
any_upside,validation,peak_track_mass_chg_20,peak_mass,continuous,recent_change,541,77,0.1423290203,169,27,0.1597633136,-0.02950024857,-0.01691138733,0.4858104858,0.3615827608,0.6416752541
any_upside,validation,peak_track_prominence_chg_5,peak_prominence,continuous,recent_change,541,119,0.2199630314,169,34,0.201183432,-0.000317051958,-0.0001965597102,0.4186851211,0.304217649,0.5087118609
any_upside,validation,peak_track_prominence_chg_10,peak_prominence,continuous,recent_change,541,102,0.1885397412,169,36,0.2130177515,-0.000687425524,-0.000385566391,0.4332788671,0.2989948727,0.5656327351
any_upside,validation,peak_track_prominence_chg_20,peak_prominence,continuous,recent_change,541,77,0.1423290203,169,27,0.1597633136,-0.001412655841,-0.001128983529,0.4935064935,0.3648493578,0.6416025389
any_upside,validation,peak_band_width_rel_price_chg_5,peak_shape,continuous,recent_change,541,119,0.2199630314,169,34,0.201183432,0.003045334555,0,0.6841324765,0.5532859467,0.8012775106
any_upside,validation,peak_band_width_rel_price_chg_10,peak_shape,continuous,recent_change,541,102,0.1885397412,169,36,0.2130177515,0.002691871021,0.001336457473,0.5171568627,0.4041231466,0.6229244811
any_upside,validation,peak_band_width_rel_price_chg_20,peak_shape,continuous,recent_change,541,77,0.1423290203,169,27,0.1597633136,0.001651253033,0,0.5709475709,0.4602687135,0.7078371959
any_upside,validation,peak_location_rel_price_chg_5,peak_shape,continuous,recent_change,541,119,0.2199630314,169,34,0.201183432,0.04237710287,-0.01018835403,0.8492338112,0.7628220615,0.9245436338
any_upside,validation,peak_location_rel_price_chg_10,peak_shape,continuous,recent_change,541,102,0.1885397412,169,36,0.2130177515,0.04072200912,0.006483121033,0.730664488,0.6449064143,0.8055225919
any_upside,validation,peak_location_rel_price_chg_20,peak_shape,continuous,recent_change,541,77,0.1423290203,169,27,0.1597633136,0.02159772112,-0.002902478495,0.6469456469,0.5153996641,0.7750388199
any_upside,validation,base_presence_20_chg_5,base_persistence,continuous,recent_change,541,541,1,169,169,1,0,0,0.519681939,0.4722801848,0.5754909672
any_upside,validation,base_presence_20_chg_10,base_persistence,continuous,recent_change,541,541,1,169,169,1,0,0,0.5185061633,0.4706070009,0.5756954235
any_upside,validation,base_presence_20_chg_20,base_persistence,continuous,recent_change,541,541,1,169,169,1,0,0,0.4902109834,0.4435962258,0.5378421973
any_upside,validation,concentration_20_chg_5,scalar_chip,continuous,recent_change,541,541,1,169,167,0.9881656805,0.004778891528,0.008410134214,0.4613545552,0.4033606816,0.5078982517
any_upside,validation,concentration_20_chg_10,scalar_chip,continuous,recent_change,541,541,1,169,167,0.9881656805,0.009072837069,0.0145861788,0.4649850023,0.4033941055,0.5198255414
any_upside,validation,concentration_20_chg_20,scalar_chip,continuous,recent_change,541,541,1,169,167,0.9881656805,0.01111689552,0.009645272456,0.5159219454,0.4653242408,0.5613580896
any_upside,validation,profit_ratio_chg_5,scalar_chip,continuous,recent_change,541,541,1,169,167,0.9881656805,-0.1237081306,0.008543011582,0.2389453994,0.1864445189,0.2880837121
any_upside,validation,profit_ratio_chg_10,scalar_chip,continuous,recent_change,541,541,1,169,167,0.9881656805,-0.1244064086,-0.01792289024,0.2860969374,0.2397531168,0.334532109
any_upside,validation,profit_ratio_chg_20,scalar_chip,continuous,recent_change,541,541,1,169,167,0.9881656805,-0.07504025561,0.02433336441,0.3002534672,0.2588030071,0.3517162878
any_upside,validation,average_cost_rel_price_chg_5,cost_anchors,continuous,recent_change,541,541,1,169,167,0.9881656805,0.04189785386,-0.003412510034,0.8109179054,0.7723655498,0.8525064652
any_upside,validation,average_cost_rel_price_chg_10,cost_anchors,continuous,recent_change,541,541,1,169,167,0.9881656805,0.04444269955,0.007557622678,0.7281038662,0.6869997083,0.7696762301
any_upside,validation,average_cost_rel_price_chg_20,cost_anchors,continuous,recent_change,541,541,1,169,167,0.9881656805,0.02881285965,-0.01938078633,0.7063875945,0.6639680407,0.7397698565
any_upside,validation,p10_rel_price_chg_5,cost_anchors,continuous,recent_change,541,541,1,169,167,0.9881656805,0.0354170559,-0.003132899988,0.8017864456,0.7557182117,0.8428744414
any_upside,validation,p10_rel_price_chg_10,cost_anchors,continuous,recent_change,541,541,1,169,167,0.9881656805,0.03705348856,0.011302655,0.7150763169,0.6703068242,0.7595897646
any_upside,validation,p10_rel_price_chg_20,cost_anchors,continuous,recent_change,541,541,1,169,167,0.9881656805,0.02444667739,-0.01287248029,0.7058341727,0.6581969611,0.7399184221
any_upside,validation,p50_rel_price_chg_5,cost_anchors,continuous,recent_change,541,541,1,169,167,0.9881656805,0.04089211259,-0.002559654935,0.7964182541,0.7563766869,0.8373580612
any_upside,validation,p50_rel_price_chg_10,cost_anchors,continuous,recent_change,541,541,1,169,167,0.9881656805,0.04455265575,0.009220966066,0.7062769101,0.6638849152,0.7509150089
any_upside,validation,p50_rel_price_chg_20,cost_anchors,continuous,recent_change,541,541,1,169,167,0.9881656805,0.0291222562,-0.01555631065,0.6957951011,0.6524295649,0.7339828213
any_upside,validation,p90_rel_price_chg_5,cost_anchors,continuous,recent_change,541,541,1,169,167,0.9881656805,0.0501801843,-0.002504823044,0.8134525773,0.7754693118,0.8556230497
any_upside,validation,p90_rel_price_chg_10,cost_anchors,continuous,recent_change,541,541,1,169,167,0.9881656805,0.05293080479,0.006564874015,0.7338705214,0.6962548897,0.7740775472
any_upside,validation,p90_rel_price_chg_20,cost_anchors,continuous,recent_change,541,541,1,169,167,0.9881656805,0.03496422109,-0.01672317913,0.6890986972,0.6451624555,0.723620747
any_upside,holdout,base_exists,structural_base,binary,absolute_state,415,415,1,342,342,1,0,0,0.4626153738,0.4288866951,0.4991510111
any_upside,holdout,strict_temporal_valid,structural_base,binary,absolute_state,415,415,1,342,342,1,0,0,0.4506482069,0.4177076464,0.4868586541
any_upside,holdout,peak_track_age,peak_age,continuous,absolute_state,415,134,0.3228915663,342,136,0.3976608187,46,51,0.4362653644,0.3648576706,0.5057360476
any_upside,holdout,peak_track_mass,peak_mass,continuous,absolute_state,415,134,0.3228915663,342,136,0.3976608187,0.265075795,0.3203101808,0.4471027217,0.3661382508,0.5200723419
any_upside,holdout,peak_track_prominence,peak_prominence,continuous,absolute_state,415,134,0.3228915663,342,136,0.3976608187,0.01199524035,0.01460250222,0.420928446,0.3517301003,0.4787650137
any_upside,holdout,peak_band_width_abs,peak_shape,continuous,absolute_state,415,134,0.3228915663,342,136,0.3976608187,0.5919654704,0.6269804312,0.5023869622,0.4174907659,0.5722453402
any_upside,holdout,peak_band_width_rel_price,peak_shape,continuous,absolute_state,415,134,0.3228915663,342,136,0.3976608187,0.09537004894,0.09070365266,0.5339661984,0.4454827802,0.6092468555
any_upside,holdout,peak_location_rel_price,peak_shape,continuous,absolute_state,415,134,0.3228915663,342,136,0.3976608187,0.1146070253,0.09776292798,0.5354203248,0.4607630652,0.6072323174
any_upside,holdout,rolling_base_episode_age,base_persistence,continuous,persistence,415,134,0.3228915663,342,136,0.3976608187,4.5,8,0.3620500439,0.3012268171,0.4332477721
