target,split,lead_trading_sessions,feature,winner_total,winner_available,nonwinner_total,nonwinner_available,winner_median,nonwinner_median,auc_winner_higher
any_upside,validation,10,peak_band_width_rel_price,541,178,169,66,0.08964839026,0.08737539695,0.5394960844
any_upside,validation,10,peak_location_rel_price,541,178,169,66,0.1318954794,0.02144157103,0.6404494382
any_upside,validation,10,peak_track_age,541,178,169,66,55,48.5,0.5536687096
any_upside,validation,10,peak_track_mass,541,178,169,66,0.2402990014,0.2129359112,0.5308137555
any_upside,validation,10,peak_track_prominence,541,178,169,66,0.01131986565,0.01047202473,0.5313244808
any_upside,validation,10,profit_ratio,541,541,169,167,0.3182649016,0.4536117608,0.4133507477
any_upside,validation,20,average_cost_rel_price,541,541,169,167,0.09288969957,0.04664156595,0.5913533377
any_upside,validation,20,base_exists,541,541,169,169,0,0,0.4496494548
any_upside,validation,20,base_presence_20,541,541,169,169,0.25,0.3,0.4734384058
any_upside,validation,20,concentration_20,541,541,169,167,0.6447601761,0.6375866058,0.4961647869
any_upside,validation,20,ensemble_ambiguity,541,541,169,169,1,1,0.5516521016
any_upside,validation,20,p50_rel_price,541,541,169,167,0.06361968826,0.02542444635,0.5941647205
any_upside,validation,20,peak_band_width_rel_price,541,160,169,67,0.09569048152,0.08827831617,0.5664179104
any_upside,validation,20,peak_location_rel_price,541,160,169,67,0.1724961873,0.08508726466,0.6289179104
any_upside,validation,20,peak_track_age,541,160,169,67,61.5,62,0.4844682836
any_upside,validation,20,peak_track_mass,541,160,169,67,0.2426232377,0.2173059894,0.5244402985
any_upside,validation,20,peak_track_prominence,541,160,169,67,0.0109402569,0.0102095086,0.536380597
any_upside,validation,20,profit_ratio,541,541,169,167,0.2215244933,0.3785232611,0.3788172269
up20_20,discovery,1,average_cost_rel_price,533,533,249,248,0.1843155854,0.1853461878,0.5161063366
up20_20,discovery,1,base_exists,533,533,249,249,0,0,0.47366577
up20_20,discovery,1,base_presence_20,533,232,249,222,0.175,0.3,0.4429655949
up20_20,discovery,1,concentration_20,533,533,249,248,0.6671011613,0.6890713173,0.4794150578
up20_20,discovery,1,ensemble_ambiguity,533,533,249,249,1,1,0.5268616681
up20_20,discovery,1,p50_rel_price,533,533,249,248,0.1693823291,0.1624905639,0.5308849785
up20_20,discovery,1,peak_band_width_rel_price,533,171,249,93,0.09588905657,0.1090912991,0.4150160347
up20_20,discovery,1,peak_location_rel_price,533,171,249,93,0.2299584334,0.233816671,0.5234861347
up20_20,discovery,1,peak_track_age,533,171,249,93,50,57,0.4717348928
up20_20,discovery,1,peak_track_mass,533,171,249,93,0.2322958295,0.2640045564,0.4004904735
up20_20,discovery,1,peak_track_prominence,533,171,249,93,0.01065147496,0.01254766408,0.4321826071
up20_20,discovery,1,profit_ratio,533,533,249,248,0.04842087354,0.05939182831,0.4713164982
up20_20,discovery,5,average_cost_rel_price,499,499,242,241,0.06689538272,0.1681447592,0.2783325988
up20_20,discovery,5,base_exists,499,499,242,242,0,0,0.4540196095
up20_20,discovery,5,base_presence_20,499,220,242,104,0.15,0.375,0.4183347902
up20_20,discovery,5,concentration_20,499,499,242,241,0.6764116724,0.7075371537,0.4584688048
up20_20,discovery,5,ensemble_ambiguity,499,499,242,242,1,1,0.5412188012
up20_20,discovery,5,p50_rel_price,499,499,242,241,0.03931970299,0.1477861005,0.2548333181
up20_20,discovery,5,peak_band_width_rel_price,499,150,242,95,0.08650543273,0.09566401807,0.4251929825
up20_20,discovery,5,peak_location_rel_price,499,150,242,95,0.09989659693,0.177999727,0.3538947368
up20_20,discovery,5,peak_track_age,499,150,242,95,48.5,59,0.4623508772
up20_20,discovery,5,peak_track_mass,499,150,242,95,0.2278254935,0.2369249282,0.4419649123
up20_20,discovery,5,peak_track_prominence,499,150,242,95,0.01113634094,0.01227113638,0.4515087719
up20_20,discovery,5,profit_ratio,499,499,242,241,0.3078755767,0.05589449026,0.765884466
up20_20,discovery,10,average_cost_rel_price,484,484,241,240,0.03532420005,0.08110680829,0.4043560606
up20_20,discovery,10,base_exists,484,484,241,241,0,0,0.4485228559
up20_20,discovery,10,base_presence_20,484,208,241,102,0.15,0.35,0.4157004148
up20_20,discovery,10,concentration_20,484,484,241,240,0.6671782188,0.7114090706,0.431482438
up20_20,discovery,10,ensemble_ambiguity,484,484,241,241,1,1,0.5535861253
up20_20,discovery,10,p50_rel_price,484,484,241,240,0.0104325867,0.04496471106,0.3966167355
up20_20,discovery,10,peak_band_width_rel_price,484,151,241,100,0.08047325917,0.08536306617,0.4555629139
up20_20,discovery,10,peak_location_rel_price,484,151,241,100,0.05425024592,0.1124498963,0.4235761589
up20_20,discovery,10,peak_track_age,484,151,241,100,46,64.5,0.4350993377
up20_20,discovery,10,peak_track_mass,484,151,241,100,0.2353844248,0.2311759279,0.4835761589
up20_20,discovery,10,peak_track_prominence,484,151,241,100,0.01241832132,0.0122464404,0.5198013245
up20_20,discovery,10,profit_ratio,484,484,241,240,0.4467575527,0.2644142798,0.6353219697
up20_20,discovery,20,average_cost_rel_price,232,232,222,221,0.07494055137,0.07287945035,0.5373498206
up20_20,discovery,20,base_exists,232,232,222,222,0,0,0.4135795278
up20_20,discovery,20,base_presence_20,232,169,222,98,0.2,0.325,0.4098236928
up20_20,discovery,20,concentration_20,232,232,222,221,0.6416844163,0.7017596536,0.3978389764
up20_20,discovery,20,ensemble_ambiguity,232,232,222,222,1,1,0.5871000311
up20_20,discovery,20,p50_rel_price,232,232,222,221,0.04914061433,0.03859707707,0.55260181
up20_20,discovery,20,peak_band_width_rel_price,232,55,222,91,0.08372010772,0.08892000564,0.441958042
up20_20,discovery,20,peak_location_rel_price,232,55,222,91,0.1167477969,0.1096783272,0.4863136863
up20_20,discovery,20,peak_track_age,232,55,222,91,27,57,0.3472527473
up20_20,discovery,20,peak_track_mass,232,55,222,91,0.2270325398,0.283055381,0.4893106893
up20_20,discovery,20,peak_track_prominence,232,55,222,91,0.01422931926,0.0122760658,0.568031968
up20_20,discovery,20,profit_ratio,232,232,222,221,0.3005352974,0.3613539033,0.4428537993
up20_20,holdout,1,average_cost_rel_price,307,307,450,449,0.1324554644,0.0921977206,0.5934795383
up20_20,holdout,1,base_exists,307,307,450,450,0,0,0.484936663
up20_20,holdout,1,base_presence_20,307,307,450,450,0.15,0.25,0.4543503438
up20_20,holdout,1,concentration_20,307,307,450,449,0.640122889,0.7035121217,0.3955296968
up20_20,holdout,1,ensemble_ambiguity,307,307,450,450,1,1,0.518548679
