portfolio,period,variant,trade_date,return_,ATRDR_contribution,MCB_contribution,OGR_contribution,SMV6_contribution,IFCGR_contribution
A,2018_2021,MCB_PROFIT_ONLY,2019-09-17,-0.016534732861153256,-0.00744561964676968,-0.00613751862124302,-4.8728543960076837e-05,-0.002902866049180631,
A,2018_2021,MCB_PROFIT_ONLY,2018-03-23,-0.015139010666530561,-0.012723751289389806,-0.002415259377140679,0.0,0.0,
A,2018_2021,MCB_PROFIT_ONLY,2020-07-15,-0.013148553097391713,-0.006399476805939691,-0.005022509572322328,0.0,-0.0017265667191296514,
A,2018_2021,MCB_PROFIT_ONLY,2018-11-23,-0.013033342349358712,-0.00891250393067691,-0.003851263752343265,-0.0002695746663384974,0.0,
A,2018_2021,MCB_PROFIT_ONLY,2019-12-23,-0.010380901750467686,-0.0035832356844614104,-0.0018892418072011814,0.0,-0.004908424258805269,
A,2018_2021,MCB_PROFIT_ONLY,2019-09-25,-0.010006825302786404,-0.005456948243747195,-0.003101088868693212,0.0,-0.0014487881903459444,
A,2018_2021,MCB_PROFIT_ONLY,2020-01-23,-0.009892731287670875,-0.0014905581886550316,-7.247805847733324e-05,0.0,-0.008329695040538675,
A,2018_2021,MCB_PROFIT_ONLY,2020-03-09,-0.009362854360729256,-0.005179252448767538,-0.00415336230658363,-3.023960537811207e-05,0.0,
A,2018_2021,ALL_RETAINED,2020-07-16,-0.021714362543819865,-0.009104234389285558,-0.004447310215218947,0.0,-0.008162817939315347,
A,2018_2021,ALL_RETAINED,2020-07-24,-0.017968838796537434,-0.0073605452564740196,-0.0033917573130729343,0.0,-0.007216536226990549,
A,2018_2021,ALL_RETAINED,2019-09-17,-0.01685836562941667,-0.007450519867475823,-0.006141557935263742,-4.849636294662556e-05,-0.0032177914637305347,
A,2018_2021,ALL_RETAINED,2018-03-23,-0.015138988300092526,-0.01272373249126614,-0.0024152558088263174,0.0,0.0,
A,2018_2021,ALL_RETAINED,2020-07-15,-0.013205686897709845,-0.006453078935026372,-0.005064578199899013,0.0,-0.001688029762784486,
A,2018_2021,ALL_RETAINED,2018-11-23,-0.013026067704871025,-0.00892245663215924,-0.003855564505392569,-0.00024804656731918314,0.0,
A,2018_2021,ALL_RETAINED,2019-09-25,-0.010415464578097389,-0.0054620627501152305,-0.0031039953537941012,0.0,-0.0018494064741880396,
A,2018_2021,ALL_RETAINED,2019-12-23,-0.010377507945504183,-0.003595574456746136,-0.0018957473587480488,0.0,-0.004886186130010074,
A,2018_2021,ALL_RETAINED,2019-09-26,-0.010086616683347427,-0.0036761498472851757,-0.0019426289057353214,0.0,-0.004467837930327076,
A,2018_2021,ALL_RETAINED,2020-03-09,-0.00941140199012025,-0.005222976419948922,-0.004188425570171432,0.0,0.0,
A,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2020-07-16,-0.022577361676969665,-0.008975038995496594,-0.005368337117359542,0.0,-0.008233985564113493,
A,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2020-07-24,-0.02068887084610116,-0.00724272119520727,-0.006165768182624689,0.0,-0.007280381468269319,
A,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2019-09-17,-0.01691635275278036,-0.007428648694836358,-0.006543377037835126,-4.8608561950087564e-05,-0.0028957184581589156,
A,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2018-03-23,-0.015819757378651045,-0.012722886452736192,-0.0030968709259149097,0.0,0.0,
A,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2018-11-23,-0.014021180898804997,-0.008915164095198241,-0.004836442380278942,-0.00026957442332792666,0.0,
A,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2020-07-15,-0.013230800758678218,-0.00635276501749583,-0.005155419615370056,0.0,-0.0017226161258122167,
A,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2019-09-25,-0.011632116203554088,-0.005430966407993159,-0.004755141995801341,0.0,-0.0014460077997595707,
A,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2019-12-23,-0.010412869451556062,-0.0036026000895616663,-0.0018932010314677689,0.0,-0.004917068330526731,
A,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2019-09-26,-0.010258075197098204,-0.003652519877615835,-0.003567134789574574,0.0,-0.0030384205299077835,
A,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2020-01-23,-0.009941654400077327,-0.001500205205596159,-0.00010220350241249097,0.0,-0.008339245692068616,
A,2018_2021,SMV6_CANDIDATE_ONLY,2020-07-16,-0.022571915794074693,-0.009055803573215258,-0.005396717145821219,0.0,-0.008119395075038083,
A,2018_2021,SMV6_CANDIDATE_ONLY,2020-07-24,-0.02067242740932651,-0.007308665050160927,-0.006198091302522661,0.0,-0.007165671056642894,
A,2018_2021,SMV6_CANDIDATE_ONLY,2019-09-17,-0.01721403776472763,-0.007421685346438785,-0.006538442339636972,-4.857190372579711e-05,-0.0032053381749259807,
A,2018_2021,SMV6_CANDIDATE_ONLY,2018-03-23,-0.01581918133683735,-0.012722342357756808,-0.0030968389790804627,0.0,0.0,
A,2018_2021,SMV6_CANDIDATE_ONLY,2018-11-23,-0.014018007706900093,-0.008912174838881442,-0.004836268155651595,-0.00026956471236690334,0.0,
A,2018_2021,SMV6_CANDIDATE_ONLY,2020-07-15,-0.013279612349560321,-0.0064182703262061274,-0.0051824176764930195,0.0,-0.0016789243468611247,
A,2018_2021,SMV6_CANDIDATE_ONLY,2019-09-25,-0.012039719305198426,-0.005443750507493268,-0.0047527626880335475,0.0,-0.0018432061096716771,
A,2018_2021,SMV6_CANDIDATE_ONLY,2019-09-26,-0.01169684914885416,-0.0036698486056736734,-0.003566820876920305,0.0,-0.00446017966626017,
A,2018_2021,SMV6_CANDIDATE_ONLY,2019-12-23,-0.010375253855362754,-0.003594574135779052,-0.0018958529702495228,0.0,-0.0048848267493342675,
A,2018_2021,SMV6_CANDIDATE_ONLY,2020-03-09,-0.009537642430103022,-0.005217779539594268,-0.004289398340694166,-3.046454981449385e-05,0.0,
A,2022_2023,ALL_NATIVE,2023-04-21,-0.012737765016985314,0.0,-0.0003375424578008369,-3.231403904889193e-05,-0.012367908520135546,
A,2022_2023,ALL_NATIVE,2022-05-24,-0.011006879557464821,-0.009612784546857975,-0.0003074773808539894,-0.0010866176297528662,0.0,
A,2022_2023,ALL_NATIVE,2023-12-05,-0.009187841619481274,-0.005052649353039201,-0.0041351922664420206,0.0,0.0,
A,2022_2023,ALL_NATIVE,2023-02-16,-0.008591914061035544,-0.004417455279340576,-0.00417445878169507,0.0,0.0,
A,2022_2023,ALL_NATIVE,2023-04-10,-0.007979382267583879,0.0,-0.0003279964342388542,0.0,-0.007651385833345255,
A,2022_2023,ALL_NATIVE,2023-04-13,-0.007874057205872975,0.0,0.00033389603093807695,0.0,-0.008207953236810965,
A,2022_2023,ALL_NATIVE,2022-03-15,-0.0073371805321281736,-0.0062471980770649905,-0.001089982455063119,0.0,0.0,
A,2022_2023,ALL_NATIVE,2023-11-24,-0.0067648689344559365,-0.003683076959785859,-0.00308002291190133,-1.7690627687035203e-06,0.0,
A,2022_2023,ALL_NATIVE,2022-01-25,-0.0066983131427710285,-0.0033810337228460953,-0.0033172794199249063,0.0,0.0,
A,2022_2023,ALL_NATIVE,2022-06-09,-0.006381964206988777,-0.0035968554094580377,-0.0009168898428139518,-0.00017832997661911508,-0.001689888978097577,
A,2022_2023,GAP_ATR1_ONLY,2023-04-21,-0.012742336630115259,0.0,-0.0003376636866032539,-3.232247332341132e-05,-0.012372350470188491,
A,2022_2023,GAP_ATR1_ONLY,2022-05-24,-0.011003375473684796,-0.009612939196713358,-0.0003074823275301841,-0.001082953949441309,0.0,
A,2022_2023,GAP_ATR1_ONLY,2023-12-05,-0.009192177319133465,-0.005055033674727564,-0.00413714364440584,0.0,0.0,
A,2022_2023,GAP_ATR1_ONLY,2023-02-16,-0.008595048144957707,-0.004419066640379463,-0.004175981504578247,0.0,0.0,
A,2022_2023,GAP_ATR1_ONLY,2023-04-10,-0.007982234533197796,0.0,-0.000328113678020319,0.0,-0.007654120855177517,
A,2022_2023,GAP_ATR1_ONLY,2023-04-13,-0.007876883615343,0.0,0.0003340158836238258,0.0,-0.008210899498966789,
A,2022_2023,GAP_ATR1_ONLY,2022-03-15,-0.0073371805321281736,-0.0062471980770649905,-0.001089982455063119,0.0,0.0,
A,2022_2023,GAP_ATR1_ONLY,2023-11-24,-0.0067680596224604095,-0.0036848151366614752,-0.0030814764858180005,-1.7679999809220936e-06,0.0,
A,2022_2023,GAP_ATR1_ONLY,2022-01-25,-0.0066983131427710285,-0.0033810337228460953,-0.0033172794199249063,0.0,0.0,
A,2022_2023,GAP_ATR1_ONLY,2022-06-09,-0.006382063069251709,-0.003596897957264456,-0.0009169006888578145,-0.0001783554550513381,-0.0016899089680779693,
A,2022_2023,MCB_PROFIT_ONLY,2023-04-21,-0.0127286994365573,0.0,-0.0003293934025000691,-3.2311650653957656e-05,-0.012366994383403449,
A,2022_2023,MCB_PROFIT_ONLY,2022-05-24,-0.010987897105882771,-0.00960240906656632,-0.0003000432414050995,-0.0010854447979113627,0.0,
A,2022_2023,MCB_PROFIT_ONLY,2023-12-05,-0.00853695854073555,-0.005052079624772759,-0.0034848789159628185,0.0,0.0,
A,2022_2023,MCB_PROFIT_ONLY,2023-02-16,-0.008487824090936402,-0.004417327624847764,-0.0040704964660886475,0.0,0.0,
A,2022_2023,MCB_PROFIT_ONLY,2023-04-10,-0.007971328378317932,0.0,-0.0003203416896571724,0.0,-0.0076509866886607875,
A,2022_2023,MCB_PROFIT_ONLY,2023-04-13,-0.00788161782754948,0.0,0.0003259064276749452,0.0,-0.008207524255224438,
A,2022_2023,MCB_PROFIT_ONLY,2022-03-15,-0.006738566575860916,-0.006239311800696416,-0.0004992547751645628,0.0,0.0,
A,2022_2023,MCB_PROFIT_ONLY,2023-11-24,-0.0066434565945454604,-0.0036839910161504735,-0.002957696076585024,-1.7695018100542147e-06,0.0,
A,2022_2023,MCB_PROFIT_ONLY,2022-06-09,-0.00637725303648673,-0.0035929585180140976,-0.0009180996224492741,-0.00017813677103229676,-0.0016880581249910994,
A,2022_2023,MCB_PROFIT_ONLY,2022-03-08,-0.005652780116048195,-0.004720879491717938,-0.000931900624330177,0.0,0.0,
A,2022_2023,ALL_RETAINED,2022-05-24,-0.010984396499208904,-0.009602563382759076,-0.00030004806327119115,-0.0010817850531786239,0.0,
A,2022_2023,ALL_RETAINED,2023-04-21,-0.008537162377184493,0.0,-0.0003304847063847924,-3.24155209788216e-05,-0.008174262149820904,
A,2022_2023,ALL_RETAINED,2023-12-05,-0.008525574575810935,-0.005045342717597871,-0.0034802318582130864,0.0,0.0,
A,2022_2023,ALL_RETAINED,2023-02-16,-0.008494316862566076,-0.004420706665126354,-0.004073610197439567,0.0,0.0,
A,2022_2023,ALL_RETAINED,2022-03-15,-0.006738566575860916,-0.006239311800696416,-0.0004992547751645628,0.0,0.0,
A,2022_2023,ALL_RETAINED,2023-11-24,-0.006634591795357192,-0.003679076276363248,-0.0029537502725582535,-1.7652464357586385e-06,0.0,
A,2022_2023,ALL_RETAINED,2023-04-10,-0.0065048205639296475,0.0,-0.0003218005395441383,0.0,-0.0061830200243856845,
A,2022_2023,ALL_RETAINED,2022-06-09,-0.00640523890913125,-0.0035929726711609613,-0.0009181032389671734,-0.00017816081617152735,-0.00171600218283161,
A,2022_2023,ALL_RETAINED,2022-07-06,-0.005683162789266727,-0.0010186812794880271,-0.0002572897425420364,0.0,-0.0044071917672365,
A,2022_2023,ALL_RETAINED,2022-03-08,-0.005652780116048195,-0.004720879491717938,-0.000931900624330177,0.0,0.0,
A,2022_2023,ATRDR_FAST5_DIAGNOSTIC_ONLY,2023-04-21,-0.012759593334009334,0.0,-0.00033812089395255756,-3.236941462598458e-05,-0.012389103025430764,
A,2022_2023,ATRDR_FAST5_DIAGNOSTIC_ONLY,2022-05-24,-0.010945277510315155,-0.009549436603358592,-0.00030786245047460114,-0.0010879784564818984,0.0,
A,2022_2023,ATRDR_FAST5_DIAGNOSTIC_ONLY,2023-12-05,-0.009175273534439476,-0.00503472718247196,-0.004140546351967448,0.0,0.0,
A,2022_2023,ATRDR_FAST5_DIAGNOSTIC_ONLY,2023-02-16,-0.008578876897893939,-0.004397036331135914,-0.004181840566757905,0.0,0.0,
A,2022_2023,ATRDR_FAST5_DIAGNOSTIC_ONLY,2023-04-10,-0.00799299145816268,0.0,-0.00032855584671377707,0.0,-0.007664435611448953,
A,2022_2023,ATRDR_FAST5_DIAGNOSTIC_ONLY,2023-04-13,-0.007887543103585748,0.0,0.00033446789466756477,0.0,-0.008222010998253282,
A,2022_2023,ATRDR_FAST5_DIAGNOSTIC_ONLY,2023-11-24,-0.006755534609939828,-0.0036697572183168998,-0.0030840060410771896,-1.7713505456874909e-06,0.0,
A,2022_2023,ATRDR_FAST5_DIAGNOSTIC_ONLY,2022-01-25,-0.006704563440312561,-0.003387286718266809,-0.003317276722045772,0.0,0.0,
A,2022_2023,ATRDR_FAST5_DIAGNOSTIC_ONLY,2022-06-09,-0.006365806242185856,-0.0035754702626503883,-0.0009186106912385843,-0.0001786646720699753,-0.0016930606162267967,
A,2022_2023,ATRDR_FAST5_DIAGNOSTIC_ONLY,2022-03-15,-0.006056647925260172,-0.004965930932858122,-0.0010907169924020473,0.0,0.0,
A,2022_2023,SMV6_CANDIDATE_ONLY,2022-05-24,-0.011006879557464821,-0.009612784546857975,-0.0003074773808539894,-0.0010866176297528662,0.0,
A,2022_2023,SMV6_CANDIDATE_ONLY,2023-12-05,-0.00917126825913639,-0.005043535201762708,-0.0041277330573735995,0.0,0.0,
A,2022_2023,SMV6_CANDIDATE_ONLY,2023-02-16,-0.008595350054910855,-0.004419221864664423,-0.004176128190246467,0.0,0.0,
A,2022_2023,SMV6_CANDIDATE_ONLY,2023-04-21,-0.008542873076786472,0.0,-0.00033853889729096065,-3.2409431447239386e-05,-0.008171924748048206,
A,2022_2023,SMV6_CANDIDATE_ONLY,2022-03-15,-0.0073371805321281736,-0.0062471980770649905,-0.001089982455063119,0.0,0.0,
A,2022_2023,SMV6_CANDIDATE_ONLY,2023-11-24,-0.0067526652177934965,-0.0036764327471486787,-0.0030744665992373534,-1.7658714074226883e-06,0.0,
A,2022_2023,SMV6_CANDIDATE_ONLY,2022-01-25,-0.0066983131427710285,-0.0033810337228460953,-0.0033172794199249063,0.0,0.0,
A,2022_2023,SMV6_CANDIDATE_ONLY,2023-04-10,-0.006510497308573893,0.0,-0.0003293719930235012,0.0,-0.006181125315550564,
A,2022_2023,SMV6_CANDIDATE_ONLY,2022-06-09,-0.006409881259847983,-0.0035968270461869804,-0.0009168826126108491,-0.00017832857038481076,-0.0017178430306652684,
A,2022_2023,SMV6_CANDIDATE_ONLY,2022-07-06,-0.005912348722249661,-0.0010187688309325653,-0.0004860093441684771,0.0,-0.004407570547148675,
B,2018_2021,ALL_NATIVE,2020-07-16,-0.02259529281984962,-0.009002121065155898,-0.0053647255826946155,,-0.008228446171999101,0.0
B,2018_2021,ALL_NATIVE,2020-07-24,-0.020702774886376396,-0.007265663265926114,-0.006161623769391849,,-0.007275487851058369,0.0
B,2018_2021,ALL_NATIVE,2019-09-17,-0.016926662292262917,-0.0074325138196123745,-0.006547982133385544,,-0.002897756405859289,-4.840993340577711e-05
B,2018_2021,ALL_NATIVE,2018-03-23,-0.015824321416671228,-0.012726476190854766,-0.0030978452258163844,,0.0,0.0
B,2018_2021,ALL_NATIVE,2018-11-23,-0.014025590700064483,-0.008917820972027975,-0.004839332078255539,,0.0,-0.0002684376497809219
B,2018_2021,ALL_NATIVE,2020-07-15,-0.013253640435310632,-0.006380390965903285,-0.005151832073763548,,-0.0017214173956438773,0.0
B,2018_2021,ALL_NATIVE,2019-09-25,-0.011655643396218274,-0.0054502249204765344,-0.004758415288829898,,-0.0014470031869119146,0.0
B,2018_2021,ALL_NATIVE,2019-12-23,-0.01040357468944697,-0.0035908435552351155,-0.0018938853846780976,,-0.004918845749533731,0.0
B,2018_2021,ALL_NATIVE,2019-09-26,-0.010283045177004513,-0.003672785445875037,-0.003569675267950553,,-0.0030405844631788,0.0
B,2018_2021,ALL_NATIVE,2020-01-23,-0.009937258174371855,-0.0014927992812305382,-0.0001022399418599362,,-0.00834221895128142,0.0
B,2018_2021,GAP_ATR1_ONLY,2020-07-16,-0.022634164262613887,-0.009017607717023202,-0.005373954700683752,,-0.008242601844906881,0.0
B,2018_2021,GAP_ATR1_ONLY,2020-07-24,-0.020738280774392215,-0.007278124099205606,-0.006172191141386835,,-0.007287965533799899,0.0
B,2018_2021,GAP_ATR1_ONLY,2019-09-17,-0.01695073089110577,-0.00744319619084253,-0.006557393212551341,,-0.002901921202644499,-4.8220285067503195e-05
B,2018_2021,GAP_ATR1_ONLY,2018-03-23,-0.015824321416671228,-0.012726476190854766,-0.0030978452258163844,,0.0,0.0
B,2018_2021,GAP_ATR1_ONLY,2018-11-23,-0.014019349762730449,-0.008927686711380264,-0.0048446858063773525,,0.0,-0.0002469772449727523
B,2018_2021,GAP_ATR1_ONLY,2020-07-15,-0.013276138414017535,-0.006391221643013647,-0.005160577279193109,,-0.0017243394918107131,0.0
B,2018_2021,GAP_ATR1_ONLY,2019-09-25,-0.01167246519052867,-0.005458090857983454,-0.004765282784729615,,-0.001449091547815664,0.0
B,2018_2021,GAP_ATR1_ONLY,2019-12-23,-0.010420658587031006,-0.003596740144183525,-0.00189699536801685,,-0.004926923074830553,0.0
B,2018_2021,GAP_ATR1_ONLY,2019-09-26,-0.010298061268829928,-0.003678148729081665,-0.0035748879817613247,,-0.003045024557986956,0.0
B,2018_2021,GAP_ATR1_ONLY,2020-01-23,-0.009953004080609174,-0.0014951646698619797,-0.0001024019443469386,,-0.008355437466400273,0.0
B,2018_2021,MCB_PROFIT_ONLY,2020-07-16,-0.021705193582275406,-0.009034252530251443,-0.004413124909431048,,-0.008257816142592979,0.0
B,2018_2021,MCB_PROFIT_ONLY,2020-07-24,-0.017984158136255424,-0.007304235806581254,-0.0033658097804087047,,-0.007314112549265486,0.0
B,2018_2021,MCB_PROFIT_ONLY,2019-09-17,-0.016545572512491447,-0.007450605863767298,-0.006141628823096498,,-0.0029048100539408677,-4.8527771686871614e-05
B,2018_2021,MCB_PROFIT_ONLY,2018-03-23,-0.015143907904480391,-0.012727867227944199,-0.002416040676536048,,0.0,0.0
B,2018_2021,MCB_PROFIT_ONLY,2020-07-15,-0.013157413197791068,-0.006403789068025437,-0.0050258939704943655,,-0.001727730159271274,0.0
B,2018_2021,MCB_PROFIT_ONLY,2018-11-23,-0.01304028330883733,-0.008918137845743499,-0.0038536982750148403,,0.0,-0.00026844718807909353
B,2018_2021,MCB_PROFIT_ONLY,2019-12-23,-0.010388653319539087,-0.0035859113382315853,-0.00189065253130904,,-0.0049120894499984245,0.0
B,2018_2021,MCB_PROFIT_ONLY,2019-09-25,-0.010013552752186072,-0.005460616874114612,-0.0031031736875860396,,-0.0014497621904855185,0.0
B,2018_2021,MCB_PROFIT_ONLY,2020-01-23,-0.009899863921136287,-0.0014916328772227423,-7.253031496852446e-05,,-0.008335700728945017,0.0
B,2018_2021,MCB_PROFIT_ONLY,2020-03-09,-0.009369489956834176,-0.005183023622386482,-0.004156386497915379,,0.0,-3.0079836532369804e-05
B,2018_2021,ALL_RETAINED,2020-07-16,-0.021729005901867104,-0.009110373946163614,-0.004450309315731213,,-0.008168322639972287,0.0
B,2018_2021,ALL_RETAINED,2020-07-24,-0.017980939504384508,-0.007365502049105549,-0.0033940414152788937,,-0.007221396040000142,0.0
B,2018_2021,ALL_RETAINED,2019-09-17,-0.016869225405682142,-0.007455420433018946,-0.006145597533537955,,-0.003219907960062683,-4.829947906257834e-05
B,2018_2021,ALL_RETAINED,2018-03-23,-0.0151438855235696,-0.012727848417656765,-0.0024160371059127254,,0.0,0.0
B,2018_2021,ALL_RETAINED,2020-07-15,-0.013214474641035756,-0.006457373145678354,-0.005067948430741185,,-0.0016891530646162465,0.0
B,2018_2021,ALL_RETAINED,2018-11-23,-0.013032933584805173,-0.00892799162347153,-0.003857956281214084,,0.0,-0.00024698568011958193
B,2018_2021,ALL_RETAINED,2019-09-25,-0.010422343854849747,-0.005465670370400877,-0.003106045501717551,,-0.0018506279827312263,0.0
B,2018_2021,ALL_RETAINED,2019-12-23,-0.010385138642767688,-0.0035982183227216587,-0.0018971413229115714,,-0.004889778997134537,0.0
B,2018_2021,ALL_RETAINED,2019-09-26,-0.010093348926159207,-0.003678603468173272,-0.0019439255000143745,,-0.004470819957971726,0.0
B,2018_2021,ALL_RETAINED,2020-03-09,-0.009418170572672135,-0.0052267327303373,-0.004191437842334885,,0.0,0.0
B,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2020-07-16,-0.022592744168060452,-0.008981153902072606,-0.005371994692547534,,-0.008239595573440254,0.0
B,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2020-07-24,-0.020702923247237437,-0.007247640633503855,-0.006169956127363683,,-0.007285326486370037,0.0
B,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2019-09-17,-0.016927420631611123,-0.007433611289120961,-0.006547748240031366,,-0.0028976528982516702,-4.840820420715239e-05
B,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2018-03-23,-0.015824874313681736,-0.012727001698110916,-0.0030978726155708957,,0.0,0.0
B,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2018-11-23,-0.014028746299822314,-0.008920799686767263,-0.004839499667123167,,0.0,-0.0002684469459319254
B,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2020-07-15,-0.013239695867829915,-0.006357036001488214,-0.00515888562026566,,-0.0017237742460760866,0.0
B,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2019-09-25,-0.011639921295652389,-0.005434610559431753,-0.004758332672421843,,-0.0014469780637987584,0.0
B,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2019-12-23,-0.010420658594696541,-0.003605294944030481,-0.0018946172034361199,,-0.004920746447229826,0.0
B,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2019-09-26,-0.010265039377023721,-0.003654999563631064,-0.0035695565078809827,,-0.003040483305511708,0.0
B,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,2020-01-23,-0.009948830531481323,-0.0015012880907232312,-0.00010227727542186618,,-0.008345265165336176,0.0
B,2018_2021,SMV6_CANDIDATE_ONLY,2020-07-16,-0.02258737593126592,-0.00906200614666529,-0.005400413508514532,,-0.008124956276086184,0.0
B,2018_2021,SMV6_CANDIDATE_ONLY,2020-07-24,-0.02068654230099254,-0.007313655321180555,-0.006202323286775832,,-0.007170563693036097,0.0
B,2018_2021,SMV6_CANDIDATE_ONLY,2019-09-17,-0.017225296004939272,-0.0074266395474296325,-0.006542806949022248,,-0.003207477835774017,-4.837167271335518e-05
B,2018_2021,SMV6_CANDIDATE_ONLY,2018-03-23,-0.015824298032745432,-0.012726457384678683,-0.0030978406480666664,,0.0,0.0
B,2018_2021,SMV6_CANDIDATE_ONLY,2018-11-23,-0.01402557082939937,-0.00891780833776264,-0.004839325222163036,,0.0,-0.00026843726947361324
B,2018_2021,SMV6_CANDIDATE_ONLY,2020-07-15,-0.013288587060532486,-0.006422607961944484,-0.005185920090536389,,-0.0016800590080515714,0.0
B,2018_2021,SMV6_CANDIDATE_ONLY,2019-09-25,-0.012047793851992394,-0.005447401408074381,-0.004755950171375363,,-0.00184444227254278,0.0
B,2018_2021,SMV6_CANDIDATE_ONLY,2019-09-26,-0.011704789409293648,-0.0036723398367163977,-0.0035692421688718816,,-0.004463207403705126,0.0
B,2018_2021,SMV6_CANDIDATE_ONLY,2019-12-23,-0.010383025740418161,-0.0035972667558725854,-0.001897273113946454,,-0.004888485870599223,0.0
B,2018_2021,SMV6_CANDIDATE_ONLY,2020-03-09,-0.009544455638864857,-0.005221607048150264,-0.004292544834087476,,0.0,-3.0303756626968755e-05
B,2022_2023,ALL_NATIVE,2023-04-21,-0.012737765016985314,0.0,-0.0003375424578008369,,-0.012367908520135546,-3.231403904889193e-05
B,2022_2023,ALL_NATIVE,2022-05-24,-0.011006879557464821,-0.009612784546857975,-0.0003074773808539894,,0.0,-0.0010866176297528662
