trade_id,symbol,date,entry_signal_date,entry_execution_date,actual_exit_signal_date,actual_exit_execution_date,actual_exit_reason_frozen,days_since_entry,close,entry_price,return_since_entry,running_peak_close,running_peak_return,drawdown_from_running_peak,MFE_to_date,MAE_to_date,individual_ma30,individual_exit_condition_today,individual_exit_condition_previous_day,individual_exit_confirmed,market_ma20,market_exit_condition_today,market_exit_confirmed,set_change_removal_observed,forced_exit_state_observed,actual_exit_today
300442.SZ-001,300442.SZ,2024-11-13,2024-09-24,2024-09-25,2024-11-18,2024-11-19,MARKET_MA20_X2,30,36.45,24.95,0.460921843687375,38.46,0.5414829659318638,-0.052262090483619295,0.5414829659318638,0.0,32.593666666666664,False,False,False,3980.76652,False,False,False,False,False
300442.SZ-001,300442.SZ,2024-11-14,2024-09-24,2024-09-25,2024-11-18,2024-11-19,MARKET_MA20_X2,31,34.62,24.95,0.3875751503006011,38.46,0.5414829659318638,-0.0998439937597505,0.5414829659318638,0.0,32.87533333333333,False,False,False,3993.3363899999995,False,False,False,False,False
300442.SZ-001,300442.SZ,2024-11-15,2024-09-24,2024-09-25,2024-11-18,2024-11-19,MARKET_MA20_X2,32,35.0,24.95,0.40280561122244496,38.46,0.5414829659318638,-0.08996359854394176,0.5414829659318638,0.0,33.126333333333335,False,False,False,3995.5162299999997,True,False,False,False,False
300442.SZ-001,300442.SZ,2024-11-18,2024-09-24,2024-09-25,2024-11-18,2024-11-19,MARKET_MA20_X2,33,31.36,24.95,0.2569138276553107,38.46,0.5414829659318638,-0.18460738429537182,0.5414829659318638,0.0,33.10333333333333,True,False,False,3996.27539,True,True,True,False,True
300459.SZ-001,300459.SZ,2024-09-26,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,0,3.75,3.65,0.027397260273972712,3.75,0.027397260273972712,0.0,0.027397260273972712,-0.005479452054794498,,False,False,False,3257.57485,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-09-27,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,1,4.05,3.65,0.1095890410958904,4.05,0.1095890410958904,0.0,0.12876712328767126,-0.005479452054794498,,False,False,False,3278.434315,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-09-30,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,2,4.81,3.65,0.3178082191780822,4.81,0.3178082191780822,0.0,0.3260273972602741,-0.005479452054794498,,False,False,False,3315.44298,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-08,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,3,5.66,3.65,0.5506849315068494,5.66,0.5506849315068494,0.0,0.5780821917808219,-0.005479452054794498,,False,False,False,3362.1761749999996,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-09,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,4,4.65,3.65,0.27397260273972623,5.66,0.5506849315068494,-0.17844522968197873,0.5780821917808219,-0.005479452054794498,,False,False,False,3396.7248200000004,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-10,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,5,4.61,3.65,0.263013698630137,5.66,0.5506849315068494,-0.18551236749116606,0.5780821917808219,-0.005479452054794498,,False,False,False,3432.942805,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-11,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,6,4.29,3.65,0.1753424657534246,5.66,0.5506849315068494,-0.24204946996466437,0.5780821917808219,-0.005479452054794498,,False,False,False,3464.69291,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-14,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,7,4.46,3.65,0.22191780821917817,5.66,0.5506849315068494,-0.21201413427561844,0.5780821917808219,-0.005479452054794498,,False,False,False,3499.8721400000004,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-15,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,8,4.62,3.65,0.2657534246575344,5.66,0.5506849315068494,-0.18374558303886923,0.5780821917808219,-0.005479452054794498,,False,False,False,3531.1046,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-16,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,9,4.79,3.65,0.3123287671232877,5.66,0.5506849315068494,-0.1537102473498233,0.5780821917808219,-0.005479452054794498,,False,False,False,3563.03647,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-17,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,10,4.96,3.65,0.35890410958904106,5.66,0.5506849315068494,-0.12367491166077738,0.5780821917808219,-0.005479452054794498,,False,False,False,3592.6597950000005,False,False,False,False,False
