raw_arm,baseline_rank,symbol,entry_signal_date,classification,remaining_conditions_eligible,captured_same_episode,previous_member_count,survivor_count_after_frozen_exits,vacancies_before_additions,selected_additions,extra_survivor_count,extra_survivors,candidate_rs_rank,removed_module_diagnostic_passed,earlier_same_symbol_origin,finite_capacity_crowdout,evidence
A2_MINUS_B60,11,300128.SZ,2024-09-25,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,5,300002.SZ|300139.SZ|300274.SZ|300409.SZ|301152.SZ,7,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
A2_MINUS_B60,12,300324.SZ,2024-09-24,CAPTURED_SAME_EPISODE,True,True,0,0,10,300002.SZ|300033.SZ|300139.SZ|300274.SZ|300324.SZ|300348.SZ|300377.SZ|300409.SZ|300803.SZ|301152.SZ,0,,8,True,,False,
A2_MINUS_B60,13,300490.SZ,2025-09-25,CAPTURED_SAME_EPISODE,True,True,10,9,1,300490.SZ,5,300291.SZ|300619.SZ|300677.SZ|300801.SZ|300911.SZ,1,True,,False,
A2_MINUS_B60,14,300457.SZ,2025-08-28,ELIGIBLE_BUT_OUTRANKED,True,False,10,7,3,300531.SZ|300619.SZ|301379.SZ,2,300016.SZ|300627.SZ,10,True,,True,remaining vacancies were filled by higher frozen-RS candidates
A2_MINUS_B60,15,300763.SZ,2025-08-29,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,5,300016.SZ|300531.SZ|300619.SZ|300627.SZ|301379.SZ,3,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
A2_MINUS_B60,16,300459.SZ,2024-09-25,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,5,300002.SZ|300139.SZ|300274.SZ|300409.SZ|301152.SZ,15,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
A2_MINUS_B60,17,300357.SZ,2025-07-16,ELIGIBLE_BUT_OUTRANKED,True,False,10,9,1,301509.SZ,4,300138.SZ|300505.SZ|300627.SZ|301162.SZ,6,True,,True,remaining vacancies were filled by higher frozen-RS candidates
A2_MINUS_B60,18,300182.SZ,2024-09-24,ELIGIBLE_BUT_OUTRANKED,True,False,0,0,10,300002.SZ|300033.SZ|300139.SZ|300274.SZ|300324.SZ|300348.SZ|300377.SZ|300409.SZ|300803.SZ|301152.SZ,0,,16,True,,True,remaining vacancies were filled by higher frozen-RS candidates
A2_MINUS_B60,19,300938.SZ,2025-10-29,ELIGIBLE_BUT_OUTRANKED,True,False,10,9,1,300440.SZ,9,300041.SZ|300171.SZ|300350.SZ|300775.SZ|300780.SZ|301069.SZ|301179.SZ|301285.SZ|301500.SZ,5,True,,True,remaining vacancies were filled by higher frozen-RS candidates
A2_MINUS_B60,20,300442.SZ,2024-09-24,ELIGIBLE_BUT_OUTRANKED,True,False,0,0,10,300002.SZ|300033.SZ|300139.SZ|300274.SZ|300324.SZ|300348.SZ|300377.SZ|300409.SZ|300803.SZ|301152.SZ,0,,25,True,,True,remaining vacancies were filled by higher frozen-RS candidates
A3_MINUS_FULL40,1,300377.SZ,2024-09-24,CAPTURED_SAME_EPISODE,True,True,0,0,10,300085.SZ|300295.SZ|300310.SZ|300333.SZ|300377.SZ|300380.SZ|300399.SZ|300561.SZ|300663.SZ|300925.SZ,0,,9,True,,False,
A3_MINUS_FULL40,2,300497.SZ,2025-11-06,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,10,300018.SZ|300274.SZ|300475.SZ|300520.SZ|300585.SZ|300850.SZ|300889.SZ|301181.SZ|301308.SZ|301358.SZ,33,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
A3_MINUS_FULL40,3,300033.SZ,2024-09-24,ELIGIBLE_BUT_OUTRANKED,True,False,0,0,10,300085.SZ|300295.SZ|300310.SZ|300333.SZ|300377.SZ|300380.SZ|300399.SZ|300561.SZ|300663.SZ|300925.SZ,0,,21,True,,True,remaining vacancies were filled by higher frozen-RS candidates
A3_MINUS_FULL40,4,300437.SZ,2025-11-06,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,10,300018.SZ|300274.SZ|300475.SZ|300520.SZ|300585.SZ|300850.SZ|300889.SZ|301181.SZ|301308.SZ|301358.SZ,15,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
A3_MINUS_FULL40,5,300803.SZ,2024-09-24,ELIGIBLE_BUT_OUTRANKED,True,False,0,0,10,300085.SZ|300295.SZ|300310.SZ|300333.SZ|300377.SZ|300380.SZ|300399.SZ|300561.SZ|300663.SZ|300925.SZ,0,,16,True,,True,remaining vacancies were filled by higher frozen-RS candidates
A3_MINUS_FULL40,6,300348.SZ,2024-09-24,ELIGIBLE_BUT_OUTRANKED,True,False,0,0,10,300085.SZ|300295.SZ|300310.SZ|300333.SZ|300377.SZ|300380.SZ|300399.SZ|300561.SZ|300663.SZ|300925.SZ,0,,15,True,,True,remaining vacancies were filled by higher frozen-RS candidates
A3_MINUS_FULL40,7,301165.SZ,2025-06-24,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,10,300157.SZ|300468.SZ|300584.SZ|300619.SZ|300682.SZ|300773.SZ|300804.SZ|300875.SZ|301176.SZ|301292.SZ,27,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
A3_MINUS_FULL40,8,301093.SZ,2025-06-23,ELIGIBLE_BUT_OUTRANKED,True,False,0,0,10,300157.SZ|300468.SZ|300584.SZ|300619.SZ|300682.SZ|300773.SZ|300804.SZ|300875.SZ|301176.SZ|301292.SZ,0,,18,True,,True,remaining vacancies were filled by higher frozen-RS candidates
A3_MINUS_FULL40,9,300779.SZ,2025-02-12,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,10,300100.SZ|300153.SZ|300170.SZ|300548.SZ|300718.SZ|300953.SZ|300984.SZ|301336.SZ|301383.SZ|301498.SZ,43,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
A3_MINUS_FULL40,10,301141.SZ,2025-06-04,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,10,300204.SZ|300255.SZ|300643.SZ|300765.SZ|300804.SZ|300815.SZ|301070.SZ|301082.SZ|301263.SZ|301550.SZ,40,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
A3_MINUS_FULL40,11,300128.SZ,2024-09-25,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,9,300085.SZ|300295.SZ|300310.SZ|300333.SZ|300380.SZ|300399.SZ|300561.SZ|300663.SZ|300925.SZ,27,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
A3_MINUS_FULL40,12,300324.SZ,2024-09-24,ELIGIBLE_BUT_OUTRANKED,True,False,0,0,10,300085.SZ|300295.SZ|300310.SZ|300333.SZ|300377.SZ|300380.SZ|300399.SZ|300561.SZ|300663.SZ|300925.SZ,0,,19,True,,True,remaining vacancies were filled by higher frozen-RS candidates
A3_MINUS_FULL40,13,300490.SZ,2025-09-25,ELIGIBLE_BUT_OUTRANKED,True,False,10,9,1,300274.SZ,9,300308.SZ|300394.SZ|300476.SZ|300502.SZ|300803.SZ|301345.SZ|301389.SZ|301489.SZ|301529.SZ,37,True,,True,remaining vacancies were filled by higher frozen-RS candidates
A3_MINUS_FULL40,14,300457.SZ,2025-08-28,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,10,300436.SZ|300502.SZ|300548.SZ|300683.SZ|300695.SZ|300803.SZ|301038.SZ|301217.SZ|301345.SZ|301489.SZ,66,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
A3_MINUS_FULL40,15,300763.SZ,2025-08-29,ELIGIBLE_BUT_OUTRANKED,True,False,10,8,2,300394.SZ|301389.SZ,8,300436.SZ|300502.SZ|300548.SZ|300695.SZ|300803.SZ|301217.SZ|301345.SZ|301489.SZ,38,True,,True,remaining vacancies were filled by higher frozen-RS candidates
A3_MINUS_FULL40,16,300459.SZ,2024-09-25,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,9,300085.SZ|300295.SZ|300310.SZ|300333.SZ|300380.SZ|300399.SZ|300561.SZ|300663.SZ|300925.SZ,41,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
A3_MINUS_FULL40,17,300357.SZ,2025-07-16,ELIGIBLE_BUT_OUTRANKED,True,False,10,7,3,300548.SZ|300695.SZ|301225.SZ,7,300436.SZ|300468.SZ|300591.SZ|300682.SZ|301176.SZ|301292.SZ|301345.SZ,33,True,,True,remaining vacancies were filled by higher frozen-RS candidates
A3_MINUS_FULL40,18,300182.SZ,2024-09-24,ELIGIBLE_BUT_OUTRANKED,True,False,0,0,10,300085.SZ|300295.SZ|300310.SZ|300333.SZ|300377.SZ|300380.SZ|300399.SZ|300561.SZ|300663.SZ|300925.SZ,0,,29,True,,True,remaining vacancies were filled by higher frozen-RS candidates
A3_MINUS_FULL40,19,300938.SZ,2025-10-29,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,10,300018.SZ|300443.SZ|300475.SZ|300520.SZ|300585.SZ|300606.SZ|300850.SZ|300889.SZ|301181.SZ|301308.SZ,42,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
A3_MINUS_FULL40,20,300442.SZ,2024-09-24,ELIGIBLE_BUT_OUTRANKED,True,False,0,0,10,300085.SZ|300295.SZ|300310.SZ|300333.SZ|300377.SZ|300380.SZ|300399.SZ|300561.SZ|300663.SZ|300925.SZ,0,,31,True,,True,remaining vacancies were filled by higher frozen-RS candidates
