trade_id,sample,year,symbol,entry_signal_date,entry_execution_date,exit_signal_date,exit_execution_date,industry_code,industry_name,classification_effective_date,classification_source,pit_status,realized_return,realized_pnl,MFE,holding_trading_days,pnl_rank
300733.SZ-002,DEVELOPMENT,2025,300733.SZ,2025-02-06,2025-02-07,2025-03-24,2025-03-25,汽车零部件,汽车零部件,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.149726780784,23151.574,0.27027027027,32,21
300627.SZ-001,DEVELOPMENT,2025,300627.SZ,2025-02-07,2025-02-10,2025-03-03,2025-03-04,通信设备,通信设备,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.097707662661,-15913.814,0.0266285211268,16,97
300001.SZ-001,DEVELOPMENT,2025,300001.SZ,2025-02-11,2025-02-12,2025-03-10,2025-03-11,电网设备,电网设备,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0144885411205,-2192.452,0.06375,19,59
300758.SZ-001,DEVELOPMENT,2025,300758.SZ,2025-02-11,2025-02-12,2025-02-24,2025-02-25,化学制品,化学制品,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.11823101153,-18374.43,0.050240880936,9,102
300788.SZ-001,DEVELOPMENT,2025,300788.SZ,2025-02-11,2025-02-12,2025-02-26,2025-02-27,出版,出版,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0951266615117,-15600.376,0.0634328358209,11,96
300779.SZ-001,DEVELOPMENT,2025,300779.SZ,2025-02-12,2025-02-13,2025-03-24,2025-03-25,环境治理,环境治理,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.453226691676,66690.948,0.539591836735,28,9
301361.SZ-001,DEVELOPMENT,2025,301361.SZ,2025-02-12,2025-02-13,2025-03-24,2025-03-25,电网设备,电网设备,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.104532325198,17681.013,0.368102073365,28,26
300286.SZ-001,DEVELOPMENT,2025,300286.SZ,2025-02-17,2025-02-18,2025-03-24,2025-03-25,电网设备,电网设备,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.0544130920144,8479.828,0.223744292237,25,33
301213.SZ-002,DEVELOPMENT,2025,301213.SZ,2025-02-17,2025-02-18,2025-03-03,2025-03-04,军工电子Ⅱ,军工电子Ⅱ,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0747114545534,-11352.54,0.122448979592,10,86
300035.SZ-001,DEVELOPMENT,2025,300035.SZ,2025-02-27,2025-02-28,2025-03-24,2025-03-25,电池,电池,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.0283020685866,4567.649,0.192771084337,17,39
300014.SZ-001,DEVELOPMENT,2025,300014.SZ,2025-03-03,2025-03-04,2025-03-24,2025-03-25,电池,电池,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0195698710825,-3024.022,0.0537936571658,15,60
301217.SZ-001,DEVELOPMENT,2025,301217.SZ,2025-03-14,2025-03-17,2025-03-24,2025-03-25,电池,电池,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.10265029133,-16295.178,0.0161420500404,6,98
300092.SZ-001,DEVELOPMENT,2025,300092.SZ,2025-03-17,2025-03-18,2025-03-24,2025-03-25,专用设备,专用设备,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.00482723962967,763.08,0.0372340425532,5,49
300947.SZ-001,DEVELOPMENT,2025,300947.SZ,2025-03-17,2025-03-18,2025-03-24,2025-03-25,一般零售,一般零售,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.100318619687,-15538.224,0.00430416068867,5,95
300702.SZ-001,DEVELOPMENT,2025,300702.SZ,2025-04-25,2025-04-28,2025-05-28,2025-05-29,化学制药,化学制药,2024-12-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.0187180282923,2841.54,0.0524344569288,20,43
300346.SZ-001,DEVELOPMENT,2025,300346.SZ,2025-05-06,2025-05-07,2025-05-16,2025-05-19,电子化学品Ⅱ,电子化学品Ⅱ,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0855881447987,-14064.2,0.00439024390244,8,92
301301.SZ-002,DEVELOPMENT,2025,301301.SZ,2025-05-15,2025-05-16,2025-05-28,2025-05-29,化学制药,化学制药,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.136169404184,-22046.745,0.0165517241379,9,105
301188.SZ-001,DEVELOPMENT,2025,301188.SZ,2025-05-19,2025-05-20,2025-05-28,2025-05-29,医疗器械,医疗器械,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0336062572905,-5039.117,0.110623781676,7,65
300009.SZ-001,DEVELOPMENT,2025,300009.SZ,2025-05-29,2025-05-30,2025-06-18,2025-06-19,生物制品,生物制品,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0567481446332,-9030.217,0.0615901455767,13,79
300522.SZ-001,DEVELOPMENT,2025,300522.SZ,2025-05-29,2025-05-30,2025-06-12,2025-06-13,化学制品,化学制品,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0610611733399,-10056.319,0.0212314225053,9,82
300254.SZ-001,DEVELOPMENT,2025,300254.SZ,2025-06-03,2025-06-04,2025-06-20,2025-06-23,化学制药,化学制药,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0532844642362,-8927.139,0.138095238095,13,78
300452.SZ-001,DEVELOPMENT,2025,300452.SZ,2025-06-03,2025-06-04,2025-06-16,2025-06-17,化学制药,化学制药,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0393171349029,-6274.914,0.00611620795107,9,70
300003.SZ-002,DEVELOPMENT,2025,300003.SZ,2025-06-04,2025-06-05,2025-06-20,2025-06-23,医疗器械,医疗器械,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0460518587813,-7585.319,0.0540935672515,12,75
301141.SZ-001,DEVELOPMENT,2025,301141.SZ,2025-06-04,2025-06-05,2025-06-20,2025-06-23,金属新材料,金属新材料,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.342693529562,52587.453,0.728780487805,12,10
300770.SZ-002,DEVELOPMENT,2025,300770.SZ,2025-06-09,2025-06-10,2025-06-20,2025-06-23,电视广播Ⅱ,电视广播Ⅱ,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0541960875952,-8270.944,0.0757649344342,9,77
301048.SZ-001,DEVELOPMENT,2025,301048.SZ,2025-06-10,2025-06-11,2025-06-20,2025-06-23,轨交设备Ⅱ,轨交设备Ⅱ,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0655446334359,-10500.909,0.025664527956,8,84
301052.SZ-001,DEVELOPMENT,2025,301052.SZ,2025-06-10,2025-06-11,2025-06-20,2025-06-23,出版,出版,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0415641979296,-6251.557,0.0957892144792,8,68
300748.SZ-001,DEVELOPMENT,2025,300748.SZ,2025-06-11,2025-06-12,2025-06-20,2025-06-23,金属新材料,金属新材料,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0865485979106,-13381.838,0.058994599086,7,89
300987.SZ-001,DEVELOPMENT,2025,300987.SZ,2025-06-12,2025-06-13,2025-06-20,2025-06-23,数字媒体,数字媒体,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.158834261472,-26436.418,0.0899591094957,6,108
300440.SZ-001,DEVELOPMENT,2025,300440.SZ,2025-06-16,2025-06-17,2025-06-20,2025-06-23,IT服务Ⅱ,IT服务Ⅱ,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0283022805574,-4384.441,0.0207547169811,4,61
300138.SZ-001,DEVELOPMENT,2025,300138.SZ,2025-06-18,2025-06-19,2025-06-20,2025-06-23,农产品加工,农产品加工,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.00889538672914,1304.415,0.0738874895046,2,46
300057.SZ-001,DEVELOPMENT,2025,300057.SZ,2025-06-23,2025-06-24,2025-09-24,2025-09-25,工业金属,工业金属,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.138932059094,22573.447,0.318267419962,67,22
300072.SZ-001,DEVELOPMENT,2025,300072.SZ,2025-06-23,2025-06-24,2025-07-30,2025-07-31,化学制品,化学制品,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.050475269519,-7591.19,0.0604395604396,27,76
300479.SZ-002,DEVELOPMENT,2025,300479.SZ,2025-06-23,2025-06-24,2025-07-23,2025-07-24,计算机设备,计算机设备,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0328184713617,-4806.078,0.069270106927,22,63
300801.SZ-001,DEVELOPMENT,2025,300801.SZ,2025-06-23,2025-06-24,2025-07-24,2025-07-25,化学制品,化学制品,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.0245211214624,4022.859,0.367866549605,23,41
300863.SZ-001,DEVELOPMENT,2025,300863.SZ,2025-06-23,2025-06-24,2025-07-16,2025-07-17,汽车零部件,汽车零部件,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.0074712521521,1066.451,0.123921794135,17,48
301093.SZ-001,DEVELOPMENT,2025,301093.SZ,2025-06-23,2025-06-24,2025-10-14,2025-10-15,医疗器械,医疗器械,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.402698973492,70089.3033,0.807228915663,75,8
301238.SZ-001,DEVELOPMENT,2025,301238.SZ,2025-06-23,2025-06-24,2025-07-16,2025-07-17,电池,电池,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0505409862104,-7254.825,0.0617154811715,17,73
300138.SZ-002,DEVELOPMENT,2025,300138.SZ,2025-06-24,2025-06-25,2025-08-08,2025-08-11,农产品加工,农产品加工,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.0615929934901,9590.001,0.157131345689,33,32
300627.SZ-002,DEVELOPMENT,2025,300627.SZ,2025-06-24,2025-06-25,2025-09-03,2025-09-04,通信设备,通信设备,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.0410208782687,6825.391,0.155151876117,51,34
301165.SZ-001,DEVELOPMENT,2025,301165.SZ,2025-06-24,2025-06-25,2025-09-30,2025-10-09,通信设备,通信设备,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.469366028299,74354.74,0.790744466801,70,7
300267.SZ-001,DEVELOPMENT,2025,300267.SZ,2025-07-16,2025-07-17,2025-08-28,2025-08-29,化学制药,化学制药,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.129893935473,21329.239,0.391930835735,31,24
300357.SZ-002,DEVELOPMENT,2025,300357.SZ,2025-07-16,2025-07-17,2025-09-19,2025-09-22,生物制品,生物制品,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.190521588886,28256.097,0.424267100977,47,17
300595.SZ-001,DEVELOPMENT,2025,300595.SZ,2025-07-23,2025-07-24,2025-08-29,2025-09-01,医疗器械,医疗器械,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.0233244469418,3414.775,0.134582623509,27,42
300142.SZ-001,DEVELOPMENT,2025,300142.SZ,2025-07-24,2025-07-25,2025-08-29,2025-09-01,生物制品,生物制品,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0531461253702,-9171.98,0.0571216617211,26,80
301096.SZ-001,DEVELOPMENT,2025,301096.SZ,2025-07-30,2025-07-31,2025-08-28,2025-08-29,医疗服务,医疗服务,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.0276822309866,4150.945,0.308598130841,21,40
301048.SZ-002,DEVELOPMENT,2025,301048.SZ,2025-08-08,2025-08-11,2025-09-03,2025-09-04,轨交设备Ⅱ,轨交设备Ⅱ,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.135208946897,-24949.071,0.132075471698,18,107
300457.SZ-001,DEVELOPMENT,2025,300457.SZ,2025-08-28,2025-08-29,2025-10-14,2025-10-15,电池,电池,2025-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.236978953516,42546.338,0.64404662781,27,14
300494.SZ-001,DEVELOPMENT,2025,300494.SZ,2025-08-28,2025-08-29,2025-09-02,2025-09-03,游戏Ⅱ,游戏Ⅱ,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.101361720348,-17353.028,0.00318268618714,3,100
300035.SZ-002,DEVELOPMENT,2025,300035.SZ,2025-08-29,2025-09-01,2025-10-14,2025-10-15,电池,电池,2025-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.062491234788,11055.12,0.177024482109,26,29
300763.SZ-001,DEVELOPMENT,2025,300763.SZ,2025-08-29,2025-09-01,2025-10-14,2025-10-15,光伏设备,光伏设备,2025-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.189447727597,30839.556,0.47373081464,26,15
300092.SZ-002,DEVELOPMENT,2025,300092.SZ,2025-09-02,2025-09-03,2025-10-13,2025-10-14,专用设备,专用设备,2025-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.0251526301373,4821.772,0.281681681682,23,36
300827.SZ-001,DEVELOPMENT,2025,300827.SZ,2025-09-03,2025-09-04,2025-10-14,2025-10-15,光伏设备,光伏设备,2025-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.0278044147032,5020.821,0.236451612903,23,35
301182.SZ-001,DEVELOPMENT,2025,301182.SZ,2025-09-03,2025-09-04,2025-09-22,2025-09-23,计算机设备,计算机设备,2025-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0788138523436,-14077.134,0.0937892884083,13,93
300371.SZ-001,DEVELOPMENT,2025,300371.SZ,2025-09-22,2025-09-23,2025-09-25,2025-09-26,通用设备,通用设备,2025-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0983451808191,-19043.211,0.0,3,103
300551.SZ-001,DEVELOPMENT,2025,300551.SZ,2025-09-22,2025-09-23,2025-10-14,2025-10-15,计算机设备,计算机设备,2025-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.110635018093,-20808.333,0.0506706408346,10,104
301611.SZ-001,DEVELOPMENT,2025,301611.SZ,2025-09-24,2025-09-25,2025-10-14,2025-10-15,半导体,半导体,2025-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.00574170459557,-995.906,0.108877721943,8,55
300490.SZ-001,DEVELOPMENT,2025,300490.SZ,2025-09-25,2025-09-26,2025-10-14,2025-10-15,电网设备,电网设备,2025-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.268633543703,47352.06,0.347746090156,7,13
