method_id,model,split,event_rows,independent_symbols,matched_return_excess_60,aligned_return_excess_60,seller_agreement_scope
DOWNSHIFT_METHOD,DISPOSITION,holdout,15,10,-0.105794735962,-0.105794735962,ALL_STATES
DOWNSHIFT_METHOD,DISPOSITION,validation,24,17,0.054950351602,0.054950351602,ALL_STATES
DOWNSHIFT_METHOD,ENSEMBLE,holdout,19,11,-0.188306888701,-0.188306888701,ALL_STATES
DOWNSHIFT_METHOD,ENSEMBLE,validation,32,24,0.0446806984802,0.0446806984802,ALL_STATES
DOWNSHIFT_METHOD,UNIFORM,holdout,21,13,-0.243638092475,-0.243638092475,ALL_STATES
DOWNSHIFT_METHOD,UNIFORM,validation,36,26,0.0319971354376,0.0319971354376,ALL_STATES
CONSOLIDATION_METHOD,UNIFORM,validation,1,1,0.237867395762,0.237867395762,ALL_STATES
NINETY_VS_THREE,ACTIVE_STICKY,holdout,15,13,0.123971004867,0.123971004867,ALL_STATES
NINETY_VS_THREE,ACTIVE_STICKY,validation,29,22,-0.0376244720579,-0.0376244720579,ALL_STATES
NINETY_VS_THREE,DISPOSITION,holdout,34,24,0.0970316376012,0.0970316376012,ALL_STATES
NINETY_VS_THREE,DISPOSITION,validation,69,45,0.0219080712843,0.0219080712843,ALL_STATES
NINETY_VS_THREE,ENSEMBLE,holdout,26,21,0.0762688818311,0.0762688818311,ALL_STATES
NINETY_VS_THREE,ENSEMBLE,validation,54,36,0.0320254956231,0.0320254956231,ALL_STATES
NINETY_VS_THREE,UNIFORM,holdout,44,28,0.154501400111,0.154501400111,ALL_STATES
NINETY_VS_THREE,UNIFORM,validation,87,60,0.0392937232562,0.0392937232562,ALL_STATES
LOW_TURNOVER_DENSE_CROSSING,ACTIVE_STICKY,holdout,64,60,0.0925508637235,0.0925508637235,ALL_STATES
LOW_TURNOVER_DENSE_CROSSING,ACTIVE_STICKY,validation,115,98,0.047413264607,0.047413264607,ALL_STATES
LOW_TURNOVER_DENSE_CROSSING,DISPOSITION,holdout,81,73,-0.00794970526524,-0.00794970526524,ALL_STATES
LOW_TURNOVER_DENSE_CROSSING,DISPOSITION,validation,144,120,0.00666318060004,0.00666318060004,ALL_STATES
LOW_TURNOVER_DENSE_CROSSING,UNIFORM,holdout,83,76,0.0958560113036,0.0958560113036,ALL_STATES
LOW_TURNOVER_DENSE_CROSSING,UNIFORM,validation,147,120,0.0256935598279,0.0256935598279,ALL_STATES
WOUNDED_DEALER,ACTIVE_STICKY,holdout,3,3,0.32785656183,0.32785656183,ALL_STATES
WOUNDED_DEALER,ACTIVE_STICKY,validation,2,2,-0.0645986869157,-0.0645986869157,ALL_STATES
WOUNDED_DEALER,DISPOSITION,holdout,3,3,0.156886827823,0.156886827823,ALL_STATES
WOUNDED_DEALER,ENSEMBLE,holdout,3,3,0.398847509484,0.398847509484,ALL_STATES
WOUNDED_DEALER,UNIFORM,holdout,4,4,0.370281513947,0.370281513947,ALL_STATES
LARGE_DOUBLE_PEAK_VALLEY,ACTIVE_STICKY,holdout,27,25,-0.202290604574,-0.202290604574,ALL_STATES
LARGE_DOUBLE_PEAK_VALLEY,ACTIVE_STICKY,validation,11,11,0.208127840424,0.208127840424,ALL_STATES
LARGE_DOUBLE_PEAK_VALLEY,DISPOSITION,holdout,10,8,0.010325864476,0.010325864476,ALL_STATES
LARGE_DOUBLE_PEAK_VALLEY,DISPOSITION,validation,2,2,-0.296079051733,-0.296079051733,ALL_STATES
LARGE_DOUBLE_PEAK_VALLEY,ENSEMBLE,holdout,9,7,-0.220079493924,-0.220079493924,ALL_STATES
LARGE_DOUBLE_PEAK_VALLEY,UNIFORM,holdout,15,12,-0.129445644828,-0.129445644828,ALL_STATES
LARGE_DOUBLE_PEAK_VALLEY,UNIFORM,validation,3,3,-0.175656034117,-0.175656034117,ALL_STATES
LOCKED_PROFITABLE_INVENTORY,ENSEMBLE,validation,43,27,0.174117204736,0.174117204736,ALL_THREE_AGREE_H40
LOCKED_PROFITABLE_INVENTORY,ENSEMBLE,validation,43,27,0.17609619365,0.17609619365,ALL_THREE_AGREE_H60
LOCKED_PROFITABLE_INVENTORY,ENSEMBLE,validation,43,27,0.262187454345,0.262187454345,ALL_THREE_AGREE_H120
LOCKED_PROFITABLE_INVENTORY,ENSEMBLE,holdout,51,28,0.0126861613521,0.0126861613521,ALL_THREE_AGREE_H40
LOCKED_PROFITABLE_INVENTORY,ENSEMBLE,holdout,51,28,0.0404715457545,0.0404715457545,ALL_THREE_AGREE_H60
LOCKED_PROFITABLE_INVENTORY,ENSEMBLE,holdout,51,28,0.0497187209625,0.0497187209625,ALL_THREE_AGREE_H120
LOCKED_PROFITABLE_INVENTORY,ENSEMBLE,validation,29,27,0.0593403098889,0.0593403098889,MODELS_DISAGREE_H40
LOCKED_PROFITABLE_INVENTORY,ENSEMBLE,validation,29,27,0.0507695748636,0.0507695748636,MODELS_DISAGREE_H60
LOCKED_PROFITABLE_INVENTORY,ENSEMBLE,validation,29,27,0.045864458892,0.045864458892,MODELS_DISAGREE_H120
LOCKED_PROFITABLE_INVENTORY,ENSEMBLE,holdout,19,14,0.0757614496736,0.0757614496736,MODELS_DISAGREE_H40
LOCKED_PROFITABLE_INVENTORY,ENSEMBLE,holdout,19,14,0.104665402906,0.104665402906,MODELS_DISAGREE_H60
LOCKED_PROFITABLE_INVENTORY,ENSEMBLE,holdout,19,14,0.123931877113,0.123931877113,MODELS_DISAGREE_H120
