model,split,side,touch_bucket,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,discovery,SUPPORT,SECOND,mfe_10,10,948,948,0.0825848580305,0.0760958977197,0.0887688121578
ACTIVE_STICKY,discovery,SUPPORT,THIRD_PLUS,reaction_probability,3,1318,703,0.453745851114,0.423405049787,0.483671171171
ACTIVE_STICKY,discovery,SUPPORT,THIRD_PLUS,close_favorable_probability,0,1481,746,0.509807864164,0.482717269884,0.539121983914
ACTIVE_STICKY,discovery,SUPPORT,THIRD_PLUS,cross_probability_10,10,887,519,0.32774566474,0.291538214515,0.365496146435
ACTIVE_STICKY,discovery,SUPPORT,THIRD_PLUS,time_to_cross_10,10,949,548,8.56152676399,8.27802843674,8.81045620438
ACTIVE_STICKY,discovery,SUPPORT,THIRD_PLUS,future_return_5,5,1215,662,0.00638498774463,0.000719732929392,0.0120157379927
ACTIVE_STICKY,discovery,SUPPORT,THIRD_PLUS,mae_10,10,887,519,-0.0762488284051,-0.0827904704282,-0.0702345197195
ACTIVE_STICKY,discovery,SUPPORT,THIRD_PLUS,mfe_10,10,887,519,0.0774372011634,0.0681890123308,0.0871922909654
ACTIVE_STICKY,holdout,RESISTANCE,FIRST,reaction_probability,3,2018,2018,0.445490584737,0.423686818632,0.46828543112
ACTIVE_STICKY,holdout,RESISTANCE,FIRST,close_favorable_probability,0,2062,2062,0.498545101843,0.47573957323,0.516500969932
ACTIVE_STICKY,holdout,RESISTANCE,FIRST,cross_probability_10,10,1883,1883,0.243759957515,0.224097185343,0.262360594796
ACTIVE_STICKY,holdout,RESISTANCE,FIRST,time_to_cross_10,10,1917,1917,9.17736045905,9.01180229525,9.32927751695
ACTIVE_STICKY,holdout,RESISTANCE,FIRST,future_return_5,5,1994,1994,-0.00726312389594,-0.0104636741074,-0.00386415700574
ACTIVE_STICKY,holdout,RESISTANCE,FIRST,mae_10,10,1883,1883,-0.0689210148603,-0.0715084795796,-0.0664131405826
ACTIVE_STICKY,holdout,RESISTANCE,FIRST,mfe_10,10,1883,1883,0.0732441386188,0.0696372528644,0.0771315837978
ACTIVE_STICKY,holdout,RESISTANCE,SECOND,reaction_probability,3,1328,1328,0.469879518072,0.445011295181,0.494728915663
ACTIVE_STICKY,holdout,RESISTANCE,SECOND,close_favorable_probability,0,1382,1382,0.556439942113,0.533248914616,0.582489146165
ACTIVE_STICKY,holdout,RESISTANCE,SECOND,cross_probability_10,10,1140,1140,0.235087719298,0.207872807018,0.258771929825
ACTIVE_STICKY,holdout,RESISTANCE,SECOND,time_to_cross_10,10,1177,1177,9.24468988955,9.05429056924,9.43859388275
ACTIVE_STICKY,holdout,RESISTANCE,SECOND,future_return_5,5,1269,1269,-0.00511772929963,-0.00891731322082,-0.00169360873167
ACTIVE_STICKY,holdout,RESISTANCE,SECOND,mae_10,10,1140,1140,-0.0649801178989,-0.0678942465889,-0.0621628191622
ACTIVE_STICKY,holdout,RESISTANCE,SECOND,mfe_10,10,1140,1140,0.0708750887155,0.0661567916948,0.075720070766
ACTIVE_STICKY,holdout,RESISTANCE,THIRD_PLUS,reaction_probability,3,1460,796,0.431176716918,0.403040724456,0.459230004188
ACTIVE_STICKY,holdout,RESISTANCE,THIRD_PLUS,close_favorable_probability,0,1639,856,0.503660436137,0.474113123053,0.532563765576
ACTIVE_STICKY,holdout,RESISTANCE,THIRD_PLUS,cross_probability_10,10,1036,628,0.283174097665,0.251048301486,0.310254113588
ACTIVE_STICKY,holdout,RESISTANCE,THIRD_PLUS,time_to_cross_10,10,1138,672,8.56423611111,8.29020523313,8.84563616071
ACTIVE_STICKY,holdout,RESISTANCE,THIRD_PLUS,future_return_5,5,1339,755,0.00222848135767,-0.00274297623279,0.00706739430877
ACTIVE_STICKY,holdout,RESISTANCE,THIRD_PLUS,mae_10,10,1036,628,-0.0620074901782,-0.0661928717429,-0.0581779371308
ACTIVE_STICKY,holdout,RESISTANCE,THIRD_PLUS,mfe_10,10,1036,628,0.079591293415,0.0741879763124,0.0858057922174
ACTIVE_STICKY,holdout,SUPPORT,FIRST,reaction_probability,3,1069,1069,0.415341440599,0.38257717493,0.44438727783
ACTIVE_STICKY,holdout,SUPPORT,FIRST,close_favorable_probability,0,1092,1092,0.513736263736,0.486263736264,0.543956043956
ACTIVE_STICKY,holdout,SUPPORT,FIRST,cross_probability_10,10,1025,1025,0.254634146341,0.228243902439,0.28
ACTIVE_STICKY,holdout,SUPPORT,FIRST,time_to_cross_10,10,1032,1032,9.37887596899,9.19183624031,9.57366763566
ACTIVE_STICKY,holdout,SUPPORT,FIRST,future_return_5,5,1063,1063,-0.00502827772709,-0.00918491557674,-0.00075059046103
ACTIVE_STICKY,holdout,SUPPORT,FIRST,mae_10,10,1025,1025,-0.0651899309456,-0.0681865868998,-0.0617699023775
ACTIVE_STICKY,holdout,SUPPORT,FIRST,mfe_10,10,1025,1025,0.0722724803562,0.0673519679927,0.0777590474702
ACTIVE_STICKY,holdout,SUPPORT,SECOND,reaction_probability,3,683,683,0.389458272328,0.354319180088,0.426098096633
ACTIVE_STICKY,holdout,SUPPORT,SECOND,close_favorable_probability,0,710,710,0.49014084507,0.454929577465,0.526795774648
ACTIVE_STICKY,holdout,SUPPORT,SECOND,cross_probability_10,10,592,592,0.27027027027,0.239822635135,0.305743243243
ACTIVE_STICKY,holdout,SUPPORT,SECOND,time_to_cross_10,10,600,600,9.29166666667,9.06825,9.51666666667
ACTIVE_STICKY,holdout,SUPPORT,SECOND,future_return_5,5,668,668,0.00116091547879,-0.00401929865807,0.00602034110041
ACTIVE_STICKY,holdout,SUPPORT,SECOND,mae_10,10,592,592,-0.0643503874649,-0.0685112940496,-0.0603656137635
ACTIVE_STICKY,holdout,SUPPORT,SECOND,mfe_10,10,592,592,0.0761403201712,0.0701736231729,0.0826925577735
ACTIVE_STICKY,holdout,SUPPORT,THIRD_PLUS,reaction_probability,3,690,400,0.416875,0.374485416667,0.458535416667
ACTIVE_STICKY,holdout,SUPPORT,THIRD_PLUS,close_favorable_probability,0,798,441,0.500529100529,0.459608843537,0.542482048375
ACTIVE_STICKY,holdout,SUPPORT,THIRD_PLUS,cross_probability_10,10,491,317,0.322187171399,0.272022870662,0.371715299685
ACTIVE_STICKY,holdout,SUPPORT,THIRD_PLUS,time_to_cross_10,10,508,325,8.81671794872,8.43120512821,9.17849358974
ACTIVE_STICKY,holdout,SUPPORT,THIRD_PLUS,future_return_5,5,640,375,0.00386596389125,-0.00235940708346,0.0104182470684
ACTIVE_STICKY,holdout,SUPPORT,THIRD_PLUS,mae_10,10,491,317,-0.0686352371451,-0.0762079081593,-0.0620646871407
ACTIVE_STICKY,holdout,SUPPORT,THIRD_PLUS,mfe_10,10,491,317,0.0833307507668,0.0737919733672,0.0926712219832
ACTIVE_STICKY,validation,RESISTANCE,FIRST,reaction_probability,3,2303,2303,0.366912722536,0.348230568823,0.387353452019
ACTIVE_STICKY,validation,RESISTANCE,FIRST,close_favorable_probability,0,2315,2315,0.456155507559,0.437548596112,0.476900647948
ACTIVE_STICKY,validation,RESISTANCE,FIRST,cross_probability_10,10,2256,2256,0.397606382979,0.376318705674,0.416223404255
ACTIVE_STICKY,validation,RESISTANCE,FIRST,time_to_cross_10,10,2263,2263,8.11400795404,7.93941670349,8.26789659744
ACTIVE_STICKY,validation,RESISTANCE,FIRST,future_return_5,5,2288,2288,0.0177740204239,0.0138701531663,0.0214766327104
ACTIVE_STICKY,validation,RESISTANCE,FIRST,mae_10,10,2256,2256,-0.0565010937915,-0.0585422103591,-0.0545455622048
ACTIVE_STICKY,validation,RESISTANCE,FIRST,mfe_10,10,2256,2256,0.105461320121,0.101351982946,0.110695657992
ACTIVE_STICKY,validation,RESISTANCE,SECOND,reaction_probability,3,1494,1494,0.424364123159,0.398929049531,0.449146586345
ACTIVE_STICKY,validation,RESISTANCE,SECOND,close_favorable_probability,0,1523,1523,0.500328299409,0.47536112935,0.525952068286
ACTIVE_STICKY,validation,RESISTANCE,SECOND,cross_probability_10,10,1323,1323,0.321239606954,0.296296296296,0.346976568405
ACTIVE_STICKY,validation,RESISTANCE,SECOND,time_to_cross_10,10,1345,1345,8.71970260223,8.52472118959,8.9094795539
ACTIVE_STICKY,validation,RESISTANCE,SECOND,future_return_5,5,1472,1472,0.00669675342578,0.00329860111935,0.0103970387928
ACTIVE_STICKY,validation,RESISTANCE,SECOND,mae_10,10,1323,1323,-0.0546871550423,-0.0568255026053,-0.0523271235226
ACTIVE_STICKY,validation,RESISTANCE,SECOND,mfe_10,10,1323,1323,0.0919522193303,0.0863760662747,0.0973562380271
ACTIVE_STICKY,validation,RESISTANCE,THIRD_PLUS,reaction_probability,3,1672,905,0.333209681663,0.307541962641,0.358697513812
ACTIVE_STICKY,validation,RESISTANCE,THIRD_PLUS,close_favorable_probability,0,1874,960,0.490838293651,0.468194134425,0.518807787698
ACTIVE_STICKY,validation,RESISTANCE,THIRD_PLUS,cross_probability_10,10,1276,757,0.41523557904,0.382204975782,0.450137604579
ACTIVE_STICKY,validation,RESISTANCE,THIRD_PLUS,time_to_cross_10,10,1338,773,8.02028891764,7.7539343467,8.25958656749
ACTIVE_STICKY,validation,RESISTANCE,THIRD_PLUS,future_return_5,5,1606,882,0.0185719895816,0.0141551380311,0.023047283769
ACTIVE_STICKY,validation,RESISTANCE,THIRD_PLUS,mae_10,10,1276,757,-0.0469330856211,-0.0498810479444,-0.0439008512363
ACTIVE_STICKY,validation,RESISTANCE,THIRD_PLUS,mfe_10,10,1276,757,0.111401296183,0.104595305866,0.11862046385
ACTIVE_STICKY,validation,SUPPORT,FIRST,reaction_probability,3,1277,1277,0.451840250587,0.425195771339,0.479248238058
ACTIVE_STICKY,validation,SUPPORT,FIRST,close_favorable_probability,0,1378,1378,0.548621190131,0.522496371553,0.574764150943
ACTIVE_STICKY,validation,SUPPORT,FIRST,cross_probability_10,10,1207,1207,0.169842584921,0.149130074565,0.190555095278
ACTIVE_STICKY,validation,SUPPORT,FIRST,time_to_cross_10,10,1219,1219,9.91878589007,9.76948318294,10.0609105824
ACTIVE_STICKY,validation,SUPPORT,FIRST,future_return_5,5,1259,1259,0.00262972104489,-0.00129991170921,0.00606528755158
ACTIVE_STICKY,validation,SUPPORT,FIRST,mae_10,10,1207,1207,-0.0572761467852,-0.0602905000035,-0.0544638219159
ACTIVE_STICKY,validation,SUPPORT,FIRST,mfe_10,10,1207,1207,0.0711533071689,0.0668803679784,0.076009900988
ACTIVE_STICKY,validation,SUPPORT,SECOND,reaction_probability,3,877,877,0.356898517674,0.322662485747,0.385404789054
ACTIVE_STICKY,validation,SUPPORT,SECOND,close_favorable_probability,0,922,922,0.518438177874,0.489154013015,0.553145336226
ACTIVE_STICKY,validation,SUPPORT,SECOND,cross_probability_10,10,750,750,0.222666666667,0.191966666667,0.253366666667
ACTIVE_STICKY,validation,SUPPORT,SECOND,time_to_cross_10,10,764,764,9.5719895288,9.32977748691,9.77496727749
ACTIVE_STICKY,validation,SUPPORT,SECOND,future_return_5,5,834,834,-0.00556676963544,-0.00939649155895,-0.00172587697211
ACTIVE_STICKY,validation,SUPPORT,SECOND,mae_10,10,750,750,-0.0601957840965,-0.0633555353366,-0.056663994638
ACTIVE_STICKY,validation,SUPPORT,SECOND,mfe_10,10,750,750,0.0604497861624,0.0557868695223,0.0653862155239
ACTIVE_STICKY,validation,SUPPORT,THIRD_PLUS,reaction_probability,3,936,515,0.272006472492,0.241514563107,0.302588996764
ACTIVE_STICKY,validation,SUPPORT,THIRD_PLUS,close_favorable_probability,0,1031,556,0.454436450839,0.418880395683,0.49021807554
ACTIVE_STICKY,validation,SUPPORT,THIRD_PLUS,cross_probability_10,10,658,397,0.270654911839,0.225083963056,0.314939126784
ACTIVE_STICKY,validation,SUPPORT,THIRD_PLUS,time_to_cross_10,10,705,411,9.15506893755,8.88369728305,9.42901865369
ACTIVE_STICKY,validation,SUPPORT,THIRD_PLUS,future_return_5,5,836,469,-0.00791649870351,-0.0133124068151,-0.00188552544444
ACTIVE_STICKY,validation,SUPPORT,THIRD_PLUS,mae_10,10,658,397,-0.0658714429706,-0.0708600648137,-0.060979778977
ACTIVE_STICKY,validation,SUPPORT,THIRD_PLUS,mfe_10,10,658,397,0.0641488189892,0.0550323187925,0.0747082168627
DISPOSITION,discovery,RESISTANCE,FIRST,reaction_probability,3,3254,3254,0.432083589428,0.417017516902,0.446850030731
DISPOSITION,discovery,RESISTANCE,FIRST,close_favorable_probability,0,3335,3335,0.468965517241,0.45275862069,0.485457271364
DISPOSITION,discovery,RESISTANCE,FIRST,cross_probability_10,10,3095,3095,0.319870759289,0.304345718901,0.337011308562
DISPOSITION,discovery,RESISTANCE,FIRST,time_to_cross_10,10,3138,3138,8.48597833015,8.33741236456,8.61674633525
DISPOSITION,discovery,RESISTANCE,FIRST,future_return_5,5,3215,3215,-0.000712595378603,-0.0038253756939,0.00196399470584
DISPOSITION,discovery,RESISTANCE,FIRST,mae_10,10,3095,3095,-0.0820043834348,-0.0841608634948,-0.0798348191616
DISPOSITION,discovery,RESISTANCE,FIRST,mfe_10,10,3095,3095,0.0928292493402,0.0882889263517,0.096938659264
DISPOSITION,discovery,RESISTANCE,SECOND,reaction_probability,3,2116,2116,0.543005671078,0.523145085066,0.563823251418
DISPOSITION,discovery,RESISTANCE,SECOND,close_favorable_probability,0,2200,2200,0.555454545455,0.536806818182,0.575465909091
DISPOSITION,discovery,RESISTANCE,SECOND,cross_probability_10,10,1898,1898,0.267123287671,0.247089041096,0.286130136986
DISPOSITION,discovery,RESISTANCE,SECOND,time_to_cross_10,10,1964,1964,8.97861507128,8.80339867617,9.13242107943
DISPOSITION,discovery,RESISTANCE,SECOND,future_return_5,5,2048,2048,-0.0138591624454,-0.0173407582897,-0.010425744099
DISPOSITION,discovery,RESISTANCE,SECOND,mae_10,10,1898,1898,-0.0897980004354,-0.0926478878164,-0.0869952881139
DISPOSITION,discovery,RESISTANCE,SECOND,mfe_10,10,1898,1898,0.0776750282497,0.0734607043284,0.0823674610734
DISPOSITION,discovery,RESISTANCE,THIRD_PLUS,reaction_probability,3,2370,1265,0.476410690759,0.450513457557,0.500077827969
DISPOSITION,discovery,RESISTANCE,THIRD_PLUS,close_favorable_probability,0,2740,1383,0.4953241745,0.474435750439,0.51593047378
DISPOSITION,discovery,RESISTANCE,THIRD_PLUS,cross_probability_10,10,1707,1024,0.313581194196,0.285340750558,0.344364943731
DISPOSITION,discovery,RESISTANCE,THIRD_PLUS,time_to_cross_10,10,1895,1096,8.18956378172,7.98424329814,8.434650189
DISPOSITION,discovery,RESISTANCE,THIRD_PLUS,future_return_5,5,2154,1192,-0.00456222819319,-0.00877074543182,-7.02415186838e-07
DISPOSITION,discovery,RESISTANCE,THIRD_PLUS,mae_10,10,1707,1024,-0.0746599678065,-0.078444813557,-0.0711646342994
DISPOSITION,discovery,RESISTANCE,THIRD_PLUS,mfe_10,10,1707,1024,0.0808117661469,0.0746736194917,0.0862526183329
DISPOSITION,discovery,SUPPORT,FIRST,reaction_probability,3,1626,1626,0.408979089791,0.383148831488,0.433579335793
DISPOSITION,discovery,SUPPORT,FIRST,close_favorable_probability,0,1631,1631,0.466584917229,0.443270999387,0.49233599019
DISPOSITION,discovery,SUPPORT,FIRST,cross_probability_10,10,1587,1587,0.424070573409,0.40200063012,0.449921235035
DISPOSITION,discovery,SUPPORT,FIRST,time_to_cross_10,10,1593,1593,7.53358443189,7.31509730069,7.74841494036
DISPOSITION,discovery,SUPPORT,FIRST,future_return_5,5,1612,1612,0.0156684043676,0.0108191679593,0.020092871056
DISPOSITION,discovery,SUPPORT,FIRST,mae_10,10,1587,1587,-0.0781362946513,-0.0815690705056,-0.075118625337
DISPOSITION,discovery,SUPPORT,FIRST,mfe_10,10,1587,1587,0.0980626257072,0.0926422168814,0.103874435437
DISPOSITION,discovery,SUPPORT,SECOND,reaction_probability,3,1061,1061,0.477851083883,0.44863336475,0.508034872762
DISPOSITION,discovery,SUPPORT,SECOND,close_favorable_probability,0,1102,1102,0.552631578947,0.522686025408,0.577132486388
DISPOSITION,discovery,SUPPORT,SECOND,cross_probability_10,10,938,938,0.341151385928,0.313406183369,0.371028784648
DISPOSITION,discovery,SUPPORT,SECOND,time_to_cross_10,10,963,963,8.80269989616,8.60015576324,9.03652647975
DISPOSITION,discovery,SUPPORT,SECOND,future_return_5,5,1044,1044,0.00619045111776,0.00106752999932,0.0112625497853
DISPOSITION,discovery,SUPPORT,SECOND,mae_10,10,938,938,-0.0707359815736,-0.074919086484,-0.0667758223478
DISPOSITION,discovery,SUPPORT,SECOND,mfe_10,10,938,938,0.0878226846553,0.0805881168826,0.0951971282283
DISPOSITION,discovery,SUPPORT,THIRD_PLUS,reaction_probability,3,1268,686,0.426141885326,0.393851433431,0.45454324587
DISPOSITION,discovery,SUPPORT,THIRD_PLUS,close_favorable_probability,0,1421,728,0.491964285714,0.46759271978,0.519267971612
DISPOSITION,discovery,SUPPORT,THIRD_PLUS,cross_probability_10,10,856,509,0.398166339227,0.362525376555,0.438120497708
DISPOSITION,discovery,SUPPORT,THIRD_PLUS,time_to_cross_10,10,937,549,7.95531268974,7.68589329083,8.25780737705
DISPOSITION,discovery,SUPPORT,THIRD_PLUS,future_return_5,5,1167,641,0.00502396876116,-0.000455551016627,0.0106825531349
DISPOSITION,discovery,SUPPORT,THIRD_PLUS,mae_10,10,856,509,-0.0787017629584,-0.0849997405485,-0.072873165431
DISPOSITION,discovery,SUPPORT,THIRD_PLUS,mfe_10,10,856,509,0.077672978805,0.0697434973091,0.085556656434
DISPOSITION,holdout,RESISTANCE,FIRST,reaction_probability,3,2283,2283,0.448532632501,0.427945685502,0.467367498905
DISPOSITION,holdout,RESISTANCE,FIRST,close_favorable_probability,0,2330,2330,0.490987124464,0.473798283262,0.512457081545
DISPOSITION,holdout,RESISTANCE,FIRST,cross_probability_10,10,2116,2116,0.273156899811,0.252835538752,0.29347826087
DISPOSITION,holdout,RESISTANCE,FIRST,time_to_cross_10,10,2158,2158,8.95273401297,8.8062326228,9.09088276182
DISPOSITION,holdout,RESISTANCE,FIRST,future_return_5,5,2247,2247,-0.00647103675199,-0.00961850743368,-0.00352852196395
DISPOSITION,holdout,RESISTANCE,FIRST,mae_10,10,2116,2116,-0.0685529228306,-0.0711412648362,-0.0660683868704
DISPOSITION,holdout,RESISTANCE,FIRST,mfe_10,10,2116,2116,0.0749574995454,0.070934140721,0.0791862375179
DISPOSITION,holdout,RESISTANCE,SECOND,reaction_probability,3,1477,1477,0.461069735951,0.433310765064,0.486120514557
DISPOSITION,holdout,RESISTANCE,SECOND,close_favorable_probability,0,1537,1537,0.561483409239,0.537394274561,0.585556278465
DISPOSITION,holdout,RESISTANCE,SECOND,cross_probability_10,10,1268,1268,0.242113564669,0.220800473186,0.264215299685
DISPOSITION,holdout,RESISTANCE,SECOND,time_to_cross_10,10,1315,1315,9.14676806084,8.97935361217,9.32857414449
DISPOSITION,holdout,RESISTANCE,SECOND,future_return_5,5,1415,1415,-0.00398954281164,-0.00754966517648,-0.000699979953743
DISPOSITION,holdout,RESISTANCE,SECOND,mae_10,10,1268,1268,-0.0641734899126,-0.066918690177,-0.0616731289578
DISPOSITION,holdout,RESISTANCE,SECOND,mfe_10,10,1268,1268,0.0707974325493,0.0658960421146,0.0756533748087
DISPOSITION,holdout,RESISTANCE,THIRD_PLUS,reaction_probability,3,1616,885,0.432900188324,0.405524952919,0.458852636535
DISPOSITION,holdout,RESISTANCE,THIRD_PLUS,close_favorable_probability,0,1813,950,0.500398496241,0.474603258145,0.527363032581
DISPOSITION,holdout,RESISTANCE,THIRD_PLUS,cross_probability_10,10,1139,684,0.281408382066,0.248756091618,0.313352217349
DISPOSITION,holdout,RESISTANCE,THIRD_PLUS,time_to_cross_10,10,1242,724,8.60465009208,8.3457498849,8.88643646409
DISPOSITION,holdout,RESISTANCE,THIRD_PLUS,future_return_5,5,1473,835,0.0012226347827,-0.00297800385425,0.0053764730618
DISPOSITION,holdout,RESISTANCE,THIRD_PLUS,mae_10,10,1139,684,-0.0625546352873,-0.0660688356158,-0.0589013224667
DISPOSITION,holdout,RESISTANCE,THIRD_PLUS,mfe_10,10,1139,684,0.0794297047355,0.0736626587997,0.0855846770406
DISPOSITION,holdout,SUPPORT,FIRST,reaction_probability,3,1003,1003,0.39481555334,0.365902293121,0.426744765703
DISPOSITION,holdout,SUPPORT,FIRST,close_favorable_probability,0,1020,1020,0.537254901961,0.504852941176,0.568651960784
DISPOSITION,holdout,SUPPORT,FIRST,cross_probability_10,10,957,957,0.334378265413,0.30303030303,0.363662486938
DISPOSITION,holdout,SUPPORT,FIRST,time_to_cross_10,10,967,967,8.87797311272,8.6607549121,9.10966907963
DISPOSITION,holdout,SUPPORT,FIRST,future_return_5,5,997,997,-0.00636149970204,-0.0111512153293,-0.00169263227784
DISPOSITION,holdout,SUPPORT,FIRST,mae_10,10,957,957,-0.0684329382083,-0.072145764118,-0.0651730908901
DISPOSITION,holdout,SUPPORT,FIRST,mfe_10,10,957,957,0.073515081186,0.0680602511722,0.0790623466973
DISPOSITION,holdout,SUPPORT,SECOND,reaction_probability,3,636,636,0.375786163522,0.338050314465,0.413522012579
DISPOSITION,holdout,SUPPORT,SECOND,close_favorable_probability,0,659,659,0.491654021244,0.456752655539,0.529628224583
DISPOSITION,holdout,SUPPORT,SECOND,cross_probability_10,10,562,562,0.350533807829,0.313167259786,0.387900355872
DISPOSITION,holdout,SUPPORT,SECOND,time_to_cross_10,10,573,573,8.71727748691,8.42046247818,8.97591623037
DISPOSITION,holdout,SUPPORT,SECOND,future_return_5,5,624,624,-0.00127342195127,-0.00705807956715,0.00413269845772
DISPOSITION,holdout,SUPPORT,SECOND,mae_10,10,562,562,-0.0674804668033,-0.0724289216764,-0.0631199747827
DISPOSITION,holdout,SUPPORT,SECOND,mfe_10,10,562,562,0.0757628539549,0.0686083987758,0.0822909737677
DISPOSITION,holdout,SUPPORT,THIRD_PLUS,reaction_probability,3,669,378,0.403395061728,0.366387786596,0.442365520282
DISPOSITION,holdout,SUPPORT,THIRD_PLUS,close_favorable_probability,0,769,409,0.501426242869,0.460738590057,0.542521393643
DISPOSITION,holdout,SUPPORT,THIRD_PLUS,cross_probability_10,10,490,302,0.373785871965,0.324910320088,0.429032836645
DISPOSITION,holdout,SUPPORT,THIRD_PLUS,time_to_cross_10,10,515,313,8.40047923323,8.07530617678,8.76985356763
DISPOSITION,holdout,SUPPORT,THIRD_PLUS,future_return_5,5,625,354,0.000950176935064,-0.00671061041739,0.00754540498331
DISPOSITION,holdout,SUPPORT,THIRD_PLUS,mae_10,10,490,302,-0.0686724184124,-0.074860365842,-0.0621344564318
DISPOSITION,holdout,SUPPORT,THIRD_PLUS,mfe_10,10,490,302,0.0820160901285,0.0720280278277,0.0930610435435
DISPOSITION,validation,RESISTANCE,FIRST,reaction_probability,3,2584,2584,0.376547987616,0.358359133127,0.392424535604
DISPOSITION,validation,RESISTANCE,FIRST,close_favorable_probability,0,2599,2599,0.450942670258,0.43055021162,0.470969603694
