model,split,side,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,holdout,SUPPORT,cross_probability_3,3,1069,745,0.083870246085,0.0653148769575,0.102372483221
ACTIVE_STICKY,holdout,SUPPORT,future_return_5,5,1063,742,-0.000858909888857,-0.00505467709427,0.00397993340488
ACTIVE_STICKY,holdout,SUPPORT,mfe_5,5,1063,742,0.0456852320826,0.0422250796983,0.0491956745931
ACTIVE_STICKY,holdout,SUPPORT,mae_5,5,1063,742,-0.0443556069064,-0.0472454345443,-0.0417287722145
ACTIVE_STICKY,holdout,SUPPORT,cross_probability_5,5,1063,742,0.129222821204,0.106663297394,0.151907569632
ACTIVE_STICKY,holdout,SUPPORT,future_return_10,10,1025,723,0.0102337033279,0.00404411660991,0.0165521240585
ACTIVE_STICKY,holdout,SUPPORT,mfe_10,10,1025,723,0.0741542688357,0.068799791997,0.0801362243271
ACTIVE_STICKY,holdout,SUPPORT,mae_10,10,1025,723,-0.0587340778275,-0.0622743590186,-0.0546255308838
ACTIVE_STICKY,holdout,SUPPORT,cross_probability_10,10,1025,723,0.217058552328,0.189430036883,0.246588289534
ACTIVE_STICKY,holdout,SUPPORT,future_return_20,20,917,677,0.00080114213749,-0.00895199268029,0.0111440657397
ACTIVE_STICKY,holdout,SUPPORT,mfe_20,20,917,677,0.111636330629,0.102166122001,0.12160044752
ACTIVE_STICKY,holdout,SUPPORT,mae_20,20,917,677,-0.0863638240243,-0.0919519973019,-0.0815527841859
ACTIVE_STICKY,holdout,SUPPORT,cross_probability_20,20,917,677,0.372575086164,0.340706548498,0.406450024618
ACTIVE_STICKY,holdout,SUPPORT,future_return_40,40,0,0,,,
ACTIVE_STICKY,holdout,SUPPORT,mfe_40,40,0,0,,,
ACTIVE_STICKY,holdout,SUPPORT,mae_40,40,0,0,,,
ACTIVE_STICKY,holdout,SUPPORT,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,validation,RESISTANCE,future_return_1,1,2312,1244,0.0034637129747,0.00179236564464,0.00529714808576
