representation,feature,model,split,side,metric,N_low,N_high,independent_event_count,low_mean,high_mean,high_minus_low
PEAK,peak_mass,DISPOSITION,discovery,SUPPORT,mfe_10,388,232,982,0.0951384908344,0.100026039473,0.00488754863875
PEAK,peak_mass,DISPOSITION,holdout,RESISTANCE,reaction_probability,383,687,1300,0.462140992167,0.401746724891,-0.0603942672763
PEAK,peak_mass,DISPOSITION,holdout,RESISTANCE,cross_probability_10,352,644,1251,0.446022727273,0.133540372671,-0.312482354602
PEAK,peak_mass,DISPOSITION,holdout,RESISTANCE,future_return_5,377,675,1290,-0.00300567921122,-0.0019032650525,0.00110241415872
PEAK,peak_mass,DISPOSITION,holdout,RESISTANCE,mae_10,352,644,1251,-0.073380736806,-0.0572525645359,0.0161281722701
PEAK,peak_mass,DISPOSITION,holdout,RESISTANCE,mfe_10,352,644,1251,0.0820897954913,0.0694474579002,-0.0126423375911
PEAK,peak_mass,DISPOSITION,holdout,SUPPORT,reaction_probability,237,119,661,0.405063291139,0.428571428571,0.0235081374322
PEAK,peak_mass,DISPOSITION,holdout,SUPPORT,cross_probability_10,226,112,641,0.424778761062,0.196428571429,-0.228350189633
PEAK,peak_mass,DISPOSITION,holdout,SUPPORT,future_return_5,237,118,659,-0.000722969530597,-0.0134805924577,-0.0127576229271
PEAK,peak_mass,DISPOSITION,holdout,SUPPORT,mae_10,226,112,641,-0.0579852128652,-0.076611358309,-0.0186261454438
PEAK,peak_mass,DISPOSITION,holdout,SUPPORT,mfe_10,226,112,641,0.0762201032108,0.0734164224369,-0.00280368077389
PEAK,peak_mass,DISPOSITION,validation,RESISTANCE,reaction_probability,504,523,1290,0.454365079365,0.286806883365,-0.167558196
PEAK,peak_mass,DISPOSITION,validation,RESISTANCE,cross_probability_10,489,516,1281,0.562372188139,0.296511627907,-0.265860560232
PEAK,peak_mass,DISPOSITION,validation,RESISTANCE,future_return_5,498,520,1288,0.0109771439159,0.0264568599456,0.0154797160297
PEAK,peak_mass,DISPOSITION,validation,RESISTANCE,mae_10,489,516,1281,-0.0678813056807,-0.0452875320486,0.0225937736321
PEAK,peak_mass,DISPOSITION,validation,RESISTANCE,mfe_10,489,516,1281,0.112820110488,0.103768855786,-0.00905125470238
PEAK,peak_mass,DISPOSITION,validation,SUPPORT,reaction_probability,266,210,796,0.447368421053,0.480952380952,0.0335839598997
PEAK,peak_mass,DISPOSITION,validation,SUPPORT,cross_probability_10,250,205,769,0.372,0.107317073171,-0.264682926829
PEAK,peak_mass,DISPOSITION,validation,SUPPORT,future_return_5,263,210,789,-0.000208237532802,0.00586206715362,0.00607030468642
PEAK,peak_mass,DISPOSITION,validation,SUPPORT,mae_10,250,205,769,-0.0606396352576,-0.0615904720445,-0.000950836786817
PEAK,peak_mass,DISPOSITION,validation,SUPPORT,mfe_10,250,205,769,0.0702222023914,0.0756262428561,0.00540404046473
PEAK,peak_mass,ENSEMBLE,discovery,RESISTANCE,reaction_probability,434,668,1551,0.467741935484,0.408682634731,-0.0590593007533
PEAK,peak_mass,ENSEMBLE,discovery,RESISTANCE,cross_probability_10,405,642,1496,0.486419753086,0.176012461059,-0.310407292027
PEAK,peak_mass,ENSEMBLE,discovery,RESISTANCE,future_return_5,427,666,1542,-0.000334555448112,0.00183396744169,0.0021685228898
PEAK,peak_mass,ENSEMBLE,discovery,RESISTANCE,mae_10,405,642,1496,-0.0868970619078,-0.0745912391424,0.0123058227654
PEAK,peak_mass,ENSEMBLE,discovery,RESISTANCE,mfe_10,405,642,1496,0.0981815547949,0.0838742238448,-0.0143073309501
PEAK,peak_mass,ENSEMBLE,discovery,SUPPORT,reaction_probability,307,178,852,0.384364820847,0.438202247191,0.0538374263441
PEAK,peak_mass,ENSEMBLE,discovery,SUPPORT,cross_probability_10,302,175,839,0.546357615894,0.222857142857,-0.323500473037
PEAK,peak_mass,ENSEMBLE,discovery,SUPPORT,future_return_5,305,177,849,0.0129721597698,0.0111410542593,-0.00183110551058
PEAK,peak_mass,ENSEMBLE,discovery,SUPPORT,mae_10,302,175,839,-0.0756292237155,-0.0813482589588,-0.0057190352433
PEAK,peak_mass,ENSEMBLE,discovery,SUPPORT,mfe_10,302,175,839,0.0880251259875,0.0958977337349,0.00787260774738
PEAK,peak_mass,ENSEMBLE,holdout,RESISTANCE,reaction_probability,246,528,1111,0.471544715447,0.388257575758,-0.0832871396896
PEAK,peak_mass,ENSEMBLE,holdout,RESISTANCE,cross_probability_10,225,493,1055,0.431111111111,0.111561866126,-0.319549244985
PEAK,peak_mass,ENSEMBLE,holdout,RESISTANCE,future_return_5,242,520,1098,-0.00736660409765,-0.00487599787536,0.00249060622228
PEAK,peak_mass,ENSEMBLE,holdout,RESISTANCE,mae_10,225,493,1055,-0.0745976238488,-0.0552893906116,0.0193082332372
PEAK,peak_mass,ENSEMBLE,holdout,RESISTANCE,mfe_10,225,493,1055,0.0765315906261,0.0667979602725,-0.00973363035353
PEAK,peak_mass,ENSEMBLE,holdout,SUPPORT,reaction_probability,151,88,545,0.377483443709,0.443181818182,0.0656983744732
PEAK,peak_mass,ENSEMBLE,holdout,SUPPORT,cross_probability_10,145,83,529,0.427586206897,0.180722891566,-0.24686331533
PEAK,peak_mass,ENSEMBLE,holdout,SUPPORT,future_return_5,151,88,545,-0.00821079515156,-0.00767261919458,0.000538175956982
PEAK,peak_mass,ENSEMBLE,holdout,SUPPORT,mae_10,145,83,529,-0.0647933109012,-0.0751953869771,-0.0104020760759
PEAK,peak_mass,ENSEMBLE,holdout,SUPPORT,mfe_10,145,83,529,0.0670825807646,0.0683162954015,0.00123371463693
PEAK,peak_mass,ENSEMBLE,validation,RESISTANCE,reaction_probability,377,358,1112,0.435013262599,0.296089385475,-0.138923877125
PEAK,peak_mass,ENSEMBLE,validation,RESISTANCE,cross_probability_10,368,353,1102,0.540760869565,0.252124645892,-0.288636223673
PEAK,peak_mass,ENSEMBLE,validation,RESISTANCE,future_return_5,375,355,1109,0.0122483064585,0.0209941830229,0.00874587656432
PEAK,peak_mass,ENSEMBLE,validation,RESISTANCE,mae_10,368,353,1102,-0.0624334223173,-0.0461865363868,0.0162468859306
PEAK,peak_mass,ENSEMBLE,validation,RESISTANCE,mfe_10,368,353,1102,0.106545702601,0.09344250156,-0.0131032010415
PEAK,peak_mass,ENSEMBLE,validation,SUPPORT,reaction_probability,198,151,688,0.454545454545,0.470198675497,0.0156532209512
PEAK,peak_mass,ENSEMBLE,validation,SUPPORT,cross_probability_10,185,147,660,0.308108108108,0.0680272108844,-0.240080897224
PEAK,peak_mass,ENSEMBLE,validation,SUPPORT,future_return_5,194,151,678,0.00329335172778,0.00675534297135,0.00346199124357
PEAK,peak_mass,ENSEMBLE,validation,SUPPORT,mae_10,185,147,660,-0.0591123562676,-0.0595674781715,-0.000455121903824
PEAK,peak_mass,ENSEMBLE,validation,SUPPORT,mfe_10,185,147,660,0.0757199614415,0.0738822794959,-0.00183768194562
PEAK,peak_mass,UNIFORM,discovery,RESISTANCE,reaction_probability,496,838,1703,0.487903225806,0.396181384248,-0.0917218415582
PEAK,peak_mass,UNIFORM,discovery,RESISTANCE,cross_probability_10,466,804,1649,0.489270386266,0.166666666667,-0.322603719599
PEAK,peak_mass,UNIFORM,discovery,RESISTANCE,future_return_5,491,833,1690,-0.00443294806599,-0.000162907515712,0.00427004055028
PEAK,peak_mass,UNIFORM,discovery,RESISTANCE,mae_10,466,804,1649,-0.0892347147374,-0.0747225124599,0.0145122022775
PEAK,peak_mass,UNIFORM,discovery,RESISTANCE,mfe_10,466,804,1649,0.102894750388,0.081750591582,-0.0211441588062
PEAK,peak_mass,UNIFORM,discovery,SUPPORT,reaction_probability,420,253,1055,0.404761904762,0.415019762846,0.0102578580839
PEAK,peak_mass,UNIFORM,discovery,SUPPORT,cross_probability_10,413,250,1041,0.525423728814,0.22,-0.305423728814
PEAK,peak_mass,UNIFORM,discovery,SUPPORT,future_return_5,417,252,1054,0.011961054821,0.0156728052015,0.0037117503805
PEAK,peak_mass,UNIFORM,discovery,SUPPORT,mae_10,413,250,1041,-0.074852645761,-0.0783532767851,-0.00350063102405
PEAK,peak_mass,UNIFORM,discovery,SUPPORT,mfe_10,413,250,1041,0.0891874268867,0.0999281069707,0.010740680084
PEAK,peak_mass,UNIFORM,holdout,RESISTANCE,reaction_probability,348,666,1264,0.48275862069,0.394894894895,-0.0878637257948
PEAK,peak_mass,UNIFORM,holdout,RESISTANCE,cross_probability_10,316,621,1207,0.446202531646,0.123993558776,-0.322208972869
PEAK,peak_mass,UNIFORM,holdout,RESISTANCE,future_return_5,342,654,1253,-0.00795713797848,-0.00507139892886,0.00288573904962
PEAK,peak_mass,UNIFORM,holdout,RESISTANCE,mae_10,316,621,1207,-0.0739649717277,-0.0573553991346,0.0166095725931
PEAK,peak_mass,UNIFORM,holdout,RESISTANCE,mfe_10,316,621,1207,0.0824364120407,0.0669198665202,-0.0155165455204
PEAK,peak_mass,UNIFORM,holdout,SUPPORT,reaction_probability,245,134,723,0.424489795918,0.455223880597,0.0307340846786
PEAK,peak_mass,UNIFORM,holdout,SUPPORT,cross_probability_10,235,127,698,0.4,0.149606299213,-0.250393700787
PEAK,peak_mass,UNIFORM,holdout,SUPPORT,future_return_5,245,133,721,0.00207758175273,-0.00618592379405,-0.00826350554679
PEAK,peak_mass,UNIFORM,holdout,SUPPORT,mae_10,235,127,698,-0.0600985754361,-0.0706016878453,-0.0105031124092
PEAK,peak_mass,UNIFORM,holdout,SUPPORT,mfe_10,235,127,698,0.0782705797186,0.0697296447563,-0.00854093496238
PEAK,peak_mass,UNIFORM,validation,RESISTANCE,reaction_probability,492,512,1258,0.447154471545,0.29296875,-0.154185721545
PEAK,peak_mass,UNIFORM,validation,RESISTANCE,cross_probability_10,477,506,1250,0.566037735849,0.306324110672,-0.259713625177
PEAK,peak_mass,UNIFORM,validation,RESISTANCE,future_return_5,488,509,1256,0.00836143200212,0.0254056908274,0.0170442588253
PEAK,peak_mass,UNIFORM,validation,RESISTANCE,mae_10,477,506,1250,-0.0677274316302,-0.0440396360553,0.0236877955749
PEAK,peak_mass,UNIFORM,validation,RESISTANCE,mfe_10,477,506,1250,0.108286190194,0.103667814935,-0.00461837525865
PEAK,peak_mass,UNIFORM,validation,SUPPORT,reaction_probability,261,228,831,0.459770114943,0.447368421053,-0.0124016938899
PEAK,peak_mass,UNIFORM,validation,SUPPORT,cross_probability_10,244,219,798,0.360655737705,0.0639269406393,-0.296728797066
PEAK,peak_mass,UNIFORM,validation,SUPPORT,future_return_5,256,227,821,0.000243566897535,0.00659883938034,0.00635527248281
PEAK,peak_mass,UNIFORM,validation,SUPPORT,mae_10,244,219,798,-0.0613446240065,-0.0549749894725,0.00636963453405
PEAK,peak_mass,UNIFORM,validation,SUPPORT,mfe_10,244,219,798,0.0730543445957,0.0739362910729,0.000881946477157
PEAK,peak_prominence,ACTIVE_STICKY,discovery,RESISTANCE,reaction_probability,377,810,1671,0.525198938992,0.366666666667,-0.158532272325
PEAK,peak_prominence,ACTIVE_STICKY,discovery,RESISTANCE,cross_probability_10,354,778,1618,0.387005649718,0.23264781491,-0.154357834807
PEAK,peak_prominence,ACTIVE_STICKY,discovery,RESISTANCE,future_return_5,371,806,1661,-0.0030509012388,0.00498068459522,0.00803158583402
PEAK,peak_prominence,ACTIVE_STICKY,discovery,RESISTANCE,mae_10,354,778,1618,-0.0903887908542,-0.0744242034876,0.0159645873665
PEAK,peak_prominence,ACTIVE_STICKY,discovery,RESISTANCE,mfe_10,354,778,1618,0.104840823549,0.0914188769661,-0.0134219465825
PEAK,peak_prominence,ACTIVE_STICKY,discovery,SUPPORT,reaction_probability,427,263,1053,0.421545667447,0.433460076046,0.0119144085983
PEAK,peak_prominence,ACTIVE_STICKY,discovery,SUPPORT,cross_probability_10,413,260,1039,0.370460048426,0.319230769231,-0.0512292791954
PEAK,peak_prominence,ACTIVE_STICKY,discovery,SUPPORT,future_return_5,424,262,1050,0.0181888203817,0.0121338429615,-0.00605497742021
PEAK,peak_prominence,ACTIVE_STICKY,discovery,SUPPORT,mae_10,413,260,1039,-0.0753267196126,-0.0779203398063,-0.00259362019369
PEAK,peak_prominence,ACTIVE_STICKY,discovery,SUPPORT,mfe_10,413,260,1039,0.091447459341,0.0890405062678,-0.00240695307314
PEAK,peak_prominence,ACTIVE_STICKY,holdout,RESISTANCE,reaction_probability,284,570,1235,0.496478873239,0.373684210526,-0.122794662713
PEAK,peak_prominence,ACTIVE_STICKY,holdout,RESISTANCE,cross_probability_10,262,545,1187,0.385496183206,0.126605504587,-0.258890678619
PEAK,peak_prominence,ACTIVE_STICKY,holdout,RESISTANCE,future_return_5,282,566,1228,-0.00660514968992,-0.00838479786513,-0.00177964817521
PEAK,peak_prominence,ACTIVE_STICKY,holdout,RESISTANCE,mae_10,262,545,1187,-0.0799759323458,-0.0566891689991,0.0232867633467
PEAK,peak_prominence,ACTIVE_STICKY,holdout,RESISTANCE,mfe_10,262,545,1187,0.0902172403621,0.0604432182339,-0.0297740221282
PEAK,peak_prominence,ACTIVE_STICKY,holdout,SUPPORT,reaction_probability,318,96,745,0.455974842767,0.416666666667,-0.0393081761006
PEAK,peak_prominence,ACTIVE_STICKY,holdout,SUPPORT,cross_probability_10,306,93,723,0.248366013072,0.344086021505,0.0957200084335
PEAK,peak_prominence,ACTIVE_STICKY,holdout,SUPPORT,future_return_5,317,96,742,0.00226113245981,-0.021150970141,-0.0234121026008
PEAK,peak_prominence,ACTIVE_STICKY,holdout,SUPPORT,mae_10,306,93,723,-0.0619278685925,-0.0878249799939,-0.0258971114014
PEAK,peak_prominence,ACTIVE_STICKY,holdout,SUPPORT,mfe_10,306,93,723,0.0737172423041,0.0614308561333,-0.0122863861708
PEAK,peak_prominence,ACTIVE_STICKY,validation,RESISTANCE,reaction_probability,425,405,1241,0.465882352941,0.274074074074,-0.191808278867
PEAK,peak_prominence,ACTIVE_STICKY,validation,RESISTANCE,cross_probability_10,414,399,1231,0.410628019324,0.350877192982,-0.0597508263412
PEAK,peak_prominence,ACTIVE_STICKY,validation,RESISTANCE,future_return_5,422,403,1239,0.0055014946617,0.0266932937708,0.0211917991091
PEAK,peak_prominence,ACTIVE_STICKY,validation,RESISTANCE,mae_10,414,399,1231,-0.0672177238387,-0.0442201873042,0.0229975365345
PEAK,peak_prominence,ACTIVE_STICKY,validation,RESISTANCE,mfe_10,414,399,1231,0.100234274725,0.104007716673,0.00377344194763
PEAK,peak_prominence,ACTIVE_STICKY,validation,SUPPORT,reaction_probability,257,169,814,0.408560311284,0.538461538462,0.129901227177
PEAK,peak_prominence,ACTIVE_STICKY,validation,SUPPORT,cross_probability_10,235,161,786,0.2,0.173913043478,-0.0260869565217
PEAK,peak_prominence,ACTIVE_STICKY,validation,SUPPORT,future_return_5,251,169,807,0.000105623074698,0.00833802060728,0.00823239753258
PEAK,peak_prominence,ACTIVE_STICKY,validation,SUPPORT,mae_10,235,161,786,-0.0568584612327,-0.0602979831271,-0.00343952189437
PEAK,peak_prominence,ACTIVE_STICKY,validation,SUPPORT,mfe_10,235,161,786,0.0732990222544,0.087550998498,0.0142519762436
PEAK,peak_prominence,DISPOSITION,discovery,RESISTANCE,reaction_probability,466,823,1727,0.463519313305,0.388821385176,-0.0746979281285
PEAK,peak_prominence,DISPOSITION,discovery,RESISTANCE,cross_probability_10,435,787,1674,0.420689655172,0.245235069886,-0.175454585287
PEAK,peak_prominence,DISPOSITION,discovery,RESISTANCE,future_return_5,460,817,1715,0.000185197632439,0.00304731955791,0.00286212192547
PEAK,peak_prominence,DISPOSITION,discovery,RESISTANCE,mae_10,435,787,1674,-0.0858111426042,-0.0790106162652,0.00680052633896
PEAK,peak_prominence,DISPOSITION,discovery,RESISTANCE,mfe_10,435,787,1674,0.108370215152,0.0906151363454,-0.017755078807
PEAK,peak_prominence,DISPOSITION,discovery,SUPPORT,reaction_probability,414,273,994,0.393719806763,0.454212454212,0.0604926474492
PEAK,peak_prominence,DISPOSITION,discovery,SUPPORT,cross_probability_10,399,270,982,0.441102756892,0.355555555556,-0.0855472013367
PEAK,peak_prominence,DISPOSITION,discovery,SUPPORT,future_return_5,410,272,991,0.0155750761064,0.0169715676573,0.0013964915509
PEAK,peak_prominence,DISPOSITION,discovery,SUPPORT,mae_10,399,270,982,-0.0747741580495,-0.0769187254599,-0.00214456741041
PEAK,peak_prominence,DISPOSITION,discovery,SUPPORT,mfe_10,399,270,982,0.0934171724645,0.100222663367,0.00680549090239
PEAK,peak_prominence,DISPOSITION,holdout,RESISTANCE,reaction_probability,316,691,1300,0.490506329114,0.426917510854,-0.0635888182601
PEAK,peak_prominence,DISPOSITION,holdout,RESISTANCE,cross_probability_10,290,649,1251,0.413793103448,0.183359013867,-0.230434089581
PEAK,peak_prominence,DISPOSITION,holdout,RESISTANCE,future_return_5,311,680,1290,-0.00445408143176,-0.00430209040496,0.000151991026798
PEAK,peak_prominence,DISPOSITION,holdout,RESISTANCE,mae_10,290,649,1251,-0.0755333504642,-0.059383787643,0.0161495628211
PEAK,peak_prominence,DISPOSITION,holdout,RESISTANCE,mfe_10,290,649,1251,0.089352084325,0.0689771473874,-0.0203749369377
PEAK,peak_prominence,DISPOSITION,holdout,SUPPORT,reaction_probability,271,118,661,0.387453874539,0.432203389831,0.0447495152918
PEAK,peak_prominence,DISPOSITION,holdout,SUPPORT,cross_probability_10,259,114,641,0.30888030888,0.368421052632,0.0595407437513
PEAK,peak_prominence,DISPOSITION,holdout,SUPPORT,future_return_5,269,118,659,-0.00119714459372,-0.00816462207639,-0.00696747748267
PEAK,peak_prominence,DISPOSITION,holdout,SUPPORT,mae_10,259,114,641,-0.0587679550165,-0.0792586651359,-0.0204907101194
PEAK,peak_prominence,DISPOSITION,holdout,SUPPORT,mfe_10,259,114,641,0.0711208063516,0.0749926643325,0.00387185798088
PEAK,peak_prominence,DISPOSITION,validation,RESISTANCE,reaction_probability,471,488,1290,0.44161358811,0.325819672131,-0.115793915979
PEAK,peak_prominence,DISPOSITION,validation,RESISTANCE,cross_probability_10,452,481,1281,0.464601769912,0.378378378378,-0.0862233915331
PEAK,peak_prominence,DISPOSITION,validation,RESISTANCE,future_return_5,467,487,1288,0.00893718742869,0.0248871932704,0.0159500058417
PEAK,peak_prominence,DISPOSITION,validation,RESISTANCE,mae_10,452,481,1281,-0.0664519902925,-0.0479188038312,0.0185331864613
PEAK,peak_prominence,DISPOSITION,validation,RESISTANCE,mfe_10,452,481,1281,0.11404977558,0.105595445892,-0.00845432968788
PEAK,peak_prominence,DISPOSITION,validation,SUPPORT,reaction_probability,274,201,796,0.412408759124,0.52736318408,0.114954424956
PEAK,peak_prominence,DISPOSITION,validation,SUPPORT,cross_probability_10,252,195,769,0.246031746032,0.215384615385,-0.0306471306471
PEAK,peak_prominence,DISPOSITION,validation,SUPPORT,future_return_5,269,201,789,0.000848662453594,0.00215451192063,0.00130584946703
PEAK,peak_prominence,DISPOSITION,validation,SUPPORT,mae_10,252,195,769,-0.0562690546225,-0.0621374707193,-0.0058684160968
PEAK,peak_prominence,DISPOSITION,validation,SUPPORT,mfe_10,252,195,769,0.067957301583,0.0754398445722,0.00748254298924
PEAK,peak_prominence,ENSEMBLE,discovery,RESISTANCE,reaction_probability,373,642,1551,0.482573726542,0.395638629283,-0.0869350972581
PEAK,peak_prominence,ENSEMBLE,discovery,RESISTANCE,cross_probability_10,350,619,1496,0.414285714286,0.247172859451,-0.167112854835
PEAK,peak_prominence,ENSEMBLE,discovery,RESISTANCE,future_return_5,369,639,1542,0.00474733304028,0.0055571004709,0.000809767430617
PEAK,peak_prominence,ENSEMBLE,discovery,RESISTANCE,mae_10,350,619,1496,-0.0866196371996,-0.077375439425,0.00924419777464
PEAK,peak_prominence,ENSEMBLE,discovery,RESISTANCE,mfe_10,350,619,1496,0.111441375255,0.0931914573993,-0.0182499178559
PEAK,peak_prominence,ENSEMBLE,discovery,SUPPORT,reaction_probability,311,206,852,0.395498392283,0.436893203883,0.0413948116005
PEAK,peak_prominence,ENSEMBLE,discovery,SUPPORT,cross_probability_10,302,203,839,0.390728476821,0.344827586207,-0.0459008906143
PEAK,peak_prominence,ENSEMBLE,discovery,SUPPORT,future_return_5,310,205,849,0.0202769784868,0.0172339347786,-0.00304304370818
PEAK,peak_prominence,ENSEMBLE,discovery,SUPPORT,mae_10,302,203,839,-0.0718809119974,-0.0785627337532,-0.00668182175574
PEAK,peak_prominence,ENSEMBLE,discovery,SUPPORT,mfe_10,302,203,839,0.0922849973667,0.0995182883351,0.00723329096838
PEAK,peak_prominence,ENSEMBLE,holdout,RESISTANCE,reaction_probability,198,510,1111,0.484848484848,0.411764705882,-0.0730837789661
PEAK,peak_prominence,ENSEMBLE,holdout,RESISTANCE,cross_probability_10,183,481,1055,0.382513661202,0.164241164241,-0.218272496961
PEAK,peak_prominence,ENSEMBLE,holdout,RESISTANCE,future_return_5,195,502,1098,-0.00340238440609,-0.00613283965013,-0.00273045524404
PEAK,peak_prominence,ENSEMBLE,holdout,RESISTANCE,mae_10,183,481,1055,-0.0743836553307,-0.0582311197997,0.0161525355309
PEAK,peak_prominence,ENSEMBLE,holdout,RESISTANCE,mfe_10,183,481,1055,0.0916716827247,0.0646274787592,-0.0270442039655
PEAK,peak_prominence,ENSEMBLE,holdout,SUPPORT,reaction_probability,187,80,545,0.406417112299,0.425,0.0185828877005
PEAK,peak_prominence,ENSEMBLE,holdout,SUPPORT,cross_probability_10,180,76,529,0.216666666667,0.355263157895,0.138596491228
PEAK,peak_prominence,ENSEMBLE,holdout,SUPPORT,future_return_5,186,80,545,-0.00196376278061,-0.00825517627558,-0.00629141349497
PEAK,peak_prominence,ENSEMBLE,holdout,SUPPORT,mae_10,180,76,529,-0.0578656574671,-0.0828407839479,-0.0249751264809
PEAK,peak_prominence,ENSEMBLE,holdout,SUPPORT,mfe_10,180,76,529,0.0753773692672,0.065795593775,-0.00958177549221
PEAK,peak_prominence,ENSEMBLE,validation,RESISTANCE,reaction_probability,347,356,1112,0.458213256484,0.314606741573,-0.143606514911
PEAK,peak_prominence,ENSEMBLE,validation,RESISTANCE,cross_probability_10,333,350,1102,0.408408408408,0.368571428571,-0.039836979837
