model,split,source,base_age_group,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,discovery,REAL_CHIP,PERSISTENT_AGE_20_PLUS,future_return_5,5,632,632,0.00888557160507,0.00192860885417,0.0156710076566
ACTIVE_STICKY,discovery,REAL_CHIP,PERSISTENT_AGE_20_PLUS,mae_5,5,632,632,-0.0542502894164,-0.0585114845111,-0.0506143915743
ACTIVE_STICKY,discovery,REAL_CHIP,PERSISTENT_AGE_20_PLUS,cross_probability_5,5,632,632,0.158227848101,0.132911392405,0.186708860759
ACTIVE_STICKY,discovery,REAL_CHIP,PERSISTENT_AGE_20_PLUS,future_return_10,10,607,607,0.00454296793318,-0.00407059811234,0.0152172305932
ACTIVE_STICKY,discovery,REAL_CHIP,PERSISTENT_AGE_20_PLUS,mae_10,10,607,607,-0.0749155775082,-0.0801374610617,-0.0699168172443
ACTIVE_STICKY,discovery,REAL_CHIP,PERSISTENT_AGE_20_PLUS,cross_probability_10,10,607,607,0.184514003295,0.154859967051,0.212561779242
ACTIVE_STICKY,discovery,REAL_CHIP,PERSISTENT_AGE_20_PLUS,future_return_20,20,548,548,0.0153541373355,0.00018659037299,0.0327689651301
ACTIVE_STICKY,discovery,REAL_CHIP,PERSISTENT_AGE_20_PLUS,mae_20,20,548,548,-0.106605011929,-0.112694097585,-0.100009815957
ACTIVE_STICKY,discovery,REAL_CHIP,PERSISTENT_AGE_20_PLUS,cross_probability_20,20,548,548,0.251824817518,0.218932481752,0.29197080292
ACTIVE_STICKY,discovery,REAL_CHIP,PERSISTENT_AGE_20_PLUS,future_return_40,40,0,0,,,
ACTIVE_STICKY,discovery,REAL_CHIP,PERSISTENT_AGE_20_PLUS,mae_40,40,0,0,,,
ACTIVE_STICKY,discovery,REAL_CHIP,PERSISTENT_AGE_20_PLUS,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,MATURING_AGE_6_19,reaction_probability,3,1,1,1,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,MATURING_AGE_6_19,close_favorable_probability,0,1,1,1,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,MATURING_AGE_6_19,future_return_5,5,1,1,-0.0317848410758,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,MATURING_AGE_6_19,mae_5,5,1,1,-0.0562347188264,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,MATURING_AGE_6_19,cross_probability_5,5,1,1,0,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,MATURING_AGE_6_19,future_return_10,10,1,1,-0.0366748166259,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,MATURING_AGE_6_19,mae_10,10,1,1,-0.0562347188264,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,MATURING_AGE_6_19,cross_probability_10,10,1,1,0,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,MATURING_AGE_6_19,future_return_20,20,1,1,0.0293398533007,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,MATURING_AGE_6_19,mae_20,20,1,1,-0.122249388753,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,MATURING_AGE_6_19,cross_probability_20,20,1,1,0,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,MATURING_AGE_6_19,future_return_40,40,0,0,,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,MATURING_AGE_6_19,mae_40,40,0,0,,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,MATURING_AGE_6_19,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,reaction_probability,3,13,13,0.461538461538,0.228846153846,0.769230769231
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,close_favorable_probability,0,14,14,0.357142857143,0.142857142857,0.573214285714
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,future_return_5,5,13,13,-0.0502001588438,-0.124113151143,0.000586012139646
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,mae_5,5,13,13,-0.0788285584661,-0.136618770598,-0.0344930298691
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,cross_probability_5,5,13,13,0.153846153846,0,0.384615384615
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,future_return_10,10,11,11,-0.0493932094615,-0.161735626708,0.0276909649882
