model,split,migration_state,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,holdout,DISPERSION,future_volatility_20,20,44,38,0.0254799100748,0.0227904708448,0.0283911320477
ACTIVE_STICKY,holdout,DISPERSION,future_return_40,40,44,38,0.00925466287597,-0.0418642190206,0.0809360693119
ACTIVE_STICKY,holdout,DISPERSION,mfe_40,40,44,38,0.166913503413,0.115100497082,0.235351009776
ACTIVE_STICKY,holdout,DISPERSION,mae_40,40,44,38,-0.112659343183,-0.136937920377,-0.0863747844648
ACTIVE_STICKY,holdout,DISPERSION,future_volatility_40,40,44,38,0.0267214570751,0.0239208858945,0.0298327081578
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,median_shift_fraction,0,262,153,-0.0562485773563,-0.0605451175879,-0.052566529592
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,width_change_fraction,0,262,153,-0.0225324745119,-0.0466162163919,-0.000795584779288
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,future_return_5,5,262,153,0.0101474320775,0.000807875093566,0.0180788416252
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,mfe_5,5,262,153,0.0698739812448,0.062298791826,0.0777595879433
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,mae_5,5,262,153,-0.0286390397448,-0.0350753440712,-0.0217171955855
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,future_volatility_5,5,262,153,0.0261559741897,0.0240626557826,0.0282647528
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,future_return_10,10,262,153,-0.00861269218194,-0.0203057268154,0.00179186871831
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,mfe_10,10,262,153,0.0866070155277,0.0775168594075,0.0958712556206
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,mae_10,10,262,153,-0.0556121711094,-0.066098665228,-0.0459164237068
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,future_volatility_10,10,262,153,0.0257330227198,0.0240582153305,0.0273791059121
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,future_return_20,20,262,153,-0.0310144373678,-0.0487784336892,-0.012479119042
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,mfe_20,20,262,153,0.110431819712,0.0980753802561,0.126097968689
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,mae_20,20,262,153,-0.0975836690012,-0.109121703254,-0.0866284724462
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,future_volatility_20,20,262,153,0.0261229838927,0.0248147464855,0.0274291149038
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,future_return_40,40,261,153,0.00222626330795,-0.0217674835549,0.0302862725984
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,mfe_40,40,261,153,0.168321677061,0.145586512056,0.188827441809
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,mae_40,40,261,153,-0.129570299707,-0.146438783594,-0.115382128755
ACTIVE_STICKY,holdout,DOWNWARD_MIGRATION,future_volatility_40,40,261,153,0.0276731724772,0.0264198014226,0.0293899729995
ACTIVE_STICKY,holdout,STABLE_BASE,median_shift_fraction,0,1359,453,-0.00548271679486,-0.00661221209626,-0.00426732652401
ACTIVE_STICKY,holdout,STABLE_BASE,width_change_fraction,0,1359,453,-0.0229714192898,-0.0292212297203,-0.017437834824
ACTIVE_STICKY,holdout,STABLE_BASE,future_return_5,5,1359,453,0.0167553065879,0.0126896601506,0.0209152468456
ACTIVE_STICKY,holdout,STABLE_BASE,mfe_5,5,1359,453,0.0564880560251,0.0524765737725,0.0604124815096
ACTIVE_STICKY,holdout,STABLE_BASE,mae_5,5,1359,453,-0.0241900328984,-0.0261291630299,-0.0223399184602
ACTIVE_STICKY,holdout,STABLE_BASE,future_volatility_5,5,1359,453,0.020073129624,0.0194111171814,0.0208392834019
ACTIVE_STICKY,holdout,STABLE_BASE,future_return_10,10,1359,453,0.00789327264641,0.00257619213235,0.0135509878677
ACTIVE_STICKY,holdout,STABLE_BASE,mfe_10,10,1359,453,0.0769575095662,0.0716091719337,0.083022180963
