control,model,split,side,metric,horizon,expected_direction,N,independent_event_count,effect,ci_low,ci_high
MATCHED_PLACEBO,ACTIVE_STICKY,validation,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,65,61,-0.264474940228,-0.486707829839,-0.0770870245815
MATCHED_PLACEBO,DISPOSITION,discovery,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,262,253,-0.0549700492934,-0.108653425858,-0.00210705534161
MATCHED_PLACEBO,DISPOSITION,holdout,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,118,113,0.0154853777102,-0.101208872617,0.130583780328
MATCHED_PLACEBO,DISPOSITION,validation,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,102,98,-0.244429840272,-0.402049807885,-0.0975994375618
MATCHED_PLACEBO,ENSEMBLE,discovery,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,185,181,-0.0710216380697,-0.130169881794,-0.0097017024288
MATCHED_PLACEBO,ENSEMBLE,holdout,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,65,64,-0.0956220127783,-0.244533735106,0.061307054245
MATCHED_PLACEBO,ENSEMBLE,validation,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,73,70,-0.238901624535,-0.555802286271,-0.0289939552943
MATCHED_PLACEBO,UNIFORM,discovery,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,279,268,-0.0731725722215,-0.124533240778,-0.0281420560891
MATCHED_PLACEBO,UNIFORM,holdout,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,117,112,-0.0465402420948,-0.162136762694,0.0851501910431
MATCHED_PLACEBO,UNIFORM,validation,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,93,89,-0.190791123573,-0.364705602903,-0.0273084390962
MATCHED_PLACEBO,ACTIVE_STICKY,discovery,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,214,209,-0.0494019282825,-0.0915732825467,0.00262874907616
MATCHED_PLACEBO,ACTIVE_STICKY,holdout,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,86,85,-0.0455954851005,-0.16647361817,0.0759007564156
MATCHED_PLACEBO,ACTIVE_STICKY,validation,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,65,61,-0.26436239875,-0.507827048582,-0.0584349569128
MATCHED_PLACEBO,DISPOSITION,discovery,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,262,253,-0.051670815955,-0.103368425065,-0.00367672257615
MATCHED_PLACEBO,DISPOSITION,holdout,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,118,113,0.0147153866286,-0.102673717414,0.146966090754
MATCHED_PLACEBO,DISPOSITION,validation,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,102,98,-0.244369152328,-0.404757680301,-0.092606497329
MATCHED_PLACEBO,ENSEMBLE,discovery,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,185,181,-0.065551780964,-0.127278503711,-0.0136403162411
MATCHED_PLACEBO,ENSEMBLE,holdout,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,65,64,-0.0956253522108,-0.237694926634,0.0612750613509
MATCHED_PLACEBO,ENSEMBLE,validation,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,73,70,-0.238749876361,-0.460018415851,-0.0496306208952
MATCHED_PLACEBO,UNIFORM,discovery,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,279,268,-0.069429978793,-0.117995947844,-0.0244769416724
MATCHED_PLACEBO,UNIFORM,holdout,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,117,112,-0.0465393894726,-0.167705228009,0.0745667176309
MATCHED_PLACEBO,UNIFORM,validation,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,93,89,-0.190672999626,-0.385227849976,-0.0352179436281
MATCHED_PLACEBO,ACTIVE_STICKY,discovery,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,214,209,-0.0648261416253,-0.127255484302,-0.00492773199559
MATCHED_PLACEBO,ACTIVE_STICKY,holdout,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,86,85,-0.0596487993587,-0.176925821625,0.0616310072517
MATCHED_PLACEBO,ACTIVE_STICKY,validation,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,65,61,-0.211064885448,-0.362787994105,-0.0506852604294
MATCHED_PLACEBO,DISPOSITION,discovery,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,262,253,-0.067354577247,-0.121874397758,-0.0111898527271
MATCHED_PLACEBO,DISPOSITION,holdout,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,118,113,0.0297354456566,-0.0750208379845,0.137471865645
MATCHED_PLACEBO,DISPOSITION,validation,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,102,98,-0.162994869162,-0.271192420744,-0.0602179321179
