model,split,side,source,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,discovery,SUPPORT,REAL_CHIP,cross_probability_5,5,1658,1050,0.301801587302,0.277748214286,0.326959325397
ACTIVE_STICKY,discovery,SUPPORT,REAL_CHIP,time_to_cross_5,5,1658,1050,4.71615873016,4.61578769841,4.8331265873
ACTIVE_STICKY,discovery,SUPPORT,REAL_CHIP,sessions_beyond_5,5,1658,1050,1.27222222222,1.17058412698,1.36912301587
ACTIVE_STICKY,discovery,SUPPORT,REAL_CHIP,cross_probability_10,10,1631,1039,0.356520692974,0.331694337504,0.382732795958
ACTIVE_STICKY,discovery,SUPPORT,REAL_CHIP,time_to_cross_10,10,1636,1039,8.0031039461,7.77501183029,8.22508321303
ACTIVE_STICKY,discovery,SUPPORT,REAL_CHIP,sessions_beyond_10,10,1631,1039,2.42471928136,2.24387111004,2.61256937761
ACTIVE_STICKY,discovery,SUPPORT,REAL_CHIP,cross_probability_20,20,1568,1017,0.452155031137,0.426460381842,0.478981276631
ACTIVE_STICKY,discovery,SUPPORT,REAL_CHIP,time_to_cross_20,20,1597,1022,13.6943819309,13.1953008806,14.1359990623
ACTIVE_STICKY,discovery,SUPPORT,REAL_CHIP,sessions_beyond_20,20,1568,1017,4.67699115044,4.34061864962,5.04034783677
ACTIVE_STICKY,discovery,SUPPORT,REAL_CHIP,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,discovery,SUPPORT,REAL_CHIP,time_to_cross_40,40,886,615,8.11204413473,7.29642508711,8.90782481611
ACTIVE_STICKY,discovery,SUPPORT,REAL_CHIP,sessions_beyond_40,40,0,0,,,
ACTIVE_STICKY,discovery,SUPPORT,TIME_SHIFTED_FUTURE_STATE,cross_probability_1,1,149,149,0.0604026845638,0.0268456375839,0.10067114094
ACTIVE_STICKY,discovery,SUPPORT,TIME_SHIFTED_FUTURE_STATE,time_to_cross_1,1,149,149,1.93959731544,1.89932885906,1.97986577181
ACTIVE_STICKY,discovery,SUPPORT,TIME_SHIFTED_FUTURE_STATE,sessions_beyond_1,1,149,149,0.107382550336,0.0604026845638,0.154530201342
ACTIVE_STICKY,discovery,SUPPORT,TIME_SHIFTED_FUTURE_STATE,cross_probability_5,5,147,147,0.12925170068,0.0816326530612,0.190476190476
ACTIVE_STICKY,discovery,SUPPORT,TIME_SHIFTED_FUTURE_STATE,time_to_cross_5,5,147,147,5.48299319728,5.25136054422,5.71445578231
ACTIVE_STICKY,discovery,SUPPORT,TIME_SHIFTED_FUTURE_STATE,sessions_beyond_5,5,147,147,0.482993197279,0.312755102041,0.65306122449
