model,split,base_integrity,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,mae_20,20,21,21,-0.0919738078888,-0.112060430211,-0.0709340972176
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,cross_probability_20,20,21,21,0.380952380952,0.142857142857,0.619047619048
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,sessions_beyond_20,20,21,21,2.85714285714,1.33214285714,4.62023809524
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,future_return_40,40,0,0,,,
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,mae_40,40,0,0,,,
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,sessions_beyond_40,40,0,0,,,
ACTIVE_STICKY,validation,BASE_INTACT,reaction_probability,3,79,74,0.466216216216,0.358108108108,0.58125
ACTIVE_STICKY,validation,BASE_INTACT,close_favorable_probability,0,81,76,0.605263157895,0.486842105263,0.697368421053
ACTIVE_STICKY,validation,BASE_INTACT,future_return_5,5,77,73,0.014209682511,-0.00610242754299,0.0336338683879
ACTIVE_STICKY,validation,BASE_INTACT,mae_5,5,77,73,-0.0436795100112,-0.0536843115909,-0.0346567683455
ACTIVE_STICKY,validation,BASE_INTACT,cross_probability_5,5,77,73,0.041095890411,0.013698630137,0.0958904109589
ACTIVE_STICKY,validation,BASE_INTACT,sessions_beyond_5,5,77,73,0.143835616438,0.0479452054795,0.274143835616
ACTIVE_STICKY,validation,BASE_INTACT,future_return_10,10,74,70,0.0116443306152,-0.00817676230161,0.0326281086016
ACTIVE_STICKY,validation,BASE_INTACT,mae_10,10,74,70,-0.0586146273304,-0.0702111357335,-0.0468593412076
ACTIVE_STICKY,validation,BASE_INTACT,cross_probability_10,10,74,70,0.0571428571429,0.0142857142857,0.114285714286
ACTIVE_STICKY,validation,BASE_INTACT,sessions_beyond_10,10,74,70,0.492857142857,0.156785714286,0.893035714286
ACTIVE_STICKY,validation,BASE_INTACT,future_return_20,20,67,63,0.0116779489298,-0.0201904798175,0.0449864014521
ACTIVE_STICKY,validation,BASE_INTACT,mae_20,20,67,63,-0.081055245375,-0.097314474262,-0.0670003118848
ACTIVE_STICKY,validation,BASE_INTACT,cross_probability_20,20,67,63,0.206349206349,0.111111111111,0.301587301587
ACTIVE_STICKY,validation,BASE_INTACT,sessions_beyond_20,20,67,63,1.86507936508,0.911904761905,2.90496031746
ACTIVE_STICKY,validation,BASE_INTACT,future_return_40,40,0,0,,,
ACTIVE_STICKY,validation,BASE_INTACT,mae_40,40,0,0,,,
ACTIVE_STICKY,validation,BASE_INTACT,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,validation,BASE_INTACT,sessions_beyond_40,40,0,0,,,
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,reaction_probability,3,43,38,0.657894736842,0.513157894737,0.789802631579
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,close_favorable_probability,0,43,38,0.578947368421,0.420723684211,0.723684210526
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,future_return_5,5,43,38,0.0438284700568,0.0157662118329,0.0762088610653
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,mae_5,5,43,38,-0.0516099483559,-0.0637935655262,-0.0387498014049
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,cross_probability_5,5,43,38,0.118421052632,0.0263157894737,0.236842105263
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,sessions_beyond_5,5,43,38,0.315789473684,0.157894736842,0.5
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,future_return_10,10,43,38,0.0692686218232,0.0260164336117,0.110869060093
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,mae_10,10,43,38,-0.0578729398365,-0.0693275937259,-0.0443032622899
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,cross_probability_10,10,43,38,0.171052631579,0.0526315789474,0.289473684211
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,sessions_beyond_10,10,43,38,0.776315789474,0.342105263158,1.31578947368
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,future_return_20,20,35,31,0.104134351084,0.0446091031479,0.159674395368
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,mae_20,20,35,31,-0.0677804032227,-0.0860970286484,-0.0534110086442
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,cross_probability_20,20,35,31,0.225806451613,0.0967741935484,0.370967741935
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,sessions_beyond_20,20,35,31,1.67741935484,0.515322580645,3.09758064516
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,future_return_40,40,0,0,,,
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,mae_40,40,0,0,,,
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,cross_probability_40,40,0,0,,,
DISPOSITION,discovery,BASE_DAMAGED_OR_LOST,sessions_beyond_40,40,0,0,,,
DISPOSITION,discovery,BASE_INTACT,reaction_probability,3,51,42,0.527777777778,0.396825396825,0.658928571429
DISPOSITION,discovery,BASE_INTACT,close_favorable_probability,0,51,42,0.563492063492,0.440476190476,0.698511904762
DISPOSITION,discovery,BASE_INTACT,future_return_5,5,51,42,0.023570397511,-0.0073305588989,0.0629223278936
DISPOSITION,discovery,BASE_INTACT,mae_5,5,51,42,-0.0573558770638,-0.0692480991978,-0.0449275169872
DISPOSITION,discovery,BASE_INTACT,cross_probability_5,5,51,42,0.22619047619,0.0952380952381,0.357142857143
DISPOSITION,discovery,BASE_INTACT,sessions_beyond_5,5,51,42,0.809523809524,0.380357142857,1.28571428571
DISPOSITION,discovery,BASE_INTACT,future_return_10,10,50,41,0.0423013348341,0.00172124863867,0.0910627725309
DISPOSITION,discovery,BASE_INTACT,mae_10,10,50,41,-0.0664119206823,-0.0822483815774,-0.0514853465228
DISPOSITION,discovery,BASE_INTACT,cross_probability_10,10,50,41,0.243902439024,0.134146341463,0.378353658537
DISPOSITION,discovery,BASE_INTACT,sessions_beyond_10,10,50,41,1.4512195122,0.682926829268,2.29298780488
DISPOSITION,discovery,BASE_INTACT,future_return_20,20,47,40,0.0621395911813,0.0062436645016,0.124708799644
DISPOSITION,discovery,BASE_INTACT,mae_20,20,47,40,-0.0824285535812,-0.102882746479,-0.0634700532576
DISPOSITION,discovery,BASE_INTACT,cross_probability_20,20,47,40,0.3375,0.2,0.475
DISPOSITION,discovery,BASE_INTACT,sessions_beyond_20,20,47,40,3.175,1.8740625,4.8
DISPOSITION,discovery,BASE_INTACT,future_return_40,40,0,0,,,
DISPOSITION,discovery,BASE_INTACT,mae_40,40,0,0,,,
DISPOSITION,discovery,BASE_INTACT,cross_probability_40,40,0,0,,,
DISPOSITION,discovery,BASE_INTACT,sessions_beyond_40,40,0,0,,,
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,reaction_probability,3,23,21,0.285714285714,0.0952380952381,0.47619047619
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,close_favorable_probability,0,23,21,0.452380952381,0.238095238095,0.666666666667
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,future_return_5,5,23,21,-0.0231631399719,-0.0477554885709,-0.0040818556468
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,mae_5,5,23,21,-0.062487124111,-0.0785365891163,-0.0466611660473
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,cross_probability_5,5,23,21,0.214285714286,0.047619047619,0.380952380952
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,sessions_beyond_5,5,23,21,0.619047619048,0.0952380952381,1.14285714286
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,future_return_10,10,19,19,-0.021202655675,-0.0478804581761,0.00388418573009
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,mae_10,10,19,19,-0.0905380788285,-0.109908885438,-0.0719568984553
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,cross_probability_10,10,19,19,0.263157894737,0.105263157895,0.473684210526
