control,model,split,side,metric,horizon,expected_direction,N,independent_event_count,effect,ci_low,ci_high
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,holdout,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,39,39,0.102564102564,-0.0769230769231,0.282051282051
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,validation,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,96,96,-0.0520833333333,-0.20859375,0.0833333333333
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,discovery,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,123,123,-0.0406504065041,-0.154471544715,0.0733739837398
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,holdout,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,39,39,0.0769230769231,-0.128205128205,0.282051282051
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,validation,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,92,92,-0.0108695652174,-0.163043478261,0.141304347826
TIME_SHIFTED_FUTURE_STATE,UNIFORM,discovery,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,131,131,0.0229007633588,-0.0841603053435,0.12213740458
TIME_SHIFTED_FUTURE_STATE,UNIFORM,holdout,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,51,51,0.137254901961,-0.0392156862745,0.333333333333
TIME_SHIFTED_FUTURE_STATE,UNIFORM,validation,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,111,111,0.027027027027,-0.117117117117,0.153153153153
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,discovery,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,128,128,-0.00164358936459,-0.118387834536,0.11030532618
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,holdout,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,52,52,0.0847735902391,-0.0344621308948,0.228938986666
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,validation,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,103,103,-0.00962104201893,-0.0764325146991,0.0550855777969
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,discovery,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,105,105,-0.113663670081,-0.262897360682,0.0247361254105
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,holdout,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,39,39,0.174820019492,-0.052824714874,0.462519676547
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,validation,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,96,96,-0.0341406713127,-0.11339157115,0.0539019610306
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,discovery,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,123,123,0.017602010635,-0.0874327916739,0.111843979205
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,holdout,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,39,39,-0.152084785133,-0.622108445356,0.200914770131
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,validation,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,92,92,-0.0993099747678,-0.274389283226,0.0252513760876
TIME_SHIFTED_FUTURE_STATE,UNIFORM,discovery,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,131,131,-0.0330737709934,-0.144003776162,0.0649912731703
TIME_SHIFTED_FUTURE_STATE,UNIFORM,holdout,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,51,51,0.0353842439988,-0.0703957909406,0.146573615418
TIME_SHIFTED_FUTURE_STATE,UNIFORM,validation,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,111,111,-0.0418043792482,-0.151815300477,0.0506264494814
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,discovery,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,128,128,4.10346029296e-05,-0.130975585158,0.106843688088
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,holdout,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,52,52,0.0835667802349,-0.0222786111095,0.228457014451
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,validation,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,103,103,-0.00892959373797,-0.0652987899332,0.0599060596111
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,discovery,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,105,105,-0.113957534097,-0.259014290312,0.0170714666986
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,holdout,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,39,39,0.174820020453,-0.0481903899438,0.460821214401
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,validation,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,96,96,-0.0346877798289,-0.112994679875,0.0399950870896
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,discovery,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,123,123,0.0169422388713,-0.0932155536523,0.115440283908
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,holdout,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,39,39,-0.152084785133,-0.660318063923,0.209188365465
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,validation,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,92,92,-0.0993163544395,-0.270413867717,0.0287942816541
TIME_SHIFTED_FUTURE_STATE,UNIFORM,discovery,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,131,131,-0.0338001520062,-0.127871171465,0.0629286178498
TIME_SHIFTED_FUTURE_STATE,UNIFORM,holdout,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,51,51,0.0353846443023,-0.0688913452927,0.147867403553
TIME_SHIFTED_FUTURE_STATE,UNIFORM,validation,SUPPORT,turnover_response_ratio,3,POSITIVE_IS_CHIP_BETTER,111,111,-0.0406122238308,-0.14162006317,0.0454979683656
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,discovery,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,128,128,0.0754989164955,-0.0313208889231,0.183225976721
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,holdout,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,52,52,0.153081008195,-0.000377590411565,0.306759828855
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,validation,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,103,103,0.0414643338414,-0.02761355649,0.101899861953
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,discovery,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,105,105,-0.0327253682503,-0.161415700842,0.0709131994064
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,holdout,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,39,39,0.123815519242,-0.0507385818413,0.340846376686
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,validation,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,96,96,0.0580815190735,-0.0242844364492,0.140571289794
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,discovery,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,123,123,0.0935645753209,-0.00244910222024,0.188220658573
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,holdout,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,39,39,-0.0255681725106,-0.429541592108,0.265645310937
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,validation,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,92,92,0.0366883984284,-0.0596790053204,0.134430124305
TIME_SHIFTED_FUTURE_STATE,UNIFORM,discovery,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,131,131,0.0382770379056,-0.0598847508116,0.131785294896
TIME_SHIFTED_FUTURE_STATE,UNIFORM,holdout,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,51,51,0.000782071742786,-0.14641876634,0.156366821996
TIME_SHIFTED_FUTURE_STATE,UNIFORM,validation,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,111,111,0.0135414935834,-0.0610950748739,0.088177883443
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,discovery,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,126,126,0.00277805407555,-0.00631929781991,0.0119598489136
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,holdout,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,51,51,0.00478264655317,-0.000696097429752,0.0104306756214
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,validation,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,100,100,0.00392483580861,-0.00168999160494,0.00992622047167
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,discovery,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,104,104,-0.00666304088096,-0.015850413213,0.00173614624619
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,holdout,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,37,37,-0.00156187124525,-0.0120006676281,0.00757193175702
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,validation,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,93,93,-0.000191386526859,-0.00533276173627,0.00571789449667
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,discovery,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,121,121,-0.00112119358571,-0.0102059179053,0.00956301507695
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,holdout,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,38,38,-0.00122600708971,-0.011013228882,0.00820691831163
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,validation,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,89,89,0.000823104843119,-0.00426184479025,0.00614741527577
TIME_SHIFTED_FUTURE_STATE,UNIFORM,discovery,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,130,130,-0.00258820258433,-0.00948619240241,0.004639303698
TIME_SHIFTED_FUTURE_STATE,UNIFORM,holdout,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,50,50,0.00263478088185,-0.00411360314753,0.0114909481166
TIME_SHIFTED_FUTURE_STATE,UNIFORM,validation,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,107,107,0.00058862683801,-0.00368642611938,0.0055393640209
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,discovery,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,126,126,0.00448946222936,-0.00395348990012,0.012969531653
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,holdout,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,51,51,0.00481238593174,0.000805887601,0.00990631847867
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,validation,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,100,100,0.00274247338958,-0.000872786850361,0.00662685765478
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,discovery,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,104,104,-0.00646173540804,-0.0160069756437,0.0021003425006
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,holdout,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,37,37,0.00136410957371,-0.00659186577263,0.0104356380764
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,validation,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,93,93,0.000514315625737,-0.00383469077845,0.0049474953269
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,discovery,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,121,121,0.00247720189781,-0.00502876359829,0.0110953542753
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,holdout,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,38,38,-0.00139533034909,-0.00999087630785,0.00662897650142
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,validation,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,89,89,0.0014272484989,-0.0034859929571,0.00683324509239
TIME_SHIFTED_FUTURE_STATE,UNIFORM,discovery,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,130,130,-0.00150812510594,-0.00863467997296,0.00586753509704
TIME_SHIFTED_FUTURE_STATE,UNIFORM,holdout,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,50,50,0.0025251337337,-0.00404909867576,0.00909662404267
TIME_SHIFTED_FUTURE_STATE,UNIFORM,validation,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,107,107,0.000487696531663,-0.00325581223134,0.00444399541294
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,discovery,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,126,126,0.000424989884896,-0.00714731694742,0.0077822458332
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,holdout,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,51,51,-0.000361749450894,-0.00476434929978,0.00393250203975
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,validation,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,100,100,0.00404953516756,6.00358595399e-05,0.00791619166097
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,discovery,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,104,104,-0.00745747405248,-0.0155892818025,0.000787019873003
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,holdout,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,37,37,-0.00455237516057,-0.0106520983038,0.00136530023451
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,validation,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,93,93,0.000767325639426,-0.00275882420113,0.00499176812963
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,discovery,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,121,121,-0.00393980734211,-0.0106664644372,0.00376065267398
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,holdout,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,38,38,-0.000629187301595,-0.00563120397869,0.00427627458061
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,validation,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,89,89,0.00172018091019,-0.00176725915197,0.00548141506534
TIME_SHIFTED_FUTURE_STATE,UNIFORM,discovery,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,130,130,-0.00346516196847,-0.00993984268554,0.00251053624174
TIME_SHIFTED_FUTURE_STATE,UNIFORM,holdout,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,50,50,-0.000373775733544,-0.00471282806666,0.00365883325174
TIME_SHIFTED_FUTURE_STATE,UNIFORM,validation,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,107,107,0.00230807876887,-0.000961969897219,0.00606218949664
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,discovery,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,126,126,0.00793650793651,-0.0555555555556,0.0634920634921
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,holdout,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,51,51,0,0,0
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,validation,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,100,100,-0.01,-0.03,0
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,discovery,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,104,104,0,-0.0673076923077,0.0769230769231
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,holdout,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,37,37,-0.027027027027,-0.0810810810811,0
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,validation,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,93,93,-0.010752688172,-0.0322580645161,0
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,discovery,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,121,121,0.0165289256198,-0.0413223140496,0.0828512396694
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,holdout,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,38,38,-0.0263157894737,-0.0789473684211,0
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,validation,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,89,89,0,0,0
TIME_SHIFTED_FUTURE_STATE,UNIFORM,discovery,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,130,130,-0.0307692307692,-0.1,0.0384615384615
TIME_SHIFTED_FUTURE_STATE,UNIFORM,holdout,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,50,50,0.02,0,0.06
TIME_SHIFTED_FUTURE_STATE,UNIFORM,validation,SUPPORT,cross_probability_1,1,NEGATIVE_IS_CHIP_BETTER,107,107,-0.018691588785,-0.0467289719626,0
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,discovery,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,126,126,-0.00793650793651,-0.0636904761905,0.0555555555556
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,holdout,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,51,51,0,0,0
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,validation,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,100,100,0.01,0,0.04
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,discovery,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,104,104,0,-0.0769230769231,0.0769230769231
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,holdout,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,37,37,0.027027027027,0,0.0810810810811
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,validation,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,93,93,0.010752688172,0,0.0322580645161
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,discovery,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,121,121,-0.0165289256198,-0.0745867768595,0.0415289256198
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,holdout,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,38,38,0.0263157894737,0,0.105263157895
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,validation,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,89,89,0,0,0
TIME_SHIFTED_FUTURE_STATE,UNIFORM,discovery,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,130,130,0.0307692307692,-0.0307692307692,0.107692307692
TIME_SHIFTED_FUTURE_STATE,UNIFORM,holdout,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,50,50,-0.02,-0.06,0
TIME_SHIFTED_FUTURE_STATE,UNIFORM,validation,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,107,107,0.018691588785,0,0.0467289719626
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,discovery,SUPPORT,sessions_beyond_1,1,NEGATIVE_IS_CHIP_BETTER,126,126,0,-0.0873015873016,0.071626984127
