split,ambiguity_category,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
discovery,MODE_COUNT_DISAGREEMENT,future_volume_ratio_10,10,23,22,1.26308150912,1.07155810798,1.4395611439
discovery,MODE_COUNT_DISAGREEMENT,future_return_20,20,23,22,-0.0333104950044,-0.0852168984953,0.0148922525552
discovery,MODE_COUNT_DISAGREEMENT,mfe_20,20,23,22,0.13596399928,0.100178998529,0.178809348842
discovery,MODE_COUNT_DISAGREEMENT,mae_20,20,23,22,-0.13506861763,-0.169945030975,-0.108464437999
discovery,MODE_COUNT_DISAGREEMENT,future_volatility_20,20,23,22,0.0315523094189,0.0273537877663,0.0362514611727
discovery,MODE_COUNT_DISAGREEMENT,future_volume_ratio_20,20,23,22,1.26946110117,1.08513694182,1.48916738239
discovery,NON_AMBIGUOUS,model_base_level_spread,0,2290,492,0.143110802452,0.111895484118,0.190167351624
discovery,NON_AMBIGUOUS,model_base_mass_cv,0,2290,492,0.287960638447,0.27517415468,0.301963290056
discovery,NON_AMBIGUOUS,model_mode_count_range,0,2307,492,1.15281165312,1.11094512195,1.20100948509
discovery,NON_AMBIGUOUS,future_chop_10,10,2306,491,0.570918194162,0.564129221826,0.578241365411
discovery,NON_AMBIGUOUS,future_return_5,5,2306,491,0.0216241613024,0.0189256466962,0.0242534970074
discovery,NON_AMBIGUOUS,mfe_5,5,2306,491,0.0519691829977,0.0491424109609,0.0554650552214
discovery,NON_AMBIGUOUS,mae_5,5,2306,491,-0.0454937833814,-0.0468451271532,-0.044185483328
discovery,NON_AMBIGUOUS,future_volatility_5,5,2306,491,0.0228405686997,0.0222344852534,0.0235860932846
discovery,NON_AMBIGUOUS,future_volume_ratio_5,5,2306,491,1.22990683652,1.20010416173,1.26322931886
discovery,NON_AMBIGUOUS,future_return_10,10,2306,491,0.0106900661589,0.00744340081732,0.0141720390208
discovery,NON_AMBIGUOUS,mfe_10,10,2306,491,0.0792140710607,0.0751705264408,0.0837045110822
discovery,NON_AMBIGUOUS,mae_10,10,2306,491,-0.0577790629723,-0.0596351058811,-0.0561245514691
discovery,NON_AMBIGUOUS,future_volatility_10,10,2306,491,0.0242255169427,0.0235626169837,0.0249047125827
discovery,NON_AMBIGUOUS,future_volume_ratio_10,10,2306,491,1.19359748844,1.1669824767,1.21849706229
discovery,NON_AMBIGUOUS,future_return_20,20,2306,491,-0.0136347183878,-0.0191208381757,-0.00766042971168
discovery,NON_AMBIGUOUS,mfe_20,20,2306,491,0.120726277151,0.113758228221,0.128173127059
discovery,NON_AMBIGUOUS,mae_20,20,2306,491,-0.111928442946,-0.114958004739,-0.109399805237
discovery,NON_AMBIGUOUS,future_volatility_20,20,2306,491,0.0282354189364,0.0274931712807,0.0288853435544
discovery,NON_AMBIGUOUS,future_volume_ratio_20,20,2306,491,1.24861308941,1.21232481826,1.28304155152
discovery,TRANSITIONAL_OR_UNRESOLVED,model_base_level_spread,0,5,5,0.0100791356435,0.00200751250781,0.0171326123204
discovery,TRANSITIONAL_OR_UNRESOLVED,model_base_mass_cv,0,5,5,0.143627379674,0.101216739375,0.191022584532
discovery,TRANSITIONAL_OR_UNRESOLVED,model_mode_count_range,0,5,5,0,0,0
discovery,TRANSITIONAL_OR_UNRESOLVED,future_chop_10,10,5,5,0.425,0.274375,0.600625
discovery,TRANSITIONAL_OR_UNRESOLVED,future_return_5,5,5,5,0.0697572239988,0.0271436884159,0.108004016604
discovery,TRANSITIONAL_OR_UNRESOLVED,mfe_5,5,5,5,0.107435433196,0.0613602070747,0.153051824093
discovery,TRANSITIONAL_OR_UNRESOLVED,mae_5,5,5,5,0.000849263167705,-0.0120956893473,0.00982128709101
discovery,TRANSITIONAL_OR_UNRESOLVED,future_volatility_5,5,5,5,0.022982911276,0.0121344087954,0.0406206219449
discovery,TRANSITIONAL_OR_UNRESOLVED,future_volume_ratio_5,5,5,5,1.19157317461,0.601121448244,1.85696170121
discovery,TRANSITIONAL_OR_UNRESOLVED,future_return_10,10,5,5,0.0216403500132,-0.00806196882522,0.057636456757
discovery,TRANSITIONAL_OR_UNRESOLVED,mfe_10,10,5,5,0.144123153958,0.0792791669265,0.225066555099
discovery,TRANSITIONAL_OR_UNRESOLVED,mae_10,10,5,5,-0.0228430033626,-0.0401453793358,-0.00178636953236
discovery,TRANSITIONAL_OR_UNRESOLVED,future_volatility_10,10,5,5,0.0266580903044,0.0161025621719,0.0437560545376
discovery,TRANSITIONAL_OR_UNRESOLVED,future_volume_ratio_10,10,5,5,1.29498077256,0.682943217584,2.19223028411
discovery,TRANSITIONAL_OR_UNRESOLVED,future_return_20,20,5,5,-0.00190246118158,-0.0292319543461,0.0275792018805
discovery,TRANSITIONAL_OR_UNRESOLVED,mfe_20,20,5,5,0.144123153958,0.0780701475158,0.232880373643
discovery,TRANSITIONAL_OR_UNRESOLVED,mae_20,20,5,5,-0.0514030211467,-0.076133940924,-0.0265599472778
discovery,TRANSITIONAL_OR_UNRESOLVED,future_volatility_20,20,5,5,0.023865131059,0.0156907167779,0.0365192358782
discovery,TRANSITIONAL_OR_UNRESOLVED,future_volume_ratio_20,20,5,5,0.999682523716,0.564365347745,1.68314630438
holdout,LEVEL_DISAGREEMENT,model_base_level_spread,0,37,34,0.494245275607,0.2639351232,0.867483978918
holdout,LEVEL_DISAGREEMENT,model_base_mass_cv,0,37,34,0.418490983176,0.347769994921,0.492600887683
holdout,LEVEL_DISAGREEMENT,model_mode_count_range,0,37,34,1.64705882353,1.36764705882,1.92683823529
holdout,LEVEL_DISAGREEMENT,future_chop_10,10,37,34,0.525735294118,0.459558823529,0.591911764706
holdout,LEVEL_DISAGREEMENT,future_return_5,5,37,34,0.0282334536834,-0.00250437080751,0.0646863048484
holdout,LEVEL_DISAGREEMENT,mfe_5,5,37,34,0.0816911415193,0.0547806017627,0.121036204555
holdout,LEVEL_DISAGREEMENT,mae_5,5,37,34,-0.0289449662676,-0.0397528333058,-0.019360886964
