model,split,side,strength_feature,outcome,N,independent_event_count,low_bin_mean,high_bin_mean,high_minus_low,spearman_bin_mean,directionally_coherent_step_fraction
DISPOSITION,discovery,SUPPORT,peak_prominence,mae_10,1587,982,-0.0747741580495,-0.0769187254599,-0.00214456741041,-0.5,0.75
DISPOSITION,holdout,RESISTANCE,peak_prominence,reaction_probability,2283,1300,0.490506329114,0.426917510854,-0.0635888182601,-0.9,0.25
DISPOSITION,holdout,RESISTANCE,peak_prominence,cross_probability_10,2116,1251,0.413793103448,0.183359013867,-0.230434089581,-0.9,0.75
DISPOSITION,holdout,RESISTANCE,peak_prominence,future_return_5,2247,1290,-0.00445408143176,-0.00430209040496,0.000151991026798,0.5,0.75
DISPOSITION,holdout,RESISTANCE,peak_prominence,mae_10,2116,1251,-0.0755333504642,-0.059383787643,0.0161495628211,0.9,0.25
DISPOSITION,holdout,SUPPORT,peak_prominence,reaction_probability,1003,661,0.387453874539,0.432203389831,0.0447495152918,0.9,0.75
DISPOSITION,holdout,SUPPORT,peak_prominence,cross_probability_10,957,641,0.30888030888,0.368421052632,0.0595407437513,0.7,0.25
DISPOSITION,holdout,SUPPORT,peak_prominence,future_return_5,997,659,-0.00119714459372,-0.00816462207639,-0.00696747748267,-0.7,0.25
DISPOSITION,holdout,SUPPORT,peak_prominence,mae_10,957,641,-0.0587679550165,-0.0792586651359,-0.0204907101194,-0.9,0.25
DISPOSITION,validation,RESISTANCE,peak_prominence,reaction_probability,2584,1290,0.44161358811,0.325819672131,-0.115793915979,-0.9,0.25
DISPOSITION,validation,RESISTANCE,peak_prominence,cross_probability_10,2521,1281,0.464601769912,0.378378378378,-0.0862233915331,-0.9,0.75
DISPOSITION,validation,RESISTANCE,peak_prominence,future_return_5,2563,1288,0.00893718742869,0.0248871932704,0.0159500058417,1,0
DISPOSITION,validation,RESISTANCE,peak_prominence,mae_10,2521,1281,-0.0664519902925,-0.0479188038312,0.0185331864613,1,0
DISPOSITION,validation,SUPPORT,peak_prominence,reaction_probability,1345,796,0.412408759124,0.52736318408,0.114954424956,0.7,0.75
DISPOSITION,validation,SUPPORT,peak_prominence,cross_probability_10,1284,769,0.246031746032,0.215384615385,-0.0306471306471,-0.1,0.5
DISPOSITION,validation,SUPPORT,peak_prominence,future_return_5,1330,789,0.000848662453594,0.00215451192063,0.00130584946703,0.7,0.75
DISPOSITION,validation,SUPPORT,peak_prominence,mae_10,1284,769,-0.0562690546225,-0.0621374707193,-0.0058684160968,-0.9,0.25
ENSEMBLE,discovery,RESISTANCE,peak_prominence,reaction_probability,2558,1551,0.482573726542,0.395638629283,-0.0869350972581,-0.7,0.25
ENSEMBLE,discovery,RESISTANCE,peak_prominence,cross_probability_10,2430,1496,0.414285714286,0.247172859451,-0.167112854835,-0.8,0.5
ENSEMBLE,discovery,RESISTANCE,peak_prominence,future_return_5,2527,1542,0.00474733304028,0.0055571004709,0.000809767430617,0.1,0.5
ENSEMBLE,discovery,RESISTANCE,peak_prominence,mae_10,2430,1496,-0.0866196371996,-0.077375439425,0.00924419777464,0.7,0.25
ENSEMBLE,discovery,SUPPORT,peak_prominence,reaction_probability,1256,852,0.395498392283,0.436893203883,0.0413948116005,0.3,0.5
ENSEMBLE,discovery,SUPPORT,peak_prominence,cross_probability_10,1229,839,0.390728476821,0.344827586207,-0.0459008906143,-0.7,0.75
ENSEMBLE,discovery,SUPPORT,peak_prominence,future_return_5,1247,849,0.0202769784868,0.0172339347786,-0.00304304370818,-0.3,0.5
ENSEMBLE,discovery,SUPPORT,peak_prominence,mae_10,1229,839,-0.0718809119974,-0.0785627337532,-0.00668182175574,-0.3,0.5
ENSEMBLE,holdout,RESISTANCE,peak_prominence,reaction_probability,1687,1111,0.484848484848,0.411764705882,-0.0730837789661,-0.8,0.5
ENSEMBLE,holdout,RESISTANCE,peak_prominence,cross_probability_10,1563,1055,0.382513661202,0.164241164241,-0.218272496961,-0.9,0.75
ENSEMBLE,holdout,RESISTANCE,peak_prominence,future_return_5,1663,1098,-0.00340238440609,-0.00613283965013,-0.00273045524404,-0.3,0.5
ENSEMBLE,holdout,RESISTANCE,peak_prominence,mae_10,1563,1055,-0.0743836553307,-0.0582311197997,0.0161525355309,0.9,0.25
ENSEMBLE,holdout,SUPPORT,peak_prominence,reaction_probability,725,545,0.406417112299,0.425,0.0185828877005,0.872081599272,0.75
ENSEMBLE,holdout,SUPPORT,peak_prominence,cross_probability_10,695,529,0.216666666667,0.355263157895,0.138596491228,0.7,0.25
ENSEMBLE,holdout,SUPPORT,peak_prominence,future_return_5,722,545,-0.00196376278061,-0.00825517627558,-0.00629141349497,-0.6,0.5
ENSEMBLE,holdout,SUPPORT,peak_prominence,mae_10,695,529,-0.0578656574671,-0.0828407839479,-0.0249751264809,-0.7,0.25
ENSEMBLE,validation,RESISTANCE,peak_prominence,reaction_probability,1885,1112,0.458213256484,0.314606741573,-0.143606514911,-0.9,0.25
ENSEMBLE,validation,RESISTANCE,peak_prominence,cross_probability_10,1843,1102,0.408408408408,0.368571428571,-0.039836979837,-0.7,0.75
ENSEMBLE,validation,RESISTANCE,peak_prominence,future_return_5,1870,1109,0.00471045142697,0.0250482809211,0.0203378294941,0.9,0.25
ENSEMBLE,validation,RESISTANCE,peak_prominence,mae_10,1843,1102,-0.0663103967405,-0.0466101265891,0.0197002701513,1,0
ENSEMBLE,validation,SUPPORT,peak_prominence,reaction_probability,1009,688,0.414414414414,0.5,0.0855855855856,1,1
ENSEMBLE,validation,SUPPORT,peak_prominence,cross_probability_10,962,660,0.209756097561,0.159090909091,-0.0506651884701,-0.2,0.75
ENSEMBLE,validation,SUPPORT,peak_prominence,future_return_5,995,678,-0.00350607675183,0.0066790467561,0.0101851235079,0.4,0.75
ENSEMBLE,validation,SUPPORT,peak_prominence,mae_10,962,660,-0.0581303298649,-0.0581540213475,-2.36914826105e-05,-0.6,0.5
UNIFORM,discovery,RESISTANCE,peak_prominence,reaction_probability,3147,1703,0.504807692308,0.388221153846,-0.116586538462,-0.9,0.25
UNIFORM,discovery,RESISTANCE,peak_prominence,cross_probability_10,2988,1649,0.396373056995,0.242767295597,-0.153605761397,-0.9,0.75
UNIFORM,discovery,RESISTANCE,peak_prominence,future_return_5,3105,1690,-0.00300856777877,0.00370929228637,0.00671786006513,0.6,0.5
UNIFORM,discovery,RESISTANCE,peak_prominence,mae_10,2988,1649,-0.0907506328974,-0.0767855924809,0.0139650404165,1,0
UNIFORM,discovery,SUPPORT,peak_prominence,reaction_probability,1761,1055,0.41610738255,0.417857142857,0.00174976030681,-0.2,0.5
UNIFORM,discovery,SUPPORT,peak_prominence,cross_probability_10,1714,1041,0.402777777778,0.373188405797,-0.0295893719807,-0.6,0.5
UNIFORM,discovery,SUPPORT,peak_prominence,future_return_5,1746,1054,0.0131940531125,0.0160571960443,0.00286314293175,-0.1,0.75
UNIFORM,discovery,SUPPORT,peak_prominence,mae_10,1714,1041,-0.0731328906941,-0.0804896579226,-0.00735676722848,-0.5,0.75
UNIFORM,holdout,RESISTANCE,peak_prominence,reaction_probability,2191,1264,0.486013986014,0.426646706587,-0.0593672794272,-0.8,0.5
UNIFORM,holdout,RESISTANCE,peak_prominence,cross_probability_10,2023,1207,0.396078431373,0.169329073482,-0.22674935789,-0.9,0.75
UNIFORM,holdout,RESISTANCE,peak_prominence,future_return_5,2156,1253,-0.0074445433796,-0.007641512889,-0.000196969509392,0.2,0.5
UNIFORM,holdout,RESISTANCE,peak_prominence,mae_10,2023,1207,-0.0755907800317,-0.0595723689055,0.0160184111262,0.9,0.25
UNIFORM,holdout,SUPPORT,peak_prominence,reaction_probability,1084,723,0.438943894389,0.447368421053,0.00842452666319,0.3,0.5
UNIFORM,holdout,SUPPORT,peak_prominence,cross_probability_10,1031,698,0.289198606272,0.354545454545,0.0653468482737,0.9,0.25
UNIFORM,holdout,SUPPORT,peak_prominence,future_return_5,1078,721,0.00123034833531,-0.0134424205639,-0.0146727688992,-1,0
UNIFORM,holdout,SUPPORT,peak_prominence,mae_10,1031,698,-0.0622240705132,-0.0821222092188,-0.0198981387056,-1,0
UNIFORM,validation,RESISTANCE,peak_prominence,reaction_probability,2466,1258,0.452488687783,0.297405189621,-0.155083498162,-1,0
UNIFORM,validation,RESISTANCE,peak_prominence,cross_probability_10,2411,1250,0.482517482517,0.385858585859,-0.0966588966589,-0.9,0.75
UNIFORM,validation,RESISTANCE,peak_prominence,future_return_5,2447,1256,0.00673722239396,0.0250698227308,0.0183326003368,1,0
UNIFORM,validation,RESISTANCE,peak_prominence,mae_10,2411,1250,-0.0685964059147,-0.0460689986245,0.0225274072902,1,0
UNIFORM,validation,SUPPORT,peak_prominence,reaction_probability,1394,831,0.406666666667,0.507537688442,0.100871021776,0.5,0.75
UNIFORM,validation,SUPPORT,peak_prominence,cross_probability_10,1320,798,0.243636363636,0.177083333333,-0.066553030303,-0.8,0.5
UNIFORM,validation,SUPPORT,peak_prominence,future_return_5,1373,821,-0.0015075069426,0.00432014352982,0.00582765047242,0.3,0.5
UNIFORM,validation,SUPPORT,peak_prominence,mae_10,1320,798,-0.0598422340142,-0.0590203029867,0.000821931027513,0.3,0.5
ACTIVE_STICKY,discovery,RESISTANCE,peak_age,reaction_probability,3008,1671,0.399385560676,0.532091097308,0.132705536633,0.9,0.75
ACTIVE_STICKY,discovery,RESISTANCE,peak_age,cross_probability_10,2859,1618,0.429477020602,0.244988864143,-0.18448815646,-0.7,0.75
