trade_date,family,nav,cash,positions,industries,industry_hhi
2020-01-03,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-01-06,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-01-07,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-01-08,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-01-09,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-01-10,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-01-13,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-01-14,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-01-15,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-01-16,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-01-17,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-01-20,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-01-21,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-01-22,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-01-23,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-02-03,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-02-04,industry_consensus_q1_event,15308905.8954,15308905.8954,0,0,0
2020-02-05,industry_consensus_q1_event,15404613.7231,7654452.94768,2,1,1
2020-02-06,industry_consensus_q1_event,15594860.7789,7654452.94768,2,1,1
2020-02-07,industry_consensus_q1_event,15513131.8925,7654452.94768,2,1,1
2020-02-10,industry_consensus_q1_event,15481146.5139,7654452.94768,2,1,1
2020-02-11,industry_consensus_q1_event,15555731.9589,7654452.94768,2,1,1
2020-02-12,industry_consensus_q1_event,16012962.4081,0,4,1,1
2020-02-13,industry_consensus_q1_event,15537508.1158,0,4,1,1
2020-02-14,industry_consensus_q1_event,15402649.4324,0,4,1,1
2020-02-17,industry_consensus_q1_event,15724828.7582,0,4,1,1
2020-02-18,industry_consensus_q1_event,15844340.8161,0,4,1,1
2020-02-19,industry_consensus_q1_event,15811818.7867,0,4,1,1
2020-02-20,industry_consensus_q1_event,15932979.9056,0,4,1,1
2020-02-21,industry_consensus_q1_event,15774371.2737,0,4,1,1
2020-02-24,industry_consensus_q1_event,15809299.5828,0,4,1,1
2020-02-25,industry_consensus_q1_event,16249195.1209,0,4,1,1
2020-02-26,industry_consensus_q1_event,15863345.8553,0,4,1,1
2020-02-27,industry_consensus_q1_event,15877993.2107,0,4,1,1
2020-02-28,industry_consensus_q1_event,15700085.6979,0,4,1,1
2020-03-02,industry_consensus_q1_event,16116945.8366,0,4,1,1
2020-03-03,industry_consensus_q1_event,16280509.4802,0,4,1,1
2020-03-04,industry_consensus_q1_event,16084913.5884,0,4,2,0.500000219207
2020-03-05,industry_consensus_q1_event,16533724.0088,0,4,2,0.50002408314
2020-03-06,industry_consensus_q1_event,16756124.947,0,4,2,0.500324749014
2020-03-09,industry_consensus_q1_event,16447549.2115,0,4,2,0.500613542538
2020-03-10,industry_consensus_q1_event,16588406.2649,0,4,2,0.500136322711
2020-03-11,industry_consensus_q1_event,16947175.2222,8832181.88105,2,1,1
2020-03-12,industry_consensus_q1_event,16734246.6991,8832181.88105,2,1,1
2020-03-13,industry_consensus_q1_event,16586670.5539,8832181.88105,2,1,1
2020-03-16,industry_consensus_q1_event,16467880.0363,8832181.88105,2,1,1
2020-03-17,industry_consensus_q1_event,16453814.5083,8832181.88105,2,1,1
2020-03-18,industry_consensus_q1_event,16341676.6842,577237.358462,4,2,0.500959703312
2020-03-19,industry_consensus_q1_event,16295405.3925,577237.358462,4,2,0.500233806638
2020-03-20,industry_consensus_q1_event,16755858.0419,577237.358462,4,2,0.501098535001
2020-03-23,industry_consensus_q1_event,16416086.1158,577237.358462,4,2,0.501655732654
2020-03-24,industry_consensus_q1_event,16991712.9385,577237.358462,4,2,0.503046787441
2020-03-25,industry_consensus_q1_event,17095162.2369,0,6,2,0.504871063948
2020-03-26,industry_consensus_q1_event,17389540.652,0,6,2,0.50733480114
2020-03-27,industry_consensus_q1_event,17660096.0274,0,6,2,0.507428419324
2020-03-30,industry_consensus_q1_event,17450437.7555,0,6,2,0.50759978872
