role,coordinate,block,index_symbol,n,baseline_adjusted_r2,full_adjusted_r2,increment,support_pass
loss_episode_count,relative,A,csi000852,215,0.10021334487496647,0.090584508283038101,-0.0096288365919283692,True
loss_episode_count,relative,A,csi000905,215,0.10021334487496647,0.096449702372172541,-0.0037636425027939291,True
loss_episode_count,relative,A,sh000001,215,0.10021334487496647,0.09128877413721781,-0.0089245707377486605,True
loss_episode_count,relative,A,sz399001,215,0.10021334487496647,0.090491885552165696,-0.009721459322800774,True
loss_episode_count,relative,A,sz399006,215,0.10021334487496647,0.094898199081110857,-0.0053151457938556135,True
loss_episode_count,relative,B,csi000300,265,0.033971161796366389,0.061639832015567775,0.027668670219201386,True
loss_episode_count,relative,B,csi000852,265,0.033971161796366389,0.070576921731715481,0.036605759935349091,True
loss_episode_count,relative,B,csi000905,265,0.033971161796366389,0.061211977199833068,0.027240815403466678,True
loss_episode_count,relative,B,sh000001,265,0.033971161796366389,0.066669079735117931,0.032697917938751542,True
loss_episode_count,relative,B,sz399001,265,0.033971161796366389,0.060878854820380246,0.026907693024013857,True
loss_episode_count,relative,B,sz399006,265,0.033971161796366389,0.060818020479524892,0.026846858683158503,True
post_cross_activity_ratio,absolute,A,csi000300,215,0.15068657636840355,0.1546233149702998,0.0039367386018962502,True
post_cross_activity_ratio,absolute,A,csi000852,215,0.15068657636840355,0.15482061580441497,0.0041340394360114274,True
post_cross_activity_ratio,absolute,A,csi000905,215,0.15068657636840355,0.15586272730998185,0.0051761509415783058,True
post_cross_activity_ratio,absolute,A,sh000001,215,0.15068657636840355,0.15459480823033556,0.00390823186193201,True
post_cross_activity_ratio,absolute,A,sz399001,215,0.15068657636840355,0.15597268752187476,0.005286111153471218,True
post_cross_activity_ratio,absolute,A,sz399006,215,0.15068657636840355,0.15667114361806922,0.0059845672496656732,True
post_cross_activity_ratio,absolute,B,csi000300,265,0.1096592880267484,0.1077839484112898,-0.0018753396154586044,True
post_cross_activity_ratio,absolute,B,csi000852,265,0.1096592880267484,0.10724682924896156,-0.0024124587777868411,True
post_cross_activity_ratio,absolute,B,csi000905,265,0.1096592880267484,0.10746407968061777,-0.0021952083461306282,True
post_cross_activity_ratio,absolute,B,sh000001,265,0.1096592880267484,0.10760658418471281,-0.002052703842035597,True
post_cross_activity_ratio,absolute,B,sz399001,265,0.1096592880267484,0.1083905733172893,-0.0012687147094591067,True
post_cross_activity_ratio,absolute,B,sz399006,265,0.1096592880267484,0.10772239835677666,-0.0019368896699717419,True
post_cross_activity_ratio,pit,A,csi000300,50,0.27956531375353599,0.25822624854159948,-0.021339065211936514,False
post_cross_activity_ratio,pit,A,csi000852,50,0.27956531375353599,0.26061223615781559,-0.018953077595720402,False
post_cross_activity_ratio,pit,A,csi000905,50,0.27956531375353599,0.26435404183857913,-0.015211271914956859,False
post_cross_activity_ratio,pit,A,sh000001,50,0.27956531375353599,0.27393145203954639,-0.0056338617139896074,False
post_cross_activity_ratio,pit,A,sz399001,50,0.27956531375353599,0.26367753577846231,-0.01588777797507368,False
