trade_date,family,cost_per_side,nav,cash,positions,industries,industry_hhi
2020-06-04,slow_industry_daily_low_max,0.004,8630853.96,77919.34982,40,15,0.1459324277
2020-06-05,slow_industry_daily_low_max,0.004,8524912.845,77919.34982,40,15,0.1434434947
2020-06-08,slow_industry_daily_low_max,0.004,8445971.05,77919.34982,40,15,0.1414810722
2020-06-09,slow_industry_daily_low_max,0.004,8479583.845,82183.62051,40,14,0.1358209779
2020-06-10,slow_industry_daily_low_max,0.004,8504204.328,82183.62051,40,14,0.1355794348
2020-06-11,slow_industry_daily_low_max,0.004,8407078.299,82183.62051,40,14,0.1341179161
2020-06-12,slow_industry_daily_low_max,0.004,8408391.356,82183.62051,40,14,0.1348835412
2020-06-15,slow_industry_daily_low_max,0.004,8348971.824,82183.62051,40,14,0.1352223105
2020-06-16,slow_industry_daily_low_max,0.004,8413528.914,24389.46541,40,17,0.1124571103
2020-06-17,slow_industry_daily_low_max,0.004,8406206.391,24389.46541,40,17,0.1114974425
2020-06-18,slow_industry_daily_low_max,0.004,8385448.811,463308.3246,38,17,0.1094042889
2020-06-19,slow_industry_daily_low_max,0.004,8527426.289,463308.3246,38,17,0.111194319
2020-06-22,slow_industry_daily_low_max,0.004,8478040.768,463308.3246,38,17,0.1109972847
2020-06-23,slow_industry_daily_low_max,0.004,8558717.871,474695.2963,36,18,0.09647351872
2020-06-24,slow_industry_daily_low_max,0.004,8493335.177,474695.2963,36,18,0.09635643504
2020-06-29,slow_industry_daily_low_max,0.004,8441138.831,474695.2963,36,18,0.09727000514
2020-06-30,slow_industry_daily_low_max,0.004,8486670.21,474695.2963,36,18,0.09738496857
2020-07-01,slow_industry_daily_low_max,0.004,8650640.564,474695.2963,36,18,0.0992135332
2020-07-02,slow_industry_daily_low_max,0.004,8788016.476,245174.4499,37,20,0.1219730568
2020-07-03,slow_industry_daily_low_max,0.004,8783443.845,245174.4499,37,20,0.1193868101
2020-07-06,slow_industry_daily_low_max,0.004,9035989.207,245174.4499,37,20,0.1182492995
2020-07-07,slow_industry_daily_low_max,0.004,9215528.321,245174.4499,37,20,0.1201204957
2020-07-08,slow_industry_daily_low_max,0.004,9363363.059,245174.4499,37,20,0.1173961236
2020-07-09,slow_industry_daily_low_max,0.004,9484692.987,329320.9496,37,21,0.06779947069
2020-07-10,slow_industry_daily_low_max,0.004,9432171.705,329320.9496,37,21,0.06898044976
2020-07-13,slow_industry_daily_low_max,0.004,9832915.704,329320.9496,37,21,0.06949662955
2020-07-14,slow_industry_daily_low_max,0.004,9823852.64,329320.9496,37,21,0.07001562267
2020-07-15,slow_industry_daily_low_max,0.004,9670326.483,329320.9496,37,21,0.07142773245
2020-07-16,slow_industry_daily_low_max,0.004,9194734.643,1.164153218e-10,38,21,0.06619460435
2020-07-17,slow_industry_daily_low_max,0.004,9151263.941,1.164153218e-10,38,21,0.06598820787
2020-07-20,slow_industry_daily_low_max,0.004,9381209.455,1.164153218e-10,38,21,0.06539071487
2020-07-21,slow_industry_daily_low_max,0.004,9481922.918,1.164153218e-10,38,21,0.06552585057
2020-07-22,slow_industry_daily_low_max,0.004,9564951.557,1.164153218e-10,38,21,0.06585707724
2020-07-23,slow_industry_daily_low_max,0.004,9522576.843,-2.619344741e-10,40,20,0.06654004383
2020-07-24,slow_industry_daily_low_max,0.004,9094732.419,-2.619344741e-10,40,20,0.06661855131
2020-07-27,slow_industry_daily_low_max,0.004,9219307.693,-2.619344741e-10,40,20,0.06682096601
2020-07-28,slow_industry_daily_low_max,0.004,9319599.583,-2.619344741e-10,40,20,0.06739357571
2020-07-29,slow_industry_daily_low_max,0.004,9477459.77,-2.619344741e-10,40,20,0.06694270933
2020-07-30,slow_industry_daily_low_max,0.004,9420128.79,65416.58091,40,19,0.07827505401
2020-07-31,slow_industry_daily_low_max,0.004,9519091.008,65416.58091,40,19,0.07758462633
2020-08-03,slow_industry_daily_low_max,0.004,9694261.572,65416.58091,40,19,0.07734748309
2020-08-04,slow_industry_daily_low_max,0.004,9777590.597,65416.58091,40,19,0.0774881654
2020-08-05,slow_industry_daily_low_max,0.004,9773544.639,65416.58091,40,19,0.07667938288
2020-08-06,slow_industry_daily_low_max,0.004,9738337.426,98208.08303,40,20,0.08078344761
2020-08-07,slow_industry_daily_low_max,0.004,9591592.511,98208.08303,40,20,0.0809320925
2020-08-10,slow_industry_daily_low_max,0.004,9632367.343,98208.08303,40,20,0.08066594743
2020-08-11,slow_industry_daily_low_max,0.004,9547366.015,98208.08303,40,20,0.08103980189
2020-08-12,slow_industry_daily_low_max,0.004,9387398.405,98208.08303,40,20,0.08105631375
2020-08-13,slow_industry_daily_low_max,0.004,9509130.027,101947.538,40,20,0.08956798415
2020-08-14,slow_industry_daily_low_max,0.004,9513728.485,101947.538,40,20,0.08761868629
2020-08-17,slow_industry_daily_low_max,0.004,9662773.135,101947.538,40,20,0.08825189286
2020-08-18,slow_industry_daily_low_max,0.004,9682318.404,101947.538,40,20,0.08879295585
2020-08-19,slow_industry_daily_low_max,0.004,9620828.85,101947.538,40,20,0.09050390558
2020-08-20,slow_industry_daily_low_max,0.004,9369933.332,60249.9313,40,15,0.1083830957
2020-08-21,slow_industry_daily_low_max,0.004,9370769.097,60249.9313,40,15,0.1073311801
2020-08-24,slow_industry_daily_low_max,0.004,9494534.595,60249.9313,40,15,0.1090347827
2020-08-25,slow_industry_daily_low_max,0.004,9389388.067,60249.9313,40,15,0.10767679
2020-08-26,slow_industry_daily_low_max,0.004,9100320.464,60249.9313,40,15,0.1064460054
2020-08-27,slow_industry_daily_low_max,0.004,9126018.181,44082.74852,40,12,0.1226779544
2020-08-28,slow_industry_daily_low_max,0.004,9335766.066,44082.74852,40,12,0.1224786506
2020-08-31,slow_industry_daily_low_max,0.004,9332209.83,44082.74852,40,12,0.1223510116
2020-09-01,slow_industry_daily_low_max,0.004,9399997.285,44082.74852,40,12,0.1220688871
2020-09-02,slow_industry_daily_low_max,0.004,9398138.044,44082.74852,40,12,0.1227372133
2020-09-03,slow_industry_daily_low_max,0.004,9308305.802,1.746229827e-10,40,11,0.1423859085
2020-09-04,slow_industry_daily_low_max,0.004,9229067.327,1.746229827e-10,40,11,0.1421298384
2020-09-07,slow_industry_daily_low_max,0.004,9017853.105,1.746229827e-10,40,11,0.1420419784
