role,metric,control_or_role,scope,n,value
loss_episode_count,ROLE_PAIRWISE_SPEARMAN,below_level_close_fraction,GLOBAL,899,0.16317264859707967
loss_episode_count,ROLE_PAIRWISE_SPEARMAN,continuation30_log_return,GLOBAL,899,-0.10796506459813743
loss_episode_count,ROLE_PAIRWISE_SPEARMAN,rejection_depth,GLOBAL,899,-0.25834952287507873
post_cross_activity_ratio,JOINT_ADJUSTED_R2,minute_volume_concentration|closing30_volume_share|first_cross_fraction,BLOCK_A,432,0.14785888040684569
post_cross_activity_ratio,JOINT_ADJUSTED_R2,minute_volume_concentration|closing30_volume_share|first_cross_fraction,BLOCK_B,467,0.11148912408358014
post_cross_activity_ratio,JOINT_ADJUSTED_R2,minute_volume_concentration|closing30_volume_share|first_cross_fraction,GLOBAL,899,0.13059867286427873
post_cross_activity_ratio,PAIRWISE_SPEARMAN,closing30_volume_share,BLOCK_A,432,0.15007810283449283
post_cross_activity_ratio,PAIRWISE_SPEARMAN,closing30_volume_share,BLOCK_B,467,0.095897510246761741
post_cross_activity_ratio,PAIRWISE_SPEARMAN,closing30_volume_share,GLOBAL,899,0.12000618372777243
post_cross_activity_ratio,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_A,432,-0.30384149993781345
post_cross_activity_ratio,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_B,467,-0.29422980018037898
post_cross_activity_ratio,PAIRWISE_SPEARMAN,first_cross_fraction,GLOBAL,899,-0.29999777817508727
post_cross_activity_ratio,PAIRWISE_SPEARMAN,minute_volume_concentration,BLOCK_A,432,0.18487954910424684
post_cross_activity_ratio,PAIRWISE_SPEARMAN,minute_volume_concentration,BLOCK_B,467,0.13698057324773821
post_cross_activity_ratio,PAIRWISE_SPEARMAN,minute_volume_concentration,GLOBAL,899,0.16581807881389551
post_cross_activity_ratio,ROLE_PAIRWISE_SPEARMAN,below_level_close_fraction,GLOBAL,899,-0.22999146838238696
post_cross_activity_ratio,ROLE_PAIRWISE_SPEARMAN,continuation30_log_return,GLOBAL,899,0.13272132468372938
post_cross_activity_ratio,ROLE_PAIRWISE_SPEARMAN,loss_episode_count,GLOBAL,899,-0.093427848357201027
post_cross_activity_ratio,ROLE_PAIRWISE_SPEARMAN,post_cross_cumulative_vwap_acceptance_fraction,GLOBAL,899,-0.021023315368218377
post_cross_activity_ratio,ROLE_PAIRWISE_SPEARMAN,reacquisition_bars,GLOBAL,611,-0.057086937878972711
post_cross_activity_ratio,ROLE_PAIRWISE_SPEARMAN,rejection_depth,GLOBAL,899,0.22243275949808061
post_cross_cumulative_vwap_acceptance_fraction,JOINT_ADJUSTED_R2,open_close_log_return|session_vwap_recovery_count|session_longest_below_vwap_fraction|session_downside_excursion|session_recovery_speed_30bar,BLOCK_A,432,0.66490468767373745
post_cross_cumulative_vwap_acceptance_fraction,JOINT_ADJUSTED_R2,open_close_log_return|session_vwap_recovery_count|session_longest_below_vwap_fraction|session_downside_excursion|session_recovery_speed_30bar,BLOCK_B,467,0.61630741019531288
post_cross_cumulative_vwap_acceptance_fraction,JOINT_ADJUSTED_R2,open_close_log_return|session_vwap_recovery_count|session_longest_below_vwap_fraction|session_downside_excursion|session_recovery_speed_30bar,GLOBAL,899,0.63677927065430362
post_cross_cumulative_vwap_acceptance_fraction,PAIRWISE_SPEARMAN,open_close_log_return,BLOCK_A,432,0.75633694057259215
post_cross_cumulative_vwap_acceptance_fraction,PAIRWISE_SPEARMAN,open_close_log_return,BLOCK_B,467,0.72399776069791943
post_cross_cumulative_vwap_acceptance_fraction,PAIRWISE_SPEARMAN,open_close_log_return,GLOBAL,899,0.73881747895003613
post_cross_cumulative_vwap_acceptance_fraction,PAIRWISE_SPEARMAN,session_downside_excursion,BLOCK_A,432,-0.28363174110690864
post_cross_cumulative_vwap_acceptance_fraction,PAIRWISE_SPEARMAN,session_downside_excursion,BLOCK_B,467,-0.25400690226358874
post_cross_cumulative_vwap_acceptance_fraction,PAIRWISE_SPEARMAN,session_downside_excursion,GLOBAL,899,-0.26895256476356499
post_cross_cumulative_vwap_acceptance_fraction,PAIRWISE_SPEARMAN,session_longest_below_vwap_fraction,BLOCK_A,432,-0.38417875016848119
post_cross_cumulative_vwap_acceptance_fraction,PAIRWISE_SPEARMAN,session_longest_below_vwap_fraction,BLOCK_B,467,-0.42451625815444521
post_cross_cumulative_vwap_acceptance_fraction,PAIRWISE_SPEARMAN,session_longest_below_vwap_fraction,GLOBAL,899,-0.40409453335730561
post_cross_cumulative_vwap_acceptance_fraction,PAIRWISE_SPEARMAN,session_recovery_speed_30bar,BLOCK_A,432,0.42791687346186824
post_cross_cumulative_vwap_acceptance_fraction,PAIRWISE_SPEARMAN,session_recovery_speed_30bar,BLOCK_B,467,0.40909241368802585
post_cross_cumulative_vwap_acceptance_fraction,PAIRWISE_SPEARMAN,session_recovery_speed_30bar,GLOBAL,899,0.41757910359262007
post_cross_cumulative_vwap_acceptance_fraction,PAIRWISE_SPEARMAN,session_vwap_recovery_count,BLOCK_A,432,-0.33693289186678343
post_cross_cumulative_vwap_acceptance_fraction,PAIRWISE_SPEARMAN,session_vwap_recovery_count,BLOCK_B,467,-0.21168083618682917
post_cross_cumulative_vwap_acceptance_fraction,PAIRWISE_SPEARMAN,session_vwap_recovery_count,GLOBAL,899,-0.27125774905471306
post_cross_cumulative_vwap_acceptance_fraction,ROLE_PAIRWISE_SPEARMAN,below_level_close_fraction,GLOBAL,899,-0.47094891772687852
post_cross_cumulative_vwap_acceptance_fraction,ROLE_PAIRWISE_SPEARMAN,continuation30_log_return,GLOBAL,899,0.36298677120441331
post_cross_cumulative_vwap_acceptance_fraction,ROLE_PAIRWISE_SPEARMAN,loss_episode_count,GLOBAL,899,-0.057963052702165271
post_cross_cumulative_vwap_acceptance_fraction,ROLE_PAIRWISE_SPEARMAN,reacquisition_bars,GLOBAL,611,0.066398175832970779
post_cross_cumulative_vwap_acceptance_fraction,ROLE_PAIRWISE_SPEARMAN,rejection_depth,GLOBAL,899,0.47146367905636011
reacquisition_bars,JOINT_ADJUSTED_R2,first_cross_fraction|high_time_fraction|minute_realized_volatility|close_location,BLOCK_A,312,0.043966012483551364
reacquisition_bars,JOINT_ADJUSTED_R2,first_cross_fraction|high_time_fraction|minute_realized_volatility|close_location,BLOCK_B,329,0.027425525487000613
reacquisition_bars,JOINT_ADJUSTED_R2,first_cross_fraction|high_time_fraction|minute_realized_volatility|close_location,GLOBAL,641,0.022795308036054673
reacquisition_bars,PAIRWISE_SPEARMAN,close_location,BLOCK_A,312,0.15450668577389789
reacquisition_bars,PAIRWISE_SPEARMAN,close_location,BLOCK_B,329,0.041021692089729174
reacquisition_bars,PAIRWISE_SPEARMAN,close_location,GLOBAL,641,0.094164638247528451
reacquisition_bars,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_A,312,-0.059359658901515122
reacquisition_bars,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_B,329,-0.003713188397464305
reacquisition_bars,PAIRWISE_SPEARMAN,first_cross_fraction,GLOBAL,641,-0.035088915123533383
reacquisition_bars,PAIRWISE_SPEARMAN,high_time_fraction,BLOCK_A,312,-0.054398629747216258
reacquisition_bars,PAIRWISE_SPEARMAN,high_time_fraction,BLOCK_B,329,0.066346992573460911
reacquisition_bars,PAIRWISE_SPEARMAN,high_time_fraction,GLOBAL,641,0.0074547194129206858
reacquisition_bars,PAIRWISE_SPEARMAN,minute_realized_volatility,BLOCK_A,312,-0.042526440345737666
reacquisition_bars,PAIRWISE_SPEARMAN,minute_realized_volatility,BLOCK_B,329,-0.17074953855836436
reacquisition_bars,PAIRWISE_SPEARMAN,minute_realized_volatility,GLOBAL,641,-0.10606864550836224
reacquisition_bars,ROLE_PAIRWISE_SPEARMAN,below_level_close_fraction,GLOBAL,611,0.20486176829119998
reacquisition_bars,ROLE_PAIRWISE_SPEARMAN,continuation30_log_return,GLOBAL,611,-0.12258182212910562
reacquisition_bars,ROLE_PAIRWISE_SPEARMAN,loss_episode_count,GLOBAL,611,-0.048249698065526696
reacquisition_bars,ROLE_PAIRWISE_SPEARMAN,rejection_depth,GLOBAL,611,-0.16335227572599895
rejection_depth,JOINT_ADJUSTED_R2,intraday_log_range|close_location|open_close_log_return|first_cross_fraction,BLOCK_A,432,0.3192244296489789
rejection_depth,JOINT_ADJUSTED_R2,intraday_log_range|close_location|open_close_log_return|first_cross_fraction,BLOCK_B,467,0.34155861148858757
rejection_depth,JOINT_ADJUSTED_R2,intraday_log_range|close_location|open_close_log_return|first_cross_fraction,GLOBAL,899,0.33640558306125257
rejection_depth,PAIRWISE_SPEARMAN,close_location,BLOCK_A,432,0.47400905259312692
rejection_depth,PAIRWISE_SPEARMAN,close_location,BLOCK_B,467,0.48388783958655313
rejection_depth,PAIRWISE_SPEARMAN,close_location,GLOBAL,899,0.47991781779135073
rejection_depth,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_A,432,-0.012161346239269665
rejection_depth,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_B,467,0.087564474246430546
rejection_depth,PAIRWISE_SPEARMAN,first_cross_fraction,GLOBAL,899,0.039790556682250691
rejection_depth,PAIRWISE_SPEARMAN,intraday_log_range,BLOCK_A,432,-0.070278525319557472
rejection_depth,PAIRWISE_SPEARMAN,intraday_log_range,BLOCK_B,467,-0.11899898521398071
rejection_depth,PAIRWISE_SPEARMAN,intraday_log_range,GLOBAL,899,-0.094675117314681798
rejection_depth,PAIRWISE_SPEARMAN,open_close_log_return,BLOCK_A,432,0.4041378716302011
rejection_depth,PAIRWISE_SPEARMAN,open_close_log_return,BLOCK_B,467,0.43092252417103027
rejection_depth,PAIRWISE_SPEARMAN,open_close_log_return,GLOBAL,899,0.42309291105869407
rejection_depth,ROLE_PAIRWISE_SPEARMAN,continuation30_log_return,GLOBAL,899,0.57888580174609283
