year,broad_proxy_return,median_stock_return,mean_daily_market_breadth,market_realized_volatility,mean_cross_sectional_dispersion,mean_industry_return_dispersion,positive_industry_fraction,market_downside_frequency,positive_r20_stock_fraction,dimension,checkpoint,industry_return,market_return,industry_relative_return,industry_top10_fraction,mean_industry_percentile,cycle016_state_persistence,mean_eligible_industries,mean_eligible_stocks,mean_quality_candidates,mean_selected_industries,mean_diffusion_margin,mean_selected_max20,mean_selected_diffusion,normal,rich,sparse,family,candidate_trades,candidate_mean_net_return,candidate_winner_fraction,candidate_severe_fraction
2020,,,,,,,,,,continuation_rotation,20,0.02047749109,-0.05284944675,0.07332693784,0.1013824885,0.5084518946,0.08370044053,,,,,,,,,,,,,,,
2021,,,,,,,,,,continuation_rotation,5,0.002197970609,-0.01092510359,0.01312307419,0.4299065421,0.7941339356,0.2718894009,,,,,,,,,,,,,,,
2021,,,,,,,,,,continuation_rotation,10,0.003947436206,-0.0219996906,0.02594712681,0.3014354067,0.6940870709,0.1797235023,,,,,,,,,,,,,,,
2021,,,,,,,,,,continuation_rotation,15,0.003610644175,-0.03387500763,0.0374856518,0.1893203883,0.6030408108,0.1013824885,,,,,,,,,,,,,,,
2021,,,,,,,,,,continuation_rotation,20,0.004755720276,-0.04515583946,0.04991155974,0.1379310345,0.4942202225,0.07373271889,,,,,,,,,,,,,,,
2022,,,,,,,,,,continuation_rotation,5,-0.0007058838665,-0.01508945785,0.01438357399,0.5135135135,0.8406851452,0.3035714286,,,,,,,,,,,,,,,
2022,,,,,,,,,,continuation_rotation,10,-0.007475017084,-0.03110099116,0.02362597408,0.3212669683,0.7152392277,0.1875,,,,,,,,,,,,,,,
2022,,,,,,,,,,continuation_rotation,15,-0.009519813181,-0.04527667041,0.03575685723,0.1909090909,0.5970665958,0.1116071429,,,,,,,,,,,,,,,
2022,,,,,,,,,,continuation_rotation,20,-0.008947432552,-0.05551260164,0.04656516908,0.119266055,0.4792791759,0.04464285714,,,,,,,,,,,,,,,
2023,,,,,,,,,,continuation_rotation,5,0.00255506228,-0.009485734875,0.01204079715,0.4368421053,0.7976837605,0.3455497382,,,,,,,,,,,,,,,
2023,,,,,,,,,,continuation_rotation,10,0.005349797755,-0.01966561097,0.02501540872,0.3244680851,0.7210190873,0.1570680628,,,,,,,,,,,,,,,
2023,,,,,,,,,,continuation_rotation,15,0.006783931044,-0.03224325382,0.03902718486,0.2378378378,0.6342376856,0.08376963351,,,,,,,,,,,,,,,
2023,,,,,,,,,,continuation_rotation,20,0.002786183907,-0.04516013309,0.047946317,0.1436464088,0.5273585191,0.04188481675,,,,,,,,,,,,,,,
2018,,,,,,,,,,entry_quality,,,,,,,,67.91666667,1076.083333,49.29166667,3.666666667,0,0.04391973517,0.8606314879,0.3333333333,0.125,0.5416666667,,,,,
2019,,,,,,,,,,entry_quality,,,,,,,,86.95918367,1667.77551,63.69387755,4.530612245,0.001012309686,0.04169654509,0.9298516001,0.2448979592,0.3265306122,0.4285714286,,,,,
2020,,,,,,,,,,entry_quality,,,,,,,,100.8571429,2232.326531,66.34693878,4.653061224,0.0002728364073,0.05046224374,0.9697324767,0.4489795918,0.2448979592,0.306122449,,,,,
2021,,,,,,,,,,entry_quality,,,,,,,,103.2083333,2340.75,61.72916667,4.520833333,0.003338675214,0.04818780665,0.9730883116,0.3958333333,0.3333333333,0.2708333333,,,,,
2022,,,,,,,,,,entry_quality,,,,,,,,110.7755102,2777.306122,76.3877551,4.571428571,0.004030025582,0.04542908927,0.9456988519,0.2040816327,0.4693877551,0.3265306122,,,,,
2023,,,,,,,,,,entry_quality,,,,,,,,108.3863636,2812.318182,72.77272727,4.363636364,0.001785384331,0.03816859202,0.9534832423,0.3863636364,0.3863636364,0.2272727273,,,,,
2018,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm0_baseline,239,-0.04076845353,0.3054393305,0.2594142259
2019,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm0_baseline,488,0.01999381486,0.5,0.2008196721
2020,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm0_baseline,486,0.03504501526,0.5205761317,0.2016460905
2021,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm0_baseline,479,0.01944355601,0.5177453027,0.1691022965
2022,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm0_baseline,485,0.00114067013,0.4701030928,0.1896907216
2023,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm0_baseline,440,0.003333198164,0.4045454545,0.1204545455
2018,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm1_upper_limit_clean,239,-0.04076845353,0.3054393305,0.2594142259
2019,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm1_upper_limit_clean,484,0.03456439901,0.5826446281,0.132231405
2020,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm1_upper_limit_clean,485,0.04757780724,0.5896907216,0.1608247423
2021,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm1_upper_limit_clean,478,0.003746411407,0.4665271967,0.230125523
2022,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm1_upper_limit_clean,482,-0.004316201061,0.4709543568,0.1887966805
2023,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm1_upper_limit_clean,440,0.0212788343,0.4318181818,0.1272727273
2018,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm2_low_max,240,-0.03252833055,0.3666666667,0.2
2019,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm2_low_max,486,0.03303218779,0.5452674897,0.1419753086
2020,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm2_low_max,486,0.03289220116,0.537037037,0.1522633745
2021,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm2_low_max,479,0.01542925576,0.509394572,0.1482254697
2022,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm2_low_max,484,0.0009485606859,0.4896694215,0.1570247934
2023,,,,,,,,,,candidate_layer,,,,,,,,,,,,,,,,,,arm2_low_max,436,0.01514396559,0.4311926606,0.06651376147
