symbol,trade_date,selection_hash,field,exact_match,aggregate_hex,scalar_hex
002786.SZ,2022-09-02,00000abfd4c97b9ab8b39661963a01f48bc93c2cff7c1c05aa9865d0051ed114,coordinate_close_t3,True,0x1.8699579b2aa83p-1,0x1.8699579b2aa83p-1
002786.SZ,2022-09-02,00000abfd4c97b9ab8b39661963a01f48bc93c2cff7c1c05aa9865d0051ed114,coordinate_close_t5,True,0x1.7097ea1b705ddp-1,0x1.7097ea1b705ddp-1
002786.SZ,2022-09-02,00000abfd4c97b9ab8b39661963a01f48bc93c2cff7c1c05aa9865d0051ed114,mapped_low_t1,True,0x1.69fde2db85478p-1,0x1.69fde2db85478p-1
002786.SZ,2022-09-02,00000abfd4c97b9ab8b39661963a01f48bc93c2cff7c1c05aa9865d0051ed114,mapped_low_t2,True,0x1.7124c00b6e9fbp-1,0x1.7124c00b6e9fbp-1
002786.SZ,2022-09-02,00000abfd4c97b9ab8b39661963a01f48bc93c2cff7c1c05aa9865d0051ed114,mapped_low_t3,True,0x1.72cb41db69654p-1,0x1.72cb41db69654p-1
002786.SZ,2022-09-02,00000abfd4c97b9ab8b39661963a01f48bc93c2cff7c1c05aa9865d0051ed114,mapped_low_t4,True,0x1.8118fc3b3c15bp-1,0x1.8118fc3b3c15bp-1
002786.SZ,2022-09-02,00000abfd4c97b9ab8b39661963a01f48bc93c2cff7c1c05aa9865d0051ed114,mapped_low_t5,True,0x1.6d4ae67b7ad2ap-1,0x1.6d4ae67b7ad2ap-1
002786.SZ,2022-09-02,00000abfd4c97b9ab8b39661963a01f48bc93c2cff7c1c05aa9865d0051ed114,terminal_log_return_h1,True,0x1.e6e74934b03d2p-7,0x1.e6e74934b03d2p-7
002786.SZ,2022-09-02,00000abfd4c97b9ab8b39661963a01f48bc93c2cff7c1c05aa9865d0051ed114,terminal_log_return_h3,True,0x1.f3859c58dbca4p-5,0x1.f3859c58dbca4p-5
002786.SZ,2022-09-02,00000abfd4c97b9ab8b39661963a01f48bc93c2cff7c1c05aa9865d0051ed114,terminal_log_return_h5,True,0x1.87d8472aeed5ap-9,0x1.87d8472aeed5ap-9
