section,sample_type,representation,period,horizon,quintile,count,dates,securities,industries,mean_net_return,median_net_return,positive_return_fraction,mean_industry_relative,median_industry_relative,mean_broad_relative,severe_loss_fraction,mean_mae_h20,control,tercile,q5_count,q1_count,q5_mean_industry_relative,q1_mean_industry_relative,q5_minus_q1_industry_relative,absolute_bin,relative_bin
raw_spread,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,1,Q5-Q1,5869,667,,,0.000139019300438,-0.00198922441576,-0.024720045021,0.000121782882777,-0.000521645757142,0.000269084529019,0.00712741774896,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,3,1,5869,667,2444,114,0.00198041602804,-0.00248291296196,0.480661100699,-0.000452096157205,-0.00152861186938,-0.00126469396958,0.0451524961663,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,3,2,6136,667,2518,112,0.002148320812,-0.00142705481272,0.488102998696,-0.000300993381515,-0.00132791350764,-0.000881925343551,0.0334093872229,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,3,3,6146,667,2493,112,0.00189408842424,-0.00127439471293,0.489586723072,-0.00115763750761,-0.0019354227244,-0.00125502859702,0.0356329319883,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,3,4,6131,666,2438,112,0.00372958565039,-0.00121762046937,0.491763170771,0.000178493240245,-0.00099564860979,0.000695761445176,0.0427336486707,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,3,5,6418,667,2341,113,0.00103653618684,-0.00399201596806,0.474758491742,-0.0027275196723,-0.0045870072695,-0.00192599251779,0.0757245247741,,,,,,,,,,
raw_spread,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,3,Q5-Q1,5869,667,,,-0.000943879841199,-0.00150910300611,-0.00590260895661,-0.0022754235151,-0.00305839540012,-0.000661298548209,0.0305720286078,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,5,1,5868,667,2444,114,0.00151954762405,-0.0064432267662,0.460122699387,-3.40554624809e-05,-0.00162466998167,-0.00118385418976,0.0806066802999,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,5,2,6135,667,2518,112,0.00283905358842,-0.00501882832274,0.466503667482,0.000707090465826,-0.0016510623836,0.000304543879033,0.0616136919315,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,5,3,6145,667,2492,112,0.00228399502479,-0.00399201596806,0.472416598861,-0.000629391960994,-0.00253694019056,-0.000445597686598,0.0659072416599,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,5,4,6129,666,2437,112,0.00421681728078,-0.00524682917629,0.468102463697,0.00108294646226,-0.00132468429206,0.00167497858872,0.0757056616087,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,5,5,6417,667,2341,113,-0.00117709347848,-0.00875191075436,0.455352968677,-0.00432661708739,-0.0072766538303,-0.00375805052542,0.115474520804,,,,,,,,,,
raw_spread,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,5,Q5-Q1,5868,667,,,-0.00269664110253,-0.00230868398815,-0.00476973070955,-0.00429256162491,-0.00565198384863,-0.00257419633566,0.0348678405042,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,10,1,5864,667,2444,114,-3.02898769116e-05,-0.0156485237653,0.431105047749,-0.000671305738921,-0.00413363750097,-0.00165611943638,0.163710777626,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,10,2,6132,667,2516,112,0.0032142914968,-0.0113525107697,0.454500978474,0.000895642635445,-0.00157909931336,0.00173121321176,0.138617090672,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,10,3,6136,667,2488,112,0.00245169484291,-0.0123036424829,0.448174706649,0.000923855759174,-0.00271714905358,0.000717925130298,0.141623207301,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,10,4,6122,666,2433,112,0.00320685250306,-0.0109011883205,0.456386801699,0.00101239991325,-0.00434211511912,0.00172899910189,0.164815419797,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,10,5,6415,667,2341,113,-0.00504338748292,-0.0197302911108,0.42790335152,-0.00633423277275,-0.0109773933405,-0.00671188992921,0.219953234606,,,,,,,,,,
raw_spread,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,10,Q5-Q1,5864,667,,,-0.00501309760601,-0.00408176734543,-0.0032016962291,-0.00566292703383,-0.00684375583957,-0.00505577049283,0.0562424569802,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,20,1,5848,667,2435,114,-0.00431878677028,-0.0281297034166,0.416039671683,-0.0027568286607,-0.00624616018522,-0.00480403554789,0.267099863201,-0.112505440293,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,20,2,6126,667,2513,112,0.00104953988949,-0.0237351533655,0.42523669605,0.0008168386853,-0.00221193002749,0.000499336674748,0.249265426053,-0.105814021493,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,20,3,6128,667,2487,112,0.00263563396516,-0.0208735072228,0.431788511749,0.000979390388664,-0.00439973457864,0.00169373944811,0.256527415144,-0.106318895107,,,,,,,,,
