scope,period,cell_id,horizon,bucket,n,absolute_mean,absolute_median,absolute_positive_rate,industry_relative_mean,industry_relative_median,severe_loss_incidence
FULL,2018_2023,ABS_m06_REL_m04_W3,5,4,5850,0.00298273799348,-0.00618405704085,0.463760683761,0.000802431154165,0,
FULL,2018_2023,ABS_m06_REL_m04_W3,5,5,6259,-0.00295879167068,-0.0114807978029,0.441124780316,-0.00201491495725,0,
FULL,2018_2023,ABS_m06_REL_m04_W3,10,1,5428,-0.00258878785247,-0.0164067737564,0.427781871776,0.000446612847253,0,
FULL,2018_2023,ABS_m06_REL_m04_W3,10,2,5836,-0.000956624371889,-0.0162310846324,0.435229609321,0.000482978253655,0,
FULL,2018_2023,ABS_m06_REL_m04_W3,10,3,5824,-0.000791856941413,-0.0149932892985,0.437156593407,0.00198251909395,0,
FULL,2018_2023,ABS_m06_REL_m04_W3,10,4,5822,-0.000227546001786,-0.0136661489534,0.441944349021,0.000139556798353,0,
FULL,2018_2023,ABS_m06_REL_m04_W3,10,5,6235,-0.00913201557032,-0.0239371070125,0.418604651163,-0.00282302590319,0,
FULL,2018_2023,ABS_m06_REL_m04_W3,20,1,5389,-0.00844264148694,-0.0320174164814,0.40731118946,-0.000261908118482,0,0.51827797365
FULL,2018_2023,ABS_m06_REL_m04_W3,20,2,5783,-0.00316883528961,-0.0259728818226,0.418295002594,0.00155286158163,0,0.490057063808
FULL,2018_2023,ABS_m06_REL_m04_W3,20,3,5783,-0.00136667163832,-0.0253519965629,0.417949161335,0.00320525045677,0,0.496455127097
FULL,2018_2023,ABS_m06_REL_m04_W3,20,4,5781,-0.00467964520644,-0.027976154714,0.415326068154,0.00141974436466,0,0.505448884276
FULL,2018_2023,ABS_m06_REL_m04_W3,20,5,6178,-0.0176837243281,-0.0428795990336,0.387180317255,-0.00555394646159,0,0.58627387504
FULL,2018_2023,ABS_m06_REL_m04_W5,1,1,5138,-0.000931962176714,-0.00142698856726,0.479369404438,0.00021641629976,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,1,2,5511,-0.00148436499435,-0.00212333307119,0.464888405008,0.000114663443003,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,1,3,5532,-0.00190633114572,-0.00283251889701,0.456254519161,-0.000172947262527,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,1,4,5511,-0.000626509282262,-0.00301121046926,0.458718925785,0.000173572966445,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,1,5,5911,-0.00155310209426,-0.00431613181057,0.443410590425,-0.000294987911408,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,3,1,5127,-0.00183207580307,-0.00786108138883,0.442559001365,5.10418203224e-05,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,3,2,5504,-0.000488989419322,-0.00607286203763,0.449672965116,0.000348634738342,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,3,3,5522,-0.00177851165069,-0.00633470632635,0.448931546541,0.000591170405716,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,3,4,5504,-0.000657307006259,-0.00679587240613,0.446947674419,0.000169664722072,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,3,5,5902,-0.00301450602972,-0.00928695509902,0.433920704846,-0.00108079542922,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,5,1,5120,-0.0026532766672,-0.0096459322622,0.440234375,8.0692807438e-05,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,5,2,5495,0.000634370889262,-0.00786000813906,0.449135577798,0.00117059765358,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,5,3,5513,-0.00263966937319,-0.00888640409598,0.441683294032,0.000665366346227,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,5,4,5493,-0.00129106836281,-0.00925936588362,0.448024758784,-2.3843385227e-05,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,5,5,5889,-0.00545408442729,-0.0114328440238,0.439803022584,-0.00176307933982,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,10,1,5105,-0.00326147522762,-0.0162884108327,0.426052889324,0.000107047050872,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,10,2,5480,0.0016715567099,-0.012849742527,0.435401459854,0.00164615172709,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,10,3,5494,-0.00409350194194,-0.0158688928674,0.427193301784,0.00155465755423,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,10,4,5477,-0.0047142742268,-0.0184600218523,0.422494066095,-0.000369843942723,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,10,5,5873,-0.0100002547684,-0.0241625687173,0.412736250639,-0.00273847096676,0,
FULL,2018_2023,ABS_m06_REL_m04_W5,20,1,5057,-0.00922452052604,-0.0306059944888,0.402214751829,-0.00105689780865,0,0.507415463714
FULL,2018_2023,ABS_m06_REL_m04_W5,20,2,5427,0.00267052329521,-0.0222255717398,0.427860696517,0.00427730620217,0,0.479086051225
FULL,2018_2023,ABS_m06_REL_m04_W5,20,3,5439,-0.00762319235307,-0.0267342844151,0.414965986395,0.0012605559107,0,0.490347490347
FULL,2018_2023,ABS_m06_REL_m04_W5,20,4,5425,-0.00816397592916,-0.0325531197629,0.407926267281,0.000169441803712,0,0.52
