audit_type,channel,scope,scope_value,market_view,denominator,coordinate,horizon,n,partial_rho,low_n,high_n,tail_residual_gap,closing_arm
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,CHINEXT_BOARD,ALL_STATUS,pit,3,277,-0.11673237724912963,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,CHINEXT_BOARD,ALL_STATUS,pit,5,164,-0.30040562649727581,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,CHINEXT_BOARD,NON_ST,pit,3,277,-0.11082328276149071,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,CHINEXT_BOARD,NON_ST,pit,5,165,-0.28224639396905066,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,SH_A,ALL_STATUS,pit,3,277,-0.2447408388925493,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,SH_A,ALL_STATUS,pit,5,166,-0.42169705217513059,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,SH_A,NON_ST,pit,3,277,-0.25964374158067721,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,SH_A,NON_ST,pit,5,166,-0.42835353272572796,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,SZ_A,ALL_STATUS,pit,3,277,-0.25969424456493823,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,SZ_A,ALL_STATUS,pit,5,166,-0.32001307255933387,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,SZ_A,NON_ST,pit,3,277,-0.25389352000738363,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,SZ_A,NON_ST,pit,5,166,-0.31390829307607837,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,2,ALL_A,ALL_STATUS,pit,3,276,-0.239650566125235,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,2,ALL_A,ALL_STATUS,pit,5,165,-0.26171295823070817,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,2,ALL_A,NON_ST,pit,3,276,-0.24872205207679107,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,2,ALL_A,NON_ST,pit,5,165,-0.26298205863112384,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,2,CHINEXT_BOARD,ALL_STATUS,pit,3,274,-0.32591229422482748,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,2,CHINEXT_BOARD,ALL_STATUS,pit,5,164,-0.248411087618819,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,2,CHINEXT_BOARD,NON_ST,pit,3,275,-0.32504010308938552,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,2,CHINEXT_BOARD,NON_ST,pit,5,164,-0.24852653714403336,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,2,SH_A,ALL_STATUS,pit,3,276,-0.25702351710551563,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,2,SH_A,ALL_STATUS,pit,5,165,-0.28111349281149767,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,2,SH_A,NON_ST,pit,3,276,-0.25710662570546522,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,2,SH_A,NON_ST,pit,5,165,-0.28086792118360915,,,,
